,Concept_ID,mhr,se
0,Auge::N,шинча́,tjelmie
1,Auge::N,шинча́,tjalmme
2,Auge::N,шинча́,čalbmi
3,Auge::N,шинча́,čalme
4,Auge::N,шинча́,čâ´lmm
5,Auge::N,шинча́,ча̄лльм
6,Ohr::N,пы́лыш,bieljie
7,Ohr::N,пы́лыш,biellje
8,Ohr::N,пы́лыш,beallji
9,Ohr::N,пы́лыш,pelji
10,Ohr::N,пы́лыш,pe´llj
11,Ohr::N,пы́лыш,пе̄лльй
12,Nase::N,нер,njuenie
13,Nase::N,нер,njunnje
14,Nase::N,нер,njunni
15,Nase::N,нер,njuṇe
16,Nase::N,нер,njuu´nn
17,Nase::N,нер,нюннҍ
18,Mund::N,умша́,njaelmie
19,Mund::N,умша́,njálmme
20,Mund::N,умша́,njálbmi
21,Mund::N,умша́,njälmi
22,Mund::N,умша́,njä´lmm
23,Mund::N,умша́,ня̄лльм
24,Zahn::N,пӱй,baenie
25,Zahn::N,пӱй,bádne
26,Zahn::N,пӱй,bátni
27,Zahn::N,пӱй,pääṇi
28,Zahn::N,пӱй,pää´nn
29,Zahn::N,пӱй,па̄ннҍ
30,Zunge::N,йы́лме,njoektjeme
31,Zunge::N,йы́лме,njuovtjav
32,Zunge::N,йы́лме,njuovčča
33,Zunge::N,йы́лме,njuovčâ
34,Zunge::N,йы́лме,njuhččâm
35,Zunge::N,йы́лме,нюхчем
36,Lippe::N,тӱ́рвӧ,bangseme
37,Lippe::N,тӱ́рвӧ,njálmmerabdda
38,Lippe::N,тӱ́рвӧ,bavssa
39,Lippe::N,тӱ́рвӧ,poovsâ
40,Lippe::N,тӱ́рвӧ,põõus
41,Lippe::N,тӱ́рвӧ,пэ̄кс
42,Wange::N,шӱ́ргӧ,skiehrie
43,Wange::N,шӱ́ргӧ,nierra
44,Wange::N,шӱ́ргӧ,muohtu
45,Wange::N,шӱ́ргӧ,nieṛâ
46,Wange::N,шӱ́ргӧ,njiõrr
47,Wange::N,шӱ́ргӧ,нӣрр
48,Gesicht::N,чури́й,ååredæjja
49,Gesicht::N,чури́й,muohto
50,Gesicht::N,чури́й,muođut
51,Gesicht::N,чури́й,ámadadju
52,Gesicht::N,чури́й,muáđuh
53,Gesicht::N,чури́й,muâđ
54,Gesicht::N,чури́й,ка̄ссв
55,Stirn::N,саҥга́,gaalloe
56,Stirn::N,саҥга́,gállo
57,Stirn::N,саҥга́,gállu
58,Stirn::N,саҥга́,kállu
59,Stirn::N,саҥга́,käll
60,Stirn::N,саҥга́,вуэххьц
61,Haar::N,ӱп,voepte
62,Haar::N,ӱп,vuoppta
63,Haar::N,ӱп,vuokta
64,Haar::N,ӱп,vuop'tâ
65,Haar::N,ӱп,vuõpt
66,Haar::N,ӱп,вӯппт
67,Schnurrbart::N,ӧ́рыш,bijjie-skaavtjoe
68,Schnurrbart::N,ӧ́рыш,njunjevuolskávttjá
69,Schnurrbart::N,ӧ́рыш,seamu
70,Schnurrbart::N,ӧ́рыш,siämu
71,Schnurrbart::N,ӧ́рыш,ää´bben
72,Schnurrbart::N,ӧ́рыш,о̄а̄бпан
73,Bart::N,понда́ш,skaavtja
74,Bart::N,понда́ш,skaavtjoe
75,Bart::N,понда́ш,skávttjá
76,Bart::N,понда́ш,seamu
77,Bart::N,понда́ш,siämu
78,Bart::N,понда́ш,seäm
79,Bart::N,понда́ш,ся̄м
80,Kinn::N,оҥыла́ш,gaejpie
81,Kinn::N,оҥыла́ш,gájbbe
82,Kinn::N,оҥыла́ш,gáibi
83,Kinn::N,оҥыла́ш,käibi
84,Kinn::N,оҥыла́ш,käi´bb
85,Kinn::N,оҥыла́ш,ка̄ййп
86,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,gaejpie
87,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,oalol
88,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,oaloldákte
89,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,gáibi
90,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,uá'lultähti
91,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,vuâl'lõš
92,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,вуаллнешш
93,Kiefer[Anatomie]::N,пӱйората́,gaejpie
94,Kiefer[Anatomie]::N,пӱйората́,oalol
95,Kiefer[Anatomie]::N,пӱйората́,oaloldákte
96,Kiefer[Anatomie]::N,пӱйората́,gáibi
97,Kiefer[Anatomie]::N,пӱйората́,uá'lultähti
98,Kiefer[Anatomie]::N,пӱйората́,vuâl'lõš
99,Kiefer[Anatomie]::N,пӱйората́,вуаллнешш
100,Kehle::N,лога́р,gealoe
101,Kehle::N,лога́р,tjåttå
102,Kehle::N,лога́р,njiello
103,Kehle::N,лога́р,čotta
104,Kehle::N,лога́р,čuudâ
105,Kehle::N,лога́р,čoodd
106,Kehle::N,лога́р,чонт
107,Kehle::N,лога́р,кэ̄ҏс
108,Hals::N,шӱй,tjeapohke
109,Hals::N,шӱй,tjiebet
110,Hals::N,шӱй,čeabet
111,Hals::N,шӱй,čiäppát
112,Hals::N,шӱй,čeäppat
113,Hals::N,шӱй,ча̄пэх
114,Genick::N,шӱйло́дыш,tjovrese
115,Genick::N,шӱйло́дыш,nisske
116,Genick::N,шӱйло́дыш,niehkki
117,Genick::N,шӱйло́дыш,niski
118,Genick::N,шӱйло́дыш,niek'ki
119,Genick::N,шӱйло́дыш,nji´šǩǩmaadd
120,Genick::N,шӱйло́дыш,нышшькмоант
121,Kopf::N,вуй,åejjie
122,Kopf::N,вуй,oajvve
123,Kopf::N,вуй,oaivi
124,Kopf::N,вуй,uái'vi
125,Kopf::N,вуй,vuei´vv
126,Kopf::N,вуй,вуэййв
127,Rücken::N,туп,rudtje
128,Rücken::N,туп,hárddo
129,Rücken::N,туп,tjavelk
130,Rücken::N,туп,sealgi
131,Rücken::N,туп,selgi
132,Rücken::N,туп,čielgi
133,Rücken::N,туп,seä´lǧǧ
134,Rücken::N,туп,се̄лльк
135,Bauch::N,мӱ́шкыр,tjåejjie
136,Bauch::N,мӱ́шкыр,tjoajvve
137,Bauch::N,мӱ́шкыр,čoavji
138,Bauch::N,мӱ́шкыр,čuáv'ji
139,Bauch::N,мӱ́шкыр,čåu´jj
140,Bauch::N,мӱ́шкыр,чо̄ввьй
141,Nabel::N,кы́лымде,naepie
142,Nabel::N,кы́лымде,náhpe
143,Nabel::N,кы́лымде,náhpi
144,Nabel::N,кы́лымде,nääpi
145,Nabel::N,кы́лымде,nää´pp
146,Nabel::N,кы́лымде,на̄бпь
147,Busen::N,чы́зе,boenge
148,Busen::N,чы́зе,bållå
149,Busen::N,чы́зе,čižži
150,Busen::N,чы́зе,njamma
151,Busen::N,чы́зе,njižže
152,Busen::N,чы́зе,nje´ǯǯ
153,Busen::N,чы́зе,раннҍт
154,Brust::N,оҥ,mïelke
155,Brust::N,оҥ,radde
156,Brust::N,оҥ,mielgga
157,Brust::N,оҥ,raddi
158,Brust::N,оҥ,radde
159,Brust::N,оҥ,râ´dd
160,Brust::N,оҥ,раннҍт
161,Schulter::N,ва́че,åelkie
162,Schulter::N,ва́че,oalgge
163,Schulter::N,ва́че,hárdu
164,Schulter::N,ва́че,ärdee
165,Schulter::N,ва́че,uál'gi
166,Schulter::N,ва́че,a´rddi
167,Schulter::N,ва́че,vuä´lǧǧ
168,Schulter::N,ва́че,вуэллык
169,Arm::N,кид,gïete
170,Arm::N,кид,giehta
171,Arm::N,кид,giehta
172,Arm::N,кид,kietâ
173,Arm::N,кид,kie'tâkaaṿâ
174,Arm::N,кид,ǩiõtt
175,Arm::N,кид,кӣдт
176,Ellenbogen::N,кынерву́й,gernjere
177,Ellenbogen::N,кынерву́й,garŋŋel
178,Ellenbogen::N,кынерву́й,gargŋil
179,Ellenbogen::N,кынерву́й,käŋŋir
180,Ellenbogen::N,кынерву́й,kõõnjâr
181,Ellenbogen::N,кынерву́й,карьнэль
182,Hand::N,кид,gïete
183,Hand::N,кид,giehta
184,Hand::N,кид,giehta
185,Hand::N,кид,kietâ
186,Hand::N,кид,ǩiõtt
187,Hand::N,кид,кӣдт
188,Hand::N,копа́,gïete
189,Hand::N,копа́,giehta
190,Hand::N,копа́,giehta
191,Hand::N,копа́,kietâ
192,Hand::N,копа́,ǩiõtt
193,Hand::N,копа́,кӣдт
194,Handfläche::N,со́во,gïeten-låapoe
195,Handfläche::N,со́во,giehtavuodo
196,Handfläche::N,со́во,tjårmmåvuodo
197,Handfläche::N,со́во,giehtaloahpu
198,Handfläche::N,со́во,kiämád
199,Handfläche::N,со́во,kuámmir
200,Handfläche::N,со́во,kuä´m'mer
201,Handfläche::N,со́во,ǩiõttǩeä´m'men
202,Handfläche::N,со́во,ко̄а̄ллдэгк
203,Handfläche::N,со́во,кӣдткоалдэгк
204,Finger::N,парня́,soerme
205,Finger::N,парня́,tjuvdde
206,Finger::N,парня́,suorbma
207,Finger::N,парня́,čuvde
208,Finger::N,парня́,suor'mâ
209,Finger::N,парня́,suõrmm
210,Finger::N,парня́,це̄ххп
211,Fingernagel::N,кидкӱ́ч,gadtse
212,Fingernagel::N,кидкӱ́ч,guehpere
213,Fingernagel::N,кидкӱ́ч,gadtsa
214,Fingernagel::N,кидкӱ́ч,gazza
215,Fingernagel::N,кидкӱ́ч,kozzâ
216,Fingernagel::N,кидкӱ́ч,kõʒʒ
217,Fingernagel::N,кидкӱ́ч,кэ̄ннц
218,Fingernagel::N,парнягӱ́ч,gadtse
219,Fingernagel::N,парнягӱ́ч,guehpere
220,Fingernagel::N,парнягӱ́ч,gadtsa
221,Fingernagel::N,парнягӱ́ч,gazza
222,Fingernagel::N,парнягӱ́ч,kozzâ
223,Fingernagel::N,парнягӱ́ч,kõʒʒ
224,Fingernagel::N,парнягӱ́ч,кэ̄ннц
225,Nagel[Anatomie]::N,кӱч,gadtse
226,Nagel[Anatomie]::N,кӱч,guehpere
227,Nagel[Anatomie]::N,кӱч,gadtsa
228,Nagel[Anatomie]::N,кӱч,gazza
229,Nagel[Anatomie]::N,кӱч,kozzâ
230,Nagel[Anatomie]::N,кӱч,kõʒʒ
231,Nagel[Anatomie]::N,кӱч,кэ̄ннц
232,Zeh::N,йолварня́,tjiehtjere
233,Zeh::N,йолварня́,juolggetjuvdde
234,Zeh::N,йолварня́,juolgesuorbma
235,Zeh::N,йолварня́,jyel'gisuor'mâ
236,Zeh::N,йолварня́,jue´lǧǧsuõrmm
237,Zeh::N,йолварня́,ю̄лльк-це̄һп
238,Fuß::N,йол,juelkie
239,Fuß::N,йол,juolgge
240,Fuß::N,йол,juolgi
241,Fuß::N,йол,jyel'gi
242,Fuß::N,йол,jue´lǧǧ
243,Fuß::N,йол,ла̄бпь
244,Fuß::N,йолкопа́,juelkie
245,Fuß::N,йолкопа́,juolgge
246,Fuß::N,йолкопа́,juolgi
247,Fuß::N,йолкопа́,jyel'gi
248,Fuß::N,йолкопа́,jue´lǧǧ
249,Fuß::N,йолкопа́,ла̄бпь
250,Ferse::N,тага́н,båetskie
251,Ferse::N,тага́н,boasske
252,Ferse::N,тага́н,šušmi
253,Ferse::N,тага́н,šušme
254,Ferse::N,тага́н,jue´lǧǧkädd
255,Ferse::N,тага́н,ка̄ннт
256,Knie::N,пулву́й,boelve
257,Knie::N,пулву́й,buolvva
258,Knie::N,пулву́й,čibbi
259,Knie::N,пулву́й,veaŋki
260,Knie::N,пулву́й,iidâ
261,Knie::N,пулву́й,puõlvv
262,Knie::N,пулву́й,пуллв
263,Oberschenkel::N,э́рде,ruaksja
264,Oberschenkel::N,э́рде,tjibbe
265,Oberschenkel::N,э́рде,gassaváhkká
266,Oberschenkel::N,э́рде,badjeváhkáa
267,Oberschenkel::N,э́рде,čuár'bpeeḷi
268,Oberschenkel::N,э́рде,če´bb
269,Oberschenkel::N,э́рде,чуаррбе̄лль
270,Bein::N,йол,juelkie
271,Bein::N,йол,juolgge
272,Bein::N,йол,juolgi
273,Bein::N,йол,jyel'gi
274,Bein::N,йол,jue´lǧǧ
275,Bein::N,йол,ю̄лльк
276,Körper::N,кап,kråahpe
277,Körper::N,кап,rumáj
278,Körper::N,кап,rumaš
279,Körper::N,кап,ruumâš
280,Körper::N,кап,rå´pp
281,Körper::N,кап,лышшьк
282,Körper::N,кап,роаӈӈьк
283,Haut::N,кова́ште,njaltja
284,Haut::N,кова́ште,lijkke
285,Haut::N,кова́ште,tjuobma
286,Haut::N,кова́ште,liiki
287,Haut::N,кова́ште,liške
288,Haut::N,кова́ште,le´šǩǩ
289,Haut::N,кова́ште,лышшьк
290,Blut::N,вӱр,vïrre
291,Blut::N,вӱр,maelie
292,Blut::N,вӱр,varra
293,Blut::N,вӱр,varra
294,Blut::N,вӱр,vorrâ
295,Blut::N,вӱр,võrr
296,Blut::N,вӱр,вэ̄рр
297,Ader::N,шӧн,åerie
298,Ader::N,шӧн,aajroe
299,Ader::N,шӧн,suodna
300,Ader::N,шӧн,varrasuotna
301,Ader::N,шӧн,suoṇâ
302,Ader::N,шӧн,suõnn
303,Ader::N,шӧн,сӯнн
304,Sehne::N,шӧн,soene
305,Sehne::N,шӧн,gåårtenje
306,Sehne::N,шӧн,suodna
307,Sehne::N,шӧн,suotna
308,Sehne::N,шӧн,suoṇâ
309,Sehne::N,шӧн,suõnn
310,Sehne::N,шӧн,сӯнн
311,Sehne::N,кӱсе́н,soene
312,Sehne::N,кӱсе́н,gåårtenje
313,Sehne::N,кӱсе́н,suodna
314,Sehne::N,кӱсе́н,suotna
315,Sehne::N,кӱсе́н,suoṇâ
316,Sehne::N,кӱсе́н,suõnn
317,Sehne::N,кӱсе́н,сӯнн
318,Knochen::N,лу,måara
319,Knochen::N,лу,måaroe
320,Knochen::N,лу,dákte
321,Knochen::N,лу,dákti
322,Knochen::N,лу,tähti
323,Knochen::N,лу,tä´htt
324,Knochen::N,лу,та̄ххт
325,Knochen::N,лу,та̄ффьт
326,Gehirn::N,вем,aajla
327,Gehirn::N,вем,vuojŋam
328,Gehirn::N,вем,vuoigŋašat
329,Gehirn::N,вем,vuoi'ŋâšeh
330,Gehirn::N,вем,vuo'ivâšneh
331,Gehirn::N,вем,vuõivâšn
332,Gehirn::N,вем,вуэййвэшна
333,Gehirn::N,вуйве́м,aajla
334,Gehirn::N,вуйве́м,vuojŋam
335,Gehirn::N,вуйве́м,vuoigŋašat
336,Gehirn::N,вуйве́м,vuoi'ŋâšeh
337,Gehirn::N,вуйве́м,vuo'ivâšneh
338,Gehirn::N,вуйве́м,vuõivâšn
