,Concept_ID,ml,lbe
0,Auge::N,കണ്ണ്,я
1,Ohr::N,ചെവി,вичӏи
2,Nase::N,മൂക്ക്,май
3,Mund::N,വായ,кьацӏ
4,Zahn::N,പല്ല്,ккарччи
5,Zunge::N,നാക്ക്,маз
6,Lippe::N,ചുണ്ട്,мурччи
7,Wange::N,കവിൾത്തടം,чӏав
8,Gesicht::N,മുഖം,лажин
9,Stirn::N,നെറ്റി,ненттабакӏ
10,Haar::N,തലമുടി,чӏара
11,Schnurrbart::N,മീശ,ссирссилтту
12,Bart::N,താടിരോമം,чӏири
13,Kinn::N,താടി,лунттубакӏ
14,Kiefer[Anatomie]::N,താടിയെല്ല്,ххинчулул
15,Kehle::N,കണ്ഠനാളം,кьакьари
16,Hals::N,കഴുത്ത്,ссурссу
17,Genick::N,പിടലി,махъабакӏ
18,Kopf::N,തല,бакӏ
19,Rücken::N,മുതുക്,ттиликӏ
20,Bauch::N,നയറ്,лякьа
21,Nabel::N,നാഭി,цӏумуккутӏ
22,Busen::N,സ്തനം,ккукку
23,Brust::N,സ്തനം,хъазам
24,Schulter::N,തോൾ,хъачӏ
25,Arm::N,കൈ,ка
26,Ellenbogen::N,കൈമുട്ട്,ссюрхъ
27,Hand::N,കൈ,бартка
28,Handfläche::N,ഉള്ളം കൈ,хъат
29,Handfläche::N,ഉള്ളം കൈ,битӏянхъ
30,Finger::N,വിരൽ,кӏисса
31,Fingernagel::N,നഖം,михь
32,Nagel[Anatomie]::N,നഖം,михь
33,Zeh::N,കാൽവിരൽ,кӏисса
34,Fuß::N,കാൽപ്പാദം,чӏанччан
35,Ferse::N,ഉപ്പൂറ്റി,никъа
36,Knie::N,കാൽമുട്ട്,ник
37,Oberschenkel::N,തുട,жира
38,Bein::N,കാൽ,ччан
39,Körper::N,ശരീരം,чурх
40,Haut::N,ചർമ്മം,бурчу
41,Blut::N,രക്തം,оь
42,Ader::N,ഞരമ്പ്,тунну
43,Sehne::N,സ്നായു,хьхьа
