,Concept_ID,mn,av
0,Auge::N,нүд,
1,Ohr::N,чих,гӏин
2,Nase::N,хамар,мегӏер
3,Mund::N,ам,кӏал
4,Zahn::N,шүд,гӏус
5,Zunge::N,хэл,мацӏ
6,Lippe::N,уруул,кӏветӏ
7,Wange::N,хацар,гӏоно
8,Gesicht::N,царай,гьумер
9,Gesicht::N,нүүр,гьумер
10,Stirn::N,дух,нодо
11,Haar::N,үс,рас
12,Schnurrbart::N,дээд сахал,михъ
13,Schnurrbart::N,живэр сахал,михъ
14,Bart::N,сахал,мегеж
15,Kinn::N,эрүү,нилъу
16,Kiefer[Anatomie]::N,эрүү,чанагъ
17,Kehle::N,хоолой,щекъер
18,Hals::N,хүзүү,габур
19,Genick::N,шил,гъванща
20,Genick::N,хүзүү,гъванща
21,Kopf::N,толгой,бетӏер
22,Rücken::N,ар,мугъ
23,Rücken::N,нуруу,мугъ
24,Bauch::N,хэвлий,чехь
25,Bauch::N,гэдэс,чехь
26,Nabel::N,хүйс,цӏину
27,Busen::N,хөх,керен
28,Brust::N,цээж,керен
29,Schulter::N,мөр,гъажазубетӏер
30,Schulter::N,бугалга,гъажазубетӏер
31,Arm::N,гар,гъеж
32,Ellenbogen::N,тохой,гӏункӏрукь
33,Hand::N,гар,квер
34,Hand::N,алга,квер
35,Handfläche::N,алга,огъохъат
36,Handfläche::N,алга,жанисахъат
37,Finger::N,хуруу,килищ
38,Fingernagel::N,хурууны хумс,малъ
39,Nagel[Anatomie]::N,хумс,малъ
40,Zeh::N,хуруу,килищ
41,Fuß::N,хөл,хӏетӏ
42,Fuß::N,хөл,хӏетӏе
43,Ferse::N,өсгий,эгъе
44,Knie::N,өвдөг,наку
45,Oberschenkel::N,гуя,мачӏ
46,Bein::N,хөл,бох
47,Körper::N,бие,къаркъала
48,Haut::N,арьс,тӏом
49,Blut::N,цус,би
50,Ader::N,судас,бидурихь
51,Sehne::N,бүлх,
52,Sehne::N,шандас,
53,Knochen::N,яс,ракьа
54,Gehirn::N,тархи,гӏадалнах
55,Herz::N,зүрх,ракӏ
56,Magen::N,ходоод,кванирукъ
57,Leber::N,элэг,тӏул
58,Atem::N,амьсгаа,хӏухь
59,Hunger::N,өлсгөлөн,ракъи
60,Träne::N,нулимс,магӏу
61,Geschmack::N,амт,тату
62,Geruch::N,үнэр,махӏ
63,Schlaf::N,нойр,макьу
64,Traum::N,зүүд,макьу
65,Himmel::N,тэнгэр,зоб
66,Himmel::N,огторгуй,зоб
67,Sonne::N,нар,бакъ
68,Mond::N,сар,моцӏ
69,Stern::N,од,цӏва
70,Luft::N,агаар,гьава
71,Wind::N,салхи,гьури
72,Welle::N,долгио,карачел
73,Welle::N,давалгаа,карачел
74,Wasser::N,ус,лъим
75,Stein::N,чулуу,гьецӏо
76,Boden::N,хөрс,ракь
77,Erde::N,газар,ракь
78,Erde::N,газар,дуниял
79,Erde::N,шороо,ракь
80,Erde::N,шороо,дуниял
81,Staub::N,тоос,хӏур
82,Rauch::N,утаа,кӏкӏуй
83,Funke::N,оч,
84,Feuer::N,гал,цӏа
85,Licht::N,гэрэл,канлъи
86,Licht::N,гэгээ,канлъи
87,Schatten::N,сүүдэр,рагӏад
88,Wetter::N,тэнгэр,гьава-бакъ
89,Wetter::N,цаг уур,гьава-бакъ
90,Nebel::N,будан,гӏодобнакӏкӏ
91,Wolke::N,үүл,накӏкӏ
92,Regen::N,бороо,цӏад
93,Schnee::N,цас,гӏазу
94,Eis::N,мөс,цӏер
95,Frost::N,хүйт,замгьари
96,Kälte::N,хүйт,квач
97,Hitze::N,халуун,багӏари
98,Raureif::N,цан,мартӏ
99,Raureif::N,хяруу,мартӏ
100,Regenbogen::N,солонго,нур
101,Regenbogen::N,солонго,чамбара
102,Donner::N,тэнгэрийн дуу,гъугъай
103,Donner::N,тэнгэрийн дуу,гъугъади
104,Strömung::N,урсгал,чвахи
105,Tropfen::N,дусал,резел
106,Tropfen::N,дусал,тӏинкӏ
107,Tropfen::N,дусал,къатӏра
108,Tropfen::N,дусал,тӏенкӏел
109,Schaum::N,хөөс,полоп
