,Concept_ID,mn,da
0,Auge::N,нүд,øje
1,Ohr::N,чих,øre
2,Nase::N,хамар,næse
3,Mund::N,ам,mund
4,Zahn::N,шүд,tand
5,Zunge::N,хэл,tunge
6,Lippe::N,уруул,læbe
7,Wange::N,хацар,kind
8,Gesicht::N,царай,ansigt
9,Gesicht::N,нүүр,ansigt
10,Stirn::N,дух,pande
11,Haar::N,үс,hår
12,Schnurrbart::N,дээд сахал,overskæg
13,Schnurrbart::N,живэр сахал,overskæg
14,Bart::N,сахал,skæg
15,Kinn::N,эрүү,hage
16,Kiefer[Anatomie]::N,эрүү,kæbe
17,Kehle::N,хоолой,strube
18,Hals::N,хүзүү,hals
19,Genick::N,шил,nakke
20,Genick::N,хүзүү,nakke
21,Kopf::N,толгой,hoved
22,Rücken::N,ар,ryg
23,Rücken::N,нуруу,ryg
24,Bauch::N,хэвлий,mave
25,Bauch::N,гэдэс,mave
26,Nabel::N,хүйс,navle
27,Busen::N,хөх,barm
28,Brust::N,цээж,bryst
29,Schulter::N,мөр,skulder
30,Schulter::N,бугалга,skulder
31,Arm::N,гар,arm
32,Ellenbogen::N,тохой,albue
33,Hand::N,гар,hånd
34,Hand::N,алга,hånd
35,Handfläche::N,алга,håndflade
36,Finger::N,хуруу,finger
37,Fingernagel::N,хурууны хумс,fingernegl
38,Nagel[Anatomie]::N,хумс,negl
39,Zeh::N,хуруу,tå
40,Fuß::N,хөл,fod
41,Ferse::N,өсгий,hæl
42,Knie::N,өвдөг,knæ
43,Oberschenkel::N,гуя,lår
44,Bein::N,хөл,ben
45,Körper::N,бие,krop
46,Körper::N,бие,legeme
47,Haut::N,арьс,hud
48,Blut::N,цус,blod
49,Ader::N,судас,åre
50,Sehne::N,бүлх,sene
51,Sehne::N,шандас,sene
52,Knochen::N,яс,ben
53,Gehirn::N,тархи,hjerne
54,Herz::N,зүрх,hjerte
55,Magen::N,ходоод,mave
56,Leber::N,элэг,lever
57,Atem::N,амьсгаа,ånde
58,Hunger::N,өлсгөлөн,sult
59,Träne::N,нулимс,tåre
60,Geschmack::N,амт,smag
61,Geruch::N,үнэр,lugt
62,Schlaf::N,нойр,søvn
63,Traum::N,зүүд,drøm
64,Himmel::N,тэнгэр,himmel
65,Himmel::N,огторгуй,himmel
66,Sonne::N,нар,sol
67,Mond::N,сар,måne
68,Stern::N,од,stjerne
69,Luft::N,агаар,luft
70,Wind::N,салхи,vind
71,Welle::N,долгио,bølge
72,Welle::N,давалгаа,bølge
73,Wasser::N,ус,vand
74,Stein::N,чулуу,sten
75,Boden::N,хөрс,jord
76,Erde::N,газар,jord
77,Erde::N,шороо,jord
78,Staub::N,тоос,støv
79,Rauch::N,утаа,røg
80,Funke::N,оч,gnist
81,Feuer::N,гал,ild
82,Licht::N,гэрэл,lys
83,Licht::N,гэгээ,lys
84,Schatten::N,сүүдэр,skygge
85,Wetter::N,тэнгэр,vejr
86,Wetter::N,цаг уур,vejr
87,Nebel::N,будан,tåge
88,Wolke::N,үүл,sky
89,Regen::N,бороо,regn
90,Schnee::N,цас,sne
91,Eis::N,мөс,is
92,Frost::N,хүйт,frost
93,Kälte::N,хүйт,kulde
94,Hitze::N,халуун,hede
95,Raureif::N,цан,rimfrost
96,Raureif::N,хяруу,rimfrost
97,Regenbogen::N,солонго,regnbue
98,Donner::N,тэнгэрийн дуу,torden
99,Strömung::N,урсгал,strømning
100,Tropfen::N,дусал,dråbe
101,Schaum::N,хөөс,skum
102,Schmutz::N,хир,snavs
103,Schmutz::N,шавхай,snavs
104,See::N,нуур,sø
105,Sumpf::N,намаг,sump
106,Sumpf::N,балчиг,sump
107,Moor::N,хүлрийн намаг,mose
108,Wiese::N,нуга,eng
109,Wald::N,ой,skov
110,Hügel::N,болдог,høj
111,Hügel::N,болдог,bakke
112,Anhöhe::N,гүвээ,høj
113,Anhöhe::N,гүвээ,bakke
114,Berg::N,уул,bjerg
115,Gipfel::N,орой,top
116,Gipfel::N,оргил,top
117,Höhle::N,агуй,hule
118,Abhang::N,хүр,skrænt
119,Abhang::N,хүр,skråning
120,Quelle::N,булаг,kilde
121,Bach::N,горхи,bæk
122,Fluss::N,гол,flod
123,Fluss::N,мөрөн,flod
124,Ufer::N,эрэг,bred
125,Küste::N,эрэг,kyst
126,Festland::N,хуурай газар,fastland
127,Meer::N,далай,hav
128,Meer::N,тэнгис,hav
129,Bucht::N,булан,bugt
130,Bucht::N,далайн тохой,bugt
131,Insel::N,арал,ø
132,Blume::N,цэцэг,blomst
133,Gras::N,өвс,græs
134,Gras::N,ногоо,græs
135,Wurzel::N,үндэс,rod
136,Baum::N,мод,træ
137,Stamm::N,иш,stamme
138,Stamm::N,гуалин,stamme
139,Rinde::N,холтос,bark
140,Ast::N,гишүү,gren
141,Zweig::N,салаа,kvist
142,Blatt::N,навч,blad
143,Birke::N,хус,birk
144,Kiefer[Baum]::N,нарс,fyrretræ
145,Weide[Baum]::N,уд,piletræ
146,Weide[Baum]::N,бургас,piletræ
147,Tanne::N,гачуур,gran
148,Horn::N,эвэр,horn
149,Feder::N,өд,fjer
150,Fell::N,арьс,skind
151,Flügel::N,жигүүр,vinge
152,Flügel::N,далавч,vinge
153,Klaue::N,савар,klov
154,Klaue::N,хумс,klov
155,Kralle::N,савар,klo
156,Schwanz::N,сүүл,hale
157,Ei::N,өндөг,æg
158,Nest::N,үүр,rede
159,Bau::N,нүх,bo
160,Bau::N,элүү,bo
161,Tier::N,амьтан,dyr
162,Tier::N,адгуус,dyr
163,Herde::N,сүрэг,flok
164,Kuh::N,үнээ,ko
165,Bulle::N,бух,tyr
166,Pferd::N,морь,hest
167,Pferd::N,адуу,hest
168,Schaf::N,хонь,får
169,Schwein::N,гахай,gris
170,Hund::N,нохой,hund
171,Katze::N,муур,kat
172,Katze::N,мигуй,kat
173,Bär::N,баавгай,bjørn
174,Eichhörnchen::N,хэрэм,egern
175,Elch::N,хандгай,elg
176,Fuchs::N,үнэг,ræv
177,Hase::N,туулай,hare
178,Maus::N,хулгана,mus
179,Wolf::N,чоно,ulv
180,Vogel::N,шувуу,fugl
181,Schwarm::N,сүрэг,sværm
182,Huhn::N,тахиа,høne
183,Hahn::N,эр тахиа,hane
184,Gans::N,галуу,gås
185,Adler::N,бүргэд,ørn
186,Ente::N,нугас,and
187,Eule::N,ууль,ugle
188,Kranich::N,тогоруу,trane
189,Krähe::N,хэрээ,krage
190,Kuckuck::N,хөхөө,gøg
191,Schwan::N,хун,svane
192,Fisch::N,загас,fisk
193,Barsch::N,алгана,aborre
194,Hecht::N,цурхай,gedde
195,Schlange[Tier]::N,могой,slange
196,Wurm::N,өт,orm
197,Wurm::N,хорхой,orm
198,Spinne::N,аалз,edderkop
199,Ameise::N,шоргоолж,myre
200,Laus::N,бөөс,lus
201,Mücke::N,шумуул,myg
202,Fliege::N,ялаа,flue
203,Schmetterling::N,эрвээхэй,sommerfugl
204,Beere::N,жимсгэнэ,bær
205,Apfel::N,алим,æble
206,Pilz::N,мөөг,svamp
207,Zwiebel::N,сонгино,løg
208,Saat::N,тариа,sæd
209,Korn::N,үр,korn
210,Korn::N,мөхлөг,korn
211,Heu::N,өвс,hø
212,Schale::N,хальс,skræl
213,Grube::N,алам,grav
214,Grube::N,нүх,grav
215,Falle::N,хавх,fælde
216,Falle::N,занга,fælde
217,Schlinge::N,урхи,snare
218,Spur::N,мөр,spor
219,Asche::N,үнс,aske
220,Dreck::N,хир,snavs
221,Eisen::N,төмөр,jern
222,Gold::N,алт,guld
223,Silber::N,мөнгө,sølv
224,Kohle::N,нүүрс,kul
225,Glas::N,шил,glas
226,Lehm::N,шавар,ler
227,Sand::N,элс,sand
228,Mensch::N,хүн,mennesge
229,Mann::N,эр,mand
230,Mann::N,эрэгтэй,mand
231,Frau::N,эмэгтэй,kvinde
232,Frau::N,хатагтай,kvinde
233,Kind::N,хүүхэд,barn
234,Junge::N,хүү,dreng
235,Mädchen::N,охин,pige
236,Mädchen::N,бүсгүй,pige
237,Familie::N,айл,familie
238,Großvater::N,өвгөн аав,bedstefar
239,Großmutter::N,эмэг эх,bedstemor
240,Großmutter::N,эмгээ,bedstemor
241,Eltern::N,эцэг эх,forældre
242,Vater::N,аав,far
243,Vater::N,эцэг,far
244,Mutter::N,эх,mor
245,Mutter::N,ээж,mor
246,Sohn::N,хүү,søn
247,Tochter::N,охин,datter
248,Bruder::N,ах,bror
249,Bruder::N,дүү,bror
250,Schwester::N,эгч,søster
251,Schwester::N,охин дүү,søster
252,Onkel::N,авга ах,onkel
253,Onkel::N,нагац ах,onkel
254,Tante::N,авга эгч,tante
255,Tante::N,нагац эгч,tante
256,Ehemann::N,нөхөр,ægtemand
257,Ehefrau::N,эхнэр,hustru
258,Ehefrau::N,гэргий,hustru
259,Freude::N,баяр,glæde
260,Freude::N,баясгалан,glæde
261,Gelächter::N,инээдэм,latter
262,Glück::N,жаргалан,lykke
263,Kummer::N,гаслан,sorg
264,Wunsch::N,ерөөл,ønske
265,Lust::N,дур,lyst
266,Lust::N,хүсэл,lyst
267,Geist::N,оюун,ånd
268,Gedanke::N,сэтгэл,tanke
269,Gedächtnis::N,ой,hukommelse
270,Gedächtnis::N,цээж,hukommelse
271,Verstand::N,ухаан,forstand
272,Sinn::N,утга,mening
