,Concept_ID,mn,mdf
0,Auge::N,нүд,сельме
1,Ohr::N,чих,пиле
2,Nase::N,хамар,шалхка
3,Mund::N,ам,курга
4,Zahn::N,шүд,пей
5,Zunge::N,хэл,кяль
6,Lippe::N,уруул,търва́
7,Wange::N,хацар,щёка
8,Gesicht::N,царай,шама
9,Gesicht::N,нүүр,шама
10,Stirn::N,дух,коня
11,Haar::N,үс,шя́ярь
12,Schnurrbart::N,дээд сахал,уса́
13,Schnurrbart::N,живэр сахал,уса́
14,Bart::N,сахал,сакал
15,Kinn::N,эрүү,ула
16,Kiefer[Anatomie]::N,эрүү,саласка
17,Kehle::N,хоолой,кълдома
18,Kehle::N,хоолой,кърга́парь
19,Hals::N,хүзүү,сялдаз
20,Genick::N,шил,шовонь
21,Genick::N,хүзүү,шовонь
22,Kopf::N,толгой,пря
23,Rücken::N,ар,копорь
24,Rücken::N,нуруу,копорь
25,Bauch::N,хэвлий,пеке
26,Bauch::N,гэдэс,пеке
27,Nabel::N,хүйс,по́кон
28,Busen::N,хөх,потя
29,Brust::N,цээж,мяште
30,Schulter::N,мөр,лафту
31,Schulter::N,бугалга,лафту
32,Arm::N,гар,кядь
33,Ellenbogen::N,тохой,кенерьба́карь
34,Hand::N,гар,кядь
35,Hand::N,алга,кядь
36,Handfläche::N,алга,кядьлапш
37,Finger::N,хуруу,сур
38,Fingernagel::N,хурууны хумс,кенже
39,Nagel[Anatomie]::N,хумс,кенже
40,Zeh::N,хуруу,пильгосу́р
41,Fuß::N,хөл,пильге
42,Fuß::N,хөл,пильгелапа
43,Ferse::N,өсгий,кочкяря
44,Knie::N,өвдөг,эль
45,Knie::N,өвдөг,пълма́нжа
46,Oberschenkel::N,гуя,пильгепукша
47,Bein::N,хөл,пильге
48,Körper::N,бие,ро́нга
49,Körper::N,бие,по́нда
50,Haut::N,арьс,киське
51,Blut::N,цус,вер
52,Ader::N,судас,сан
53,Ader::N,судас,верза́н
54,Sehne::N,бүлх,коське сан
55,Sehne::N,шандас,коське сан
56,Knochen::N,яс,пакарь
57,Gehirn::N,тархи,уй
58,Herz::N,зүрх,седи
59,Magen::N,ходоод,коткърдазь
60,Leber::N,элэг,макса
61,Atem::N,амьсгаа,лекома
62,Atem::N,амьсгаа,ваймонь тарксема
63,Hunger::N,өлсгөлөн,вачеши
64,Träne::N,нулимс,сельмове́дь
65,Geschmack::N,амт,таньф
66,Geruch::N,үнэр,шине
67,Schlaf::N,нойр,удома́
68,Traum::N,зүүд,он
69,Himmel::N,тэнгэр,менель
70,Himmel::N,огторгуй,менель
71,Sonne::N,нар,ши
72,Mond::N,сар,ков
73,Stern::N,од,тяште
74,Luft::N,агаар,кожф
75,Wind::N,салхи,варма
76,Welle::N,долгио,тавла
77,Welle::N,давалгаа,тавла
78,Wasser::N,ус,ведь
79,Stein::N,чулуу,кев
80,Boden::N,хөрс,мода
81,Boden::N,хөрс,потмакс
82,Erde::N,газар,мода
83,Erde::N,газар,мастор
84,Erde::N,шороо,мода
85,Erde::N,шороо,мастор
86,Staub::N,тоос,пуль
87,Rauch::N,утаа,качам
88,Funke::N,оч,ця́тка
89,Feuer::N,гал,тол
90,Licht::N,гэрэл,ва́лда
91,Licht::N,гэгээ,ва́лда
92,Schatten::N,сүүдэр,цильф
