,Concept_ID,mn,ml
0,Auge::N,нүд,കണ്ണ്
1,Ohr::N,чих,ചെവി
2,Nase::N,хамар,മൂക്ക്
3,Mund::N,ам,വായ
4,Zahn::N,шүд,പല്ല്
5,Zunge::N,хэл,നാക്ക്
6,Lippe::N,уруул,ചുണ്ട്
7,Wange::N,хацар,കവിൾത്തടം
8,Gesicht::N,царай,മുഖം
9,Gesicht::N,нүүр,മുഖം
10,Stirn::N,дух,നെറ്റി
11,Haar::N,үс,തലമുടി
12,Schnurrbart::N,дээд сахал,മീശ
13,Schnurrbart::N,живэр сахал,മീശ
14,Bart::N,сахал,താടിരോമം
15,Kinn::N,эрүү,താടി
16,Kiefer[Anatomie]::N,эрүү,താടിയെല്ല്
17,Kehle::N,хоолой,കണ്ഠനാളം
18,Hals::N,хүзүү,കഴുത്ത്
19,Genick::N,шил,പിടലി
20,Genick::N,хүзүү,പിടലി
21,Kopf::N,толгой,തല
22,Rücken::N,ар,മുതുക്
23,Rücken::N,нуруу,മുതുക്
24,Bauch::N,хэвлий,നയറ്
25,Bauch::N,гэдэс,നയറ്
26,Nabel::N,хүйс,നാഭി
27,Busen::N,хөх,സ്തനം
28,Brust::N,цээж,സ്തനം
29,Schulter::N,мөр,തോൾ
30,Schulter::N,бугалга,തോൾ
31,Arm::N,гар,കൈ
32,Ellenbogen::N,тохой,കൈമുട്ട്
33,Hand::N,гар,കൈ
34,Hand::N,алга,കൈ
35,Handfläche::N,алга,ഉള്ളം കൈ
36,Finger::N,хуруу,വിരൽ
37,Fingernagel::N,хурууны хумс,നഖം
38,Nagel[Anatomie]::N,хумс,നഖം
39,Zeh::N,хуруу,കാൽവിരൽ
40,Fuß::N,хөл,കാൽപ്പാദം
41,Ferse::N,өсгий,ഉപ്പൂറ്റി
42,Knie::N,өвдөг,കാൽമുട്ട്
43,Oberschenkel::N,гуя,തുട
44,Bein::N,хөл,കാൽ
45,Körper::N,бие,ശരീരം
46,Haut::N,арьс,ചർമ്മം
47,Blut::N,цус,രക്തം
48,Ader::N,судас,ഞരമ്പ്
49,Sehne::N,бүлх,സ്നായു
50,Sehne::N,шандас,സ്നായു
51,Knochen::N,яс,അസ്ഥി
