,Concept_ID,myv,ab
0,Auge::N,сельме,ала
1,Ohr::N,пиле,алымҳа
2,Nase::N,судо,аҧынҵа
3,Mund::N,курго,аҧышə
4,Zahn::N,пей,ахаҧыц
5,Zunge::N,кель,абз
6,Lippe::N,турва,ақьышə
7,Wange::N,чамабока,аӡамҩа
8,Wange::N,чамаумарь,аӡамҩа
9,Gesicht::N,чама,аҿы
10,Stirn::N,коня,алахь
11,Haar::N,черь,ахəыц
12,Schnurrbart::N,ус,аҧаҵа
13,Schnurrbart::N,муюк,аҧаҵа
14,Bart::N,сакал,ажакьа
15,Kinn::N,уло,ацламкəыгə
16,Kiefer[Anatomie]::N,пейпакар,ацламҳəа
17,Kiefer[Anatomie]::N,пейловажа,ацламҳəа
18,Kehle::N,кирьгапарь,ахəда
19,Hals::N,кирьга,ахəда
20,Genick::N,човонь,ахəдаџьал
21,Kopf::N,пря,ахы
22,Rücken::N,копорь,азқəа
23,Bauch::N,пеке,амгəа
24,Nabel::N,почо,аҷапан
25,Busen::N,поте,агəыҧҳəы
26,Brust::N,меште,агəышҧы
27,Schulter::N,лавтов,ажəҩахыр
28,Arm::N,кедь,амахəар
29,Ellenbogen::N,кенерепакарь,амашьхəылҵ
30,Hand::N,кедь,анапы
31,Handfläche::N,кедькуншка,анапсаргəыҵа
32,Handfläche::N,кедьлапушка,анапсаргəыҵа
33,Finger::N,сур,анацəа
34,Fingernagel::N,кенже,анапхыц
35,Nagel[Anatomie]::N,кенже,ашьапхыц
36,Zeh::N,пильге сур,ашьацəа
37,Fuß::N,пильге,ашьапсыргəыҵа
38,Ferse::N,кочкаря,ашьхəа
39,Knie::N,эле,ашьамхы
40,Knie::N,эзне,ашьамхы
41,Knie::N,кумажа,ашьамхы
42,Oberschenkel::N,качо,ауаҭəа
43,Bein::N,пильге,ашьапы
44,Körper::N,рунго,ацəеижь
45,Haut::N,киське,ацəа
46,Blut::N,верь,ашьа
47,Ader::N,сан,ада
48,Sehne::N,коське сан,адаш
49,Knochen::N,пакарь,абаҩ
50,Gehirn::N,удем,ахшлыбаҩ
51,Gehirn::N,удем,ахшыбаҩ
52,Herz::N,седей,агəы
53,Magen::N,пеке,аца
54,Magen::N,пеке,ацар
55,Leber::N,максо,агəаҵəа
56,Atem::N,лексема,аҧсыҧлагаҩгара
57,Atem::N,оймень таргсема,аҧсыҧлагаҩгара
58,Hunger::N,вачочи,амла
59,Träne::N,селведь,алабжыш
60,Geschmack::N,тансть,агьама
61,Geruch::N,чине,афҩы
62,Schlaf::N,удома,ацəа
63,Traum::N,он,аҧхыӡ
64,Himmel::N,менель,ажəҩан
65,Sonne::N,чи,амра
66,Mond::N,ков,амза
67,Stern::N,теште,аеҵəа
68,Luft::N,кошт,аҳаир
69,Wind::N,варма,аҧша
70,Welle::N,толкун,ацəқəырҧа
71,Wasser::N,ведь,аӡы
72,Stein::N,кев,ахаҳə
73,Boden::N,мода,адгьыл
74,Erde::N,мастор,адгьыл
75,Staub::N,пуль,асаба
76,Rauch::N,качамо,алҩа
77,Funke::N,сятко,акəиц
78,Funke::N,сятко,ацҧхь
79,Feuer::N,тол,амца
80,Licht::N,валдо,алашара
81,Schatten::N,сулей,ашəшьыра
82,Schatten::N,сулейкс,ашəшьыра
83,Wetter::N,ушо,амш
84,Nebel::N,сув,анаҟəа
85,Wolke::N,пель,аҧсҭҳəа
86,Regen::N,пиземс,ақəа
87,Schnee::N,лов,асы
88,Eis::N,эй,аҵаа
89,Frost::N,кельме,аҵаа
90,Kälte::N,якшамо,ахьҭа
91,Hitze::N,пси,ашоура
92,Raureif::N,лекш,аҵааҧшқа
93,Regenbogen::N,пурьгинечирьке,ацəаҟəа
94,Regenbogen::N,пурьгинеёнкс,ацəаҟəа
95,Donner::N,пурьгине,адыд
96,Strömung::N,чудема,аиасра
97,Strömung::N,чудема,амҩасра
98,Strömung::N,чудевкс,аиасра
99,Strömung::N,чудевкс,амҩасра
100,Tropfen::N,петнявкс,ацəыкəбар
101,Schaum::N,чов,ашəах
102,Schmutz::N,рудаз,алымт
103,See::N,эрьке,аӡиа
104,Sumpf::N,чей,аӡмах
105,Moor::N,чей,
106,Wiese::N,луга,адəы
107,Wald::N,вирь,абна
108,Hügel::N,губорь,ахəы
109,Hügel::N,пандыне,ахəы
110,Anhöhe::N,губорь,аҳаракыра
111,Anhöhe::N,пандыне,аҳаракыра
112,Berg::N,пандо,ашьха
113,Gipfel::N,пря,ацəқəа
114,Höhle::N,пещера,аҳаҧы
115,Abhang::N,пандочама,анаара
116,Quelle::N,ушодкс,аҵҵырҭа
117,Bach::N,чудикерькс,акəараҷҷа
118,Fluss::N,лей,аӡиас
119,Ufer::N,чире,ахықə
120,Küste::N,лейчире,ахықə
121,Festland::N,мода,абарра
122,Meer::N,моря,амшын
123,Bucht::N,усия,аӡбжьахала
124,Insel::N,усия,адгьылбжьаха
125,Blume::N,цеця,ашəҭ
