,Concept_ID,,it
0,Auge::N,,occhio
1,Ohr::N,,orecchio
2,Nase::N,,naso
3,Mund::N,,bocca
4,Zahn::N,,dente
5,Zunge::N,,lingua
6,Lippe::N,,labbro
7,Wange::N,,guancia
8,Gesicht::N,,viso
9,Gesicht::N,,faccia
10,Stirn::N,,fronte
11,Haar::N,,capello
12,Schnurrbart::N,,baffi
13,Schnurrbart::N,,mustacchi
14,Bart::N,,barba
15,Kinn::N,,mento
16,Kiefer[Anatomie]::N,,mascella
17,Kehle::N,,gola
18,Hals::N,,collo
19,Genick::N,,nuca
20,Kopf::N,,capo
21,Kopf::N,,testa
22,Rücken::N,,dorso
23,Rücken::N,,schiena
24,Bauch::N,,ventre
25,Nabel::N,,ombelico
26,Busen::N,,seno
27,Brust::N,,petto
28,Schulter::N,,spalla
29,Arm::N,,braccio
30,Ellenbogen::N,,gomito
31,Hand::N,,mano
32,Handfläche::N,,palma
33,Finger::N,,dito
34,Fingernagel::N,,unghia
35,Nagel[Anatomie]::N,,unghia
36,Zeh::N,,dito del piede
37,Fuß::N,,piede
38,Ferse::N,,tallone
39,Ferse::N,,calcagno
40,Knie::N,,ginocchio
41,Oberschenkel::N,,fèmore
42,Bein::N,,gamba
43,Körper::N,,corpo
44,Haut::N,,pelle
45,Blut::N,,sangue
46,Ader::N,,vena
47,Sehne::N,,tèndine
48,Knochen::N,,osso
49,Gehirn::N,,cervello
50,Herz::N,,cuore
51,Magen::N,,stòmaco
52,Leber::N,,fegato
53,Atem::N,,fiato
54,Atem::N,,respiro
55,Hunger::N,,fame
56,Träne::N,,làcrima
57,Geschmack::N,,gusto
58,Geschmack::N,,sapore
59,Geruch::N,,odore
60,Schlaf::N,,sonno
61,Traum::N,,sogno
62,Himmel::N,,cielo
63,Sonne::N,,sole
64,Mond::N,,luna
65,Stern::N,,stella
66,Luft::N,,aria
67,Wind::N,,vento
68,Welle::N,,onda
69,Wasser::N,,acqua
70,Stein::N,,sasso
71,Stein::N,,pietra
72,Boden::N,,suolo
73,Boden::N,,terreno
74,Erde::N,,terra
75,Staub::N,,polvere
76,Rauch::N,,fumo
77,Funke::N,,scintilla
78,Feuer::N,,fuoco
79,Licht::N,,luce
80,Schatten::N,,ombra
81,Wetter::N,,tempo
82,Nebel::N,,nebbia
83,Wolke::N,,nube
84,Wolke::N,,nùvola
85,Regen::N,,pioggia
86,Schnee::N,,neve
87,Eis::N,,ghiaccio
88,Frost::N,,gelo
89,Kälte::N,,freddo
90,Hitze::N,,caldo
91,Hitze::N,,calura
92,Raureif::N,,brina
93,Regenbogen::N,,arcobaleno
94,Donner::N,,tuono
95,Strömung::N,,corrente
96,Tropfen::N,,goccia
97,Schaum::N,,spuma
98,Schaum::N,,schiuma
99,Schmutz::N,,sudiciume
100,See::N,,lago
101,Sumpf::N,,palude
102,Moor::N,,torbiera
103,Wiese::N,,prato
104,Wald::N,,bosco
105,Wald::N,,foresta
106,Hügel::N,,colle
107,Hügel::N,,collina
108,Anhöhe::N,,altura
109,Berg::N,,monte
110,Berg::N,,montagna
111,Gipfel::N,,cima
112,Höhle::N,,grotta
113,Höhle::N,,caverna
114,Abhang::N,,pendìo
115,Quelle::N,,sorgente
116,Bach::N,,ruscello
117,Fluss::N,,fiume
118,Ufer::N,,riva
119,Küste::N,,costa
120,Festland::N,,terraferma
121,Meer::N,,mare
122,Bucht::N,,cala
123,Insel::N,,ìsola
124,Blume::N,,fiore
125,Gras::N,,erba
126,Wurzel::N,,radice
127,Baum::N,,àlbero
128,Stamm::N,,tronco
129,Rinde::N,,corteccia
130,Ast::N,,ramo
131,Zweig::N,,ramo
132,Blatt::N,,foglia
133,Birke::N,,betulla
134,Kiefer[Baum]::N,,pino
135,Weide[Baum]::N,,sàlice
136,Tanne::N,,abete
137,Horn::N,,corno
138,Feder::N,,penna
139,Fell::N,,manto
140,Fell::N,,pelame
141,Flügel::N,,ala
142,Klaue::N,,grinfia
143,Kralle::N,,unghia
144,Kralle::N,,artiglio
145,Schwanz::N,,coda
146,Ei::N,,uovo
147,Nest::N,,nido
148,Bau::N,,covo
149,Tier::N,,bestia
150,Tier::N,,animale
151,Herde::N,,gregge
152,Kuh::N,,vacca
153,Bulle::N,,toro
154,Pferd::N,,cavallo
155,Schaf::N,,pècora
156,Schwein::N,,porco
157,Schwein::N,,maiale
158,Hund::N,,cane
159,Katze::N,,gatta
160,Bär::N,,orso
161,Eichhörnchen::N,,scoiàttolo
162,Elch::N,,alce
163,Fuchs::N,,volpe
164,Hase::N,,lepre
165,Maus::N,,topo
166,Maus::N,,sorcio
167,Wolf::N,,lupo
168,Vogel::N,,uccello
169,Schwarm::N,,stormo
170,Huhn::N,,gallina
171,Hahn::N,,gallo
172,Gans::N,,oca
173,Adler::N,,àquila
174,Ente::N,,ànatra
175,Eule::N,,gufo
176,Eule::N,,civetta
177,Kranich::N,,gru
178,Krähe::N,,cornacchia
179,Kuckuck::N,,cuccù
180,Kuckuck::N,,cùculo
181,Schwan::N,,cigno
182,Fisch::N,,pesce
183,Barsch::N,,pèrsico
184,Hecht::N,,luccio
185,Schlange[Tier]::N,,serpente
186,Wurm::N,,baco
187,Wurm::N,,verme
188,Spinne::N,,ragno
189,Ameise::N,,formica
190,Laus::N,,pidocchio
191,Mücke::N,,zanzara
192,Fliege::N,,mosca
193,Schmetterling::N,,farfalla
194,Beere::N,,bacca
195,Apfel::N,,mela
196,Pilz::N,,fungo
197,Zwiebel::N,,cipolla
198,Saat::N,,semente
199,Korn::N,,grano
200,Heu::N,,fieno
201,Schale::N,,buccia
202,Grube::N,,cava
203,Grube::N,,fossa
204,Falle::N,,tràppola
205,Schlinge::N,,laccio
206,Spur::N,,traccia
207,Asche::N,,cenere
208,Dreck::N,,fango
209,Eisen::N,,ferro
210,Gold::N,,oro
211,Silber::N,,argento
212,Kohle::N,,carbone
213,Glas::N,,vetro
214,Lehm::N,,argilla
215,Sand::N,,arena
216,Sand::N,,sabbia
217,Mensch::N,,uomo
218,Mensch::N,,èssere umano
219,Mann::N,,uomo
220,Frau::N,,donna
221,Kind::N,,bambino
222,Junge::N,,ragazzo
223,Mädchen::N,,ragazza
224,Familie::N,,famiglia
225,Großvater::N,,nonno
226,Großmutter::N,,nonna
227,Eltern::N,,genitori
228,Vater::N,,padre
229,Mutter::N,,madre
230,Sohn::N,,figlio
231,Tochter::N,,figlia
232,Bruder::N,,fratello
233,Schwester::N,,sorella
234,Onkel::N,,zio
235,Tante::N,,zia
236,Ehemann::N,,marito
237,Ehefrau::N,,moglie
238,Freude::N,,gioia
239,Freude::N,,piacere
240,Gelächter::N,,risata
241,Glück::N,,felicità
242,Kummer::N,,afflizione
243,Wunsch::N,,desiderio
244,Lust::N,,voglia
245,Geist::N,,mente
246,Geist::N,,spìrito
247,Gedanke::N,,idea
248,Gedanke::N,,pensiero
249,Gedächtnis::N,,memoria
250,Verstand::N,,intelletto
251,Sinn::N,,senso
252,Sinn::N,,significato
253,Grund::N,,causa
254,Grund::N,,motivo
255,Grund::N,,ragione
256,Wahrheit::N,,verità
257,Gespräch::N,,discorso
258,Gespräch::N,,conversazione
259,Märchen::N,,fiaba
