,Concept_ID,,ko
0,Auge::N,,눈
1,Ohr::N,,귀
2,Nase::N,,코
3,Mund::N,,입
4,Zahn::N,,이
5,Zunge::N,,혀
6,Lippe::N,,입술
7,Wange::N,,뺨
8,Gesicht::N,,얼굴
9,Stirn::N,,이마
10,Haar::N,,털
11,Schnurrbart::N,,윗수몀
12,Schnurrbart::N,,코밑수염
13,Bart::N,,수엄
14,Kinn::N,,아래턱
15,Kiefer[Anatomie]::N,,턱
16,Kehle::N,,인후
17,Hals::N,,목
18,Genick::N,,먹덜이
19,Kopf::N,,머리
20,Rücken::N,,든
21,Bauch::N,,배
22,Nabel::N,,배꼽
23,Busen::N,,가슴속
24,Brust::N,,가슴
25,Schulter::N,,어깨
26,Arm::N,,팔
27,Ellenbogen::N,,팔쿰치
28,Hand::N,,손
29,Handfläche::N,,손바닥
30,Finger::N,,속가락
31,Fingernagel::N,,손톱
32,Nagel[Anatomie]::N,,손톱
33,Zeh::N,,발가락
34,Fuß::N,,발
35,Ferse::N,,발꿈치
36,Knie::N,,무릎
37,Oberschenkel::N,,허벅다리
38,Bein::N,,다리
39,Körper::N,,구간
40,Haut::N,,살갗
41,Blut::N,,피
42,Ader::N,,정맥
43,Sehne::N,,현
44,Knochen::N,,뼈
45,Gehirn::N,,뇌
46,Gehirn::N,,뇌수
47,Herz::N,,염통
48,Magen::N,,위
49,Leber::N,,간
50,Atem::N,,기식
51,Hunger::N,,공복
52,Träne::N,,눈물
53,Geschmack::N,,기호
54,Geruch::N,,냄새
55,Schlaf::N,,수면
56,Traum::N,,쿰
57,Himmel::N,,하늘
58,Sonne::N,,해
59,Mond::N,,달
60,Stern::N,,별
61,Luft::N,,동준
62,Luft::N,,가스채
63,Wind::N,,바람
64,Welle::N,,물결
65,Wasser::N,,물
66,Stein::N,,돌
67,Boden::N,,바닥
68,Erde::N,,흙
69,Staub::N,,먼지
70,Rauch::N,,연기
71,Funke::N,,불티
72,Feuer::N,,불
73,Licht::N,,불
74,Schatten::N,,어스레함
75,Wetter::N,,기상
76,Nebel::N,,안개
77,Wolke::N,,구름
78,Regen::N,,비
79,Schnee::N,,눈
80,Eis::N,,얼음
81,Frost::N,,혹한
82,Kälte::N,,추위
83,Kälte::N,,차가움
84,Hitze::N,,고온
85,Hitze::N,,더위
86,Regenbogen::N,,무지개
87,Donner::N,,뇌명
88,Strömung::N,,유동
89,Tropfen::N,,물방울
90,Schaum::N,,포말
91,Schmutz::N,,때
92,See::N,,호수
93,Sumpf::N,,습지
94,Moor::N,,저습지
95,Wiese::N,,목초지
96,Wald::N,,숲
97,Hügel::N,,언덕
98,Anhöhe::N,,언덕
99,Berg::N,,산
100,Gipfel::N,,졀졍
101,Höhle::N,,공동
102,Abhang::N,,몰매
103,Quelle::N,,근원
104,Bach::N,,내
105,Fluss::N,,강
106,Ufer::N,,강변
107,Ufer::N,,바닷가
108,Küste::N,,해변
109,Küste::N,,해변가
110,Festland::N,,본토
111,Meer::N,,바다
112,Bucht::N,,협만
113,Insel::N,,섬
114,Blume::N,,꽃
115,Gras::N,,풀
116,Wurzel::N,,뿌리
117,Baum::N,,나무
118,Stamm::N,,대
119,Rinde::N,,나무껍질
120,Ast::N,,가지
121,Zweig::N,,가지
122,Blatt::N,,잎
123,Birke::N,,자작나무
124,Kiefer[Baum]::N,,소나무
125,Weide[Baum]::N,,쉬양버들
126,Tanne::N,,전나무
127,Horn::N,,뿔
128,Feder::N,,깃털
129,Fell::N,,피혁모피
130,Flügel::N,,날개
131,Klaue::N,,갈고리 발톺
132,Kralle::N,,발툭
133,Schwanz::N,,꼬리
134,Ei::N,,알
135,Nest::N,,보금자리
136,Bau::N,,굴
137,Tier::N,,짐승
138,Herde::N,,가축의떼
139,Kuh::N,,암소
140,Bulle::N,,황소
141,Pferd::N,,말
142,Schaf::N,,양
143,Schwein::N,,돼지
144,Hund::N,,개
145,Katze::N,,고양이
146,Bär::N,,콤
147,Eichhörnchen::N,,다람쥐
148,Elch::N,,고라니
149,Fuchs::N,,여우
150,Hase::N,,토끼
151,Maus::N,,쥐
152,Wolf::N,,늑대
153,Vogel::N,,새
154,Schwarm::N,,뗴
155,Huhn::N,,암탉
156,Hahn::N,,수탉
157,Gans::N,,거위
158,Adler::N,,수리
159,Ente::N,,오리
160,Eule::N,,부엉이
161,Kranich::N,,두루미
162,Krähe::N,,까마귀
163,Kuckuck::N,,뻐꾸기
164,Schwan::N,,배조
165,Fisch::N,,물고기
166,Barsch::N,,농어
167,Hecht::N,,에속스
168,Schlange[Tier]::N,,뱀
169,Wurm::N,,벌레
170,Spinne::N,,거미
171,Ameise::N,,개미
172,Laus::N,,이
173,Mücke::N,,모기
174,Fliege::N,,날기
175,Schmetterling::N,,나비
176,Beere::N,,장과
177,Apfel::N,,사과
178,Pilz::N,,고방이
179,Zwiebel::N,,양파
180,Saat::N,,씨
181,Korn::N,,알맹이
182,Heu::N,,건초
183,Schale::N,,피상
184,Falle::N,,함정
185,Schlinge::N,,올가미
186,Schlinge::N,,멜빵붕대
187,Spur::N,,발지국
188,Asche::N,,재
189,Dreck::N,,똥
190,Dreck::N,,오물
191,Eisen::N,,쇠
192,Eisen::N,,철
193,Gold::N,,항금
194,Silber::N,,은
195,Kohle::N,,슻
196,Glas::N,,유리
197,Lehm::N,,찰흙
198,Sand::N,,모래
199,Mensch::N,,사람
200,Mann::N,,남자
201,Frau::N,,여자
202,Kind::N,,아이
203,Junge::N,,소녁
204,Mädchen::N,,소녀
205,Familie::N,,가족
206,Großvater::N,,할아버지
207,Großmutter::N,,할머니
208,Eltern::N,,어버오
209,Vater::N,,아버지
210,Mutter::N,,어머니
211,Sohn::N,,아들
212,Tochter::N,,딸기
213,Bruder::N,,형제
214,Schwester::N,,누이
215,Onkel::N,,백부
216,Tante::N,,아주머니
217,Ehemann::N,,남편
218,Ehefrau::N,,아내
219,Freude::N,,기쁨
220,Gelächter::N,,웃음
221,Glück::N,,즐거움
222,Kummer::N,,슬픔
223,Wunsch::N,,소망
224,Geist::N,,할기
225,Gedanke::N,,상념
226,Gedächtnis::N,,기억
227,Verstand::N,,분별
228,Verstand::N,,지능
229,Sinn::N,,센스
230,Grund::N,,까닭
231,Wahrheit::N,,참
232,Wahrheit::N,,진실
233,Gespräch::N,,대화
234,Märchen::N,,동화
235,Erzählung::N,,이야기
236,Neuigkeit::N,,뉴스
237,Name::N,,이름
238,Rätsel::N,,수수께끼
239,Rede::N,,연설
240,Sprache::N,,말
241,Stimme::N,,목소리
242,Wort::N,,낱말
243,Zeichen::N,,신호
244,Ruf::N,,부름
245,Lärm::N,,소동
246,Laut::N,,음성
247,Ton::N,,목소리
248,Lied::N,,노래
249,Ruhe::N,,쉼
250,Leute::N,,사람들
251,Volk::N,,국중
252,Arbeit::N,,근로
253,Arbeit::N,,너무
254,Gast::N,,손님
255,Geschenk::N,,행하
256,Spiel::N,,무리
257,Gesellschaft::N,,교제
258,Hilfe::N,,거들음
259,Hilfe::N,,보좌
260,Freund::N,,친구
261,Kamerad::N,,동실자
262,Angelegenheit::N,,용무
263,Anzahl::N,,어떤
264,Anzahl::N,,수
265,Art::N,,정류
266,Stück::N,,일부분
267,Teil::N,,몱
268,Teil::N,,구훠
269,Hälfte::N,,2분의
270,Kreis::N,,고리
271,Kreuz::N,,열십자
272,Linie::N,,선
273,Strich::N,,스침
274,Abstand::N,,거리
275,Entfernung::N,,거리
276,Gegend::N,,곳
277,Gegend::N,,부금
278,Platz::N,,장소
279,Ort::N,,장소
280,Seite::N,,옆면
281,Mitte::N,,궁간
282,Gegenstand::N,,항목
283,Sache::N,,뭉에
284,Rand::N,,가
285,Kante::N,,귀퉁
286,Ecke::N,,구석
287,Spitze::N,,끝
288,Spitze::N,,참단
289,Ende::N,,말당
290,Loch::N,,빙옷
291,Winkel::N,,각도
292,Muster::N,,본
293,Muster::N,,견복
294,Größe::N,,신장
295,Länge::N,,길이긺
296,Höhe::N,,높이
297,Gewicht::N,,추
298,Menge::N,,수양
299,Haufen::N,,퇴적
300,Reihe::N,,열
301,Boot::N,,보트
302,Ruder::N,,노
303,Schlitten::N,,썰매
304,Ski::N,,스키
305,Lagerfeuer::N,,캠프의 모닥불
306,Last::N,,무거운짐
307,Gang::N,,걸음
308,Schritt::N,,보조
309,Norden::N,,북쪽 
310,Süden::N,,남쪽
311,Westen::N,,서쪽
312,Osten::N,,동쪽
313,Holz::N,,목재
314,Brett::N,,마루널
315,Platte::N,,탤
316,Platte::N,,금속판
317,Stütze::N,,버팀목
318,Stange::N,,장대
319,Stock::N,,막대기
320,Stab::N,,작대기
321,Rohr::N,,갈대
322,Haus::N,,집
323,Heim::N,,집
324,Ofen::N,,아궁이
325,Fußboden::N,,마루
326,Tisch::N,,탁자
327,Stuhl::N,,의자
328,Wiege::N,,발상지
329,Bett::N,,침대
330,Regal::N,,서가
331,Kiste::N,,짐궤
332,Fenster::N,,눔
333,Tür::N,,문
334,Tor::N,,대문
335,Zaun::N,,담장
336,Dach::N,,지붕
337,Leiter::N,,사닥다리
338,Besen::N,,비
339,Spaten::N,,가래
340,Schaufel::N,,삽
341,Gabel::N,,갈래
342,Löffel::N,,숟가락
343,Messer::N,,나이프
344,Nagel::N,,발툽
345,Netz::N,,그물
346,Haken::N,,갈고리
347,Griff::N,,움켜쥠
348,Schloss::N,,자물쇠
349,Bild::N,,그림
350,Figur::N,,몸메
351,Puppe::N,,인형
352,Beutel::N,,클
353,Bündel::N,,자근다발
354,Tasche::N,,가방
355,Eimer::N,,동이
356,Deckel::N,,뚜껑
357,Geschirr::N,,식시
358,Sack::N,,조갑
359,Tasse::N,,차잔
360,Topf::N,,단지
361,Kessel::N,,주전자
362,Essen::N,,먹기
363,Nahrung::N,,식료
364,Speise::N,,음식물
365,Fleisch::N,,고기
366,Getreide::N,,곡물
367,Brei::N,,젤리
368,Brot::N,,빵
369,Scheibe::N,,원반
370,Fett::N,,기름
371,Butter::N,,버터
372,Öl::N,,올리브유
373,Salz::N,,소금
374,Suppe::N,,국
375,Suppe::N,,수프
376,Honig::N,,감미
377,Milch::N,,유즙
378,Tee::N,,차
379,Leder::N,,가죽
380,Wolle::N,,양털
381,Stoff::N,,패료
382,Nadel::N,,바늘
383,Faden::N,,콘실
384,Knopf::N,,단추
385,Knoten::N,,곁절
386,Farbe::N,,색
387,Kleidung::N,,옷입기
388,Hemd::N,,속옷
389,Kragen::N,,깃
390,Ärmel::N,,소매
391,Hose::N,,바지
392,Gürtel::N,,밴드
393,Mütze::N,,모자
394,Schuh::N,,구두
395,Stiefel::N,,장화
396,Ring::N,,고리
397,Band::N,,리본
398,Kamm::N,,빗
399,Spiegel::N,,거울
400,Riemen::N,,가죽끈
401,Schnur::N,,밧줄
402,Leine::N,,고삐줄
403,Decke::N,,이부자리
404,Kissen::N,,깔개
405,Tuch::N,,천
406,Handtuch::N,,수건
407,Kraft::N,,세력
408,Stärke::N,,힘
409,Gesundheit::N,,위생
410,Krankheit::N,,병
411,Schmerz::N,,아픔고통
412,Wunde::N,,상처
413,Fieber::N,,열별
414,Arznei::N,,약
415,Brücke::N,,교량
416,Brunnen::N,,원천
417,Weide::N,,목장
418,Pfad::N,,좁은길
419,Weg::N,,길
420,Straße::N,,길
421,Dorf::N,,촌
422,Dorf::N,,촌락
423,Stadt::N,,도시
424,Brief::N,,서한
425,Buch::N,,책
426,Buchstabe::N,,문자
427,Zeitung::N,,신문
428,Leben::N,,삶
429,Tod::N,,죽음
430,Grab::N,,무덤
431,Kirche::N,,교회
432,Sünde::N,,부정
433,Gott::N,,하느님
434,Arbeiter::N,,일하는사람
435,Chef::N,,사장
436,Meister::N,,명인
437,Meister::N,,대가
438,Arzt::N,,의사
439,Lehrer::N,,교사
440,Geld::N,,돈
441,Geschäft::N,,일
442,Laden::N,,가게
443,Preis::N,,가격
444,Ware::N,,상품
445,Nutzen::N,,이익
446,Reichtum::N,,많음
447,Welt::N,,세상
448,Land::N,,지방
449,Staat::N,,국가
450,König::N,,국왕
451,Macht::N,,힘
452,Grenze::N,,국경
453,Krieg::N,,전쟁
454,Feind::N,,적
455,Gewalt::N,,권력
456,Kampf::N,,전투
457,Bogen[Waffe]::N,,활
458,Pfeil::N,,화살
459,Gewehr::N,,무기
460,Fehler::N,,오류
461,Lüge::N,,거짓말
462,Schaden::N,,손상
463,Unglück::N,,불행
464,Schuld::N,,부채
465,Alter::N,,연령
466,Schluss::N,,마감
467,Zeit::N,,때
468,Zeit::N,,시간
469,Tag::N,,하루
470,Morgen::N,,이침
471,Mittag::N,,대낮
472,Abend::N,,저녁
473,Nacht::N,,밤
474,Woche::N,,근무일
475,Monat::N,,달
476,Jahr::N,,해
477,Frühling::N,,봄
478,Sommer::N,,여름
479,Herbst::N,,가을
480,Winter::N,,겨울
481,Januar::N,,일월
482,Februar::N,,이월
483,März::N,,삼월
484,April::N,,사월
485,Mai::N,,오월
486,Juni::N,,유월
487,Juli::N,,칠월
488,August::N,,팔월
489,September::N,,구월
490,Oktober::N,,시월
491,November::N,,십일월
492,Dezember::N,,십이월
493,Montag::N,,월요일
494,Dienstag::N,,화요일
495,Mittwoch::N,,수요일
496,Donnerstag::N,,모교일
497,Freitag::N,,그묘일
498,Samstag::N,,토요일
499,Sonntag::N,,일요일
500,groß::A,,큰
501,klein::A,,자근
502,lang::A,,긴
503,kurz::A,,짧은
504,breit::A,,넓은
505,schmal::A,,좁은
506,dicht::A,,농밀한
507,dick[Gegenstand]::A,,두꺼운
508,dünn::A,,얇은
509,fein::A,,미세한
510,fest::A,,굳은
511,flach::A,,얕은
512,glatt::A,,반들반들한
513,hart::A,,굳은
514,weich::A,,연한
515,rund::A,,둥근
516,spitz::A,,뾰족한
517,scharf::A,,날카로운
518,stumpf::A,,무딘
519,schwer::A,,무거운
520,schön::A,,멋진
521,heiß::A,,뜨거운
522,warm::A,,따뜻한
523,kalt::A,,찬
524,kühl::A,,서늘한
525,frisch::A,,신선한
526,feucht::A,,축축한
527,nass::A,,젖은
528,trocken::A,,마른
529,voll::A,,완전한
530,leer::A,,빈
531,offen::A,,열린
532,geschlossen::A,,닫힌
533,sauber::A,,깨끗한
534,schmutzig::A,,더러운
535,roh::A,,날게잇의
536,reif::A,,이근
537,lecker::A,,맛있는
538,süß::A,,단
539,bitter::A,,찌르는듯한
540,sauer::A,,산성의
541,hell::A,,밝은
542,dunkel::A,,어두운
543,schwarz::A,,검은
544,weiß::A,,하얀
545,rot::A,,붉은
546,gelb::A,,황색
547,blau::A,,푸른
548,grün::A,,녹색의
549,grau::A,,회색의
550,bunt::A,,알록달록한
551,billig::A,,싼
552,teuer::A,,값비산
553,wertvoll::A,,가치가많은
554,blind::A,,눈먼
555,taub::A,,무감간한
556,kräftig::A,,강장한
557,stark::A,,강한
558,schwach::A,,약한
559,fett::A,,실찐
560,schlank::A,,호리호리한
561,hübsch::A,,예쁜
562,böse::A,,나쁜
563,dumm::A,,어리석은
564,faul::A,,너덜너덜한
565,fleißig::A,,근면한
566,geizig::A,,인색한
567,geschickt::A,,교묘한
568,lieb::A,,친애하는
569,lustig::A,,유쾌한
570,sanft::A,,온화한
571,hungrig::A,,배고픈
572,krank::A,,병든
573,nackt::A,,벌거벗은
574,traurig::A,,슬픈
575,lebendig::A,,살아있는
576,gut::A,,좋은
577,schlecht::A,,나쁜
578,richtig::A,,바른
579,schlimm::A,,못된
580,wahr::A,,참된
