,Concept_ID,,ps
0,Auge::N,,سترګه
1,Ohr::N,,غوږ
2,Nase::N,,پوزه
3,Mund::N,,خوله
4,Zahn::N,,غاښ
5,Zunge::N,,جبه
6,Lippe::N,,شونډه
7,Wange::N,,باړخو
8,Gesicht::N,,مخ
9,Stirn::N,,تندی
10,Stirn::N,,وچولی
11,Haar::N,,وېښته
12,Schnurrbart::N,,برېت
13,Bart::N,,ږیره
14,Kinn::N,,زنه
15,Kiefer[Anatomie]::N,,جامه
16,Kehle::N,,غاړه
17,Hals::N,,غاړه
18,Genick::N,,ورمېږ
19,Kopf::N,,سر
20,Rücken::N,,شا
21,Bauch::N,,نس
22,Bauch::N,,ګېډه
23,Nabel::N,,نوم
24,Busen::N,,تی
25,Brust::N,,سینه
26,Schulter::N,,اوږه
27,Arm::N,,لاس
28,Ellenbogen::N,,څنګل
29,Hand::N,,لاس
30,Handfläche::N,,ورغوی
31,Finger::N,,ګوته
32,Fingernagel::N,,نوک
33,Nagel[Anatomie]::N,,نوک
34,Zeh::N,,ګوته
35,Fuß::N,,پښه
36,Ferse::N,,پونده
37,Knie::N,,زنګون
38,Oberschenkel::N,,پتون
39,Bein::N,,پښه
40,Körper::N,,ځان
41,Haut::N,,پوټکی
42,Blut::N,,وینه
43,Ader::N,,رګ
44,Sehne::N,,پله
45,Knochen::N,,هډوکی
46,Gehirn::N,,ماغزه
47,Herz::N,,زړه
48,Magen::N,,معده
49,Leber::N,,ينه
50,Leber::N,,ځیګر
51,Atem::N,,نفس
52,Hunger::N,,ولږه
53,Träne::N,,اوښکه
54,Geschmack::N,,مزه
55,Geschmack::N,,خوند
56,Geruch::N,,بوی
57,Schlaf::N,,خوب
58,Traum::N,,خوب
59,Himmel::N,,اسمان
60,Sonne::N,,لمر
61,Mond::N,,سپوږمۍ
62,Stern::N,,ستوری
63,Luft::N,,هوا
64,Wind::N,,ورښ
65,Welle::N,,موج
66,Wasser::N,,اوبه
67,Stein::N,,ډبره
68,Boden::N,,مځکه
69,Erde::N,,خاوره
70,Staub::N,,ګرد
71,Staub::N,,خاوره
72,Rauch::N,,دود
73,Rauch::N,,لوګی
74,Funke::N,,سپرغۍ
75,Feuer::N,,اور
76,Licht::N,,رڼا
77,Schatten::N,,سیوری
78,Wetter::N,,هوا
79,Nebel::N,,لړه
80,Wolke::N,,ورېځ
81,Regen::N,,وریا
82,Regen::N,,باران
83,Schnee::N,,واوره
84,Eis::N,,یخ
85,Eis::N,,کنګل
86,Frost::N,,یخ
87,Kälte::N,,ساړه
88,Hitze::N,,تودوخي
89,Raureif::N,,سپینه پرخه
90,Regenbogen::N,,بوډۍ ټال
91,Regenbogen::N,,سره زرغونه
92,Donner::N,,تالنده
93,Strömung::N,,بهېدنه
94,Tropfen::N,,قطره
95,Tropfen::N,,څاڅکی
96,Schaum::N,,ځګ
97,Schmutz::N,,ناپاکي
98,See::N,,جهیل
99,Sumpf::N,,جبه
100,Moor::N,,جبه
101,Wiese::N,,چمن
102,Wiese::N,,شنېلی
103,Wald::N,,ځنګل
104,Hügel::N,,تپه
105,Anhöhe::N,,غونډۍ
106,Berg::N,,غ‍‍‍‍‍ر
107,Gipfel::N,,څوکه
108,Höhle::N,,کاز
109,Abhang::N,,لمن
110,Quelle::N,,چینه
111,Bach::N,,واله
112,Fluss::N,,سیند
113,Ufer::N,,غاړه
114,Küste::N,,ساحل
115,Festland::N,,وچه
116,Meer::N,,بحر
117,Meer::N,,سمندر
118,Bucht::N,,کارۍ
119,Insel::N,,ټاپو
120,Insel::N,,جزيره
121,Blume::N,,ګل
122,Gras::N,,واښه
123,Wurzel::N,,ریښه
124,Baum::N,,ونه
125,Stamm::N,,ډډ
126,Rinde::N,,پوستکی
127,Ast::N,,ښاخ
128,Zweig::N,,څانګه
129,Blatt::N,,پاڼه
130,Birke::N,,توس
131,Kiefer[Baum]::N,,نښتر
132,Weide[Baum]::N,,وله
133,Tanne::N,,ناجو
134,Horn::N,,ښکر
135,Feder::N,,بڼکه
136,Fell::N,,پوستکی
137,Flügel::N,,وزر
138,Klaue::N,,پنجه
139,Klaue::N,,منګول
140,Kralle::N,,پنجه
141,Kralle::N,,منګول
142,Schwanz::N,,لکۍ
143,Ei::N,,وۍ
144,Ei::N,,هګۍ
145,Nest::N,,جاله
146,Bau::N,,کاز
147,Tier::N,,ژوی
148,Tier::N,,حیوان
149,Herde::N,,رمه
150,Herde::N,,غېله
151,Kuh::N,,غوا
152,Bulle::N,,غوئی
153,Pferd::N,,آس
154,Schaf::N,,پسه
155,Schwein::N,,سرکوزی
156,Hund::N,,سپی
157,Katze::N,,پشه
158,Bär::N,,خرس
159,Eichhörnchen::N,,خړ لمی
160,Elch::N,,ګوزن
161,Fuchs::N,,سپلم
162,Hase::N,,سوی
163,Maus::N,,مږک
164,Wolf::N,,لېوه
165,Vogel::N,,مرغه
166,Schwarm::N,,سېل
167,Huhn::N,,چرګه
168,Hahn::N,,چرګ
169,Gans::N,,بته
170,Adler::N,,عقاب
171,Ente::N,,ایلۍ
172,Eule::N,,ګونګی
173,Kranich::N,,کلنګ
174,Krähe::N,,کارغه
175,Kuckuck::N,,فاخته
176,Schwan::N,,قو
177,Fisch::N,,کب
178,Fisch::N,,ماهی
179,Schlange[Tier]::N,,مار
180,Wurm::N,,چینجی
181,Spinne::N,,غڼه
182,Spinne::N,,تارکښ
183,Ameise::N,,مېږی
184,Laus::N,,سپږه
185,Mücke::N,,ماشی
186,Fliege::N,,مچ
187,Schmetterling::N,,پتنګ
188,Beere::N,,مېوۍ
189,Apfel::N,,مڼه
190,Pilz::N,,خرېړی
191,Zwiebel::N,,پیاز
192,Saat::N,,تخم
193,Korn::N,,تخم
194,Korn::N,,دانه
195,Heu::N,,بوس
196,Heu::N,,پروړه
197,Schale::N,,پوستکی
198,Grube::N,,کنده
199,Falle::N,,دام
200,Falle::N,,لومه
201,Schlinge::N,,کړۍ
202,Spur::N,,نښه
203,Asche::N,,آس
204,Asche::N,,ایره
205,Dreck::N,,ناپاکي
206,Eisen::N,,اوسپنه
207,Gold::N,,سره زر
208,Silber::N,,نقره
209,Silber::N,,سپین زر
210,Kohle::N,,سکور
211,Kohle::N,,سکاره
212,Glas::N,,ښيښه
213,Lehm::N,,خټه
214,Sand::N,,شګه
215,Mensch::N,,انسان
216,Mann::N,,سړی
217,Mann::N,,نارینه
218,Frau::N,,ښځه
219,Kind::N,,بچی
220,Kind::N,,ماشوم
221,Junge::N,,هلک
222,Mädchen::N,,نجلۍ
223,Familie::N,,کورنۍ
224,Großvater::N,,بابا
225,Großmutter::N,,انا
226,Eltern::N,,مور او پلار
227,Vater::N,,پلار
228,Mutter::N,,مور
229,Sohn::N,,زوی
230,Tochter::N,,لور
231,Bruder::N,,ورور
232,Schwester::N,,خور
233,Onkel::N,,تره
234,Onkel::N,,ماما
235,Tante::N,,خاله
236,Ehemann::N,,مېړه
237,Ehefrau::N,,مېرمن
238,Freude::N,,خوشحالي
239,Gelächter::N,,خندا
240,Glück::N,,بخت
241,Kummer::N,,غم
242,Wunsch::N,,هيله
243,Wunsch::N,,غوښتنه
244,Lust::N,,شوق
245,Lust::N,,مینه
246,Geist::N,,روح
247,Gedanke::N,,فکر
248,Gedächtnis::N,,یاد
249,Gedächtnis::N,,حافظه
250,Verstand::N,,عقل
251,Verstand::N,,شعور
252,Sinn::N,,معنی
253,Grund::N,,علت
254,Grund::N,,اساس
