,Concept_ID,nl,hi
0,Auge::N,oog,आँख
1,Auge::N,oog,चक्षु
2,Ohr::N,oor,कान
3,Ohr::N,oor,कर्ण
4,Nase::N,neus,नाक
5,Nase::N,neus,नासा
6,Mund::N,mond,मुख
7,Mund::N,mond,मुँह
8,Zahn::N,tand,दंत
9,Zahn::N,tand,दाँत
10,Zunge::N,tong,जीभ
11,Zunge::N,tong,ज़बान
12,Zunge::N,tong,जिह्वा
13,Lippe::N,lip,ओंठ
14,Lippe::N,lip,होंठ
15,Wange::N,wang,गाल
16,Wange::N,wang,कपोल
17,Gesicht::N,gelaat,मुँह
18,Gesicht::N,gelaat,चेहरा
19,Gesicht::N,gezicht,मुँह
20,Gesicht::N,gezicht,चेहरा
21,Stirn::N,voorhoofd,माथा
22,Stirn::N,voorhoofd,मस्तक
23,Haar::N,haar,बाल
24,Schnurrbart::N,snor,मूँछें
25,Bart::N,baard,दाढ़ी
26,Kinn::N,kin,चिबुक
27,Kiefer[Anatomie]::N,kaak,जबड़ा
28,Kehle::N,keel,गला
29,Kehle::N,strot,गला
30,Hals::N,hals,गला
31,Hals::N,hals,गरदन
32,Genick::N,nek,गरदन
33,Genick::N,nek,ग्रीवा
34,Kopf::N,hoofd,सिर
35,Kopf::N,hoofd,शीर्ष
36,Rücken::N,rug,पीठ
37,Bauch::N,buik,उदर
38,Nabel::N,navel,नाभि
39,Nabel::N,navel,ढोंढी
40,Busen::N,boezem,कुच
41,Busen::N,boezem,स्तन
42,Brust::N,borst,वक्ष
43,Schulter::N,schouder,कंधा
44,Schulter::N,schouder,स्कंध
45,Arm::N,arm,बाँह
46,Arm::N,arm,बाज़ू
47,Ellenbogen::N,elleboog,कुहनी
48,Hand::N,hand,हाथ
49,Hand::N,hand,हस्त
50,Handfläche::N,handpalm,हथेली
51,Finger::N,vinger,उँगली
52,Finger::N,vinger,अँगुली
53,Fingernagel::N,nagel,नख
54,Fingernagel::N,nagel,नाख़ून
55,Nagel[Anatomie]::N,nagel,नख
56,Nagel[Anatomie]::N,nagel,नाख़ून
57,Zeh::N,teen,उँगली
58,Zeh::N,teen,पाँव की उँगली
59,Fuß::N,voet,चरण
60,Fuß::N,voet,पाँव
61,Ferse::N,hak,एड़ी
62,Ferse::N,hiel,एड़ी
63,Knie::N,knie,जानु
64,Knie::N,knie,घुटना
65,Oberschenkel::N,dij,उरु
66,Bein::N,been,टाँग
67,Körper::N,lichaam,तन
68,Körper::N,lichaam,देह
69,Körper::N,lichaam,शरीर
70,Haut::N,huid,चर्म
71,Haut::N,huid,त्वचा
72,Blut::N,bloed,लहू
73,Blut::N,bloed,ख़ून
74,Ader::N,ader,रग
75,Ader::N,ader,शिरा
76,Sehne::N,pees,कंडरा
77,Sehne::N,pees,स्नायु
78,Knochen::N,bot,अस्थि
79,Knochen::N,been,अस्थि
80,Knochen::N,knook,अस्थि
81,Gehirn::N,hersenen,दिमाग़
82,Gehirn::N,hersenen,मस्तिष्क
83,Herz::N,hart,दिल
84,Herz::N,hart,हृदय
85,Magen::N,maag,मेदा
86,Magen::N,maag,अमाशय
87,Leber::N,lever,जिगर
88,Leber::N,lever,यकृत्
89,Atem::N,adem,दम
90,Atem::N,adem,साँस
91,Atem::N,adem,श्वास
92,Hunger::N,honger,भूख
93,Hunger::N,honger,क्षुधा
94,Träne::N,traan,आँसू
95,Träne::N,traan,अश्रु
96,Geschmack::N,smaak,स्वाद
97,Geschmack::N,smaak,ज़ायक़ा
98,Geruch::N,geur,बू
99,Geruch::N,geur,गंध
100,Schlaf::N,slaap,नींद
101,Schlaf::N,slaap,निद्रा
102,Traum::N,droom,सपना
103,Traum::N,droom,स्वप्न
104,Himmel::N,hemel,आकाश
105,Himmel::N,hemel,आसमान
106,Sonne::N,zon,रवि
107,Sonne::N,zon,सूरज
108,Sonne::N,zon,सूर्य
109,Mond::N,maan,चाँद
110,Mond::N,maan,चंद्र
111,Stern::N,ster,तारा
112,Stern::N,ster,सितारा
113,Luft::N,lucht,हवा
114,Luft::N,lucht,वायु
115,Wind::N,wind,पाद
116,Welle::N,golf,लहर
117,Welle::N,golf,तरंग
118,Wasser::N,water,जल
119,Wasser::N,water,पानी
120,Stein::N,steen,पत्थर
121,Boden::N,grond,मिट्टी
122,Erde::N,aarde,भूमि
123,Erde::N,aarde,ज़मीन
124,Staub::N,stof,धूल
125,Rauch::N,rook,धूआँ
126,Rauch::N,rook,धुम्र
127,Funke::N,vonk,चिनगारी
128,Funke::N,vonk,स्फुलिंग
129,Feuer::N,vuur,आग
130,Feuer::N,vuur,आतिश
131,Feuer::N,vuur,अग्नि
132,Licht::N,licht,रोशनी
133,Licht::N,licht,प्रकाश
134,Schatten::N,schaduw,छाया
135,Schatten::N,schaduw,परछाई
136,Wetter::N,weer,ऋतु
137,Wetter::N,weer,मौसम
138,Nebel::N,mist,धुँध
139,Nebel::N,mist,कुहरा
140,Nebel::N,nevel,धुँध
141,Nebel::N,nevel,कुहरा
142,Wolke::N,wolk,मेघ
143,Wolke::N,wolk,अभ्र
144,Regen::N,regen,मेंह
145,Regen::N,regen,बारिश
146,Schnee::N,sneeuw,हिम
147,Schnee::N,sneeuw,बर्फ़
148,Eis::N,ijs,हिम
149,Eis::N,ijs,बर्फ़
150,Frost::N,vorst,ठंड
151,Kälte::N,kou,सर्दी
152,Kälte::N,kou,शीतलता
153,Kälte::N,koude,सर्दी
154,Kälte::N,koude,शीतलता
155,Hitze::N,hitte,ताप
156,Hitze::N,hitte,गरमी
157,Raureif::N,rijp,पाला
158,Regenbogen::N,regenboog,इंद्र-धनुष
159,Donner::N,donder,गरज
160,Donner::N,donder,मेघ-गर्जन
161,Strömung::N,stroming,बहाव
162,Strömung::N,stroming,प्रवाह
163,Tropfen::N,druppel,बूँद
164,Schaum::N,schuim,झाग
165,Schmutz::N,vuil,गंद
166,Schmutz::N,vuil,कीचड़
167,See::N,meer,झील
168,See::N,meer,सरोवर
169,Sumpf::N,moeras,दलदल
170,Sumpf::N,moeras,धँसान
171,Moor::N,veen,झाबर
172,Moor::N,veen,धँसान
173,Wiese::N,wei,घास-स्थल
174,Wiese::N,weide,घास-स्थल
175,Wald::N,bos,जंगल
176,Hügel::N,heuvel,टीला
177,Hügel::N,heuvel,पहाड़
178,Anhöhe::N,hoogte,टीला
179,Anhöhe::N,hoogte,पहाड़ी
180,Berg::N,berg,पहाड़
181,Gipfel::N,top,शिखर
182,Höhle::N,hol,गुहा
183,Höhle::N,hol,गुफ़ा
184,Abhang::N,helling,ढाल
185,Abhang::N,helling,ढलान
186,Quelle::N,bron,चश्मा
187,Bach::N,beek,सोता
188,Bach::N,beek,नदिका
189,Fluss::N,stroom,नदी
190,Fluss::N,stroom,सरिता
191,Ufer::N,wal,तट
192,Ufer::N,wal,किनारा
193,Ufer::N,oever,तट
194,Ufer::N,oever,किनारा
195,Küste::N,kust,समुद्र-तट
196,Festland::N,vasteland,महाद्वीप
197,Meer::N,zee,सागर
198,Meer::N,zee,समुद्र
199,Bucht::N,baai,खाड़ी
200,Bucht::N,inham,खाड़ी
201,Insel::N,eiland,टापू
202,Insel::N,eiland,द्वीप
203,Blume::N,bloem,फूल
204,Blume::N,bloem,पुष्प
205,Gras::N,gras,घास
206,Wurzel::N,wortel,मूल
207,Baum::N,boom,पेड़
208,Baum::N,boom,वृक्ष
209,Stamm::N,stam,धड़
210,Rinde::N,schors,छाल
211,Rinde::N,schors,वल्कल
212,Ast::N,tak,डाल
213,Ast::N,tak,शाखा
214,Zweig::N,twijg,टहनी
215,Blatt::N,blad,पत्र
216,Blatt::N,blad,पत्ता
217,Birke::N,berk,भूर्ज
218,Kiefer[Baum]::N,den,पाइन-वृक्ष
219,Weide[Baum]::N,wilg,बेंत
220,Tanne::N,spar,फ़र
221,Horn::N,hoorn,सींग
222,Horn::N,hoorn,विषाण
223,Feder::N,veer,पर
224,Feder::N,veer,पंख
225,Feder::N,pluim,पर
226,Feder::N,pluim,पंख
227,Fell::N,vel,खाल
228,Fell::N,vel,पशु-चर्म
229,Flügel::N,vleugel,पंख
230,Flügel::N,vleugel,डैना
231,Klaue::N,klauw,पंजा
232,Kralle::N,klauw,पंजा
233,Kralle::N,klauw,नाख़ून
234,Schwanz::N,staart,पूँछ
235,Ei::N,ei,अंडा
236,Nest::N,nest,नीड़
237,Nest::N,nest,घोंसला
238,Bau::N,hol,बिल
239,Bau::N,hol,माँद
240,Tier::N,dier,पशु
241,Tier::N,dier,जानवर
242,Herde::N,kudde,गल्ला
243,Kuh::N,koe,गौ
244,Kuh::N,koe,गाय
245,Bulle::N,stier,साँड़
246,Pferd::N,paard,अश्व
247,Pferd::N,paard,घोड़ा
248,Schaf::N,schaap,भेड़
249,Schwein::N,varken,शूकर
250,Hund::N,hond,श्वान
251,Hund::N,hond,कुत्ता
252,Katze::N,kat,बिल्ली
253,Bär::N,beer,रीछ
254,Bär::N,beer,भालू
255,Eichhörnchen::N,eekhoorntje,गिलहरी
