,Concept_ID,nl,kl
0,Auge::N,oog,isi
1,Ohr::N,oor,siut
2,Nase::N,neus,
3,Mund::N,mond,paaq
4,Mund::N,mond,qaneq
5,Zahn::N,tand,kigut
6,Zunge::N,tong,oqaq
7,Lippe::N,lip,qarloq
8,Wange::N,wang,ersaq
9,Gesicht::N,gelaat,kiinaq
10,Gesicht::N,gezicht,kiinaq
11,Stirn::N,voorhoofd,qaaq
12,Haar::N,haar,meqqoq
13,Schnurrbart::N,snor,
14,Bart::N,baard,umik
15,Kinn::N,kin,talloq
16,Kiefer[Anatomie]::N,kaak,alleroq
17,Kehle::N,keel,malaq
18,Kehle::N,strot,malaq
19,Hals::N,hals,qungaseq
20,Genick::N,nek,pukusuk
21,Kopf::N,hoofd,niaqoq
22,Rücken::N,rug,qimerlut
23,Bauch::N,buik,naaq
24,Nabel::N,navel,qalaseq
25,Busen::N,boezem,iviangeq
26,Brust::N,borst,iviangeq
27,Schulter::N,schouder,ersik
28,Schulter::N,schouder,assaqqoq
29,Arm::N,arm,taleq
30,Ellenbogen::N,elleboog,ikusik
31,Hand::N,hand,assak
32,Handfläche::N,handpalm,itumak
33,Finger::N,vinger,inuak
34,Fingernagel::N,nagel,kikiak
35,Nagel[Anatomie]::N,nagel,kukik
36,Zeh::N,teen,isigak
37,Fuß::N,voet,
38,Ferse::N,hak,kimmik
39,Ferse::N,hiel,kimmik
40,Knie::N,knie,seeqqoq
41,Oberschenkel::N,dij,uppat
42,Oberschenkel::N,dij,quttoraq
43,Bein::N,been,isigak
44,Körper::N,lichaam,timi
45,Haut::N,huid,mattak
46,Blut::N,bloed,aak
47,Ader::N,ader,taqaq
48,Sehne::N,pees,ujalu
49,Sehne::N,pees,ujaloq
50,Knochen::N,bot,saanikut
51,Knochen::N,been,saanikut
52,Knochen::N,knook,saanikut
53,Gehirn::N,hersenen,qarasaq
54,Herz::N,hart,uummat
55,Magen::N,maag,aqajaroq
56,Leber::N,lever,tinguk
57,Atem::N,adem,anerneq
58,Hunger::N,honger,kaanneq
59,Träne::N,traan,qia
60,Träne::N,traan,qiak
61,Geschmack::N,smaak,qilanaartuut
62,Geruch::N,geur,tipi
63,Geruch::N,geur,tipik
64,Schlaf::N,slaap,
65,Traum::N,droom,sinnattoq
66,Traum::N,droom,sinnattugaq
67,Himmel::N,hemel,qilak
68,Sonne::N,zon,seqineq
69,Mond::N,maan,qaammat
70,Stern::N,ster,ulloriaq
71,Luft::N,lucht,silaannaq
72,Wind::N,wind,anori
73,Wind::N,wind,anorsarik
74,Welle::N,golf,aalappaa
75,Wasser::N,water,imeq
76,Stein::N,steen,ujarak
77,Boden::N,grond,nateq
78,Erde::N,aarde,issoq
79,Staub::N,stof,pujualanerit
80,Staub::N,stof,pujoralanerit
81,Rauch::N,rook,iseq
