,Concept_ID,no,mn
0,Auge::N,øye,нүд
1,Ohr::N,øre,чих
2,Nase::N,nese,хамар
3,Mund::N,munn,ам
4,Zahn::N,tann,шүд
5,Zunge::N,tunge,хэл
6,Lippe::N,leppe,уруул
7,Wange::N,kinn,хацар
8,Gesicht::N,fjes,царай
9,Gesicht::N,fjes,нүүр
10,Gesicht::N,ansikt,царай
11,Gesicht::N,ansikt,нүүр
12,Stirn::N,panne,дух
13,Haar::N,hår,үс
14,Schnurrbart::N,bart,дээд сахал
15,Schnurrbart::N,bart,живэр сахал
16,Bart::N,skjegg,сахал
17,Kinn::N,hake,эрүү
18,Kiefer[Anatomie]::N,kjeve,эрүү
19,Kehle::N,strupe,хоолой
20,Hals::N,hals,хүзүү
21,Genick::N,nakke,шил
22,Genick::N,nakke,хүзүү
23,Kopf::N,hode,толгой
24,Rücken::N,rygg,ар
25,Rücken::N,rygg,нуруу
26,Bauch::N,buk,хэвлий
27,Bauch::N,buk,гэдэс
28,Bauch::N,mage,хэвлий
29,Bauch::N,mage,гэдэс
30,Nabel::N,navle,хүйс
31,Busen::N,barm,хөх
32,Brust::N,bryst,цээж
33,Schulter::N,skulder,мөр
34,Schulter::N,skulder,бугалга
35,Arm::N,arm,гар
36,Ellenbogen::N,albue,тохой
37,Hand::N,hånd,гар
38,Hand::N,hånd,алга
39,Handfläche::N,håndflate,алга
40,Finger::N,finger,хуруу
41,Fingernagel::N,fingernegl,хурууны хумс
42,Nagel[Anatomie]::N,negl,хумс
43,Zeh::N,tå,хуруу
44,Fuß::N,fot,хөл
45,Ferse::N,hæl,өсгий
46,Knie::N,kne,өвдөг
47,Oberschenkel::N,lår,гуя
48,Bein::N,bein,хөл
49,Körper::N,kropp,бие
50,Körper::N,legeme,бие
51,Haut::N,hud,арьс
52,Haut::N,skinn,арьс
53,Blut::N,blod,цус
54,Ader::N,åre,судас
55,Sehne::N,sene,бүлх
56,Sehne::N,sene,шандас
57,Knochen::N,bein,яс
58,Knochen::N,knokkel,яс
59,Gehirn::N,hjerne,тархи
60,Herz::N,hjerte,зүрх
61,Magen::N,mage,ходоод
62,Leber::N,lever,элэг
63,Atem::N,pust,амьсгаа
64,Hunger::N,sult,өлсгөлөн
65,Träne::N,tåre,нулимс
66,Geschmack::N,smak,амт
67,Geruch::N,lukt,үнэр
68,Schlaf::N,søvn,нойр
69,Traum::N,drøm,зүүд
70,Himmel::N,himmel,тэнгэр
71,Himmel::N,himmel,огторгуй
72,Sonne::N,sol,нар
73,Mond::N,måne,сар
74,Stern::N,stjerne,од
75,Luft::N,luft,агаар
76,Wind::N,vind,салхи
77,Welle::N,bølge,долгио
78,Welle::N,bølge,давалгаа
79,Wasser::N,vann,ус
80,Stein::N,stein,чулуу
81,Boden::N,bakke,хөрс
82,Erde::N,jord,газар
83,Erde::N,jord,шороо
84,Staub::N,støv,тоос
85,Rauch::N,røyk,утаа
86,Funke::N,gnist,оч
87,Feuer::N,ild,гал
88,Licht::N,lys,гэрэл
89,Licht::N,lys,гэгээ
90,Schatten::N,skygge,сүүдэр
91,Wetter::N,vær,тэнгэр
92,Wetter::N,vær,цаг уур
93,Nebel::N,tåke,будан
94,Wolke::N,sky,үүл
95,Regen::N,regn,бороо
96,Schnee::N,snø,цас
97,Eis::N,is,мөс
98,Frost::N,frost,хүйт
99,Kälte::N,kulde,хүйт
100,Hitze::N,hete,халуун
101,Raureif::N,rimfrost,цан
102,Raureif::N,rimfrost,хяруу
103,Regenbogen::N,regnbue,солонго
104,Donner::N,torden,тэнгэрийн дуу
105,Strömung::N,strømning,урсгал
106,Tropfen::N,dråpe,дусал
107,Schaum::N,skum,хөөс
108,Schmutz::N,søl,хир
109,Schmutz::N,søl,шавхай
110,Schmutz::N,skitt,хир
111,Schmutz::N,skitt,шавхай
112,See::N,sjø,нуур
113,Sumpf::N,sump,намаг
114,Sumpf::N,sump,балчиг
115,Sumpf::N,myrlende,намаг
116,Sumpf::N,myrlende,балчиг
117,Moor::N,myr,хүлрийн намаг
118,Moor::N,myrhei,хүлрийн намаг
119,Wiese::N,eng,нуга
120,Wald::N,skog,ой
121,Hügel::N,haug,болдог
122,Hügel::N,bakke,болдог
123,Anhöhe::N,haug,гүвээ
124,Anhöhe::N,bakke,гүвээ
125,Berg::N,berg,уул
126,Berg::N,fjell,уул
127,Gipfel::N,topp,орой
128,Gipfel::N,topp,оргил
129,Höhle::N,hule,агуй
130,Abhang::N,li,хүр
131,Abhang::N,skråning,хүр
132,Quelle::N,kilde,булаг
133,Bach::N,bekk,горхи
134,Fluss::N,elv,гол
135,Fluss::N,elv,мөрөн
136,Ufer::N,bredd,эрэг
137,Küste::N,kyst,эрэг
138,Festland::N,fastland,хуурай газар
139,Meer::N,hav,далай
140,Meer::N,hav,тэнгис
141,Bucht::N,bukt,булан
142,Bucht::N,bukt,далайн тохой
143,Insel::N,øy,арал
144,Blume::N,blomst,цэцэг
145,Gras::N,gress,өвс
146,Gras::N,gress,ногоо
147,Wurzel::N,rot,үндэс
148,Baum::N,tre,мод
149,Stamm::N,stamme,иш
150,Stamm::N,stamme,гуалин
151,Rinde::N,bark,холтос
152,Ast::N,gren,гишүү
153,Zweig::N,kvist,салаа
154,Blatt::N,blad,навч
155,Birke::N,bjørk,хус
156,Kiefer[Baum]::N,furu,нарс
157,Weide[Baum]::N,selje,уд
158,Weide[Baum]::N,selje,бургас
159,Weide[Baum]::N,piletre,уд
160,Weide[Baum]::N,piletre,бургас
161,Tanne::N,gran,гачуур
162,Horn::N,horn,эвэр
163,Feder::N,fjær,өд
164,Fell::N,skinn,арьс
165,Flügel::N,vinge,жигүүр
166,Flügel::N,vinge,далавч
167,Klaue::N,klauv,савар
168,Klaue::N,klauv,хумс
169,Kralle::N,klo,савар
170,Schwanz::N,hale,сүүл
171,Ei::N,egg,өндөг
172,Nest::N,rede,үүр
173,Bau::N,hi,нүх
174,Bau::N,hi,элүү
175,Tier::N,dyr,амьтан
176,Tier::N,dyr,адгуус
177,Herde::N,flokk,сүрэг
178,Kuh::N,ku,үнээ
179,Bulle::N,tyr,бух
180,Pferd::N,hest,морь
181,Pferd::N,hest,адуу
182,Schaf::N,får,хонь
183,Schwein::N,gris,гахай
184,Hund::N,hund,нохой
185,Katze::N,katt,муур
186,Katze::N,katt,мигуй
187,Bär::N,bjørn,баавгай
188,Eichhörnchen::N,ekorn,хэрэм
189,Elch::N,elg,хандгай
190,Fuchs::N,rev,үнэг
191,Hase::N,hare,туулай
192,Maus::N,mus,хулгана
193,Wolf::N,ulv,чоно
194,Wolf::N,varg,чоно
195,Vogel::N,fugl,шувуу
196,Schwarm::N,sverm,сүрэг
197,Huhn::N,høne,тахиа
198,Hahn::N,hane,эр тахиа
199,Gans::N,gås,галуу
200,Adler::N,ørn,бүргэд
201,Ente::N,and,нугас
202,Eule::N,ugle,ууль
203,Kranich::N,trane,тогоруу
204,Krähe::N,kråke,хэрээ
205,Kuckuck::N,gjøk,хөхөө
206,Schwan::N,svane,хун
207,Fisch::N,fisk,загас
208,Barsch::N,abbor,алгана
209,Hecht::N,gjedde,цурхай
210,Schlange[Tier]::N,orm,могой
211,Schlange[Tier]::N,slange,могой
212,Wurm::N,orm,өт
213,Wurm::N,orm,хорхой
214,Wurm::N,mark,өт
215,Wurm::N,mark,хорхой
216,Spinne::N,edderkopp,аалз
217,Ameise::N,maur,шоргоолж
218,Laus::N,lus,бөөс
219,Mücke::N,mygg,шумуул
220,Fliege::N,flue,ялаа
221,Schmetterling::N,sommerfugl,эрвээхэй
222,Beere::N,bær,жимсгэнэ
223,Apfel::N,eple,алим
224,Pilz::N,sopp,мөөг
225,Zwiebel::N,løk,сонгино
226,Saat::N,sæd,тариа
227,Korn::N,korn,үр
228,Korn::N,korn,мөхлөг
229,Heu::N,høy,өвс
230,Schale::N,skall,хальс
231,Grube::N,grop,алам
232,Grube::N,grop,нүх
233,Falle::N,felle,хавх
234,Falle::N,felle,занга
235,Schlinge::N,snare,урхи
236,Spur::N,spor,мөр
237,Asche::N,aske,үнс
238,Dreck::N,møkk,хир
239,Dreck::N,skitt,хир
240,Eisen::N,jern,төмөр
241,Gold::N,gull,алт
242,Silber::N,sølv,мөнгө
243,Kohle::N,kol,нүүрс
244,Kohle::N,kull,нүүрс
245,Glas::N,glass,шил
246,Lehm::N,leire,шавар
247,Sand::N,sand,элс
248,Mensch::N,menneske,хүн
249,Mann::N,mann,эр
250,Mann::N,mann,эрэгтэй
251,Frau::N,kvinne,эмэгтэй
252,Frau::N,kvinne,хатагтай
253,Kind::N,barn,хүүхэд
254,Junge::N,gutt,хүү
255,Mädchen::N,pike,охин
256,Mädchen::N,pike,бүсгүй
257,Mädchen::N,jente,охин
258,Mädchen::N,jente,бүсгүй
259,Familie::N,familie,айл
260,Großvater::N,bestefar,өвгөн аав
261,Großmutter::N,bestemor,эмэг эх
262,Großmutter::N,bestemor,эмгээ
263,Eltern::N,foreldre,эцэг эх
264,Vater::N,far,аав
265,Vater::N,far,эцэг
266,Mutter::N,mor,эх
