,Concept_ID,no,ru
0,Auge::N,øye,глаз
1,Ohr::N,øre,ухо
2,Nase::N,nese,нос
3,Mund::N,munn,рот
4,Zahn::N,tann,зуб
5,Zunge::N,tunge,язык
6,Lippe::N,leppe,губа
7,Wange::N,kinn,щека
8,Gesicht::N,fjes,лицо
9,Gesicht::N,ansikt,лицо
10,Stirn::N,panne,лоб
11,Haar::N,hår,волос
12,Haar::N,hår,волосы
13,Schnurrbart::N,bart,ус
14,Schnurrbart::N,bart,усы
15,Bart::N,skjegg,борода
16,Kinn::N,hake,подбородок
17,Kiefer[Anatomie]::N,kjeve,челюсть
18,Kehle::N,strupe,горло
19,Hals::N,hals,шея
20,Genick::N,nakke,затылок
21,Kopf::N,hode,голова
22,Rücken::N,rygg,спина
23,Bauch::N,buk,живот
24,Bauch::N,mage,живот
25,Nabel::N,navle,пупок
26,Busen::N,barm,женская грудь
27,Brust::N,bryst,грудь
28,Schulter::N,skulder,плечо
29,Arm::N,arm,рука
30,Ellenbogen::N,albue,локоть
31,Hand::N,hånd,кисть
32,Handfläche::N,håndflate,ладонь
33,Finger::N,finger,палец
34,Fingernagel::N,fingernegl,ноготь
35,Nagel[Anatomie]::N,negl,ноготь
36,Zeh::N,tå,палец
37,Fuß::N,fot,ступня
38,Ferse::N,hæl,пята
39,Ferse::N,hæl,пятка
40,Knie::N,kne,колено
41,Oberschenkel::N,lår,бедро
42,Bein::N,bein,нога
43,Körper::N,kropp,тело
44,Körper::N,legeme,тело
45,Haut::N,hud,кожа
46,Haut::N,skinn,кожа
47,Blut::N,blod,кровь
48,Ader::N,åre,вена
49,Ader::N,åre,сосуд
50,Sehne::N,sene,жила
51,Sehne::N,sene,тетива
52,Sehne::N,sene,сухожилие
53,Knochen::N,bein,кость
54,Knochen::N,knokkel,кость
55,Gehirn::N,hjerne,мозг
56,Herz::N,hjerte,сердце
57,Magen::N,mage,желудок
58,Leber::N,lever,печень
59,Atem::N,pust,дух
60,Atem::N,pust,дыхание
61,Hunger::N,sult,голод
62,Träne::N,tåre,слеза
63,Geschmack::N,smak,вкус
64,Geruch::N,lukt,запах
65,Schlaf::N,søvn,сон
66,Traum::N,drøm,сновидение
67,Himmel::N,himmel,небо
68,Sonne::N,sol,солнце
69,Mond::N,måne,луна
70,Stern::N,stjerne,звезда
71,Luft::N,luft,воздух
72,Wind::N,vind,ветер
73,Welle::N,bølge,волна
74,Wasser::N,vann,вода
75,Stein::N,stein,камень
76,Boden::N,bakke,почва
77,Erde::N,jord,земля
78,Staub::N,støv,пыль
79,Rauch::N,røyk,дым
80,Funke::N,gnist,искра
81,Feuer::N,ild,огонь
82,Licht::N,lys,свет
83,Schatten::N,skygge,тень
84,Wetter::N,vær,погода
85,Nebel::N,tåke,туман
86,Wolke::N,sky,облако
87,Regen::N,regn,дождь
88,Schnee::N,snø,снег
89,Eis::N,is,лед
90,Frost::N,frost,мороз
91,Kälte::N,kulde,холод
92,Hitze::N,hete,жара
93,Raureif::N,rimfrost,иней
94,Regenbogen::N,regnbue,радуга
95,Donner::N,torden,гром
96,Strömung::N,strømning,течение
97,Tropfen::N,dråpe,капля
98,Schaum::N,skum,пена
99,Schmutz::N,søl,грязь
100,Schmutz::N,skitt,грязь
101,See::N,sjø,озеро
102,Sumpf::N,sump,топь
103,Sumpf::N,myrlende,топь
104,Moor::N,myr,болото
105,Moor::N,myrhei,болото
106,Wiese::N,eng,луг
107,Wald::N,skog,лес
108,Hügel::N,haug,холм
109,Hügel::N,bakke,холм
110,Anhöhe::N,haug,возвышенность
111,Anhöhe::N,bakke,возвышенность
112,Berg::N,berg,гора
113,Berg::N,fjell,гора
