,Concept_ID,os,hu
0,Auge::N,цӕст,szem
1,Ohr::N,хъус,fül
2,Nase::N,фындз,orr
3,Mund::N,дзых,száj
4,Zahn::N,дӕндаг,fog
5,Zunge::N,ӕвзаг,nyelv
6,Lippe::N,был,ajak
7,Wange::N,рус,orca
8,Wange::N,уадул,orca
9,Wange::N,ӕхсӕрфарс,orca
10,Gesicht::N,цӕсгом,arc
11,Stirn::N,ных,homlok
12,Haar::N,хил,haj
13,Schnurrbart::N,рихи,bajusz
14,Bart::N,зачъе,szakáll
15,Kinn::N,роцъо,áll
16,Kiefer[Anatomie]::N,ӕфсӕр,állkapocs
17,Kehle::N,хъуыр,gége
18,Kehle::N,хъуыр,torok
19,Hals::N,къубал,nyak
20,Genick::N,къӕбут,tarkó
21,Kopf::N,сӕр,fő
22,Kopf::N,сӕр,fej
23,Rücken::N,фӕсонтӕ,hát
24,Bauch::N,гуыбын,has
25,Nabel::N,бикъ,köldök
26,Busen::N,дзидзи,mell
27,Busen::N,дзидзи,kebel
28,Brust::N,риу,mell
29,Schulter::N,уӕхск,váll
30,Arm::N,цонг,kar
31,Ellenbogen::N,рæмбын,könyök
32,Hand::N,къух,kéz
33,Handfläche::N,армытъӕпӕн,tenyér
34,Finger::N,ӕнруылдз,ujj
35,Fingernagel::N,ных,köröm
36,Nagel[Anatomie]::N,ных,köröm
37,Zeh::N,къух,lábujj
38,Fuß::N,фад,láb
39,Ferse::N,зӕвӕт,sarok
40,Knie::N,уӕраг,térd
41,Oberschenkel::N,агъд,comb
42,Bein::N,зӕнг,láb
43,Bein::N,зӕнг,lábszár
44,Körper::N,буар,test
45,Haut::N,царм,bőr
46,Blut::N,туг,vér
47,Ader::N,дадзин,ér
48,Ader::N,тугдадзин,ér
49,Sehne::N,хъиутæ,ín
50,Sehne::N,нуар,ín
51,Knochen::N,стӕг,csont
52,Gehirn::N,магъз,agy
53,Gehirn::N,магъз,agyvelő
54,Herz::N,зӕрдӕ,szív
55,Magen::N,ахсӕн,gyomor
56,Leber::N,игæр,máj
57,Atem::N,улӕфт,lehelet
58,Atem::N,улӕфт,lélegzet
59,Hunger::N,стонг,éhség
60,Träne::N,цæссыг,könny
61,Geschmack::N,ад,íz
62,Geruch::N,смаг,szag
63,Schlaf::N,хуыссӕг,álom
64,Schlaf::N,хуыссӕг,alvás
65,Traum::N,фын,álom
66,Himmel::N,арв,ég
67,Himmel::N,арв,menny
68,Himmel::N,уӕларв,ég
69,Himmel::N,уӕларв,menny
70,Sonne::N,хур,nap
71,Mond::N,мӕй,hold
72,Stern::N,стъалы,csillag
73,Luft::N,уӕлдӕф,levegő
74,Wind::N,дымгӕ,szél
75,Welle::N,уылӕн,hullám
76,Wasser::N,дон,víz
77,Stein::N,дур,kő
78,Boden::N,зӕхх,föld
79,Boden::N,зӕхх,talaj
80,Erde::N,сыджыт,föld
81,Staub::N,рыг,por
82,Rauch::N,фӕздӕг,füst
83,Funke::N,цӕхӕр,szikra
84,Feuer::N,зынг,tűz
85,Licht::N,рухс,fény
86,Schatten::N,аууон,árnyék
87,Wetter::N,боныхъӕд,idő
88,Wetter::N,боныхъӕд,időjárás
89,Nebel::N,мигъ,köd
90,Wolke::N,ӕврагъ,felhő
91,Regen::N,уарын,eső
92,Schnee::N,мит,hó
93,Eis::N,их,jég
94,Frost::N,ихæн,fagy
95,Kälte::N,уазал,hideg
96,Hitze::N,ӕнтӕф,hő
97,Hitze::N,ӕнтӕф,hőség
98,Raureif::N,халас,zúzmara
99,Regenbogen::N,арвырон,szivárvány
100,Regenbogen::N,арвырдын,szivárvány
101,Donner::N,æрвнæрын,dörgés
102,Donner::N,æрвнæрын,mennydörgés
103,Strömung::N,цыд,áramlat
104,Tropfen::N,æртах,csepp
105,Schaum::N,фынк,hab
106,Schaum::N,фынк,tajték
107,Schmutz::N,цъыф,piszok
108,See::N,цад,tó
109,Sumpf::N,цъыфдзаст,mocsár
110,Moor::N,цъыфдзаст,láp
111,Wiese::N,уыгӕрдӕн,rét
112,Wiese::N,уыгӕрдӕн,mező
113,Wald::N,хъӕд,erdő
114,Hügel::N,обау,domb
115,Hügel::N,къуыбыр,domb
116,Anhöhe::N,уæлвæз,magaslat
117,Anhöhe::N,уæлхох,magaslat
118,Berg::N,хох,hegy
119,Gipfel::N,цъупп,csúcs
120,Höhle::N,лӕгӕт,barlang
121,Abhang::N,къул,lejtő
122,Quelle::N,суадон,forrás
123,Bach::N,мӕсчъыдон,patak
124,Fluss::N,дон,folyó
125,Fluss::N,цӕугӕдон,folyó
126,Ufer::N,был,part
127,Küste::N,донбыл,tengerpart
128,Festland::N,сурзæхх,szárazföld
129,Meer::N,денджыз,tenger
130,Bucht::N,донбакæлæн,öböl
131,Insel::N,сакъадах,sziget
132,Blume::N,дидинӕг,virág
133,Gras::N,кӕрдӕг,fű
134,Wurzel::N,уидаг,gyökér
135,Baum::N,бӕлас,fa
136,Stamm::N,хӕтӕл,tő
137,Stamm::N,хӕтӕл,törzs
138,Rinde::N,цъар,kéreg
139,Ast::N,арх,ág
140,Zweig::N,къалиу,gally
141,Blatt::N,сыф,levél
142,Birke::N,бæрз,nyír
143,Kiefer[Baum]::N,нӕзы,fenyő
144,Weide[Baum]::N,хӕрис,fűz
145,Tanne::N,наз,fenyő
146,Horn::N,сыкъа,szarv
147,Feder::N,сис,toll
148,Fell::N,царм,szőr
149,Fell::N,царм,bunda
150,Flügel::N,базыр,szárny
151,Klaue::N,ных,köröm
152,Kralle::N,дзӕмбы,karom
153,Schwanz::N,къӕдзил,farok
154,Ei::N,айк,tojás
155,Nest::N,ахстон,fészek
156,Bau::N,хуынкъ,odú
157,Tier::N,сырд,állat
158,Tier::N,цӕрӕгой,állat
159,Herde::N,дзуг,nyáj
160,Herde::N,дзуг,csorda
161,Herde::N,рӕгъау,nyáj
162,Herde::N,рӕгъау,csorda
163,Kuh::N,хъуг,tehén
164,Bulle::N,гал,bika
165,Pferd::N,бӕх,ló
166,Schaf::N,фыс,juh
167,Schaf::N,фыс,birka
168,Schwein::N,хуы,sertés
169,Hund::N,куыдз,eb
170,Hund::N,куыдз,kutya
171,Katze::N,гӕды,macska
172,Bär::N,арс,medve
173,Eichhörnchen::N,æхсæрæг,mókus
174,Elch::N,цæгатаг саг,jávorszarvas
175,Fuchs::N,рувас,róka
176,Hase::N,тæрхъус,nyúl
