,Concept_ID,os,lv
0,Auge::N,цӕст,син
1,Auge::N,цӕст,acs
2,Ohr::N,хъус,пель
3,Ohr::N,хъус,auss
4,Nase::N,фындз,ныр
5,Nase::N,фындз,deguns
6,Mund::N,дзых,вом
7,Mund::N,дзых,mute
8,Zahn::N,дӕндаг,пинь
9,Zahn::N,дӕндаг,zobs
10,Zunge::N,ӕвзаг,кыв
11,Zunge::N,ӕвзаг,mēle
12,Lippe::N,был,вом дор
13,Lippe::N,был,lūpa
14,Wange::N,рус,бан
15,Wange::N,рус,vaigs
16,Wange::N,уадул,бан
17,Wange::N,уадул,vaigs
18,Wange::N,ӕхсӕрфарс,бан
19,Wange::N,ӕхсӕрфарс,vaigs
20,Gesicht::N,цӕсгом,чужӧм
21,Gesicht::N,цӕсгом,seja
22,Gesicht::N,цӕсгом,ģīmis
23,Stirn::N,ных,плеш
24,Stirn::N,ных,кымӧс
25,Stirn::N,ных,piere
26,Haar::N,хил,си
27,Haar::N,хил,юрси
28,Haar::N,хил,mats
29,Schnurrbart::N,рихи,ус
30,Schnurrbart::N,рихи,пыртсим
31,Schnurrbart::N,рихи,ūsas
32,Bart::N,зачъе,тош
33,Bart::N,зачъе,bārda
34,Kinn::N,роцъо,тшӧка
35,Kinn::N,роцъо,zods
36,Kinn::N,роцъо,smakrs
37,Kiefer[Anatomie]::N,ӕфсӕр,черлы
38,Kiefer[Anatomie]::N,ӕфсӕр,алака лы
39,Kiefer[Anatomie]::N,ӕфсӕр,вомкӧтш лы
40,Kiefer[Anatomie]::N,ӕфсӕр,žoklis
41,Kehle::N,хъуыр,голя
42,Kehle::N,хъуыр,rīkle
43,Hals::N,къубал,сьылі
44,Hals::N,къубал,kakls
45,Genick::N,къӕбут,юрбӧр
46,Genick::N,къӕбут,балябӧж
47,Genick::N,къӕбут,sprands
48,Kopf::N,сӕр,юр
49,Kopf::N,сӕр,galva
50,Rücken::N,фӕсонтӕ,мыш
51,Rücken::N,фӕсонтӕ,mugura
52,Bauch::N,гуыбын,рушку
53,Bauch::N,гуыбын,vēders
54,Nabel::N,бикъ,гӧг
55,Nabel::N,бикъ,naba
56,Busen::N,дзидзи,морӧс
57,Busen::N,дзидзи,krūts
58,Brust::N,риу,морӧс
59,Brust::N,риу,krūts
60,Schulter::N,уӕхск,пельпом
61,Schulter::N,уӕхск,plecs
62,Arm::N,цонг,ки
63,Arm::N,цонг,roka
64,Arm::N,цонг,delms
65,Ellenbogen::N,рæмбын,гырддза
66,Ellenbogen::N,рæмбын,elkonis
67,Hand::N,къух,ки
68,Hand::N,къух,roka
69,Hand::N,къух,plauksta
70,Handfläche::N,армытъӕпӕн,ки пыдӧс
71,Handfläche::N,армытъӕпӕн,delna
72,Handfläche::N,армытъӕпӕн,plauksta
73,Finger::N,ӕнруылдз,чунь
74,Finger::N,ӕнруылдз,pirksts
75,Fingernagel::N,ных,гыж
76,Fingernagel::N,ных,nags
77,Nagel[Anatomie]::N,ных,гыж
78,Nagel[Anatomie]::N,ных,nags
79,Zeh::N,къух,кок чунь
80,Zeh::N,къух,pirksts
81,Fuß::N,фад,кок
82,Fuß::N,фад,kāja
83,Ferse::N,зӕвӕт,кокбӧр
84,Ferse::N,зӕвӕт,papēdis
85,Knie::N,уӕраг,пидзӧс
86,Knie::N,уӕраг,celis
87,Oberschenkel::N,агъд,лядьвей
88,Oberschenkel::N,агъд,бек
89,Oberschenkel::N,агъд,ciska
90,Oberschenkel::N,агъд,augšstilbs
91,Bein::N,зӕнг,кок
92,Bein::N,зӕнг,kāja
93,Körper::N,буар,туша
94,Körper::N,буар,вывтыр
95,Körper::N,буар,miesa
96,Körper::N,буар,ķermenis
97,Haut::N,царм,ку
98,Haut::N,царм,āda
99,Blut::N,туг,вир
100,Blut::N,туг,asins
101,Ader::N,дадзин,сӧн
102,Ader::N,дадзин,asinsvads
103,Ader::N,тугдадзин,сӧн
104,Ader::N,тугдадзин,asinsvads
105,Sehne::N,хъиутæ,вез
106,Sehne::N,хъиутæ,dzīsla
107,Sehne::N,нуар,вез
108,Sehne::N,нуар,dzīsla
109,Knochen::N,стӕг,лы
110,Knochen::N,стӕг,kauls
111,Gehirn::N,магъз,вем
112,Gehirn::N,магъз,smadzenes
113,Herz::N,зӕрдӕ,сьӧлӧм
114,Herz::N,зӕрдӕ,sirds
115,Magen::N,ахсӕн,кынӧм
116,Magen::N,ахсӕн,kuņģis
117,Leber::N,игæр,мус
118,Leber::N,игæр,aknas
119,Atem::N,улӕфт,лов
120,Atem::N,улӕфт,elpa
121,Hunger::N,стонг,тшыг
122,Hunger::N,стонг,bads
123,Hunger::N,стонг,izsalkums
124,Träne::N,цæссыг,синва
125,Träne::N,цæссыг,asara
126,Geschmack::N,ад,кӧр
127,Geschmack::N,ад,чӧсмӧс
128,Geschmack::N,ад,garša
129,Geruch::N,смаг,зын
130,Geruch::N,смаг,дук
131,Geruch::N,смаг,smaka
132,Schlaf::N,хуыссӕг,узьӧм
133,Schlaf::N,хуыссӕг,miegs
134,Traum::N,фын,вӧт
135,Traum::N,фын,вӧтасьӧм
136,Traum::N,фын,sapnis
137,Himmel::N,арв,енэж
138,Himmel::N,арв,debess
139,Himmel::N,уӕларв,енэж
140,Himmel::N,уӕларв,debess
141,Sonne::N,хур,шонді
142,Sonne::N,хур,saule
143,Mond::N,мӕй,тӧлысь
144,Mond::N,мӕй,mēness
145,Stern::N,стъалы,кодзув
146,Stern::N,стъалы,zvaigzne
