,Concept_ID,ro,ko
0,Auge::N,ochi,눈
1,Ohr::N,ureche,귀
2,Nase::N,nas,코
3,Mund::N,gură,입
4,Zahn::N,dinte,이
5,Zunge::N,limbă,혀
6,Lippe::N,buză,입술
7,Wange::N,bucă,뺨
8,Wange::N,obraz,뺨
9,Gesicht::N,față,얼굴
10,Gesicht::N,figură,얼굴
11,Stirn::N,frunte,이마
12,Haar::N,păr,털
13,Schnurrbart::N,mustață,윗수몀
14,Schnurrbart::N,mustață,코밑수염
15,Bart::N,barbă,수엄
16,Kinn::N,bărbie,아래턱
17,Kiefer[Anatomie]::N,falcă,턱
18,Kehle::N,beregată,인후
19,Hals::N,gât,목
20,Genick::N,ceafă,먹덜이
21,Kopf::N,cap,머리
22,Rücken::N,dos,든
23,Rücken::N,spate,든
24,Rücken::N,spinare,든
25,Bauch::N,burtă,배
26,Bauch::N,pântece,배
27,Nabel::N,buric,배꼽
28,Busen::N,sân,가슴속
29,Brust::N,piept,가슴
30,Schulter::N,umăr,어깨
31,Schulter::N,spate,어깨
32,Arm::N,braț,팔
33,Ellenbogen::N,cot,팔쿰치
34,Hand::N,mână,손
35,Handfläche::N,palmă,손바닥
36,Finger::N,deget,속가락
37,Fingernagel::N,unghie,손톱
38,Nagel[Anatomie]::N,unghie,손톱
39,Zeh::N,deget de la picior,발가락
40,Fuß::N,picior,발
41,Ferse::N,călcâi,발꿈치
42,Knie::N,genunchi,무릎
43,Oberschenkel::N,coapsă,허벅다리
44,Bein::N,picior,다리
45,Körper::N,corp,구간
46,Haut::N,piele,살갗
47,Blut::N,sânge,피
48,Ader::N,vână,정맥
49,Ader::N,arteră,정맥
50,Sehne::N,tendon,현
51,Knochen::N,os,뼈
52,Gehirn::N,creier,뇌
53,Gehirn::N,creier,뇌수
54,Herz::N,inimă,염통
55,Magen::N,stomac,위
56,Leber::N,ficat,간
57,Atem::N,răsuflare,기식
58,Atem::N,respirație,기식
59,Hunger::N,foame,공복
60,Träne::N,lacrimă,눈물
61,Geschmack::N,gust,기호
62,Geruch::N,miros,냄새
63,Schlaf::N,somn,수면
