,Concept_ID,ru,he
0,Auge::N,глаз,עין
1,Ohr::N,ухо,אזן
2,Nase::N,нос,אף
3,Nase::N,нос,חטם
4,Mund::N,рот,פה
5,Zahn::N,зуб,שן
6,Zunge::N,язык,לשון
7,Lippe::N,губа,שפה
8,Wange::N,щека,לחי
9,Gesicht::N,лицо,פנים
10,Stirn::N,лоб,מצח
11,Haar::N,волос,שערה
12,Haar::N,волосы,שערה
13,Schnurrbart::N,ус,שפם
14,Schnurrbart::N,усы,שפם
15,Bart::N,борода,זקן
16,Kinn::N,подбородок,סנטר
17,Kiefer[Anatomie]::N,челюсть,לסת
18,Kehle::N,горло,גרון
19,Hals::N,шея,צואר
20,Genick::N,затылок,ערף
21,Kopf::N,голова,ראש
22,Rücken::N,спина,גב
23,Bauch::N,живот,בטן
24,Nabel::N,пупок,טבור
25,Busen::N,женская грудь,שד
26,Brust::N,грудь,חזה
27,Schulter::N,плечо,כתף
28,Arm::N,рука,זרוע
29,Ellenbogen::N,локоть,מרפק
30,Hand::N,кисть,יד
31,Handfläche::N,ладонь,כף יד
32,Finger::N,палец,אצבע
33,Fingernagel::N,ноготь,צפרן
34,Nagel[Anatomie]::N,ноготь,צפרן
35,Zeh::N,палец,אצבע
36,Fuß::N,ступня,רגל
37,Ferse::N,пята,עקב
38,Ferse::N,пятка,עקב
39,Knie::N,колено,ברך
40,Oberschenkel::N,бедро,ירך
41,Bein::N,нога,רגל
42,Körper::N,тело,גוף
43,Haut::N,кожа,עור
44,Blut::N,кровь,דם
45,Ader::N,вена,וריד
46,Ader::N,сосуд,וריד
47,Sehne::N,жила,גיד
48,Sehne::N,тетива,גיד
49,Sehne::N,сухожилие,גיד
50,Knochen::N,кость,עצם
51,Gehirn::N,мозг,מוח
52,Herz::N,сердце,לב
53,Magen::N,желудок,קבה
54,Leber::N,печень,כבד
55,Atem::N,дух,נשימה
56,Atem::N,дыхание,נשימה
57,Hunger::N,голод,רעב
58,Träne::N,слеза,דמעה
59,Geschmack::N,вкус,טעם
60,Geruch::N,запах,ריח
61,Schlaf::N,сон,שנה
62,Traum::N,сновидение,חלום
63,Himmel::N,небо,שמים
64,Sonne::N,солнце,שמש
65,Mond::N,луна,ירח
66,Stern::N,звезда,כוכב
67,Luft::N,воздух,אויר
68,Wind::N,ветер,רוח
69,Welle::N,волна,גל
70,Wasser::N,вода,מים
71,Stein::N,камень,אבן
72,Boden::N,почва,קרקע
73,Erde::N,земля,אדמה
74,Staub::N,пыль,אבק
75,Rauch::N,дым,עשן
76,Funke::N,искра,ניצוץ
77,Feuer::N,огонь,אש
78,Licht::N,свет,אור
79,Schatten::N,тень,צל
80,Wetter::N,погода,מזג אויר
81,Nebel::N,туман,ערפל
82,Wolke::N,облако,ענן
83,Regen::N,дождь,גשם
84,Schnee::N,снег,שלג
85,Eis::N,лед,קרח
86,Frost::N,мороз,צנה
87,Kälte::N,холод,קר
88,Hitze::N,жара,חם
89,Raureif::N,иней,כפור
90,Regenbogen::N,радуга,קשת
91,Donner::N,гром,רעם
92,Strömung::N,течение,זרימה
93,Tropfen::N,капля,טפה
94,Schaum::N,пена,קצף
95,Schmutz::N,грязь,לכלוך
96,See::N,озеро,אגם
97,Sumpf::N,топь,בצה
98,Moor::N,болото,בצה
99,Wiese::N,луг,מרעה
100,Wald::N,лес,יער
101,Hügel::N,холм,תל
102,Anhöhe::N,возвышенность,מעלה
103,Berg::N,гора,הר
104,Gipfel::N,вершина,פסגה
105,Höhle::N,пещера,מערה
106,Abhang::N,склон,מדרון
107,Abhang::N,склон,שפוע
108,Quelle::N,источник,מעין
109,Bach::N,ручей,נחל
110,Fluss::N,река,נהר
111,Ufer::N,берег,גדה
112,Küste::N,побережье,חוף
113,Festland::N,суша,יבשה
114,Meer::N,море,ים
115,Bucht::N,бухта,מפרץ
116,Insel::N,остров,אי
117,Blume::N,цветок,פרח
118,Gras::N,трава,דשא
119,Wurzel::N,корень,שרש
120,Baum::N,дерево,עץ
121,Stamm::N,ствол,גזע
122,Rinde::N,кора,קלפת עץ
123,Ast::N,сук,ענף
124,Zweig::N,ветвь,ענף
125,Blatt::N,лист,עלה
126,Birke::N,береза,שדר
127,Kiefer[Baum]::N,сосна,ארן
128,Weide[Baum]::N,ива,ערבה
129,Tanne::N,ель,אשוח
130,Horn::N,рог,קרן
131,Feder::N,перо,נוצה
132,Fell::N,шкура,פרוה
133,Flügel::N,крыло,כנף
134,Klaue::N,коготь,טלף
135,Kralle::N,лапа,טפר
136,Schwanz::N,хвост,זנב
137,Ei::N,яйцо,ביצה
138,Nest::N,гнездо,קן
139,Bau::N,нора,מחלה
140,Tier::N,животное,חיה
141,Herde::N,стадо,עדר
142,Kuh::N,корова,פרה
143,Bulle::N,бык,פר
144,Pferd::N,лошадь,סוס
145,Schaf::N,овца,כבשה
146,Schwein::N,свинья,חזיר
147,Hund::N,собака,כלב
148,Katze::N,кошка,חתול
149,Bär::N,медведь,דב
150,Eichhörnchen::N,белка,סנאי
151,Elch::N,лось,דישון
152,Fuchs::N,лиса,שועל
153,Hase::N,заяц,ארנב
154,Maus::N,мышь,עכבר
155,Wolf::N,волк,זאב
156,Vogel::N,птица,צפור
157,Schwarm::N,стая,נחיל
158,Schwarm::N,стая,להקה
159,Huhn::N,курица,תרנגלת
160,Hahn::N,петух,תרנגול
161,Gans::N,гусь,אוז
162,Adler::N,орел,עיט
163,Ente::N,утка,ברוז
164,Eule::N,сова,ינשוף
165,Kranich::N,журавль,עגור
166,Kranich::N,журавль,כרוכיה
167,Krähe::N,ворона,עורב
168,Kuckuck::N,кукушка,קוקיה
169,Schwan::N,лебедь,ברבור
170,Fisch::N,рыба,דג
171,Barsch::N,окунь,אוקונוס
172,Hecht::N,щука,זאב הים
173,Schlange[Tier]::N,змея,נחש
174,Wurm::N,червяк,תולעת
175,Spinne::N,паук,עכביש
176,Ameise::N,муравей,נמלה
177,Laus::N,вошь,כנה
178,Mücke::N,комар,יתוש
179,Fliege::N,муха,זבוב
180,Schmetterling::N,бабочка,פרפר
181,Beere::N,ягода,ענבה
182,Apfel::N,яблоко,תפוח
183,Pilz::N,гриб,פטריה
184,Zwiebel::N,луковица,בצל
185,Saat::N,семя,זרעים
186,Korn::N,зерно,גרעין
187,Heu::N,сено,חציר
188,Schale::N,шелуха,קלפה
189,Grube::N,яма,בור
190,Grube::N,яма,שוחה
191,Falle::N,ловушка,מלכדת
192,Schlinge::N,силок,לולאה
193,Spur::N,след,עקבה
194,Asche::N,зола,אפר
195,Asche::N,пепел,אפר
196,Dreck::N,грязь,זהמה
197,Eisen::N,железо,ברזל
198,Gold::N,золото,זהב
199,Silber::N,серебро,כסף
200,Kohle::N,уголь,פחם
201,Glas::N,стекло,זכוכית
202,Lehm::N,глина,חרסית
203,Sand::N,песок,חול
204,Mensch::N,человек,אדם
205,Mann::N,мужчина,איש
206,Mann::N,мужчина,גבר
207,Frau::N,женщина,אשה
208,Frau::N,женщина,גברת
209,Kind::N,ребенок,ילד
210,Junge::N,мальчик,ילד
211,Mädchen::N,девочка,נערה
212,Familie::N,семья,משפחה
213,Großvater::N,дедушка,סבא
214,Großmutter::N,бабушка,סבתא
215,Eltern::N,родители,הורים
216,Vater::N,отец,אב
217,Mutter::N,мать,אם
218,Sohn::N,сын,בן
219,Tochter::N,дочь,בת
220,Bruder::N,брат,אח
221,Schwester::N,сестра,אחות
222,Onkel::N,дядя,דוד
223,Tante::N,тетя,דודה
224,Ehemann::N,муж,איש
225,Ehemann::N,муж,בעל
226,Ehefrau::N,жена,אשה
227,Freude::N,радость,שמחה
228,Gelächter::N,смех,צחוק
229,Glück::N,счастье,אשר
230,Kummer::N,горе,יגון
231,Kummer::N,горе,עגמה
232,Wunsch::N,желание,אחול
233,Wunsch::N,желание,משאלה
234,Lust::N,влечение,חשק
235,Lust::N,влечение,תשוקה
236,Geist::N,дух,רוח
237,Gedanke::N,мысль,מחשבה
238,Gedächtnis::N,память,זכרון
239,Verstand::N,ум,שכל
240,Sinn::N,смысл,מובן
241,Sinn::N,смысл,משמעות
242,Grund::N,повод,סבה
243,Wahrheit::N,правда,אמת
244,Gespräch::N,беседа,דיון
245,Märchen::N,сказка,אגדה
246,Erzählung::N,рассказ,ספור
247,Nachricht::N,сообщение,ידיעה
248,Neuigkeit::N,новость,חדשה
249,Name::N,имя,שם
250,Rätsel::N,загадка,תעלומה
251,Rede::N,речь,נאום
252,Sprache::N,язык,לשון
253,Stimme::N,голос,קול
254,Wort::N,слово,מלה
255,Zeichen::N,знак,סימן
256,Ruf::N,зов,קריאה
257,Lärm::N,шум,רעש
258,Laut::N,звук,הגה
259,Ton::N,звучание,צליל
260,Lied::N,песня,שיר
261,Ruhe::N,покой,שלוה
262,Leute::N,люди,אנשים
263,Volk::N,народ,עם
264,Arbeit::N,работа,עבודה
265,Gast::N,гость,אורח
266,Geschenk::N,подарок,מתנה
267,Spiel::N,игра,משחק
268,Gesellschaft::N,общество,חברה
269,Hilfe::N,помощь,עזרה
270,Freund::N,друг,חבר
271,Freund::N,друг,ידיד
272,Kamerad::N,приятель,רע
273,Angelegenheit::N,дело,ענין
274,Anzahl::N,количество,מספר
275,Art::N,вид,סוג
276,Stück::N,кусок,חתיכה
277,Teil::N,часть,פרק
278,Hälfte::N,половина,חצי
279,Kreis::N,круг,מעגל
280,Kreuz::N,крест,צלב
281,Linie::N,линия,קו
282,Strich::N,черта,קו קצר
283,Abstand::N,промежуток,מרחק
284,Entfernung::N,расстояние,מרחק
285,Gegend::N,местность,נוף
286,Platz::N,пространство,שטח
287,Ort::N,место,אתר
288,Ort::N,место,מקום
289,Seite::N,сторона,צד
290,Mitte::N,середина,אמצע
291,Gegenstand::N,предмет,אוביקט
292,Sache::N,вещь,דבר
293,Rand::N,край,פרור
294,Kante::N,ребро,קצה
295,Ecke::N,угол,פנה
296,Spitze::N,кончик,קצה
297,Ende::N,конец,סוף
298,Loch::N,дыра,חר
299,Winkel::N,угол,פנה
300,Muster::N,узор,תבנית
301,Größe::N,размер,גדל
302,Länge::N,длина,ארך
303,Höhe::N,высота,קומה
304,Höhe::N,высота,גבה
305,Gewicht::N,вес,משקל
