,Concept_ID,sah,ca
0,Auge::N,харах,ull
1,Ohr::N,кулгаах,orella
2,Nase::N,мурун,nas
3,Mund::N,айах,boca
4,Zahn::N,тиис,dent
5,Zunge::N,тыл,llēngua
6,Lippe::N,уос,llavi
7,Wange::N,иэдэс,galta
8,Gesicht::N,сирэй,cara
9,Stirn::N,сүүс,front
10,Haar::N,баттах,cabēll
11,Schnurrbart::N,уос бытыга,bigoti
12,Bart::N,сэҥийэ бытыга,barba
13,Kinn::N,сэҥийэ,mentó
14,Kinn::N,сэҥийэ,barbeta
15,Kiefer[Anatomie]::N,сыҥаах,queix
16,Kiefer[Anatomie]::N,сыҥаах,mandíbula
17,Kehle::N,тамах,gola
18,Kehle::N,тамах,gorja
19,Kehle::N,күөмэй,gola
20,Kehle::N,күөмэй,gorja
21,Hals::N,моой,coll
22,Genick::N,кэтэх,nuca
23,Kopf::N,бас,cap
24,Rücken::N,көҕүс,esquena
25,Bauch::N,ис,panxa
26,Nabel::N,киин,llombrígol
27,Busen::N,эмиий,pit
28,Busen::N,эмиий,mama
29,Brust::N,түөс,pit
30,Schulter::N,сарын,espatlla
31,Arm::N,илии,braç
32,Ellenbogen::N,тоҕонох,colze
33,Hand::N,илии,mà
34,Handfläche::N,ытыс,palma
35,Finger::N,тарбах,dit
36,Fingernagel::N,тыҥырах,ungla
37,Nagel[Anatomie]::N,тыҥырах,ungla
38,Zeh::N,тарбах,dit del peu
39,Fuß::N,уллуҥах,peu
40,Ferse::N,тилэх,taló
41,Knie::N,тобук,genoll
42,Knie::N,дьилбэк,genoll
43,Oberschenkel::N,уллук,cuixa
44,Oberschenkel::N,өттүк,cuixa
45,Bein::N,атах,cama
46,Körper::N,бэйэ,cos
47,Haut::N,тирии,pell
48,Blut::N,хаан,sang
49,Ader::N,вена,vena
50,Ader::N,күөх_тымыр,vena
51,Sehne::N,иҥиир,tendó
52,Knochen::N,уҥуох,os
53,Knochen::N,уҥгуох,os
54,Gehirn::N,мэйии,cervell
55,Herz::N,сүрэх,cor
56,Magen::N,куртах,estómac
57,Leber::N,быар,fetge
58,Atem::N,тыын,alè
59,Atem::N,тыын,hàlit
60,Hunger::N,аас,fam
61,Hunger::N,аас,gana
62,Träne::N,харах уута,llàgrima
63,Geschmack::N,амтан,gust
64,Geschmack::N,амтан,sabor
65,Geruch::N,сыт,olor
66,Schlaf::N,утуйуу,son
67,Traum::N,түүл,somni
68,Himmel::N,халлаан,celm
69,Sonne::N,күн,sol
70,Mond::N,ый,lluna
71,Stern::N,сулус,estel
72,Stern::N,сулус,estrella
73,Luft::N,салгын,aire
74,Wind::N,тыал,vent
75,Welle::N,долгун,ona
76,Welle::N,балхаан,ona
77,Wasser::N,уу,āigua
78,Stein::N,таас,pedra
79,Boden::N,сир,sòl
80,Erde::N,буор,terra
81,Staub::N,быыл,pols
82,Rauch::N,буруо,fum
83,Funke::N,кыым,guspira
84,Funke::N,кыым,centella
85,Feuer::N,уот,foc
86,Licht::N,уот,llum
87,Schatten::N,күлүк,ombra
88,Wetter::N,күн-дьыл,temps
89,Nebel::N,туман,boira
90,Wolke::N,былыт,núvol
91,Regen::N,самыыр,pluja
92,Schnee::N,хаар,neu
93,Eis::N,муус,gel
94,Eis::N,муус,glaç
95,Frost::N,тымныы,glaçada
96,Kälte::N,тымныы,fred
97,Hitze::N,куйаас,calor
98,Raureif::N,кырыа,gebre
99,Regenbogen::N,кустук,arc iris
100,Donner::N,этиҥ,tro
101,Strömung::N,сүүрүк,corrent
102,Tropfen::N,таммах,gota
103,Tropfen::N,хааппыла,gota
104,Schaum::N,күүгэн,escuma
105,Schmutz::N,кир,brutícia
106,See::N,күөл,llac
107,Sumpf::N,бадараан,pantà
108,Moor::N,дьэбэрэ,pantà
109,Wiese::N,ходуһа,prat
110,Wiese::N,ходуһа,prada
111,Wald::N,ойуур,bosc
112,Hügel::N,булгунньах,puig
113,Hügel::N,булгунньах,pujol
114,Anhöhe::N,үрдэл,turó
115,Berg::N,хайа,muntanya
116,Gipfel::N,чыпчаал,cim
117,Höhle::N,хайа_хаспаҕа,cova
118,Höhle::N,көҥүс,cova
119,Abhang::N,эниэ,coster
120,Quelle::N,дьүүктэ,font
121,Bach::N,үрүйэ,riera
122,Fluss::N,өрүс,riu
123,Ufer::N,биэрэк,riba
124,Küste::N,кытыл,costa
125,Festland::N,кураанах сир,terra ferma
126,Meer::N,муора,mar
127,Bucht::N,хомо,cala
128,Bucht::N,хомо,badia
129,Bucht::N,бухта,cala
130,Bucht::N,бухта,badia
131,Insel::N,арыы,illa
132,Blume::N,сибэкки,flor
133,Gras::N,от,herba
134,Wurzel::N,силис,rel
135,Wurzel::N,силис,arrel
136,Baum::N,мас,arbre
137,Stamm::N,умнас,tronc
138,Rinde::N,хатырык,escorça
139,Ast::N,мутук,branca
140,Zweig::N,лабаа,ram
141,Blatt::N,сэбирдэх,fulla
142,Birke::N,хатыҥ,bedoll
143,Kiefer[Baum]::N,бэс,pi
144,Weide[Baum]::N,үөт,salze
145,Weide[Baum]::N,талах,salze
146,Tanne::N,харыйа,avet
147,Horn::N,муос,corn
148,Horn::N,муос,banya
149,Feder::N,куорсун,ploma
150,Fell::N,тирии,pell
151,Flügel::N,кынат,ala
152,Klaue::N,тыҥырах,urpa
153,Kralle::N,баппаҕай,grapa
154,Schwanz::N,кутурук,cua
155,Ei::N,сымыыт,ou
156,Nest::N,уйа,niu
157,Bau::N,хороон,cau
158,Tier::N,кыыл,animāl
159,Tier::N,харамай,animāl
160,Herde::N,үөр,ramat
161,Kuh::N,ынах,vaca
162,Bulle::N,оҕус,toro
163,Pferd::N,сылгы,cavāll
164,Schaf::N,овца,be
165,Schaf::N,овца,ovella
166,Schwein::N,сибиинньэ,bacó
167,Hund::N,ыт,ca
168,Hund::N,ыт,gos
169,Katze::N,куоска,gat
170,Bär::N,эһэ,ós
171,Eichhörnchen::N,тииҥ,esquirol
172,Elch::N,тайах,ant
173,Fuchs::N,саһыл,guilla
174,Hase::N,куобах,llebre
175,Maus::N,кутуйах,ratolí
176,Wolf::N,бөрө,llop
177,Vogel::N,көтөр,au
178,Vogel::N,көтөр,ocēll
179,Schwarm::N,бөлөх,bandada
180,Huhn::N,куурусса,gallina
181,Hahn::N,бөтүүк,gall
182,Gans::N,хаас,oca
183,Adler::N,хотой,àguila
184,Ente::N,кус,ànec
185,Eule::N,мэкчиргэ,òliba
186,Eule::N,мэкчиргэ,mussol
187,Kranich::N,туруйа,grua
188,Krähe::N,тураах,cornella
189,Kuckuck::N,кэҕэ,cucut
190,Schwan::N,куба,cigne
191,Fisch::N,балык,peix
192,Barsch::N,алыһар,perca
193,Hecht::N,сордон,lluç
194,Schlange[Tier]::N,моҕой,serp
195,Schlange[Tier]::N,эриэн үөн,serp
196,Wurm::N,үөн,cuc
197,Spinne::N,ооҕуй,aranya
198,Ameise::N,кымырдаҕас,formiga
199,Laus::N,быт,poll
200,Mücke::N,кумаар,mosquit
201,Fliege::N,сахсырҕа,mosca
202,Schmetterling::N,лыах,papallona
203,Schmetterling::N,үрүмэччи,papallona
204,Beere::N,отон,baia
205,Apfel::N,яблоко,poma
206,Pilz::N,тэллэй,bolet
207,Zwiebel::N,луук,ceba
208,Saat::N,сиэмэ,sembra
209,Korn::N,сиэмэ,gra
210,Heu::N,от,fenc
211,Schale::N,хах,closca
212,Grube::N,дьаама,sot
213,Grube::N,дьаама,clot
214,Falle::N,сохсо,trampa
215,Schlinge::N,уктаа,baga
216,Spur::N,суол,traça
217,Asche::N,күл,cendra
218,Dreck::N,бадараан,llot
219,Eisen::N,тимир,ferro
220,Gold::N,көмүс,or
221,Gold::N,кыһыл көмүс,or
222,Silber::N,көмүс,plata
223,Silber::N,үрүҥ көмүс,plata
224,Kohle::N,чох,carbó
225,Glas::N,өстүөкүлэ,vidre
226,Lehm::N,туой,fang
227,Lehm::N,туой,argila
228,Sand::N,кумах,arena
229,Mensch::N,киһи,humà
230,Mensch::N,киһи,persona
231,Mann::N,эр,home
232,Frau::N,дьахтар,dona
233,Kind::N,оҕо,nen
234,Junge::N,уол,noi
235,Mädchen::N,кыыс оҕо,noia
236,Familie::N,кэргэн,família
237,Großvater::N,эһэ,avi
238,Großmutter::N,эбэ,àvia
239,Eltern::N,аҕа-ийэ,pares
240,Vater::N,аҕа,pare
241,Mutter::N,ийэ,mare
242,Sohn::N,уол,fill
243,Tochter::N,кыыс,filla
244,Bruder::N,убай,germà
245,Bruder::N,быраат,germà
246,Schwester::N,аҕас,germana
247,Schwester::N,балыс,germana
248,Onkel::N,таай,oncle
249,Onkel::N,абаҕа,oncle
250,Tante::N,эдьиий,tia
251,Ehemann::N,эр,espòs
252,Ehefrau::N,ойох,muller
253,Freude::N,үөрүү,goig
254,Freude::N,үөрүү,alegria
255,Gelächter::N,күлүү,riallada
256,Glück::N,дьол,felicitat
257,Glück::N,соргу,felicitat
258,Kummer::N,кутурҕан,pena
259,Wunsch::N,баҕарыы,desig
260,Lust::N,баҕа,ganes
261,Geist::N,тыын,ment
262,Geist::N,тыын,esperit
263,Gedanke::N,санаа,pensament
264,Gedächtnis::N,өй,memòria
265,Verstand::N,өй,raó
266,Verstand::N,өй,seny
267,Sinn::N,суолта,solta
268,Sinn::N,суолта,sentit
269,Grund::N,төрүөт,raó
270,Grund::N,төрүөт,causa
271,Wahrheit::N,кырдьык,veritāt
272,Gespräch::N,бэсиэдэ,conversa
273,Gespräch::N,кэпсэтии,conversa
274,Märchen::N,остуоруйа,conte
275,Erzählung::N,кэпсээн,narració
276,Nachricht::N,биллэриллии,missatge
277,Neuigkeit::N,сонун,novetat
278,Name::N,аат,nom
279,Rätsel::N,таабырын,endevinalla
280,Rede::N,этии,discurs
281,Sprache::N,тыл,llēngua
282,Stimme::N,куолас,veu
283,Wort::N,тыл,mot
284,Wort::N,тыл,paraula
285,Zeichen::N,бэлиэ,signe
286,Zeichen::N,бэлиэ,senyal
287,Ruf::N,ыҥырыы,crida
288,Lärm::N,айдаан,sorōll
289,Laut::N,тыас,so
290,Ton::N,дорҕоон,to
291,Lied::N,ырыа,cançó
292,Ruhe::N,уу чуумпу,calma
293,Ruhe::N,уу чуумпу,silenci
294,Leute::N,дьон,gent
295,Volk::N,дьон,poble
296,Volk::N,норуот,poble
297,Arbeit::N,үлэ,labor
298,Arbeit::N,үлэ,treball
299,Gast::N,ыалдьыт,hoste
300,Geschenk::N,бэлэх,regal
301,Geschenk::N,бэлэх,obsequi
302,Spiel::N,оонньуу,joc
303,Gesellschaft::N,общество,companyia
304,Hilfe::N,көмө,ajut
305,Freund::N,доҕор,amīc
306,Kamerad::N,атас,company
307,Kamerad::N,атас,camarada
308,Angelegenheit::N,дьыала,afer
309,Angelegenheit::N,дьыала,assumpte
310,Anzahl::N,ахсаан,nombre
311,Anzahl::N,ахсаан,quantitat
312,Art::N,биис,tipus
313,Art::N,биис,classe
314,Stück::N,кырбас,peça
315,Teil::N,ирээт,part
316,Hälfte::N,аҥар,meitat
317,Kreis::N,төгүрүк,cercle
318,Kreis::N,төгүрүмтэ,cercle
319,Kreuz::N,кириэс,creu
320,Linie::N,сурааһын,línia
321,Strich::N,сурааһын,traç
322,Strich::N,сурааһын,ratlla
323,Abstand::N,арыт,distància
324,Entfernung::N,ыраах,distància
325,Gegend::N,сир,regió
326,Gegend::N,сир,contrada
327,Platz::N,арыт,cabuda
328,Ort::N,сир,lloc
329,Seite::N,өрүт,banda
330,Seite::N,өрүт,costāt
331,Seite::N,сирэй,banda
332,Seite::N,сирэй,costāt
333,Mitte::N,орто,mig
334,Mitte::N,орто,centre
335,Gegenstand::N,предмет,objecte
336,Sache::N,мал,cosa
337,Rand::N,кытыы,vora
338,Rand::N,кытыы,marge
339,Rand::N,ойоҕос,vora
340,Rand::N,ойоҕос,marge
341,Kante::N,кырыы,caire
342,Kante::N,кырыы,cantell
343,Ecke::N,муннук,cantonada
344,Spitze::N,чыпчаал,punta
345,Ende::N,төбө,cap
346,Loch::N,тэһэҕэс,forāt
347,Loch::N,дьөлөҕөс,forāt
348,Winkel::N,муннук,racó
349,Muster::N,оһуор,dibuix
350,Muster::N,оһуор,disseny
351,Größe::N,кээмэй,grandària
352,Länge::N,уста,longitud
353,Höhe::N,үрдүк,altura
354,Höhe::N,үрдүк,altitud
355,Gewicht::N,ыйааһын,pes
356,Menge::N,ахсаан,quantitat
357,Haufen::N,чөмчөх,pila
358,Reihe::N,кэккэ,fila
359,Boot::N,оҥочо,bot
360,Boot::N,оҥочо,barca
361,Ruder::N,эрдии,rem
362,Schlitten::N,сыарҕа,trineu
363,Ski::N,хайыһар,esquí
364,Lagerfeuer::N,кутаа,foc de campament
365,Last::N,ыарахан,càrrega
366,Gang::N,хаамыы,marxa
367,Schritt::N,хардыы,pas
368,Norden::N,хоту,nord
369,Süden::N,соҕуруу,sud
370,Westen::N,арҕаа,oest
371,Westen::N,арҕаа,occident
372,Osten::N,илин,est
373,Osten::N,илин,orient
374,Holz::N,мас,fusta
375,Brett::N,дуоска,taula
376,Brett::N,хаптаһын,taula
377,Platte::N,билиитэ,placa
378,Stütze::N,тулааһын,suport
379,Stange::N,ураҕас,vara
380,Stock::N,мас,pal
381,Stock::N,баалкы,pal
382,Stab::N,ураҕас,bastó
383,Rohr::N,турба,tub
384,Haus::N,дьиэ,casa
385,Heim::N,дьиэ,llar
386,Ofen::N,оһох,estufa
387,Fußboden::N,муоста,terra
388,Tisch::N,остуол,taula
389,Stuhl::N,устуул,cadira
390,Wiege::N,биһик,bressol
391,Bett::N,кырабаат,llit
392,Regal::N,долбуур,prestatgeria
393,Kiste::N,дьааһык,caixa
394,Fenster::N,түннүк,finestra
395,Tür::N,аан,porta
396,Tor::N,аан,portal
397,Zaun::N,соппулуот,tanca
398,Dach::N,кырыыса,teulada
399,Leiter::N,кирилиэс,escala
400,Leiter::N,кирилиэс,escala de mà
401,Besen::N,миинньик,escombra
402,Spaten::N,күрдьэх,pala
403,Schaufel::N,күрдьэх,pala
404,Gabel::N,биилкэ,forquilla
405,Löffel::N,луоска,cullera
406,Messer::N,быһах,coltell
407,Nagel::N,тоһоҕо,clau
408,Netz::N,илим,filat
409,Haken::N,көхө,ganxo
410,Griff::N,ук,puny
411,Griff::N,ук,mànec
412,Griff::N,тутаах,puny
413,Griff::N,тутаах,mànec
414,Schloss::N,күлүүс,pany
415,Bild::N,хартыына,imatge
416,Figur::N,фигура,figura
417,Puppe::N,куукула,nina
418,Beutel::N,мөһөөччук,bossa
419,Bündel::N,баайыы,feix
420,Bündel::N,баайыы,paquet
421,Tasche::N,суумка,bossa
422,Eimer::N,биэдэрэ,galleda
423,Deckel::N,хаппах,tapa
424,Deckel::N,хаппах,tapadora
425,Geschirr::N,иһит,vaixella
426,Sack::N,куул,sac
427,Sack::N,куул,saca
428,Tasse::N,сэлиэнэй,tassa
429,Topf::N,көстүрүүҥкэ,pot
430,Topf::N,көстүрүүҥкэ,olla
431,Kessel::N,хочуол,caldera
432,Essen::N,аһылык,àpat
433,Essen::N,аһылык,menjada
434,Nahrung::N,ас,aliment
435,Speise::N,аһылык,plat
436,Fleisch::N,эт,carn
437,Getreide::N,злактар,cereals
438,Brei::N,хааһы,puré
439,Brot::N,килиэп,pa
440,Scheibe::N,куһуок,tall
441,Scheibe::N,куһуок,llesca
442,Fett::N,сыа,greix
443,Butter::N,арыы,mantega
