,Concept_ID,sah,mhr
0,Auge::N,харах,шинча́
1,Ohr::N,кулгаах,пы́лыш
2,Nase::N,мурун,нер
3,Mund::N,айах,умша́
4,Zahn::N,тиис,пӱй
5,Zunge::N,тыл,йы́лме
6,Lippe::N,уос,тӱ́рвӧ
7,Wange::N,иэдэс,шӱ́ргӧ
8,Gesicht::N,сирэй,чури́й
9,Stirn::N,сүүс,саҥга́
10,Haar::N,баттах,ӱп
11,Schnurrbart::N,уос бытыга,ӧ́рыш
12,Bart::N,сэҥийэ бытыга,понда́ш
13,Kinn::N,сэҥийэ,оҥыла́ш
14,Kiefer[Anatomie]::N,сыҥаах,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,сыҥаах,пӱйората́
16,Kehle::N,тамах,лога́р
17,Kehle::N,күөмэй,лога́р
18,Hals::N,моой,шӱй
19,Genick::N,кэтэх,шӱйло́дыш
20,Kopf::N,бас,вуй
21,Rücken::N,көҕүс,туп
22,Bauch::N,ис,мӱ́шкыр
23,Nabel::N,киин,кы́лымде
24,Busen::N,эмиий,чы́зе
25,Brust::N,түөс,оҥ
26,Schulter::N,сарын,ва́че
27,Arm::N,илии,кид
28,Ellenbogen::N,тоҕонох,кынерву́й
29,Hand::N,илии,кид
30,Hand::N,илии,копа́
31,Handfläche::N,ытыс,со́во
32,Finger::N,тарбах,парня́
33,Fingernagel::N,тыҥырах,кидкӱ́ч
34,Fingernagel::N,тыҥырах,парнягӱ́ч
35,Nagel[Anatomie]::N,тыҥырах,кӱч
36,Zeh::N,тарбах,йолварня́
37,Fuß::N,уллуҥах,йол
38,Fuß::N,уллуҥах,йолкопа́
39,Ferse::N,тилэх,тага́н
40,Knie::N,тобук,пулву́й
41,Knie::N,дьилбэк,пулву́й
42,Oberschenkel::N,уллук,э́рде
43,Oberschenkel::N,өттүк,э́рде
44,Bein::N,атах,йол
45,Körper::N,бэйэ,кап
46,Haut::N,тирии,кова́ште
47,Blut::N,хаан,вӱр
48,Ader::N,вена,шӧн
49,Ader::N,күөх_тымыр,шӧн
50,Sehne::N,иҥиир,шӧн
51,Sehne::N,иҥиир,кӱсе́н
52,Knochen::N,уҥуох,лу
53,Knochen::N,уҥгуох,лу
54,Gehirn::N,мэйии,вем
55,Gehirn::N,мэйии,вуйве́м
56,Herz::N,сүрэх,шӱм
57,Magen::N,куртах,пага́р
58,Leber::N,быар,мокш
59,Atem::N,тыын,шӱ́лыш
60,Hunger::N,аас,шужыма́ш
61,Träne::N,харах уута,шинчавӱ́д
62,Geschmack::N,амтан,там
63,Geruch::N,сыт,пуш
64,Schlaf::N,утуйуу,о́мо
65,Traum::N,түүл,йӱдо́мо
66,Himmel::N,халлаан,кава́
67,Sonne::N,күн,ке́че
68,Mond::N,ый,ты́лзе
69,Stern::N,сулус,шӱ́дыр
70,Luft::N,салгын,юж
71,Wind::N,тыал,марде́ж
72,Welle::N,долгун,то́лкын
73,Welle::N,балхаан,то́лкын
74,Wasser::N,уу,вӱд
75,Stein::N,таас,кӱ
76,Boden::N,сир,рок
77,Erde::N,буор,мла́нде
78,Staub::N,быыл,пура́к
79,Rauch::N,буруо,шикш
80,Funke::N,кыым,сеске́м
81,Funke::N,кыым,тулйы́п
82,Feuer::N,уот,тул
83,Licht::N,уот,со́то
84,Schatten::N,күлүк,ӱ́мыл
85,Wetter::N,күн-дьыл,иге́че
86,Nebel::N,туман,тӱтыра́
87,Wolke::N,былыт,пыл
88,Regen::N,самыыр,йӱр
89,Schnee::N,хаар,лум
90,Eis::N,муус,ий
91,Frost::N,тымныы,чатлама́
92,Kälte::N,тымныы,йӱ́штӧ
93,Hitze::N,куйаас,шо́кшо
94,Raureif::N,кырыа,пӧрш
95,Raureif::N,кырыа,по́кшым
96,Regenbogen::N,кустук,шонанпы́л
97,Donner::N,этиҥ,кӱ́дырчӧ
98,Strömung::N,сүүрүк,йо́гын
99,Tropfen::N,таммах,чӱча́лтыш
100,Tropfen::N,хааппыла,чӱча́лтыш
101,Schaum::N,күүгэн,шоҥ
102,Schmutz::N,кир,лавыра́
103,See::N,күөл,ер
104,Sumpf::N,бадараан,лӱ́кӧ
105,Moor::N,дьэбэрэ,куп
106,Wiese::N,ходуһа,о́лык
107,Wald::N,ойуур,чодыра́
108,Hügel::N,булгунньах,арка́
109,Anhöhe::N,үрдэл,тӧва́
110,Anhöhe::N,үрдэл,кӱкшака́
111,Berg::N,хайа,ку́рык
112,Gipfel::N,чыпчаал,чаҥга́
113,Gipfel::N,чыпчаал,курыкву́й
114,Höhle::N,хайа_хаспаҕа,пеще́р
115,Höhle::N,хайа_хаспаҕа,курыкпо́мыш
116,Höhle::N,көҥүс,пеще́р
117,Höhle::N,көҥүс,курыкпо́мыш
118,Abhang::N,эниэ,та́йыл
119,Quelle::N,дьүүктэ,важ
120,Quelle::N,дьүүктэ,вӱдшинча́
121,Bach::N,үрүйэ,изэҥе́р
122,Fluss::N,өрүс,эҥе́р
123,Ufer::N,биэрэк,сер
124,Küste::N,кытыл,вӱдтӱ́р
125,Festland::N,кураанах сир,мла́нде
126,Meer::N,муора,те́ҥыз
127,Bucht::N,хомо,икса́
128,Bucht::N,бухта,икса́
129,Insel::N,арыы,отро́
130,Blume::N,сибэкки,пеле́дыш
131,Gras::N,от,шу́до
132,Wurzel::N,силис,вож
133,Baum::N,мас,пуше́ҥге
134,Stamm::N,умнас,йы́тыр
135,Rinde::N,хатырык,шӱм
136,Ast::N,мутук,укш
137,Zweig::N,лабаа,торма́к
138,Blatt::N,сэбирдэх,лышта́ш
139,Birke::N,хатыҥ,куэ́
140,Kiefer[Baum]::N,бэс,пӱ́нчӧ
141,Weide[Baum]::N,үөт,уа́
142,Weide[Baum]::N,талах,уа́
143,Tanne::N,харыйа,кож
144,Horn::N,муос,шур
145,Feder::N,куорсун,пы́стыл
146,Fell::N,тирии,кова́ште
147,Flügel::N,кынат,шу́лдыр
148,Klaue::N,тыҥырах,кӱч
149,Kralle::N,баппаҕай,ла́па
150,Kralle::N,баппаҕай,копа́
151,Schwanz::N,кутурук,поч
152,Ei::N,сымыыт,му́но
153,Nest::N,уйа,пыжа́ш
154,Bau::N,хороон,пыжа́ш
155,Tier::N,кыыл,я́нлык
156,Tier::N,кыыл,живо́тный
157,Tier::N,харамай,я́нлык
158,Tier::N,харамай,живо́тный
159,Herde::N,үөр,кӱ́тӱ
160,Herde::N,үөр,тӱшка́
161,Kuh::N,ынах,ушка́л
162,Bulle::N,оҕус,ӱ́шкыж
163,Pferd::N,сылгы,и́мне
164,Schaf::N,овца,шо́рык
165,Schwein::N,сибиинньэ,сӧсна́
166,Hund::N,ыт,пий
167,Katze::N,куоска,пы́рыс
168,Bär::N,эһэ,маска́
169,Eichhörnchen::N,тииҥ,ур
170,Elch::N,тайах,шо́рдо
171,Fuchs::N,саһыл,ры́выж
172,Hase::N,куобах,мера́ҥ
173,Maus::N,кутуйах,коля́
174,Wolf::N,бөрө,пи́ре
175,Vogel::N,көтөр,ка́йык
176,Schwarm::N,бөлөх,каша́к
177,Huhn::N,куурусса,чы́ве
178,Hahn::N,бөтүүк,агыта́н
179,Gans::N,хаас,ко́мбо
180,Adler::N,хотой,карагу́ш
181,Ente::N,кус,лу́до
182,Eule::N,мэкчиргэ,тумна́
183,Kranich::N,туруйа,турня́
184,Krähe::N,тураах,кора́к
185,Kuckuck::N,кэҕэ,куку́
186,Schwan::N,куба,йӱ́ксӧ
187,Fisch::N,балык,кол
188,Barsch::N,алыһар,ола́ҥге
189,Hecht::N,сордон,нуж
190,Hecht::N,сордон,чорта́н
191,Schlange[Tier]::N,моҕой,ки́шке
192,Schlange[Tier]::N,эриэн үөн,ки́шке
193,Wurm::N,үөн,шукш
194,Spinne::N,ооҕуй,эҥыре́мыш
195,Ameise::N,кымырдаҕас,ку́тко
196,Laus::N,быт,тий
197,Mücke::N,кумаар,шыҥа́
198,Fliege::N,сахсырҕа,ка́рме
199,Schmetterling::N,лыах,лы́ве
200,Schmetterling::N,үрүмэччи,лы́ве
201,Beere::N,отон,мӧр
202,Apfel::N,яблоко,олма́
203,Pilz::N,тэллэй,по́ҥго
204,Zwiebel::N,луук,шога́н
205,Saat::N,сиэмэ,нӧ́шмӧ
206,Saat::N,сиэмэ,туш
207,Korn::N,сиэмэ,шу́рно
208,Heu::N,от,шу́до
209,Schale::N,хах,шӱм
210,Grube::N,дьаама,выне́м
211,Falle::N,сохсо,лӧ́дӧ
212,Schlinge::N,уктаа,о́птыш
213,Schlinge::N,уктаа,шӧрга́лтыш
214,Spur::N,суол,кыша́
215,Asche::N,күл,ло́мыж
216,Dreck::N,бадараан,лавыра́
217,Eisen::N,тимир,кӱ́ртньӧ
218,Gold::N,көмүс,шӧ́ртньӧ
219,Gold::N,кыһыл көмүс,шӧ́ртньӧ
220,Silber::N,көмүс,ший
221,Silber::N,үрүҥ көмүс,ший
222,Kohle::N,чох,мландышӱ́й
223,Glas::N,өстүөкүлэ,янда́
224,Lehm::N,туой,шун
225,Sand::N,кумах,ошма́
226,Mensch::N,киһи,еҥ
227,Mensch::N,киһи,айде́ме
228,Mann::N,эр,пӧръе́ҥ
229,Frau::N,дьахтар,ӱдырама́ш
230,Kind::N,оҕо,аза́
231,Junge::N,уол,рве́зе
232,Mädchen::N,кыыс оҕо,ӱдыра́ш
233,Familie::N,кэргэн,еш
234,Großvater::N,эһэ,коча́
235,Großmutter::N,эбэ,кова́
236,Eltern::N,аҕа-ийэ,ача́-ава́
237,Vater::N,аҕа,ача́
238,Mutter::N,ийэ,ава́
239,Sohn::N,уол,э́рге
240,Tochter::N,кыыс,ӱ́дыр
241,Bruder::N,убай,иза́
242,Bruder::N,убай,шо́льо
243,Bruder::N,быраат,иза́
244,Bruder::N,быраат,шо́льо
245,Schwester::N,аҕас,ака́
246,Schwester::N,балыс,ака́
247,Onkel::N,таай,иза́
248,Onkel::N,абаҕа,иза́
249,Tante::N,эдьиий,кока́
250,Ehemann::N,эр,мари́й
251,Ehefrau::N,ойох,ва́те
252,Freude::N,үөрүү,куа́н
253,Freude::N,үөрүү,куаныма́ш
254,Gelächter::N,күлүү,во́штылтыш
255,Glück::N,дьол,пиа́л
256,Glück::N,соргу,пиа́л
257,Kummer::N,кутурҕан,о́йго
258,Wunsch::N,баҕарыы,ку́мыл
259,Lust::N,баҕа,ку́мыл
260,Geist::N,тыын,ӧрт
261,Geist::N,тыын,чон
262,Gedanke::N,санаа,ой
263,Gedanke::N,санаа,шоныма́ш
264,Gedächtnis::N,өй,шарныма́ш
265,Verstand::N,өй,уш
266,Sinn::N,суолта,смысл
267,Grund::N,төрүөт,ама́л
268,Wahrheit::N,кырдьык,чын
269,Gespräch::N,бэсиэдэ,мутланыма́ш
270,Gespräch::N,кэпсэтии,мутланыма́ш
271,Märchen::N,остуоруйа,йома́к
272,Erzählung::N,кэпсээн,ойлыма́ш
273,Nachricht::N,биллэриллии,увертарыма́ш
274,Neuigkeit::N,сонун,уве́р
275,Name::N,аат,лӱм
276,Rätsel::N,таабырын,ту́што
277,Rede::N,этии,ойлыма́ш
278,Sprache::N,тыл,йы́лме
279,Stimme::N,куолас,йӱк
280,Wort::N,тыл,ой
281,Wort::N,тыл,мут
282,Zeichen::N,бэлиэ,ти́ште
283,Zeichen::N,бэлиэ,знак
