,Concept_ID,se,zh
0,Auge::N,tjelmie,眼睛
1,Auge::N,tjalmme,眼睛
2,Auge::N,čalbmi,眼睛
3,Auge::N,čalme,眼睛
4,Auge::N,čâ´lmm,眼睛
5,Auge::N,ча̄лльм,眼睛
6,Ohr::N,bieljie,耳朵
7,Ohr::N,biellje,耳朵
8,Ohr::N,beallji,耳朵
9,Ohr::N,pelji,耳朵
10,Ohr::N,pe´llj,耳朵
11,Ohr::N,пе̄лльй,耳朵
12,Nase::N,njuenie,鼻子
13,Nase::N,njunnje,鼻子
14,Nase::N,njunni,鼻子
15,Nase::N,njuṇe,鼻子
16,Nase::N,njuu´nn,鼻子
17,Nase::N,нюннҍ,鼻子
18,Mund::N,njaelmie,嘴
19,Mund::N,njálmme,嘴
20,Mund::N,njálbmi,嘴
21,Mund::N,njälmi,嘴
22,Mund::N,njä´lmm,嘴
23,Mund::N,ня̄лльм,嘴
24,Zahn::N,baenie,牙齿
25,Zahn::N,bádne,牙齿
26,Zahn::N,bátni,牙齿
27,Zahn::N,pääṇi,牙齿
28,Zahn::N,pää´nn,牙齿
29,Zahn::N,па̄ннҍ,牙齿
30,Zunge::N,njoektjeme,舌头
31,Zunge::N,njuovtjav,舌头
32,Zunge::N,njuovčča,舌头
33,Zunge::N,njuovčâ,舌头
34,Zunge::N,njuhččâm,舌头
35,Zunge::N,нюхчем,舌头
36,Lippe::N,bangseme,嘴唇
37,Lippe::N,njálmmerabdda,嘴唇
38,Lippe::N,bavssa,嘴唇
39,Lippe::N,poovsâ,嘴唇
40,Lippe::N,põõus,嘴唇
41,Lippe::N,пэ̄кс,嘴唇
42,Wange::N,skiehrie,面颊
43,Wange::N,nierra,面颊
44,Wange::N,muohtu,面颊
45,Wange::N,nieṛâ,面颊
46,Wange::N,njiõrr,面颊
47,Wange::N,нӣрр,面颊
48,Gesicht::N,ååredæjja,脸
49,Gesicht::N,muohto,脸
50,Gesicht::N,muođut,脸
51,Gesicht::N,ámadadju,脸
52,Gesicht::N,muáđuh,脸
53,Gesicht::N,muâđ,脸
54,Gesicht::N,ка̄ссв,脸
55,Stirn::N,gaalloe,额
56,Stirn::N,gállo,额
57,Stirn::N,gállu,额
58,Stirn::N,kállu,额
59,Stirn::N,käll,额
60,Stirn::N,вуэххьц,额
61,Haar::N,voepte,头发
62,Haar::N,vuoppta,头发
63,Haar::N,vuokta,头发
64,Haar::N,vuop'tâ,头发
65,Haar::N,vuõpt,头发
66,Haar::N,вӯппт,头发
67,Schnurrbart::N,bijjie-skaavtjoe,髭须
68,Schnurrbart::N,njunjevuolskávttjá,髭须
69,Schnurrbart::N,seamu,髭须
70,Schnurrbart::N,siämu,髭须
71,Schnurrbart::N,ää´bben,髭须
72,Schnurrbart::N,о̄а̄бпан,髭须
73,Bart::N,skaavtja,胡子
74,Bart::N,skaavtjoe,胡子
75,Bart::N,skávttjá,胡子
76,Bart::N,seamu,胡子
77,Bart::N,siämu,胡子
78,Bart::N,seäm,胡子
79,Bart::N,ся̄м,胡子
80,Kinn::N,gaejpie,下巴
81,Kinn::N,gájbbe,下巴
82,Kinn::N,gáibi,下巴
83,Kinn::N,käibi,下巴
84,Kinn::N,käi´bb,下巴
85,Kinn::N,ка̄ййп,下巴
86,Kiefer[Anatomie]::N,gaejpie,颌
87,Kiefer[Anatomie]::N,oalol,颌
88,Kiefer[Anatomie]::N,oaloldákte,颌
89,Kiefer[Anatomie]::N,gáibi,颌
90,Kiefer[Anatomie]::N,uá'lultähti,颌
91,Kiefer[Anatomie]::N,vuâl'lõš,颌
92,Kiefer[Anatomie]::N,вуаллнешш,颌
93,Kehle::N,gealoe,嗓子
94,Kehle::N,tjåttå,嗓子
95,Kehle::N,njiello,嗓子
96,Kehle::N,čotta,嗓子
97,Kehle::N,čuudâ,嗓子
98,Kehle::N,čoodd,嗓子
99,Kehle::N,чонт,嗓子
100,Kehle::N,кэ̄ҏс,嗓子
101,Hals::N,tjeapohke,颈
102,Hals::N,tjiebet,颈
103,Hals::N,čeabet,颈
104,Hals::N,čiäppát,颈
105,Hals::N,čeäppat,颈
106,Hals::N,ча̄пэх,颈
107,Genick::N,tjovrese,后颈
108,Genick::N,nisske,后颈
109,Genick::N,niehkki,后颈
110,Genick::N,niski,后颈
111,Genick::N,niek'ki,后颈
112,Genick::N,nji´šǩǩmaadd,后颈
113,Genick::N,нышшькмоант,后颈
114,Kopf::N,åejjie,头
115,Kopf::N,oajvve,头
116,Kopf::N,oaivi,头
117,Kopf::N,uái'vi,头
118,Kopf::N,vuei´vv,头
119,Kopf::N,вуэййв,头
120,Rücken::N,rudtje,背
121,Rücken::N,hárddo,背
122,Rücken::N,tjavelk,背
123,Rücken::N,sealgi,背
124,Rücken::N,selgi,背
125,Rücken::N,čielgi,背
126,Rücken::N,seä´lǧǧ,背
127,Rücken::N,се̄лльк,背
128,Bauch::N,tjåejjie,肚子
129,Bauch::N,tjoajvve,肚子
130,Bauch::N,čoavji,肚子
131,Bauch::N,čuáv'ji,肚子
132,Bauch::N,čåu´jj,肚子
133,Bauch::N,чо̄ввьй,肚子
134,Nabel::N,naepie,肚脐
135,Nabel::N,náhpe,肚脐
136,Nabel::N,náhpi,肚脐
137,Nabel::N,nääpi,肚脐
138,Nabel::N,nää´pp,肚脐
139,Nabel::N,на̄бпь,肚脐
140,Busen::N,boenge,胸脯
141,Busen::N,bållå,胸脯
142,Busen::N,čižži,胸脯
143,Busen::N,njamma,胸脯
144,Busen::N,njižže,胸脯
145,Busen::N,nje´ǯǯ,胸脯
146,Busen::N,раннҍт,胸脯
147,Brust::N,mïelke,胸
148,Brust::N,radde,胸
149,Brust::N,mielgga,胸
150,Brust::N,raddi,胸
151,Brust::N,radde,胸
152,Brust::N,râ´dd,胸
153,Brust::N,раннҍт,胸
154,Schulter::N,åelkie,肩膀
155,Schulter::N,oalgge,肩膀
156,Schulter::N,hárdu,肩膀
157,Schulter::N,ärdee,肩膀
158,Schulter::N,uál'gi,肩膀
159,Schulter::N,a´rddi,肩膀
160,Schulter::N,vuä´lǧǧ,肩膀
161,Schulter::N,вуэллык,肩膀
162,Arm::N,gïete,臂膀
163,Arm::N,giehta,臂膀
164,Arm::N,giehta,臂膀
165,Arm::N,kietâ,臂膀
166,Arm::N,kie'tâkaaṿâ,臂膀
167,Arm::N,ǩiõtt,臂膀
168,Arm::N,кӣдт,臂膀
169,Ellenbogen::N,gernjere,肘
170,Ellenbogen::N,garŋŋel,肘
171,Ellenbogen::N,gargŋil,肘
172,Ellenbogen::N,käŋŋir,肘
173,Ellenbogen::N,kõõnjâr,肘
174,Ellenbogen::N,карьнэль,肘
175,Hand::N,gïete,手
176,Hand::N,giehta,手
177,Hand::N,giehta,手
178,Hand::N,kietâ,手
179,Hand::N,ǩiõtt,手
180,Hand::N,кӣдт,手
181,Handfläche::N,gïeten-låapoe,手掌
182,Handfläche::N,giehtavuodo,手掌
183,Handfläche::N,tjårmmåvuodo,手掌
184,Handfläche::N,giehtaloahpu,手掌
185,Handfläche::N,kiämád,手掌
186,Handfläche::N,kuámmir,手掌
187,Handfläche::N,kuä´m'mer,手掌
188,Handfläche::N,ǩiõttǩeä´m'men,手掌
189,Handfläche::N,ко̄а̄ллдэгк,手掌
190,Handfläche::N,кӣдткоалдэгк,手掌
191,Finger::N,soerme,手指
192,Finger::N,tjuvdde,手指
193,Finger::N,suorbma,手指
194,Finger::N,čuvde,手指
195,Finger::N,suor'mâ,手指
196,Finger::N,suõrmm,手指
197,Finger::N,це̄ххп,手指
198,Fingernagel::N,gadtse,指甲
199,Fingernagel::N,guehpere,指甲
200,Fingernagel::N,gadtsa,指甲
201,Fingernagel::N,gazza,指甲
202,Fingernagel::N,kozzâ,指甲
203,Fingernagel::N,kõʒʒ,指甲
204,Fingernagel::N,кэ̄ннц,指甲
205,Nagel[Anatomie]::N,gadtse,指甲
206,Nagel[Anatomie]::N,guehpere,指甲
207,Nagel[Anatomie]::N,gadtsa,指甲
208,Nagel[Anatomie]::N,gazza,指甲
209,Nagel[Anatomie]::N,kozzâ,指甲
210,Nagel[Anatomie]::N,kõʒʒ,指甲
211,Nagel[Anatomie]::N,кэ̄ннц,指甲
212,Zeh::N,tjiehtjere,脚趾
213,Zeh::N,juolggetjuvdde,脚趾
214,Zeh::N,juolgesuorbma,脚趾
215,Zeh::N,jyel'gisuor'mâ,脚趾
