,Concept_ID,sq,ba
0,Auge::N,sy,күҙ
1,Ohr::N,vesh,ҡолаҡ
2,Nase::N,hundë,танау
3,Mund::N,gojë,ауыҙ
4,Zahn::N,dhëmb,теш
5,Zunge::N,gjuhë,тел
6,Lippe::N,buzë,ирен
7,Wange::N,faqe,яцаҡтар
8,Wange::N,mollëz,яцаҡтар
9,Gesicht::N,fytyrë,бит
10,Stirn::N,ballë,маңлай
11,Haar::N,flokë,сәс
12,Schnurrbart::N,mustaqe,мылтыҡ
13,Bart::N,mjekër,һаҡал
14,Kinn::N,mjekër,эйэк
15,Kiefer[Anatomie]::N,nofull,яңаҡ һөйәге
16,Kehle::N,fyt,тамаҡ
17,Kehle::N,grykë,тамаҡ
18,Hals::N,qafë,муйын
19,Genick::N,arrëz,соңҡа
20,Kopf::N,kokë,баш
21,Rücken::N,kurriz,арҡа
22,Bauch::N,bark,ҡорһаҡ
23,Nabel::N,kërthizë,кендек
24,Busen::N,gji,күкрәк
25,Brust::N,gjoks,түш
26,Brust::N,kraharor,түш
27,Schulter::N,sup,яурын
28,Schulter::N,krah,яурын
29,Arm::N,krah,ҡул
30,Ellenbogen::N,bërryl,терһәк
31,Hand::N,dorë,ҡул
32,Hand::N,dorë,ҡул суғы
33,Handfläche::N,pëllëmbë,ус төбө
34,Finger::N,gisht,бармаҡ
35,Fingernagel::N,thua,тырнаҡ
36,Nagel[Anatomie]::N,thua,тырнаҡ
37,Zeh::N,gisht i këmbës,бармаҡ
38,Fuß::N,këmbë,табан
39,Ferse::N,thembër,үксә
40,Knie::N,gju,тубыҡ
41,Oberschenkel::N,kofshë,сандыр
42,Bein::N,këmbë,аяҡ
43,Körper::N,trup,тән
44,Haut::N,lëkurë,тире
45,Blut::N,gjak,ҡан
46,Ader::N,venë,тамыр
47,Sehne::N,dell,һеңер
48,Sehne::N,dell,тарамыш
49,Knochen::N,asht,һойәк
50,Knochen::N,kockë,һойәк
51,Gehirn::N,tru,мейе
52,Herz::N,zemër,йорәк
53,Magen::N,stomak,ашҡаҙан
54,Leber::N,mëlçi,бауыр
55,Atem::N,frymë,һулыш
56,Hunger::N,uri,аслыҡ
57,Träne::N,lot,күҙ иәше
58,Geschmack::N,shije,тәм
59,Geruch::N,erë,еҫ
60,Schlaf::N,gjumë,йоҡлау
61,Traum::N,ëndërr,төш
62,Himmel::N,qiell,күк
63,Sonne::N,diell,ҡояш
64,Mond::N,hënë,ай
65,Stern::N,yll,йондоҙ
66,Luft::N,ajër,һауа
67,Wind::N,erë,ел
68,Welle::N,valë,тулҡын
69,Welle::N,dallgë,тулҡын
70,Wasser::N,ujë,һыу
71,Stein::N,gur,таш
72,Boden::N,tokë,тупраҡ
73,Boden::N,truall,тупраҡ
74,Erde::N,dhe,балсҡ
75,Erde::N,baltë,балсҡ
76,Staub::N,pluhur,туҙан
77,Rauch::N,tym,төтөн
