,Concept_ID,sq,ce
0,Auge::N,sy,бӏаьрг
1,Ohr::N,vesh,лерг
2,Nase::N,hundë,мара
3,Mund::N,gojë,бага
4,Zahn::N,dhëmb,церг
5,Zunge::N,gjuhë,мотт
6,Lippe::N,buzë,балда
7,Wange::N,faqe,бесни
8,Wange::N,mollëz,бесни
9,Gesicht::N,fytyrë,юьхь
10,Stirn::N,ballë,хьаж
11,Haar::N,flokë,мас
12,Schnurrbart::N,mustaqe,мекх
13,Bart::N,mjekër,маж
14,Kinn::N,mjekër,чӏениг
15,Kiefer[Anatomie]::N,nofull,мочхал
16,Kehle::N,fyt,къамкъарг
17,Kehle::N,grykë,къамкъарг
18,Hals::N,qafë,ворта
19,Genick::N,arrëz,кӏесаркӏаг
20,Kopf::N,kokë,корта
21,Rücken::N,kurriz,букъ
22,Bauch::N,bark,кийра
23,Nabel::N,kërthizë,цӏонга
24,Busen::N,gji,зударийн накха
25,Brust::N,gjoks,накха
26,Brust::N,kraharor,накха
27,Schulter::N,sup,белш
28,Schulter::N,krah,белш
29,Arm::N,krah,пхьарс
30,Ellenbogen::N,bërryl,пхьаьрсан гола
31,Hand::N,dorë,куьг
32,Handfläche::N,pëllëmbë,кераюкъ
33,Finger::N,gisht,пӏелг
34,Fingernagel::N,thua,мӏара
35,Nagel[Anatomie]::N,thua,мӏара
36,Zeh::N,gisht i këmbës,кога пӏелг
37,Fuß::N,këmbë,ког
38,Ferse::N,thembër,кӏажа
39,Knie::N,gju,гола
40,Oberschenkel::N,kofshë,варе
41,Bein::N,këmbë,ког
42,Körper::N,trup,хӏума
43,Haut::N,lëkurë,чкъор
44,Blut::N,gjak,цӏий
45,Ader::N,venë,пха
46,Sehne::N,dell,хьорзам
47,Knochen::N,asht,даьӏахк
48,Knochen::N,kockë,даьӏахк
49,Gehirn::N,tru,хье
50,Herz::N,zemër,дог
51,Magen::N,stomak,зорх
52,Leber::N,mëlçi,доӏах
53,Atem::N,frymë,садеӏар
54,Hunger::N,uri,мацалла
55,Träne::N,lot,бӏаьрхи
56,Geschmack::N,shije,чам
57,Geruch::N,erë,хьожа
58,Schlaf::N,gjumë,наб
59,Traum::N,ëndërr,гӏан
60,Himmel::N,qiell,стигал
61,Sonne::N,diell,малх
62,Mond::N,hënë,бутт
63,Stern::N,yll,седа
64,Luft::N,ajër,xӏаваъ
65,Wind::N,erë,мох
66,Welle::N,valë,тулгӏе
67,Welle::N,dallgë,тулгӏе
68,Wasser::N,ujë,хи
69,Stein::N,gur,тӏулг
70,Boden::N,tokë,цӏенкъа
