,Concept_ID,sq,no
0,Auge::N,sy,øye
1,Ohr::N,vesh,øre
2,Nase::N,hundë,nese
3,Mund::N,gojë,munn
4,Zahn::N,dhëmb,tann
5,Zunge::N,gjuhë,tunge
6,Lippe::N,buzë,leppe
7,Wange::N,faqe,kinn
8,Wange::N,mollëz,kinn
9,Gesicht::N,fytyrë,fjes
10,Gesicht::N,fytyrë,ansikt
11,Stirn::N,ballë,panne
12,Haar::N,flokë,hår
13,Schnurrbart::N,mustaqe,bart
14,Bart::N,mjekër,skjegg
15,Kinn::N,mjekër,hake
16,Kiefer[Anatomie]::N,nofull,kjeve
17,Kehle::N,fyt,strupe
18,Kehle::N,grykë,strupe
19,Hals::N,qafë,hals
20,Genick::N,arrëz,nakke
21,Kopf::N,kokë,hode
22,Rücken::N,kurriz,rygg
23,Bauch::N,bark,buk
24,Bauch::N,bark,mage
25,Nabel::N,kërthizë,navle
26,Busen::N,gji,barm
27,Brust::N,gjoks,bryst
28,Brust::N,kraharor,bryst
29,Schulter::N,sup,skulder
30,Schulter::N,krah,skulder
31,Arm::N,krah,arm
32,Ellenbogen::N,bërryl,albue
33,Hand::N,dorë,hånd
34,Handfläche::N,pëllëmbë,håndflate
35,Finger::N,gisht,finger
36,Fingernagel::N,thua,fingernegl
37,Nagel[Anatomie]::N,thua,negl
38,Zeh::N,gisht i këmbës,tå
39,Fuß::N,këmbë,fot
40,Ferse::N,thembër,hæl
41,Knie::N,gju,kne
42,Oberschenkel::N,kofshë,lår
43,Bein::N,këmbë,bein
44,Körper::N,trup,kropp
45,Körper::N,trup,legeme
46,Haut::N,lëkurë,hud
47,Haut::N,lëkurë,skinn
48,Blut::N,gjak,blod
49,Ader::N,venë,åre
50,Sehne::N,dell,sene
51,Knochen::N,asht,bein
52,Knochen::N,asht,knokkel
53,Knochen::N,kockë,bein
54,Knochen::N,kockë,knokkel
55,Gehirn::N,tru,hjerne
56,Herz::N,zemër,hjerte
57,Magen::N,stomak,mage
58,Leber::N,mëlçi,lever
59,Atem::N,frymë,pust
60,Hunger::N,uri,sult
61,Träne::N,lot,tåre
62,Geschmack::N,shije,smak
63,Geruch::N,erë,lukt
64,Schlaf::N,gjumë,søvn
65,Traum::N,ëndërr,drøm
66,Himmel::N,qiell,himmel
67,Sonne::N,diell,sol
68,Mond::N,hënë,måne
69,Stern::N,yll,stjerne
70,Luft::N,ajër,luft
71,Wind::N,erë,vind
72,Welle::N,valë,bølge
73,Welle::N,dallgë,bølge
74,Wasser::N,ujë,vann
75,Stein::N,gur,stein
76,Boden::N,tokë,bakke
77,Boden::N,truall,bakke
78,Erde::N,dhe,jord
79,Erde::N,baltë,jord
80,Staub::N,pluhur,støv
81,Rauch::N,tym,røyk
82,Funke::N,xixë,gnist
83,Funke::N,shkëndijë,gnist
84,Feuer::N,zjarr,ild
85,Licht::N,dritë,lys
86,Schatten::N,hije,skygge
87,Wetter::N,mot,vær
88,Nebel::N,mjegull,tåke
89,Wolke::N,re,sky
90,Regen::N,shi,regn
91,Schnee::N,borë,snø
92,Eis::N,akull,is
93,Frost::N,ngricë,frost
94,Kälte::N,të ftohtë,kulde
