,Concept_ID,te,no
0,Auge::N,కన్ను,øye
1,Ohr::N,చెవి,øre
2,Nase::N,ముక్కు,nese
3,Mund::N,నోరు,munn
4,Zahn::N,పల్లు,tann
5,Zunge::N,నాలుక,tunge
6,Lippe::N,పెదవి,leppe
7,Wange::N,చెంప,kinn
8,Gesicht::N,ముఖము,fjes
9,Gesicht::N,ముఖము,ansikt
10,Stirn::N,నుదురు,panne
11,Haar::N,వెండ్రుక,hår
12,Schnurrbart::N,మీసము,bart
13,Bart::N,గడ్డము,skjegg
14,Kinn::N,గడ్డము,hake
15,Kiefer[Anatomie]::N,దౌడ,kjeve
16,Kehle::N,గొంతు,strupe
17,Hals::N,మెడ,hals
18,Genick::N,మూపు,nakke
19,Kopf::N,తల,hode
20,Rücken::N,వెన్ను,rygg
21,Bauch::N,కడుపు,buk
22,Bauch::N,కడుపు,mage
23,Nabel::N,బొడ్డు,navle
24,Busen::N,స్తనము,barm
25,Brust::N,ఱొమ్ము,bryst
26,Schulter::N,భుజము,skulder
27,Arm::N,చేయి,arm
28,Ellenbogen::N,మోచేయి,albue
29,Hand::N,చేయి,hånd
30,Handfläche::N,అరచేయు,håndflate
31,Finger::N,చేతిప్రేలు,finger
32,Fingernagel::N,గోరు,fingernegl
33,Nagel[Anatomie]::N,గోరు,negl
34,Zeh::N,కాలిప్రేలు,tå
35,Fuß::N,అడుగు,fot
36,Ferse::N,మడమ,hæl
37,Knie::N,మోకాలు,kne
38,Oberschenkel::N,తొడ,lår
39,Bein::N,కాలు,bein
40,Körper::N,కాయము,kropp
41,Körper::N,కాయము,legeme
42,Haut::N,చర్మము,hud
43,Haut::N,చర్మము,skinn
44,Blut::N,రక్తము,blod
45,Ader::N,సిర,åre
46,Sehne::N,స్నాయువు,sene
47,Knochen::N,ఎముక,bein
48,Knochen::N,ఎముక,knokkel
49,Gehirn::N,మెదడు,hjerne
50,Herz::N,హృదయము,hjerte
51,Magen::N,కడుపు,mage
52,Leber::N,కాలేయము,lever
53,Atem::N,ఉపిరి,pust
54,Hunger::N,ఆకలి,sult
55,Träne::N,కన్నీటిచుక్క,tåre
56,Geschmack::N,రుచి,smak
57,Geruch::N,వాసన,lukt
58,Schlaf::N,నిద్ర,søvn
59,Traum::N,కల,drøm
60,Himmel::N,ఆకాశము,himmel
61,Sonne::N,సూర్యుడు,sol
62,Mond::N,చంద్రుడు,måne
63,Stern::N,నక్షత్రము,stjerne
64,Luft::N,గాలి,luft
65,Wind::N,వీచుచున్నగాలి,vind
66,Welle::N,అల,bølge
67,Wasser::N,నీరు,vann
68,Stein::N,ఱాయి,stein
69,Boden::N,నేల,bakke
70,Erde::N,మన్ను,jord
71,Staub::N,దుమ్ము,støv
72,Rauch::N,పొగ,røyk
73,Funke::N,అగ్నికణము,gnist
74,Feuer::N,అగ్ని,ild
75,Licht::N,కాంతి,lys
76,Schatten::N,నీడ,skygge
77,Wetter::N,వాతావరణ స్థితి,vær
78,Nebel::N,పొగమంచు,tåke
79,Wolke::N,మేఘము,sky
80,Regen::N,వాన,regn
81,Schnee::N,హిమము,snø
82,Eis::N,మంచుగడ్డ,is
83,Frost::N,పేరిన మంచు,frost
84,Kälte::N,చలి,kulde
85,Hitze::N,వేడిమి,hete
86,Raureif::N,మంచు,rimfrost
87,Regenbogen::N,ఇంద్రధనుస్సు,regnbue
88,Donner::N,ఉరుము,torden
89,Strömung::N,ప్రవాహము,strømning
90,Tropfen::N,చుక్క,dråpe
91,Schaum::N,నురుగు,skum
92,Schmutz::N,మైల,søl
93,Schmutz::N,మైల,skitt
94,See::N,సరస్సు,sjø
95,Sumpf::N,చిత్తడినేల,sump
96,Sumpf::N,చిత్తడినేల,myrlende
97,Moor::N,చిత్తడినేల,myr
98,Moor::N,చిత్తడినేల,myrhei
99,Wiese::N,పచ్చిక బయలు,eng
100,Wald::N,అడవి,skog
101,Hügel::N,చివ్నకొండ,haug
102,Hügel::N,చివ్నకొండ,bakke
103,Anhöhe::N,కొండ,haug
104,Anhöhe::N,కొండ,bakke
105,Berg::N,పర్వతము,berg
106,Berg::N,పర్వతము,fjell
107,Gipfel::N,శిఖరము,topp
108,Höhle::N,గుహ,hule
109,Abhang::N,ఏటవాలు,li
110,Abhang::N,ఏటవాలు,skråning
111,Quelle::N,మూలము,kilde
112,Bach::N,కాలువ,bekk
113,Fluss::N,నది,elv
114,Ufer::N,తీరము,bredd
115,Küste::N,తీరము,kyst
116,Festland::N,భూమి,fastland
117,Meer::N,సముద్రము,hav
118,Bucht::N,మరుగు,bukt
119,Insel::N,దీవి,øy
120,Blume::N,పుష్పము,blomst
121,Gras::N,పచ్చగడ్డి,gress
122,Wurzel::N,వేరు,rot
123,Baum::N,చెట్టు,tre
124,Stamm::N,చెట్టుబోదె,stamme
125,Rinde::N,చెట్టుపట్ట,bark
126,Ast::N,కొమ్మ,gren
127,Zweig::N,చివుకు,kvist
128,Blatt::N,ఆకు,blad
129,Birke::N,తరహా చెట్టు,bjørk
130,Kiefer[Baum]::N,దేవదారు చెట్టు,furu
131,Weide[Baum]::N,జాతిచెట్టు,selje
132,Weide[Baum]::N,జాతిచెట్టు,piletre
133,Tanne::N,దేవదారుచెట్టు,gran
134,Horn::N,కొమ్ము,horn
135,Feder::N,ఈక,fjær
136,Fell::N,తోలు,skinn
137,Flügel::N,ఱెక్క,vinge
