,Concept_ID,tr,ce
0,Auge::N,göz,бӏаьрг
1,Ohr::N,kulak,лерг
2,Nase::N,burun,мара
3,Mund::N,ağız,бага
4,Zahn::N,diş,церг
5,Zunge::N,dil,мотт
6,Lippe::N,dudak,балда
7,Wange::N,yanak,бесни
8,Gesicht::N,yüz,юьхь
9,Stirn::N,alın,хьаж
10,Haar::N,saç,мас
11,Schnurrbart::N,bıyık,мекх
12,Bart::N,sakal,маж
13,Kinn::N,çene,чӏениг
14,Kiefer[Anatomie]::N,çene,мочхал
15,Kehle::N,boğaz,къамкъарг
16,Hals::N,boyun,ворта
17,Hals::N,gerdan,ворта
18,Genick::N,ense,кӏесаркӏаг
19,Kopf::N,baş,корта
20,Kopf::N,kafa,корта
21,Rücken::N,arka,букъ
22,Bauch::N,karın,кийра
23,Nabel::N,göbek,цӏонга
24,Busen::N,koyun,зударийн накха
25,Brust::N,göğüs,накха
26,Schulter::N,omuz,белш
27,Arm::N,kol,пхьарс
28,Ellenbogen::N,dirsek,пхьаьрсан гола
29,Hand::N,el,куьг
30,Handfläche::N,avuç,кераюкъ
31,Handfläche::N,el ayası,кераюкъ
32,Finger::N,parmak,пӏелг
33,Fingernagel::N,el tırnağı,мӏара
34,Nagel[Anatomie]::N,tırnak,мӏара
35,Zeh::N,ayak parmağı,кога пӏелг
36,Fuß::N,ayak,ког
37,Ferse::N,topuk,кӏажа
38,Knie::N,diz,гола
39,Oberschenkel::N,uyluk,варе
40,Bein::N,bacak,ког
41,Körper::N,vücut,хӏума
42,Haut::N,cilt,чкъор
43,Blut::N,kan,цӏий
44,Ader::N,damar,пха
45,Sehne::N,kiriş,хьорзам
46,Knochen::N,kemik,даьӏахк
47,Gehirn::N,beyin,хье
48,Herz::N,kalp,дог
49,Herz::N,yürek,дог
50,Magen::N,mide,зорх
51,Leber::N,karaciğer,доӏах
52,Atem::N,nefes,садеӏар
53,Hunger::N,açlık,мацалла
54,Träne::N,gözyaşı,бӏаьрхи
55,Geschmack::N,tat,чам
56,Geschmack::N,lezzet,чам
57,Geruch::N,koku,хьожа
58,Schlaf::N,uyku,наб
59,Traum::N,düş,гӏан
60,Traum::N,rüya,гӏан
61,Himmel::N,gök,стигал
62,Sonne::N,güneş,малх
63,Mond::N,ay,бутт
64,Stern::N,yıldız,седа
