,Concept_ID,tt,mrj
0,Auge::N,күз,сӹнзӓ
1,Ohr::N,колак,пӹлӹш
2,Nase::N,борын,нер
3,Mund::N,авыз,ышма
4,Mund::N,тамак,ышма
5,Zahn::N,теш,пӱ
6,Zunge::N,тел,йӹлмӹ
7,Lippe::N,ирен,тӹрвӹ
8,Wange::N,яңак,шӹргӹ
9,Gesicht::N,йөз,лицӓ
10,Stirn::N,маңгай,лепкӓ
11,Haar::N,чәч,ӱп
12,Schnurrbart::N,мыек,öрш
13,Bart::N,сакал,пандаш
14,Kinn::N,ияк,онгылаш
15,Kiefer[Anatomie]::N,казналык,пӱ арата
16,Kehle::N,тамак,логер
17,Hals::N,бугаз,шӱ
18,Genick::N,җилкә,ланга
19,Kopf::N,баш,вуй
20,Rücken::N,сырт,туп
21,Bauch::N,корсак,мӹшкӹр
22,Nabel::N,кендек,кӹлӹмдӹ
23,Busen::N,түш,цӹзӹ
24,Brust::N,имчәк,мел
25,Brust::N,күкрәк,мел
26,Schulter::N,иңбаш,ӹнгӹжӓ
27,Schulter::N,кулбаш,ӹнгӹжӓ
28,Arm::N,кул,кид
29,Ellenbogen::N,терсәк,кӹнервуй
30,Hand::N,кул,лапа
31,Handfläche::N,уч,кид лапа
32,Finger::N,бармак,парня
33,Fingernagel::N,тырнак,кӹч
34,Nagel[Anatomie]::N,тырнак,кӹч
35,Zeh::N,бармак,парня
36,Fuß::N,табан,ял лапа
37,Ferse::N,үкчә,ялгавал
38,Ferse::N,үкчә,ял кавал
39,Knie::N,тез,пылвуй
40,Oberschenkel::N,бот,ӓрдӹ
41,Bein::N,аяк,ял
42,Körper::N,тән,монгыр
43,Körper::N,җисем,монгыр
44,Haut::N,тире,кавашты
45,Blut::N,кан,вӹр
46,Ader::N,тамыр,вӹршӓр
47,Sehne::N,сеңер,кукшышӱн
48,Knochen::N,сөяк,лу
49,Gehirn::N,ми,вим
50,Herz::N,йөрәк,шӱм
51,Magen::N,ашказаны,шӱм
52,Leber::N,бавыр,мокш
53,Atem::N,сулыш,шӱлӹш
54,Hunger::N,ачлык,шужымаш
55,Träne::N,яшь,сӹнзӓвӹд
56,Geschmack::N,тәм,тот
57,Geschmack::N,зәвык,тот
58,Geruch::N,ис,пыш
59,Schlaf::N,йокы,ом
60,Traum::N,төш,ом
61,Himmel::N,күк,пӹлгом
62,Sonne::N,кояш,кечӹ
63,Mond::N,ай,тӹлзӹ
64,Stern::N,йолдыз,шӹдӹр
65,Luft::N,һава,юж
66,Luft::N,һава,воздух
67,Wind::N,җил,мардеж
68,Welle::N,дулкын,ко
69,Welle::N,дулкын,коэ
70,Wasser::N,су,вӹд
71,Stein::N,таш,кӱ
72,Boden::N,туфрак,рок
73,Erde::N,җир,свет
74,Staub::N,тузан,пырак
75,Rauch::N,төтен,шӹкш
76,Funke::N,очкын,ип
77,Funke::N,очкын,тылип
78,Feuer::N,ут,тыл
79,Licht::N,якты,соты
80,Licht::N,якты,валгыды
81,Schatten::N,күләгә,ӹмӹл
82,Wetter::N,һава,игечӹ
83,Nebel::N,томан,тӹтӹрӓ
84,Wolke::N,болыт,пӹл
85,Regen::N,яңгыр,юр
86,Schnee::N,кар,лым
87,Eis::N,боз,и
88,Frost::N,суык,ӱштӹ
89,Frost::N,салкын,ӱштӹ
90,Kälte::N,суык,ӱштӹ
91,Kälte::N,салкын,ӱштӹ
92,Hitze::N,эсселек,шокшы
93,Raureif::N,бәс,пöрш
94,Raureif::N,сыкы,пöрш
95,Regenbogen::N,салават күпере,шанавӹл
96,Donner::N,күкрәү,хӹдӹртӹш
97,Strömung::N,агыш'агым,йогы
98,Tropfen::N,тамчы,капльы
99,Tropfen::N,тамчы,капльык
100,Schaum::N,күбек,шонг
101,Schmutz::N,пычрак,лявӹрӓ
102,See::N,күл,йӓр
103,Sumpf::N,саз,лӱкӹ
104,Moor::N,торфлык,куп
