,Concept_ID,tt,uz
0,Auge::N,күз,ko'z
1,Ohr::N,колак,quloq
2,Nase::N,борын,burun
3,Mund::N,авыз,og'iz
4,Mund::N,тамак,og'iz
5,Zahn::N,теш,tish
6,Zunge::N,тел,til
7,Lippe::N,ирен,dudoq
8,Wange::N,яңак,bet
9,Gesicht::N,йөз,yuz
10,Stirn::N,маңгай,manglay
11,Haar::N,чәч,soch
12,Schnurrbart::N,мыек,mo'ylov
13,Bart::N,сакал,soqol
14,Kinn::N,ияк,ängak
15,Kiefer[Anatomie]::N,казналык,iyak
16,Kehle::N,тамак,bo'g'iz
17,Hals::N,бугаз,bo'yin
18,Genick::N,җилкә,gardan
19,Kopf::N,баш,bosh
20,Rücken::N,сырт,orqa
21,Bauch::N,корсак,qorin
22,Nabel::N,кендек,kindik
23,Busen::N,түш,ämchak
24,Brust::N,имчәк,ko'krak
25,Brust::N,күкрәк,ko'krak
26,Schulter::N,иңбаш,elka
27,Schulter::N,кулбаш,elka
28,Arm::N,кул,bilak
29,Ellenbogen::N,терсәк,tirsak
30,Hand::N,кул,qo'l
31,Handfläche::N,уч,kaft
32,Finger::N,бармак,barmoq
33,Fingernagel::N,тырнак,tirnoq
34,Nagel[Anatomie]::N,тырнак,tirnoq
35,Zeh::N,бармак,oyoq barmog'i
36,Fuß::N,табан,oyoq
37,Ferse::N,үкчә,tovon
38,Knie::N,тез,tiz
39,Oberschenkel::N,бот,son
40,Bein::N,аяк,oyoq
41,Körper::N,тән,badna
42,Körper::N,җисем,badna
43,Haut::N,тире,teri
44,Blut::N,кан,qon
45,Ader::N,тамыр,qon tomir
46,Sehne::N,сеңер,tomir
47,Knochen::N,сөяк,suyak
48,Gehirn::N,ми,miya
49,Herz::N,йөрәк,qalb
50,Magen::N,ашказаны,oshqozon
51,Leber::N,бавыр,bag'ir
52,Atem::N,сулыш,dam
53,Hunger::N,ачлык,ochlik
54,Träne::N,яшь,yosh
55,Geschmack::N,тәм,tam
56,Geschmack::N,зәвык,tam
57,Geruch::N,ис,jid
58,Schlaf::N,йокы,uyqu
59,Traum::N,төш,tush
60,Himmel::N,күк,osmon
61,Sonne::N,кояш,quyosh
62,Mond::N,ай,oy
63,Stern::N,йолдыз,yulduz
64,Luft::N,һава,havo
65,Wind::N,җил,el
66,Welle::N,дулкын,to'lqin
67,Wasser::N,су,suv
68,Stein::N,таш,tosh
69,Boden::N,туфрак,tuproq
70,Erde::N,җир,er
71,Staub::N,тузан,chang
72,Rauch::N,төтен,tutun
73,Funke::N,очкын,yalt
74,Feuer::N,ут,o't
75,Licht::N,якты,yorug'
76,Schatten::N,күләгә,soya
77,Wetter::N,һава,havo
78,Nebel::N,томан,tuman
79,Wolke::N,болыт,bulut
80,Regen::N,яңгыр,yomg'ir
81,Schnee::N,кар,qor
82,Eis::N,боз,muz
83,Frost::N,суык,ajoz
84,Frost::N,салкын,ajoz
85,Kälte::N,суык,ajoz
86,Kälte::N,салкын,ajoz
87,Hitze::N,эсселек,issiq
88,Raureif::N,бәс,qirov
89,Raureif::N,сыкы,qirov
90,Regenbogen::N,салават күпере,kamalak
91,Donner::N,күкрәү,guldur
92,Strömung::N,агыш'агым,oqim
93,Tropfen::N,тамчы,tomchi
94,Schaum::N,күбек,ko'pik
95,Schmutz::N,пычрак,gard
96,See::N,күл,ko'l
97,Sumpf::N,саз,botqoq
98,Moor::N,торфлык,qir-adir
99,Wiese::N,болын,o'tzor
100,Wald::N,урман,o'rmon
101,Hügel::N,калку,tepa
102,Anhöhe::N,үр,adir
103,Berg::N,тау,tog'
104,Gipfel::N,оч,cho'qqi
105,Höhle::N,мәгарә,kavak
106,Abhang::N,кабырга,to'sh
107,Quelle::N,чишмә,buloq
108,Bach::N,елга,o'zan
109,Fluss::N,дәрья,daryo
110,Ufer::N,су кырые,sohil
111,Küste::N,яр буе,qirg'oq
112,Festland::N,коры җир,materik
113,Meer::N,диңгез,dengiz
114,Bucht::N,бухта,qo'ltiq
115,Bucht::N,култык,qo'ltiq
116,Insel::N,атау,orol
117,Insel::N,утрау,orol
118,Blume::N,чәчкә,gul
119,Gras::N,үлән,sabza
120,Wurzel::N,тамыр,tub
121,Wurzel::N,тамыр,tomir
122,Baum::N,агач,daraxt
123,Stamm::N,кәүсә,o'simta
124,Rinde::N,кабык,qobiq
125,Ast::N,ботак,shox
126,Zweig::N,ботак,butoq
127,Zweig::N,тармак,butoq
128,Blatt::N,яфрак,barg
129,Birke::N,каен,qayin
130,Kiefer[Baum]::N,нарат,qarag'ay
131,Weide[Baum]::N,тал,shum
132,Tanne::N,чыршы,archa
133,Horn::N,мөгез,mugiz
134,Feder::N,йон,par
135,Fell::N,тире,mo'yna
136,Flügel::N,канат,qanot
137,Klaue::N,тырнак,tirnoq
138,Kralle::N,тырнак,tirnoq
139,Schwanz::N,койрык,quyruq
140,Ei::N,күкәй,tuxum
141,Ei::N,йомырка,tuxum
142,Nest::N,оя,oshyon
143,Bau::N,өн,o'pqon
144,Tier::N,хайван,hayvon
145,Herde::N,көтү,gala
146,Kuh::N,сыер,inak
147,Bulle::N,үгез,ho'kiz
148,Pferd::N,ат,ot
149,Schaf::N,сарык,qo'y
150,Schwein::N,дуңгыз,cho'chqa
151,Hund::N,эт,it
152,Katze::N,песи,mushuk
153,Bär::N,аю,ayiq
154,Eichhörnchen::N,тиен,tiyin
155,Elch::N,поши,los
156,Fuchs::N,төлке,tulki
157,Hase::N,куян,kuyon
158,Maus::N,тычкан,sichqon
159,Wolf::N,бүре,bo'ri
160,Vogel::N,кош,qush
161,Schwarm::N,көтү,to'da
162,Huhn::N,тавык,tovuq
163,Hahn::N,әтәч,xo'roz
164,Gans::N,каз,g'oz
165,Adler::N,каракош,burgut
166,Ente::N,үрдәк,o'rdak
167,Eule::N,ябалак,boyo'g'li
168,Kranich::N,торна,turna
169,Krähe::N,карга,qarg'a
170,Kuckuck::N,күке,kakku
171,Kuckuck::N,кәккүк,kakku
172,Schwan::N,аккош,oqkush
173,Fisch::N,балык,baliq
174,Barsch::N,алабуга,olabug'a
175,Hecht::N,чуртан,cho'rtan
176,Schlange[Tier]::N,елан,ilon
177,Wurm::N,корт,qurt
178,Spinne::N,үрмәкүч,o'rgimchak
179,Ameise::N,кырмыска,chumoli
180,Laus::N,бет,bit
181,Mücke::N,черки,chivin
182,Mücke::N,озынборын,chivin
183,Fliege::N,чебен,pashsha
184,Schmetterling::N,күбәләк,kapalak
185,Beere::N,җиләк,meva
186,Apfel::N,алма,olma
187,Pilz::N,гөмбә,qo'ziqorin
188,Zwiebel::N,суган,piyoz
189,Zwiebel::N,суганбаш,piyoz
190,Saat::N,орлык,äkin
191,Korn::N,иген,zarra
