,Concept_ID,tt,zh
0,Auge::N,күз,眼睛
1,Ohr::N,колак,耳朵
2,Nase::N,борын,鼻子
3,Mund::N,авыз,嘴
4,Mund::N,тамак,嘴
5,Zahn::N,теш,牙齿
6,Zunge::N,тел,舌头
7,Lippe::N,ирен,嘴唇
8,Wange::N,яңак,面颊
9,Gesicht::N,йөз,脸
10,Stirn::N,маңгай,额
11,Haar::N,чәч,头发
12,Schnurrbart::N,мыек,髭须
13,Bart::N,сакал,胡子
14,Kinn::N,ияк,下巴
15,Kiefer[Anatomie]::N,казналык,颌
16,Kehle::N,тамак,嗓子
17,Hals::N,бугаз,颈
18,Genick::N,җилкә,后颈
19,Kopf::N,баш,头
20,Rücken::N,сырт,背
21,Bauch::N,корсак,肚子
22,Nabel::N,кендек,肚脐
23,Busen::N,түш,胸脯
24,Brust::N,имчәк,胸
25,Brust::N,күкрәк,胸
26,Schulter::N,иңбаш,肩膀
27,Schulter::N,кулбаш,肩膀
28,Arm::N,кул,臂膀
29,Ellenbogen::N,терсәк,肘
30,Hand::N,кул,手
31,Handfläche::N,уч,手掌
32,Finger::N,бармак,手指
33,Fingernagel::N,тырнак,指甲
34,Nagel[Anatomie]::N,тырнак,指甲
35,Zeh::N,бармак,脚趾
36,Fuß::N,табан,脚
37,Ferse::N,үкчә,后跟
38,Knie::N,тез,膝
39,Oberschenkel::N,бот,大腿
40,Bein::N,аяк,腿
41,Körper::N,тән,身体
42,Körper::N,җисем,身体
43,Haut::N,тире,皮肤
44,Blut::N,кан,血
45,Ader::N,тамыр,血管
46,Sehne::N,сеңер,腱
47,Knochen::N,сөяк,骨
48,Gehirn::N,ми,脑
49,Herz::N,йөрәк,心
50,Magen::N,ашказаны,胃
51,Leber::N,бавыр,肝
52,Atem::N,сулыш,呼吸
53,Hunger::N,ачлык,饿
54,Träne::N,яшь,眼泪
55,Geschmack::N,тәм,味道
56,Geschmack::N,зәвык,味道
57,Geruch::N,ис,气味
58,Schlaf::N,йокы,睡眠
59,Traum::N,төш,梦
60,Himmel::N,күк,天空
61,Sonne::N,кояш,太阳
62,Mond::N,ай,月亮
63,Stern::N,йолдыз,星
64,Luft::N,һава,空气
65,Wind::N,җил,风
66,Welle::N,дулкын,波
67,Wasser::N,су,水
68,Stein::N,таш,石头
69,Boden::N,туфрак,地面
70,Erde::N,җир,地
71,Staub::N,тузан,灰尘
72,Rauch::N,төтен,烟
73,Funke::N,очкын,火花
74,Feuer::N,ут,火
75,Licht::N,якты,光
76,Schatten::N,күләгә,影子
77,Wetter::N,һава,天气
78,Nebel::N,томан,雾
79,Wolke::N,болыт,云
80,Regen::N,яңгыр,雨
81,Schnee::N,кар,雪
82,Eis::N,боз,冰
83,Frost::N,суык,霜冻
84,Frost::N,салкын,霜冻
85,Kälte::N,суык,寒冷
86,Kälte::N,салкын,寒冷
87,Hitze::N,эсселек,炎热
88,Raureif::N,бәс,霜
89,Raureif::N,сыкы,霜
90,Regenbogen::N,салават күпере,虹
91,Donner::N,күкрәү,雷
92,Strömung::N,агыш'агым,水流
93,Tropfen::N,тамчы,滴
94,Schaum::N,күбек,泡沫
95,Schmutz::N,пычрак,赃物
96,See::N,күл,湖
97,Sumpf::N,саз,沼泽
98,Moor::N,торфлык,沼泽
99,Wiese::N,болын,草地
100,Wald::N,урман,森林
101,Hügel::N,калку,丘陵
102,Anhöhe::N,үр,山丘
103,Berg::N,тау,山
104,Gipfel::N,оч,峰
105,Höhle::N,мәгарә,洞穴
106,Abhang::N,кабырга,斜坡
107,Quelle::N,чишмә,泉
108,Bach::N,елга,溪
109,Fluss::N,дәрья,河流
110,Ufer::N,су кырые,岸
111,Küste::N,яр буе,海岸
112,Festland::N,коры җир,大陆
113,Meer::N,диңгез,海
114,Bucht::N,бухта,海湾
115,Bucht::N,култык,海湾
116,Insel::N,атау,岛
117,Insel::N,утрау,岛
118,Blume::N,чәчкә,花
119,Gras::N,үлән,草
120,Wurzel::N,тамыр,根
121,Baum::N,агач,树
122,Stamm::N,кәүсә,树干
123,Rinde::N,кабык,树皮
124,Ast::N,ботак,树枝
125,Zweig::N,ботак,树枝
126,Zweig::N,тармак,树枝
127,Blatt::N,яфрак,叶子
128,Birke::N,каен,桦木
129,Kiefer[Baum]::N,нарат,松树
130,Weide[Baum]::N,тал,柳树
131,Tanne::N,чыршы,冷杉
132,Horn::N,мөгез,角
133,Feder::N,йон,羽毛
134,Fell::N,тире,皮毛
135,Flügel::N,канат,翅膀
136,Klaue::N,тырнак,爪子
137,Kralle::N,тырнак,爪子
138,Schwanz::N,койрык,尾巴
139,Ei::N,күкәй,蛋
140,Ei::N,йомырка,蛋
141,Nest::N,оя,巢
142,Bau::N,өн,穴
143,Tier::N,хайван,动物
144,Herde::N,көтү,群
145,Kuh::N,сыер,母牛
146,Bulle::N,үгез,公牛
147,Pferd::N,ат,马
148,Schaf::N,сарык,羊
149,Schwein::N,дуңгыз,猪
150,Hund::N,эт,狗
151,Katze::N,песи,猫
152,Bär::N,аю,熊
153,Eichhörnchen::N,тиен,松鼠
154,Elch::N,поши,麋鹿
155,Fuchs::N,төлке,狐狸
156,Hase::N,куян,兔子
157,Maus::N,тычкан,老鼠
158,Wolf::N,бүре,狼
159,Vogel::N,кош,鸟
160,Schwarm::N,көтү,群
161,Huhn::N,тавык,鸡
162,Hahn::N,әтәч,公鸡
163,Gans::N,каз,鹅
164,Adler::N,каракош,鹰
165,Ente::N,үрдәк,鸭
166,Eule::N,ябалак,猫头鹰
167,Kranich::N,торна,鹤
168,Krähe::N,карга,乌鸦
169,Kuckuck::N,күке,布谷鸟
170,Kuckuck::N,кәккүк,布谷鸟
171,Schwan::N,аккош,天鹅
172,Fisch::N,балык,鱼
173,Barsch::N,алабуга,鲈鱼
174,Hecht::N,чуртан,狗鱼
175,Schlange[Tier]::N,елан,蛇
176,Wurm::N,корт,蠕虫
177,Spinne::N,үрмәкүч,蜘蛛
178,Ameise::N,кырмыска,蚂蚁
179,Laus::N,бет,虱子
180,Mücke::N,черки,蚊子
181,Mücke::N,озынборын,蚊子
182,Fliege::N,чебен,苍蝇
183,Schmetterling::N,күбәләк,蝴蝶
184,Beere::N,җиләк,将果
185,Apfel::N,алма,苹果
186,Pilz::N,гөмбә,蘑菇
187,Zwiebel::N,суган,洋葱
188,Zwiebel::N,суганбаш,洋葱
189,Saat::N,орлык,种子
190,Korn::N,иген,谷粒
191,Korn::N,орлык,谷粒
192,Heu::N,печән,干草
193,Schale::N,кабык,壳
194,Grube::N,баз,坑
195,Grube::N,чокыр,坑
196,Falle::N,тозак,圈套
197,Falle::N,капкын,圈套
198,Schlinge::N,элмәк,活扣
199,Spur::N,эз,踪迹
200,Asche::N,көл,灰烬
201,Dreck::N,пычрак,污垢
202,Eisen::N,тимер,铁
203,Gold::N,алтын,金子
204,Silber::N,көмеш,银
205,Kohle::N,күмер,煤
206,Glas::N,пыяла,玻璃
207,Lehm::N,балчык,粘土
208,Sand::N,ком,沙
209,Mensch::N,адәм,人
210,Mensch::N,инсан,人
211,Mann::N,ир,男子
212,Frau::N,хатын,妇女
213,Kind::N,бала,小孩
214,Junge::N,малай,男孩
215,Mädchen::N,кыз,女孩
216,Familie::N,гаилә,家庭
217,Großvater::N,бабай,祖父
218,Großmutter::N,әби,祖母
219,Eltern::N,ата-ана,父母
220,Vater::N,ата,父亲
221,Mutter::N,ана,母亲
222,Sohn::N,ул,儿子
223,Tochter::N,кыз,女儿
224,Bruder::N,кардәш,兄弟
225,Schwester::N,апа,姐妹
226,Schwester::N,сеңел,姐妹
227,Onkel::N,дәдә,伯父
228,Onkel::N,дәдәй,伯父
229,Tante::N,түти,阿姨
230,Tante::N,тәтәй,阿姨
231,Ehemann::N,ир,丈夫
232,Ehefrau::N,хатын,妻子
233,Freude::N,сөенеч,愉快
234,Gelächter::N,көлү,大笑
235,Gelächter::N,көлеш,大笑
236,Glück::N,бәхет,运气
237,Kummer::N,хәсрәт,苦恼
238,Wunsch::N,теләк,愿望
239,Lust::N,теләк,乐趣
240,Lust::N,теләү,乐趣
241,Geist::N,рух,精神
242,Gedanke::N,уй,思想
243,Gedanke::N,фикер,思想
244,Gedächtnis::N,хәтер,记性
245,Verstand::N,акыл,理智
246,Sinn::N,мәгънә,感觉
247,Grund::N,сәбәп,理由
248,Wahrheit::N,хак,真理
249,Gespräch::N,әңгәмә,谈话
250,Märchen::N,әкият,童话
251,Erzählung::N,хикәя,故事
252,Nachricht::N,хәбәр,消息
253,Neuigkeit::N,яңалык,新闻
254,Name::N,исем,名字
255,Rätsel::N,табышмак,谜语
256,Rede::N,нотык,讲话
257,Sprache::N,тел,语言
258,Stimme::N,тавыш,声音
259,Wort::N,сүз,词
260,Zeichen::N,ишарә,标记
261,Ruf::N,дәшү,呼喊
262,Lärm::N,шау,噪音
263,Laut::N,аваз,响声
264,Ton::N,шалтырату,声音
265,Lied::N,җыр,歌曲
266,Ruhe::N,тынлык,安静
267,Leute::N,халык,人们
268,Volk::N,халык,人民
269,Arbeit::N,эш,劳动
270,Arbeit::N,хезмәт,劳动
271,Gast::N,кунак,客人
272,Geschenk::N,бүләк,礼物
273,Spiel::N,уен,游戏
274,Gesellschaft::N,җәмгыять,陪同
275,Hilfe::N,ярдәм,帮助
276,Hilfe::N,булышлык,帮助
277,Freund::N,дус,朋友
278,Kamerad::N,иптәш,同志
279,Angelegenheit::N,эш,事情
280,Anzahl::N,микъдар,数目
281,Art::N,төр,种类
282,Stück::N,кисәк,块
283,Teil::N,өлеш,部分
284,Hälfte::N,ярым,一半
285,Kreis::N,түгәрәк,圆
286,Kreuz::N,хач,十字架
287,Kreuz::N,тәре,十字架
288,Linie::N,сызык,线条
289,Strich::N,сызык,划
290,Abstand::N,ара,距离
291,Entfernung::N,ераклык,距离
292,Gegend::N,урын,地区
293,Platz::N,бушлык,场所
294,Ort::N,урын,地点
295,Seite::N,як,面
296,Mitte::N,урта,中间
297,Gegenstand::N,нәрсә,物品
