,Concept_ID,udm,cs
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ым,pusa
4,Zahn::N,пинь,zub
5,Zunge::N,кыл,jazyk
6,Lippe::N,ымдур,ret
7,Wange::N,бам,tvář
8,Gesicht::N,ымныр,obličej
9,Stirn::N,кымес,čelo
10,Haar::N,йырси,vlas
11,Haar::N,йырси,vlasy
12,Schnurrbart::N,мыйык,kníry
13,Bart::N,туш,vousy
14,Kinn::N,ангес,brada
15,Kiefer[Anatomie]::N,ан,čelist
16,Kiefer[Anatomie]::N,анлы,čelist
17,Kehle::N,гульым,hrdlo
18,Hals::N,чырты,krk
19,Genick::N,йырбер,týl
20,Kopf::N,йыр,hlava
21,Rücken::N,мыш,záda
22,Rücken::N,мыш,hřbet
23,Bauch::N,кӧт,břicho
24,Nabel::N,гогы,pupek
25,Busen::N,ноны,ňadra
26,Brust::N,мӧля,prsa
27,Schulter::N,пельпум,plece
28,Schulter::N,пельпум,rameno
29,Arm::N,суй,ruka
30,Ellenbogen::N,гырпум,loket
31,Hand::N,ки,ruka
32,Handfläche::N,ки пыдэс,dlaň
33,Handfläche::N,кырым пыдэс,dlaň
34,Finger::N,чиньы,prst
35,Fingernagel::N,гижы,nehet
36,Fingernagel::N,гиждӥнь,nehet
37,Nagel[Anatomie]::N,гижы,nehet
38,Zeh::N,пыдчиньы,prst u nohy
39,Fuß::N,пыд,noha
40,Ferse::N,пыдбер,pata
41,Knie::N,пыдес,koleno
42,Oberschenkel::N,макес,stehno
43,Bein::N,пыд,noha
44,Körper::N,мугор,tělo
45,Körper::N,вылтыр,tělo
46,Haut::N,ку,kůže
47,Blut::N,вир,krev
48,Ader::N,вирсэр,céva
49,Sehne::N,вуж,šlacha
50,Knochen::N,лы,kost
51,Gehirn::N,вим,mozek
52,Herz::N,сюлэм,srdce
53,Magen::N,ӝуш,žaludek
54,Leber::N,мус,játra
55,Atem::N,лул,dech
56,Atem::N,шокан,dech
57,Hunger::N,кӧтсюман,hlad
58,Träne::N,синкыли,slza
59,Geschmack::N,шӧм,vkus
60,Geruch::N,зын,vůně
61,Geruch::N,зын,zápach
62,Schlaf::N,вӧт,spánek
63,Traum::N,уйвӧт,sen
64,Himmel::N,ин,nebe
65,Sonne::N,шунды,slunce
66,Mond::N,толэзь,měsíc
67,Stern::N,кизили,hvězda
68,Luft::N,омыр,vzduch
69,Wind::N,тӧл,vítr
70,Welle::N,тулкым,vlna
71,Wasser::N,ву,voda
72,Stein::N,из,kámen
73,Boden::N,музъем,půda
74,Erde::N,му,země
75,Staub::N,пыль,prach
76,Rauch::N,ӵын,dým
77,Rauch::N,ӵын,kouř
78,Funke::N,гизьы,jiskra
79,Feuer::N,тыл,oheň
80,Licht::N,тыл,světlo
81,Schatten::N,вужер,stín
82,Wetter::N,куазь,počasí
83,Nebel::N,бус,mlha
84,Wolke::N,пилем,mrak
85,Wolke::N,пилем,oblak
86,Regen::N,зор,déšť
87,Schnee::N,лымы,sníh
88,Eis::N,йӧ,led
89,Frost::N,кезьыт,mráz
90,Kälte::N,кезьыт,chlad
91,Hitze::N,пӧсь,horko
92,Raureif::N,гӧр,jinovatka
93,Regenbogen::N,вуюись,duha
94,Donner::N,гудыри,hrom
95,Strömung::N,бызён,proudění
96,Tropfen::N,шапык,kapka
97,Schaum::N,шукы,pěna
98,Schmutz::N,нӧд,špína
99,Schmutz::N,дэри,špína
100,See::N,ты,jezero
101,Sumpf::N,нюр,močál
102,Sumpf::N,нюр,bažina
103,Moor::N,нюр,bažina
104,Moor::N,нюр,slatina
105,Wiese::N,возь,louka
106,Wiese::N,возьвыл,louka
107,Wald::N,сик,les
108,Wald::N,нюлэс,les
109,Hügel::N,выр,kopec
110,Hügel::N,вырйыл,kopec
111,Anhöhe::N,выр,pahorek
112,Anhöhe::N,вырйыл,pahorek
113,Berg::N,гурезь,hora
114,Gipfel::N,йыл,vrchol
115,Höhle::N,гу,jeskyně
116,Abhang::N,бам,svah
117,Abhang::N,бам,stráň
118,Quelle::N,ошмес,pramen
119,Bach::N,пичи шур,potok
120,Fluss::N,шур,řeka
121,Ufer::N,ярдур,břeh
122,Küste::N,вудур,pobřeží
123,Festland::N,мувыр,souš
124,Festland::N,мувыр,pevnina
125,Meer::N,зарезь,moře
126,Bucht::N,вукож,záliv
127,Bucht::N,вукож,zátoka
128,Insel::N,вумуӵ,ostrov
129,Insel::N,шормуӵ,ostrov
130,Blume::N,сяська,květina
131,Gras::N,турын,tráva
132,Wurzel::N,выжы,kořen
133,Baum::N,пу,strom
134,Stamm::N,модос,kmen
135,Rinde::N,сул,kůra
136,Ast::N,ул,větev
137,Zweig::N,вай,větev
138,Blatt::N,куар,lupen
139,Birke::N,кызьпу,bříza
140,Kiefer[Baum]::N,пужым,sosna
141,Kiefer[Baum]::N,пужым,borovice
142,Weide[Baum]::N,бадьпу,vrba
143,Tanne::N,кыз,jedle
144,Horn::N,сюр,roh
145,Feder::N,тылы,pero
146,Fell::N,ку,srst
147,Flügel::N,бурд,křídlo
148,Klaue::N,гижы,dráp
149,Klaue::N,гижы,pazneht
150,Kralle::N,пыд,dráp
151,Schwanz::N,быж,ocas
152,Ei::N,пуз,vejce
153,Ei::N,кукей,vejce
154,Nest::N,кар,hnízdo
155,Nest::N,пузкар,hnízdo
