,Concept_ID,udm,hy
0,Auge::N,син,աչք
1,Ohr::N,пель,ականջ
2,Nase::N,ныр,քիթ
3,Mund::N,ым,բերան
4,Zahn::N,пинь,ատամ
5,Zunge::N,кыл,լեզու
6,Lippe::N,ымдур,շրթունք
7,Wange::N,бам,այտ
8,Wange::N,бам,թուշ
9,Gesicht::N,ымныр,դեմք
10,Stirn::N,кымес,ճակատ
11,Haar::N,йырси,մազ
12,Schnurrbart::N,мыйык,բեղ
13,Bart::N,туш,մորուք
14,Kinn::N,ангес,կզակ
15,Kiefer[Anatomie]::N,ан,ծնոտ
16,Kiefer[Anatomie]::N,анлы,ծնոտ
17,Kehle::N,гульым,կոկորդ
18,Hals::N,чырты,վիզ
19,Hals::N,чырты,պարանոց
20,Genick::N,йырбер,ծոծրակ
21,Kopf::N,йыр,գլուխ
22,Rücken::N,мыш,մեջք
23,Bauch::N,кӧт,փոր
24,Bauch::N,кӧт,որովայն
25,Nabel::N,гогы,պորտ
26,Busen::N,ноны,ծոց
27,Brust::N,мӧля,կուրծք
28,Schulter::N,пельпум,ուս
29,Arm::N,суй,թեւ
30,Arm::N,суй,բազուկ
31,Ellenbogen::N,гырпум,արմունկ
32,Hand::N,ки,ձեռք
33,Handfläche::N,ки пыдэс,ափ
34,Handfläche::N,кырым пыдэс,ափ
35,Finger::N,чиньы,մատ
36,Fingernagel::N,гижы,եղունգ
37,Fingernagel::N,гиждӥнь,եղունգ
38,Nagel[Anatomie]::N,гижы,եղունգ
39,Zeh::N,пыдчиньы,ոտքի մատ
40,Fuß::N,пыд,ոտք
41,Ferse::N,пыдбер,գարշապար
42,Knie::N,пыдес,ծունկ
43,Oberschenkel::N,макес,ազդր
44,Bein::N,пыд,ոտք
45,Körper::N,мугор,մարմին
46,Körper::N,вылтыр,մարմին
47,Haut::N,ку,մաշկ
48,Blut::N,вир,արյուն
49,Ader::N,вирсэр,երակ
50,Sehne::N,вуж,ջիղ
51,Sehne::N,вуж,ձգտան
52,Knochen::N,лы,ոսկոր
53,Gehirn::N,вим,խելք
54,Herz::N,сюлэм,սիրտ
55,Magen::N,ӝуш,ստամոքս
56,Leber::N,мус,լյարդ
57,Atem::N,лул,շունչ
58,Atem::N,шокан,շունչ
59,Hunger::N,кӧтсюман,քաղց
60,Träne::N,синкыли,արտասուք
