,Concept_ID,uz,hr
0,Auge::N,ko'z,oko
1,Ohr::N,quloq,uho
2,Nase::N,burun,nos
3,Mund::N,og'iz,usta
4,Zahn::N,tish,zub
5,Zunge::N,til,jezik
6,Lippe::N,dudoq,usna
7,Wange::N,bet,obraz
8,Gesicht::N,yuz,lice
9,Stirn::N,manglay,čelo
10,Haar::N,soch,kosa
11,Schnurrbart::N,mo'ylov,brkovi
12,Bart::N,soqol,brada
13,Kinn::N,ängak,brada
14,Kinn::N,ängak,podbradak
15,Kiefer[Anatomie]::N,iyak,čeljust
16,Kehle::N,bo'g'iz,grlo
17,Hals::N,bo'yin,vrat
18,Genick::N,gardan,zatiljak
19,Kopf::N,bosh,glava
20,Rücken::N,orqa,leđa
21,Rücken::N,orqa,hrbat
22,Bauch::N,qorin,trbuh
23,Nabel::N,kindik,pupak
24,Busen::N,ämchak,sisa
25,Busen::N,ämchak,njedra
26,Brust::N,ko'krak,prsa
27,Schulter::N,elka,rame
28,Schulter::N,elka,pleći
29,Arm::N,bilak,ruka
30,Ellenbogen::N,tirsak,lakat
31,Hand::N,qo'l,ruka
32,Handfläche::N,kaft,dlan
33,Finger::N,barmoq,prst
34,Fingernagel::N,tirnoq,nokat
35,Nagel[Anatomie]::N,tirnoq,nokat
36,Zeh::N,oyoq barmog'i,nozni prst
37,Fuß::N,oyoq,noga
38,Fuß::N,oyoq,stopalo
39,Ferse::N,tovon,peta
40,Knie::N,tiz,koljeno
41,Oberschenkel::N,son,bedro
42,Bein::N,oyoq,noga
43,Körper::N,badna,tijelo
44,Haut::N,teri,put
45,Haut::N,teri,koža
46,Blut::N,qon,krv
47,Ader::N,qon tomir,žila
48,Sehne::N,tomir,tetiva
49,Knochen::N,suyak,kost
50,Gehirn::N,miya,
51,Herz::N,qalb,srce
52,Magen::N,oshqozon,stomak
53,Magen::N,oshqozon,želudac
54,Leber::N,bag'ir,jetra
55,Atem::N,dam,dah
56,Hunger::N,ochlik,glad
57,Träne::N,yosh,suza
58,Geschmack::N,tam,ukus
59,Geruch::N,jid,njuh
60,Geruch::N,jid,miris
61,Schlaf::N,uyqu,san
62,Traum::N,tush,san
63,Himmel::N,osmon,nebo
64,Sonne::N,quyosh,sunce
65,Mond::N,oy,mjesec
66,Stern::N,yulduz,zvijezda
67,Luft::N,havo,zrak
68,Wind::N,el,vjetar
69,Welle::N,to'lqin,val
70,Welle::N,to'lqin,talas
71,Wasser::N,suv,voda
72,Stein::N,tosh,kamen
73,Boden::N,tuproq,tlo
74,Boden::N,tuproq,zemlja
75,Erde::N,er,zemlja
76,Staub::N,chang,prah
77,Staub::N,chang,prašina
78,Rauch::N,tutun,dim
79,Funke::N,yalt,iskra
80,Funke::N,yalt,varnica
81,Feuer::N,o't,vatra
82,Licht::N,yorug',svjetlo
83,Schatten::N,soya,hlad
84,Schatten::N,soya,sjena
85,Wetter::N,havo,vrijeme
86,Nebel::N,tuman,magla
87,Wolke::N,bulut,oblak
88,Regen::N,yomg'ir,kiša
89,Schnee::N,qor,snijeg
90,Eis::N,muz,led
91,Frost::N,ajoz,mraz
92,Kälte::N,ajoz,studen
93,Kälte::N,ajoz,hladnoća
94,Hitze::N,issiq,vrućina
95,Raureif::N,qirov,inje
96,Regenbogen::N,kamalak,duga
97,Donner::N,guldur,grom
98,Donner::N,guldur,grmljavina
99,Strömung::N,oqim,struja
100,Strömung::N,oqim,strujanje
101,Tropfen::N,tomchi,kap
102,Tropfen::N,tomchi,kaplja
