,Concept_ID,uz,no
0,Auge::N,ko'z,øye
1,Ohr::N,quloq,øre
2,Nase::N,burun,nese
3,Mund::N,og'iz,munn
4,Zahn::N,tish,tann
5,Zunge::N,til,tunge
6,Lippe::N,dudoq,leppe
7,Wange::N,bet,kinn
8,Gesicht::N,yuz,fjes
9,Gesicht::N,yuz,ansikt
10,Stirn::N,manglay,panne
11,Haar::N,soch,hår
12,Schnurrbart::N,mo'ylov,bart
13,Bart::N,soqol,skjegg
14,Kinn::N,ängak,hake
15,Kiefer[Anatomie]::N,iyak,kjeve
16,Kehle::N,bo'g'iz,strupe
17,Hals::N,bo'yin,hals
18,Genick::N,gardan,nakke
19,Kopf::N,bosh,hode
20,Rücken::N,orqa,rygg
21,Bauch::N,qorin,buk
22,Bauch::N,qorin,mage
23,Nabel::N,kindik,navle
24,Busen::N,ämchak,barm
25,Brust::N,ko'krak,bryst
26,Schulter::N,elka,skulder
27,Arm::N,bilak,arm
28,Ellenbogen::N,tirsak,albue
29,Hand::N,qo'l,hånd
30,Handfläche::N,kaft,håndflate
31,Finger::N,barmoq,finger
32,Fingernagel::N,tirnoq,fingernegl
33,Nagel[Anatomie]::N,tirnoq,negl
34,Zeh::N,oyoq barmog'i,tå
35,Fuß::N,oyoq,fot
36,Ferse::N,tovon,hæl
37,Knie::N,tiz,kne
38,Oberschenkel::N,son,lår
39,Bein::N,oyoq,bein
40,Körper::N,badna,kropp
41,Körper::N,badna,legeme
42,Haut::N,teri,hud
43,Haut::N,teri,skinn
44,Blut::N,qon,blod
45,Ader::N,qon tomir,åre
46,Sehne::N,tomir,sene
47,Knochen::N,suyak,bein
48,Knochen::N,suyak,knokkel
49,Gehirn::N,miya,hjerne
50,Herz::N,qalb,hjerte
51,Magen::N,oshqozon,mage
52,Leber::N,bag'ir,lever
53,Atem::N,dam,pust
54,Hunger::N,ochlik,sult
55,Träne::N,yosh,tåre
56,Geschmack::N,tam,smak
57,Geruch::N,jid,lukt
58,Schlaf::N,uyqu,søvn
59,Traum::N,tush,drøm
60,Himmel::N,osmon,himmel
61,Sonne::N,quyosh,sol
62,Mond::N,oy,måne
63,Stern::N,yulduz,stjerne
64,Luft::N,havo,luft
65,Wind::N,el,vind
66,Welle::N,to'lqin,bølge
67,Wasser::N,suv,vann
68,Stein::N,tosh,stein
69,Boden::N,tuproq,bakke
70,Erde::N,er,jord
71,Staub::N,chang,støv
72,Rauch::N,tutun,røyk
73,Funke::N,yalt,gnist
74,Feuer::N,o't,ild
75,Licht::N,yorug',lys
76,Schatten::N,soya,skygge
77,Wetter::N,havo,vær
78,Nebel::N,tuman,tåke
79,Wolke::N,bulut,sky
80,Regen::N,yomg'ir,regn
81,Schnee::N,qor,snø
82,Eis::N,muz,is
83,Frost::N,ajoz,frost
84,Kälte::N,ajoz,kulde
85,Hitze::N,issiq,hete
86,Raureif::N,qirov,rimfrost
87,Regenbogen::N,kamalak,regnbue
88,Donner::N,guldur,torden
89,Strömung::N,oqim,strømning
90,Tropfen::N,tomchi,dråpe
91,Schaum::N,ko'pik,skum
92,Schmutz::N,gard,søl
93,Schmutz::N,gard,skitt
94,See::N,ko'l,sjø
95,Sumpf::N,botqoq,sump
96,Sumpf::N,botqoq,myrlende
97,Moor::N,qir-adir,myr
98,Moor::N,qir-adir,myrhei
99,Wiese::N,o'tzor,eng
100,Wald::N,o'rmon,skog
101,Hügel::N,tepa,haug
102,Hügel::N,tepa,bakke
103,Anhöhe::N,adir,haug
104,Anhöhe::N,adir,bakke
105,Berg::N,tog',berg
106,Berg::N,tog',fjell
107,Gipfel::N,cho'qqi,topp
108,Höhle::N,kavak,hule
109,Abhang::N,to'sh,li
110,Abhang::N,to'sh,skråning
111,Quelle::N,buloq,kilde
112,Bach::N,o'zan,bekk
113,Fluss::N,daryo,elv
114,Ufer::N,sohil,bredd
115,Küste::N,qirg'oq,kyst
116,Festland::N,materik,fastland
117,Meer::N,dengiz,hav
118,Bucht::N,qo'ltiq,bukt
119,Insel::N,orol,øy
120,Blume::N,gul,blomst
121,Gras::N,sabza,gress
122,Wurzel::N,tub,rot
123,Wurzel::N,tomir,rot
124,Baum::N,daraxt,tre
125,Stamm::N,o'simta,stamme
126,Rinde::N,qobiq,bark
127,Ast::N,shox,gren
128,Zweig::N,butoq,kvist
129,Blatt::N,barg,blad
130,Birke::N,qayin,bjørk
131,Kiefer[Baum]::N,qarag'ay,furu
132,Weide[Baum]::N,shum,selje
133,Weide[Baum]::N,shum,piletre
134,Tanne::N,archa,gran
135,Horn::N,mugiz,horn
136,Feder::N,par,fjær
137,Fell::N,mo'yna,skinn
138,Flügel::N,qanot,vinge
139,Klaue::N,tirnoq,klauv
140,Kralle::N,tirnoq,klo
141,Schwanz::N,quyruq,hale
142,Ei::N,tuxum,egg
143,Nest::N,oshyon,rede
144,Bau::N,o'pqon,hi
145,Tier::N,hayvon,dyr
146,Herde::N,gala,flokk
147,Kuh::N,inak,ku
148,Bulle::N,ho'kiz,tyr
149,Pferd::N,ot,hest
150,Schaf::N,qo'y,får
151,Schwein::N,cho'chqa,gris
152,Hund::N,it,hund
153,Katze::N,mushuk,katt
154,Bär::N,ayiq,bjørn
155,Eichhörnchen::N,tiyin,ekorn
156,Elch::N,los,elg
157,Fuchs::N,tulki,rev
158,Hase::N,kuyon,hare
159,Maus::N,sichqon,mus
160,Wolf::N,bo'ri,ulv
161,Wolf::N,bo'ri,varg
162,Vogel::N,qush,fugl
163,Schwarm::N,to'da,sverm
164,Huhn::N,tovuq,høne
165,Hahn::N,xo'roz,hane
166,Gans::N,g'oz,gås
167,Adler::N,burgut,ørn
168,Ente::N,o'rdak,and
169,Eule::N,boyo'g'li,ugle
170,Kranich::N,turna,trane
171,Krähe::N,qarg'a,kråke
172,Kuckuck::N,kakku,gjøk
173,Schwan::N,oqkush,svane
174,Fisch::N,baliq,fisk
175,Barsch::N,olabug'a,abbor
176,Hecht::N,cho'rtan,gjedde
177,Schlange[Tier]::N,ilon,orm
178,Schlange[Tier]::N,ilon,slange
179,Wurm::N,qurt,orm
180,Wurm::N,qurt,mark
181,Spinne::N,o'rgimchak,edderkopp
182,Ameise::N,chumoli,maur
183,Laus::N,bit,lus
184,Mücke::N,chivin,mygg
185,Fliege::N,pashsha,flue
186,Schmetterling::N,kapalak,sommerfugl
187,Beere::N,meva,bær
188,Apfel::N,olma,eple
189,Pilz::N,qo'ziqorin,sopp
190,Zwiebel::N,piyoz,løk
191,Saat::N,äkin,sæd
192,Korn::N,zarra,korn
193,Heu::N,xashak,høy
194,Schale::N,po'choq,skall
195,Grube::N,co'ra,grop
196,Falle::N,qopqon,felle
197,Schlinge::N,sirtmoq,snare
198,Spur::N,iz,spor
199,Asche::N,kul,aske
200,Dreck::N,kir,møkk
201,Dreck::N,kir,skitt
202,Eisen::N,temir,jern
203,Gold::N,tilla,gull
204,Silber::N,kumush,sølv
205,Kohle::N,ko'mir,kol
206,Kohle::N,ko'mir,kull
207,Glas::N,oyna,glass
208,Lehm::N,loy,leire
209,Sand::N,qum,sand
210,Mensch::N,odam,menneske
211,Mann::N,ärkak,mann
212,Frau::N,ayol,kvinne
213,Kind::N,bola,barn
214,Kind::N,kichkintoy,barn
215,Junge::N,bola,gutt
216,Mädchen::N,qiz,pike
217,Mädchen::N,qiz,jente
218,Familie::N,oila,familie
219,Großvater::N,buva,bestefar
220,Großvater::N,katta ota,bestefar
221,Großmutter::N,buvi,bestemor
222,Großmutter::N,katta oyi,bestemor
223,Eltern::N,ota-ona,foreldre
224,Vater::N,ota,far
225,Mutter::N,ona,mor
226,Sohn::N,o'g'il,sønn
227,Tochter::N,qiz,datter
228,Bruder::N,og'a,bror
229,Bruder::N,uka,bror
230,Schwester::N,opa,søster
231,Schwester::N,singil,søster
232,Onkel::N,amaki,onkel
233,Tante::N,amma,tante
234,Tante::N,xola,tante
235,Ehemann::N,är,ektemann
236,Ehefrau::N,rafiqa,hustru
237,Freude::N,ayish,glede
238,Gelächter::N,kulgi,latter
239,Glück::N,saodat,lykke
240,Kummer::N,g'am,sorg
241,Wunsch::N,orzu,ønske
242,Lust::N,rag'bat,lyst
243,Geist::N,ruh,ånd
244,Gedanke::N,fikr,tanke
245,Gedächtnis::N,äs,minne
246,Gedächtnis::N,äs,hukommelse
247,Verstand::N,aql,forstand
248,Sinn::N,ma'ni,mening
249,Sinn::N,ma'ni,betydning
250,Grund::N,sabab,grunn
251,Wahrheit::N,haq,sannhet
252,Gespräch::N,gap,samtale
253,Märchen::N,ärtak,eventyr
254,Erzählung::N,rivoyat,fortelling
255,Nachricht::N,xabar,melding
256,Neuigkeit::N,yangilik,nyhet
257,Name::N,ot,navn
258,Rätsel::N,topishmoq,gåte
259,Rede::N,nutq,tale
260,Sprache::N,til,språk
261,Stimme::N,ovoz,stemme
262,Wort::N,so'z,ord
263,Zeichen::N,alomat,tegn
264,Ruf::N,chaqiriq,rop
265,Lärm::N,taraq,bråk
266,Laut::N,tovush,lyd
267,Ton::N,un,tone
268,Lied::N,ashula,vise
269,Ruhe::N,tinchlik,ro
270,Leute::N,xaloyiq,folk
271,Volk::N,xalq,folk
272,Arbeit::N,ish,arbeid
273,Gast::N,mehmon,gjest
274,Geschenk::N,hadya,gave
275,Spiel::N,o'yin,lek
276,Spiel::N,o'yin,spill
277,Gesellschaft::N,jamiyat,selskap
278,Hilfe::N,yordam,hjelp
279,Freund::N,do'st,venn
280,Kamerad::N,yo'ldosh,kamerat
281,Angelegenheit::N,daxl,sak
282,Angelegenheit::N,daxl,anliggende
283,Anzahl::N,son,antall
284,Art::N,tur,art
285,Art::N,tur,slag
286,Stück::N,parcha,stykke
287,Teil::N,bo'lak,del
288,Hälfte::N,yarim,halvdel
289,Kreis::N,aylana,ring
290,Kreis::N,aylana,sirkel
291,Kreuz::N,xoch,kors
292,Kreuz::N,xoch,kryss
293,Linie::N,liniya,linje
294,Strich::N,chiziq,strek
295,Abstand::N,oralik,avstand
296,Entfernung::N,uzoqlik,avstand
297,Gegend::N,yer,strøk
298,Platz::N,oralig,plass
299,Ort::N,joy,sted
300,Seite::N,yon,side
301,Mitte::N,o'rta,midte
302,Gegenstand::N,ashyo,gjenstand
303,Sache::N,buyum,sak
304,Rand::N,chek,rand
305,Kante::N,tig',kant
306,Ecke::N,burchak,hjørne
307,Spitze::N,uch,spiss
308,Ende::N,oxir,ende
309,Loch::N,teshik,hull
310,Winkel::N,go'sha,vinkel
311,Muster::N,nusha,mønster
312,Größe::N,kattalik,størrelse
313,Länge::N,uzunlik,lengde
314,Höhe::N,yuksaklik,høyde
315,Gewicht::N,solmoq,vekt
316,Menge::N,miqdor,mengde
317,Haufen::N,uyum,haug
318,Haufen::N,uyum,bunke
319,Reihe::N,saf,rekke
320,Boot::N,qayiq,båt
321,Ruder::N,äshkak,åre
322,Schlitten::N,chana,slede
323,Schlitten::N,chana,kjelke
324,Ski::N,chang'i,ski
325,Lagerfeuer::N,gulxan,leirbål
326,Last::N,yuk,bør
327,Last::N,yuk,last
328,Gang::N,yurish,gang
329,Schritt::N,qadam,steg
330,Schritt::N,qadam,skritt
331,Norden::N,shimol,nord
332,Süden::N,janub,sør
333,Westen::N,g'arb,vest
334,Osten::N,sharq,øst
335,Holz::N,yog'och,tre
336,Brett::N,taxta,fjøl
337,Brett::N,taxta,brett
338,Platte::N,tabaqa,plate
339,Stütze::N,tayanchi,støtte
340,Stange::N,qo'noq,stang
341,Stock::N,tayoq,pinne
342,Stab::N,gavron,stav
343,Stab::N,gavron,kjepp
344,Rohr::N,tarnov,rør
345,Haus::N,uy,hus
346,Heim::N,makon,hjem
347,Ofen::N,pechka,ovn
348,Fußboden::N,pol,gulv
349,Tisch::N,mosa,bord
350,Stuhl::N,o'rindiq,stol
351,Wiege::N,beshik,vogge
352,Bett::N,yotoq,seng
353,Regal::N,tokcha,reol
354,Regal::N,tokcha,hylle
355,Kiste::N,sandiq,kasse
356,Fenster::N,deraza,vindu
357,Tür::N,äshik,dør
358,Tor::N,darvoza,port
359,Zaun::N,panjara,gjerde
360,Dach::N,tom,tak
361,Leiter::N,narvon,stige
362,Besen::N,supurgi,kost
363,Spaten::N,bel,spade
364,Schaufel::N,kurak,skuffe
365,Gabel::N,bilka,gaffel
366,Löffel::N,qoshiq,skje
367,Messer::N,pichoq,kniv
368,Nagel::N,mix,spiker
369,Netz::N,to'r,nett
370,Haken::N,ilgak,krok
371,Griff::N,sop,tak
372,Griff::N,sop,håndtak
373,Griff::N,tutqich,tak
374,Griff::N,tutqich,håndtak
375,Schloss::N,qulf,lås
376,Bild::N,rasm,bilde
377,Figur::N,shakl,figur
378,Puppe::N,ko'g'irchoq,dukke
379,Beutel::N,to'rva,pose
380,Bündel::N,bog'lam,bylt
381,Tasche::N,kissa,veske
382,Eimer::N,chelak,bøtte
383,Deckel::N,qopqoq,lokk
