,Concept_ID,vep,es
0,Auge::N,sil'm,ojo
1,Ohr::N,korv,oreja
2,Nase::N,nena,nariz
3,Mund::N,su,boca
4,Zahn::N,pi,diente
5,Zahn::N,hambaz,diente
6,Zunge::N,kel',lengua
7,Lippe::N,hul',labio
8,Wange::N,modpolišk,mejilla
9,Gesicht::N,mod,cara
10,Stirn::N,oc,frente
11,Haar::N,tuk,cabello
12,Haar::N,hibuz,cabello
13,Schnurrbart::N,habinod,bigote
14,Bart::N,bard,barba
15,Kinn::N,löug,barbilla
16,Kiefer[Anatomie]::N,hambazlu,mandíbula
17,Kehle::N,kurk,garganta
18,Hals::N,kagl,cuello
19,Genick::N,tagarai,nuca
20,Genick::N,tagarai,cerviz
21,Kopf::N,pä,cabeza
22,Rücken::N,sel'g,espalda
23,Bauch::N,vac,vientre
24,Bauch::N,koht,vientre
25,Nabel::N,naba,ombligo
26,Busen::N,niža,pecho
27,Brust::N,rind,pecho
28,Schulter::N,oug,hombro
29,Arm::N,käzi,brazo
30,Ellenbogen::N,künambruz,codo
31,Hand::N,käzi,mano
32,Hand::N,käzitera,mano
33,Handfläche::N,kämen,palma
34,Finger::N,sor'm,dedo
35,Fingernagel::N,künz',uña
36,Nagel[Anatomie]::N,künz',uña
37,Zeh::N,barbaz,dedo del pie
38,Fuß::N,jaug,pie
39,Ferse::N,kand,talón
40,Knie::N,komb,rodilla
41,Knie::N,pol'v,rodilla
42,Oberschenkel::N,riiže,muslo
43,Bein::N,jaug,pierna
44,Körper::N,hibj,cuerpo
45,Haut::N,nahk,piel
46,Blut::N,čak,sangre
47,Blut::N,veri,sangre
48,Ader::N,son',vena
49,Sehne::N,jände,tendón
50,Knochen::N,lu,hueso
51,Gehirn::N,aivod,cerebro
52,Gehirn::N,aivod,encéfalo
53,Herz::N,südäin,corazón
54,Magen::N,südäikoht,estómago
55,Leber::N,maks,hígado
56,Atem::N,hengaiduz,aliento
57,Hunger::N,näl'g,hambre
58,Träne::N,kündal',lágrima
59,Geschmack::N,magu,gusto
60,Geruch::N,haju,olor
61,Schlaf::N,uni,sueño
62,Traum::N,unikuva,sueño
63,Traum::N,unikuva,ensueño
