,Concept_ID,vep,ku
0,Auge::N,sil'm,çav
1,Ohr::N,korv,guh
2,Nase::N,nena,bêvil
3,Mund::N,su,dev
4,Zahn::N,pi,didan
5,Zahn::N,hambaz,didan
6,Zunge::N,kel',ziman
7,Lippe::N,hul',lêv
8,Wange::N,modpolišk,dêm
9,Wange::N,modpolišk,hinarik
10,Gesicht::N,mod,rû
11,Stirn::N,oc,enî
12,Haar::N,tuk,por
13,Haar::N,hibuz,por
14,Schnurrbart::N,habinod,simbêl
15,Bart::N,bard,rih
16,Kinn::N,löug,zenî
17,Kiefer[Anatomie]::N,hambazlu,arguşk
18,Kehle::N,kurk,qirik
19,Hals::N,kagl,stû
20,Hals::N,kagl,qirik
21,Genick::N,tagarai,stû
22,Kopf::N,pä,serî
23,Rücken::N,sel'g,pişt
24,Bauch::N,vac,ûr
25,Bauch::N,vac,zik
26,Bauch::N,koht,ûr
27,Bauch::N,koht,zik
28,Nabel::N,naba,navik
29,Busen::N,niža,sîng
30,Brust::N,rind,sîng
31,Schulter::N,oug,mil
32,Arm::N,käzi,çepil
33,Ellenbogen::N,künambruz,enîşk
34,Hand::N,käzi,dest
35,Hand::N,käzitera,dest
36,Handfläche::N,kämen,kefadest
37,Finger::N,sor'm,tilî
38,Fingernagel::N,künz',neynuk
39,Nagel[Anatomie]::N,künz',bizmar
40,Zeh::N,barbaz,tilî linga
41,Fuß::N,jaug,ling
42,Ferse::N,kand,pahnî
43,Knie::N,komb,kabok
44,Knie::N,pol'v,kabok
45,Oberschenkel::N,riiže,rahn
46,Bein::N,jaug,çip
47,Körper::N,hibj,laş
48,Körper::N,hibj,gowde
49,Haut::N,nahk,çerm
50,Blut::N,čak,xwîn
51,Blut::N,veri,xwîn
52,Ader::N,son',reh
53,Sehne::N,jände,reh
54,Knochen::N,lu,hestî
55,Gehirn::N,aivod,mêjî
56,Herz::N,südäin,dil
57,Magen::N,südäikoht,navêş
58,Leber::N,maks,kezeb
59,Atem::N,hengaiduz,hilm
60,Hunger::N,näl'g,birçîtî
61,Träne::N,kündal',hêstir
62,Geschmack::N,magu,tam
63,Geruch::N,haju,bêhn
64,Schlaf::N,uni,xew
65,Traum::N,unikuva,xewn
66,Himmel::N,taivaz,ezman
67,Sonne::N,päiväine,roj
68,Mond::N,kudmaine,heyv
