,Concept_ID,vep,os
0,Auge::N,sil'm,цӕст
1,Ohr::N,korv,хъус
2,Nase::N,nena,фындз
3,Mund::N,su,дзых
4,Zahn::N,pi,дӕндаг
5,Zahn::N,hambaz,дӕндаг
6,Zunge::N,kel',ӕвзаг
7,Lippe::N,hul',был
8,Wange::N,modpolišk,рус
9,Wange::N,modpolišk,уадул
10,Wange::N,modpolišk,ӕхсӕрфарс
11,Gesicht::N,mod,цӕсгом
12,Stirn::N,oc,ных
13,Haar::N,tuk,хил
14,Haar::N,hibuz,хил
15,Schnurrbart::N,habinod,рихи
16,Bart::N,bard,зачъе
17,Kinn::N,löug,роцъо
18,Kiefer[Anatomie]::N,hambazlu,ӕфсӕр
19,Kehle::N,kurk,хъуыр
20,Hals::N,kagl,къубал
21,Genick::N,tagarai,къӕбут
22,Kopf::N,pä,сӕр
23,Rücken::N,sel'g,фӕсонтӕ
24,Bauch::N,vac,гуыбын
25,Bauch::N,koht,гуыбын
26,Nabel::N,naba,бикъ
27,Busen::N,niža,дзидзи
28,Brust::N,rind,риу
29,Schulter::N,oug,уӕхск
30,Arm::N,käzi,цонг
31,Ellenbogen::N,künambruz,рæмбын
32,Hand::N,käzi,къух
33,Hand::N,käzitera,къух
34,Handfläche::N,kämen,армытъӕпӕн
35,Finger::N,sor'm,ӕнруылдз
36,Fingernagel::N,künz',ных
37,Nagel[Anatomie]::N,künz',ных
38,Zeh::N,barbaz,къух
39,Fuß::N,jaug,фад
40,Ferse::N,kand,зӕвӕт
41,Knie::N,komb,уӕраг
42,Knie::N,pol'v,уӕраг
43,Oberschenkel::N,riiže,агъд
44,Bein::N,jaug,зӕнг
45,Körper::N,hibj,буар
46,Haut::N,nahk,царм
47,Blut::N,čak,туг
48,Blut::N,veri,туг
49,Ader::N,son',дадзин
50,Ader::N,son',тугдадзин
51,Sehne::N,jände,хъиутæ
52,Sehne::N,jände,нуар
53,Knochen::N,lu,стӕг
54,Gehirn::N,aivod,магъз
