,Concept_ID,zh,hr
0,Auge::N,眼睛,oko
1,Ohr::N,耳朵,uho
2,Nase::N,鼻子,nos
3,Mund::N,嘴,usta
4,Zahn::N,牙齿,zub
5,Zunge::N,舌头,jezik
6,Lippe::N,嘴唇,usna
7,Wange::N,面颊,obraz
8,Gesicht::N,脸,lice
9,Stirn::N,额,čelo
10,Haar::N,头发,kosa
11,Schnurrbart::N,髭须,brkovi
12,Bart::N,胡子,brada
13,Kinn::N,下巴,brada
14,Kinn::N,下巴,podbradak
15,Kiefer[Anatomie]::N,颌,čeljust
16,Kehle::N,嗓子,grlo
17,Hals::N,颈,vrat
18,Genick::N,后颈,zatiljak
19,Kopf::N,头,glava
20,Rücken::N,背,leđa
21,Rücken::N,背,hrbat
22,Bauch::N,肚子,trbuh
23,Nabel::N,肚脐,pupak
24,Busen::N,胸脯,sisa
25,Busen::N,胸脯,njedra
26,Brust::N,胸,prsa
27,Schulter::N,肩膀,rame
28,Schulter::N,肩膀,pleći
29,Arm::N,臂膀,ruka
30,Ellenbogen::N,肘,lakat
31,Hand::N,手,ruka
32,Handfläche::N,手掌,dlan
33,Finger::N,手指,prst
34,Fingernagel::N,指甲,nokat
35,Nagel[Anatomie]::N,指甲,nokat
36,Zeh::N,脚趾,nozni prst
37,Fuß::N,脚,noga
38,Fuß::N,脚,stopalo
39,Ferse::N,后跟,peta
40,Knie::N,膝,koljeno
41,Oberschenkel::N,大腿,bedro
42,Bein::N,腿,noga
43,Körper::N,身体,tijelo
44,Haut::N,皮肤,put
45,Haut::N,皮肤,koža
46,Blut::N,血,krv
47,Ader::N,血管,žila
48,Sehne::N,腱,tetiva
49,Knochen::N,骨,kost
50,Gehirn::N,脑,
51,Herz::N,心,srce
52,Magen::N,胃,stomak
53,Magen::N,胃,želudac
54,Leber::N,肝,jetra
55,Atem::N,呼吸,dah
56,Hunger::N,饿,glad
57,Träne::N,眼泪,suza
58,Geschmack::N,味道,ukus
59,Geruch::N,气味,njuh
60,Geruch::N,气味,miris
61,Schlaf::N,睡眠,san
62,Traum::N,梦,san
63,Himmel::N,天空,nebo
64,Sonne::N,太阳,sunce
65,Mond::N,月亮,mjesec
66,Stern::N,星,zvijezda
67,Luft::N,空气,zrak
68,Wind::N,风,vjetar
69,Welle::N,波,val
70,Welle::N,波,talas
71,Wasser::N,水,voda
72,Stein::N,石头,kamen
73,Boden::N,地面,tlo
74,Boden::N,地面,zemlja
75,Erde::N,地,zemlja
76,Staub::N,灰尘,prah
77,Staub::N,灰尘,prašina
78,Rauch::N,烟,dim
79,Funke::N,火花,iskra
80,Funke::N,火花,varnica
81,Feuer::N,火,vatra
82,Licht::N,光,svjetlo
83,Schatten::N,影子,hlad
84,Schatten::N,影子,sjena
85,Wetter::N,天气,vrijeme
86,Nebel::N,雾,magla
87,Wolke::N,云,oblak
88,Regen::N,雨,kiša
89,Schnee::N,雪,snijeg
90,Eis::N,冰,led
91,Frost::N,霜冻,mraz
92,Kälte::N,寒冷,studen
93,Kälte::N,寒冷,hladnoća
94,Hitze::N,炎热,vrućina
95,Raureif::N,霜,inje
96,Regenbogen::N,虹,duga
97,Donner::N,雷,grom
98,Donner::N,雷,grmljavina
99,Strömung::N,水流,struja
100,Strömung::N,水流,strujanje
101,Tropfen::N,滴,kap
102,Tropfen::N,滴,kaplja
103,Schaum::N,泡沫,pjena
104,Schmutz::N,赃物,nečistoća
105,Schmutz::N,赃物,prljavština
106,See::N,湖,jezero
107,Sumpf::N,沼泽,bara
108,Moor::N,沼泽,močvara
109,Wiese::N,草地,livada
110,Wald::N,森林,šuma
111,Hügel::N,丘陵,brijeg
112,Hügel::N,丘陵,brežuljak
113,Anhöhe::N,山丘,uzvišica
114,Berg::N,山,brdo
115,Gipfel::N,峰,vrh
116,Höhle::N,洞穴,pećina
117,Höhle::N,洞穴,spilja
118,Abhang::N,斜坡,obronak
119,Abhang::N,斜坡,nizbrdica
120,Quelle::N,泉,izvor
121,Quelle::N,泉,vrelo
122,Bach::N,溪,potok
123,Fluss::N,河流,rijeka
124,Ufer::N,岸,obala
125,Küste::N,海岸,obala
126,Küste::N,海岸,morska obala
127,Festland::N,大陆,kopno
128,Meer::N,海,more
129,Bucht::N,海湾,zaliv
130,Insel::N,岛,ada
131,Insel::N,岛,otok
132,Blume::N,花,cvijet
133,Gras::N,草,trava
134,Wurzel::N,根,korijen
135,Baum::N,树,drvo
136,Baum::N,树,stablo
137,Stamm::N,树干,deblo
138,Stamm::N,树干,stablo
139,Rinde::N,树皮,kora
140,Ast::N,树枝,grana
141,Zweig::N,树枝,grana
142,Blatt::N,叶子,list
143,Birke::N,桦木,breza
144,Kiefer[Baum]::N,松树,bor
145,Weide[Baum]::N,柳树,iva
146,Weide[Baum]::N,柳树,vŕba
147,Tanne::N,冷杉,jela
148,Horn::N,角,rog
149,Feder::N,羽毛,pero
150,Fell::N,皮毛,koža
151,Flügel::N,翅膀,krilo
152,Klaue::N,爪子,papak
153,Kralle::N,爪子,pandža
154,Schwanz::N,尾巴,rep
155,Ei::N,蛋,jaje
156,Nest::N,巢,gnijezdo
157,Bau::N,穴,jazbina
158,Tier::N,动物,životinja
159,Herde::N,群,krdo
160,Herde::N,群,stado
161,Kuh::N,母牛,krava
162,Bulle::N,公牛,bik
163,Pferd::N,马,konj
164,Schaf::N,羊,ovca
