neighbors	cosine_dists
poju	0.214634040769276
kamu	0.2234443170847198
häh	0.22593485309970446
ystäväiseni	0.22754715322532792
kultsi	0.2333088703719149
pikkukaveri	0.23373035231273714
helkkari	0.2341736490511374
pikkumies	0.23542161728986377
helkkarin	0.2355665066054229
herraseni	0.23983871019701658
kaverit	0.2444863572915149
muru	0.24453401110169648
veliseni	0.2446313423623917
kultaseni	0.24534492630844595
kaveri	0.24615601410732413
äiskä	0.24631519287884568
typy	0.24698481062220345
kuomaseni	0.24707924980643792
nyt	0.24716096557456618
isäukkosi	0.24721883454029325
