,Concept_ID,ab,uk
0,Auge::N,ала,око
1,Ohr::N,алымҳа,вухо
2,Nase::N,аҧынҵа,ніс
3,Mund::N,аҧышə,рот
4,Zahn::N,ахаҧыц,зуб
5,Zunge::N,абз,язик
6,Lippe::N,ақьышə,губа
7,Wange::N,аӡамҩа,щока
8,Gesicht::N,аҿы,обличчя
9,Stirn::N,алахь,лоб
10,Haar::N,ахəыц,волосся
11,Schnurrbart::N,аҧаҵа,вуса
12,Bart::N,ажакьа,борода
13,Kinn::N,ацламкəыгə,підборіддя
14,Kiefer[Anatomie]::N,ацламҳəа,щелепа
15,Kehle::N,ахəда,горло
16,Hals::N,ахəда,шия
17,Genick::N,ахəдаџьал,потилиця
18,Kopf::N,ахы,голова
19,Rücken::N,азқəа,спина
20,Bauch::N,амгəа,живіт
21,Nabel::N,аҷапан,пупок
22,Busen::N,агəыҧҳəы,груди
23,Brust::N,агəышҧы,груди
24,Schulter::N,ажəҩахыр,плече
25,Arm::N,амахəар,рука
26,Ellenbogen::N,амашьхəылҵ,лікоть
27,Hand::N,анапы,рука
28,Handfläche::N,анапсаргəыҵа,долоня
29,Finger::N,анацəа,палець
30,Fingernagel::N,анапхыц,ніготь
31,Nagel[Anatomie]::N,ашьапхыц,ніготь
32,Zeh::N,ашьацəа,палець на нозі
33,Fuß::N,ашьапсыргəыҵа,нога
34,Ferse::N,ашьхəа,п’ятка
35,Knie::N,ашьамхы,коліно
36,Oberschenkel::N,ауаҭəа,стегно
37,Bein::N,ашьапы,нога
38,Körper::N,ацəеижь,тіло
39,Haut::N,ацəа,шкіра
40,Blut::N,ашьа,кров
41,Ader::N,ада,вена
42,Sehne::N,адаш,сухожилля
43,Knochen::N,абаҩ,кістка
44,Gehirn::N,ахшлыбаҩ,мозок
45,Gehirn::N,ахшыбаҩ,мозок
46,Herz::N,агəы,серце
47,Magen::N,аца,шлунок
48,Magen::N,ацар,шлунок
49,Leber::N,агəаҵəа,печінка
50,Atem::N,аҧсыҧлагаҩгара,дихання
51,Hunger::N,амла,голод
52,Träne::N,алабжыш,сльоза
53,Geschmack::N,агьама,смак
54,Geruch::N,афҩы,запах
55,Schlaf::N,ацəа,сон
56,Schlaf::N,ацəа,сплячка
57,Traum::N,аҧхыӡ,сон
58,Himmel::N,ажəҩан,небо
59,Sonne::N,амра,сонце
60,Mond::N,амза,місяць
61,Stern::N,аеҵəа,зірка
62,Luft::N,аҳаир,повітря
63,Wind::N,аҧша,вітер
64,Welle::N,ацəқəырҧа,хвиля
65,Wasser::N,аӡы,вода
66,Stein::N,ахаҳə,камінь
67,Boden::N,адгьыл,ґрунт
68,Erde::N,адгьыл,земля
69,Staub::N,асаба,пил
70,Rauch::N,алҩа,дим
71,Funke::N,акəиц,іскра
72,Funke::N,ацҧхь,іскра
73,Feuer::N,амца,вогонь
74,Licht::N,алашара,світло
75,Schatten::N,ашəшьыра,тінь
76,Wetter::N,амш,погода
77,Nebel::N,анаҟəа,туман
78,Wolke::N,аҧсҭҳəа,хмара
79,Regen::N,ақəа,дощ
80,Schnee::N,асы,сніг
81,Eis::N,аҵаа,лід
82,Frost::N,аҵаа,мороз
83,Kälte::N,ахьҭа,холод
84,Hitze::N,ашоура,жар
85,Raureif::N,аҵааҧшқа,іній
86,Regenbogen::N,ацəаҟəа,райдуга
87,Donner::N,адыд,грім
88,Strömung::N,аиасра,струмина
89,Strömung::N,амҩасра,струмина
90,Tropfen::N,ацəыкəбар,крапля
91,Schaum::N,ашəах,піна
92,Schmutz::N,алымт,бруд
93,See::N,аӡиа,озеро
94,Sumpf::N,аӡмах,драговина
95,Wiese::N,адəы,луг
96,Wiese::N,адəы,лука
97,Wald::N,абна,ліс
98,Hügel::N,ахəы,горб
99,Anhöhe::N,аҳаракыра,височина
100,Berg::N,ашьха,гора
101,Gipfel::N,ацəқəа,вершина
102,Höhle::N,аҳаҧы,печера
103,Abhang::N,анаара,схил
104,Quelle::N,аҵҵырҭа,джерело
105,Bach::N,акəараҷҷа,струмок
106,Fluss::N,аӡиас,річка
107,Ufer::N,ахықə,берег
108,Küste::N,ахықə,узбережжя
109,Festland::N,абарра,суша
110,Meer::N,амшын,море
111,Bucht::N,аӡбжьахала,бухта
112,Bucht::N,аӡбжьахала,затока
113,Insel::N,адгьылбжьаха,острів
114,Blume::N,ашəҭ,квітка
115,Gras::N,аҳасакьын,трава
116,Wurzel::N,адац,корінь
117,Baum::N,аҵла,дерево
118,Stamm::N,ашьапы,стовбур
119,Rinde::N,ацəа,кора
120,Ast::N,амахə,гілка
121,Ast::N,амахəҭа,гілка
122,Zweig::N,амахə,галузь
123,Zweig::N,амахəҭа,галузь
124,Blatt::N,абҕьы,лист
125,Birke::N,аҵааҵла,береза
126,Kiefer[Baum]::N,амза,сосна
127,Weide[Baum]::N,аҧслыш,верба
128,Tanne::N,аҧсаӡ,ялиця
129,Horn::N,атəыҩа,ріг
130,Feder::N,ахӡы,перо
131,Fell::N,ацəа,хутро
132,Flügel::N,амҵəыжəа,крило
133,Klaue::N,ашьапхыц,кіготь
134,Schwanz::N,аҵыхəа,хвіст
135,Ei::N,акəтаӷь,яйце
136,Nest::N,аҭра,гніздо
137,Nest::N,аҵысҭра,гніздо
138,Bau::N,аҭыҩра,лігво
139,Tier::N,аҧстəы,тварина
140,Tier::N,агыгшəыг,тварина
141,Herde::N,агəарҭа,стадо
142,Kuh::N,ажə,корова
143,Bulle::N,ацə,бик
144,Bulle::N,ацə,бугай
145,Pferd::N,аҽы,кінь
146,Schaf::N,ауаса,вівця
147,Schwein::N,аҳəа,свиня
148,Hund::N,ала,собака
149,Katze::N,ацгəы,кішка
150,Bär::N,амшə,ведмідь
151,Eichhörnchen::N,аеш,білка
152,Elch::N,аҽаҩа,лось
153,Fuchs::N,абгахəыҷы,лисиця
154,Hase::N,ажьа,заєць
155,Maus::N,аҳəынаҧ,миша
156,Wolf::N,абгаду,вовк
157,Vogel::N,аҧсаатə,птах
158,Huhn::N,акəты,курка
159,Hahn::N,арбаҕь,півень
160,Gans::N,аҟыз,гуска
161,Adler::N,ауарба,орел
162,Ente::N,акəата,качка
163,Eule::N,аты,сова
164,Kranich::N,апҟа,журавель
165,Krähe::N,аҟəараан,ворона
166,Kuckuck::N,акəыкəу,зозуля
167,Schwan::N,агьад,лебідь
168,Fisch::N,аҧсыӡ,риба
169,Barsch::N,ацəыбла,окунь
170,Hecht::N,ахиаала,щука
171,Schlange[Tier]::N,амаҭ,змія
172,Wurm::N,ахəа,черв’як
173,Wurm::N,ахəац,черв’як
174,Spinne::N,абызкаҭаҳа,павук
175,Ameise::N,ашышкамс,мурашка
176,Laus::N,аҵа,воша
177,Mücke::N,акəыбры,комар
178,Fliege::N,амҵ,муха
179,Schmetterling::N,аҧарҧалыкь,метелик
180,Beere::N,аргуц,ягода
181,Apfel::N,аҵəа,яблуко
182,Pilz::N,акəкəбаа,гриб
183,Zwiebel::N,аџьымшьы,цибуля
184,Zwiebel::N,аџьымшьхы,цибуля
185,Saat::N,ажəла,сім’я
186,Korn::N,арыц,зерно
187,Heu::N,аҭəа,сіно
188,Schale::N,ацəа,шкірка
189,Grube::N,ажра,яма
190,Grube::N,атыша,яма
191,Falle::N,арыҧҟьа,пастка
192,Schlinge::N,аҟəараҟəантə,петля
193,Spur::N,ашьҭа,слід
194,Asche::N,ахəа,зола
195,Asche::N,ахəа,попіл
196,Dreck::N,аҳəынҵəа,бруд
197,Dreck::N,аҟьамсар,бруд
198,Eisen::N,аиха,залізо
199,Gold::N,ахьы,золото
200,Silber::N,аразны,срібло
201,Kohle::N,арацəа,вугілля
202,Glas::N,асаркьа,скло
203,Lehm::N,анышəаҧшь,глина
204,Sand::N,аҧслымӡ,пісок
205,Mensch::N,ауаҩы,людина
206,Mann::N,ахаҵа,чоловік
207,Frau::N,аҧҳəыс,жінка
208,Kind::N,ахəыҷы,дитина
209,Junge::N,аҷкəын,хлопець
210,Junge::N,ахаҵарҧыс,хлопець
211,Mädchen::N,аӡӷаб,дівчина
212,Familie::N,аҭаацəа,сім’я
213,Familie::N,аҭаацəа,родина
214,Großvater::N,абду,дідусь
215,Großmutter::N,анду,бабуся
216,Eltern::N,ани аби,батьки
217,Vater::N,аб,батько
218,Mutter::N,ан,мати
219,Sohn::N,аҧа,син
220,Tochter::N,аҧҳа,дочка
221,Bruder::N,аиашьа,брат
222,Schwester::N,Аҳəшьа,сестра
223,Onkel::N,абиашьа,дядько
224,Onkel::N,аншьа,дядько
225,Tante::N,абиаҳəшьа,тітка
226,Ehemann::N,ахаҵа,чоловік
227,Ehemann::N,аҧшəма,чоловік
228,Ehefrau::N,аҧҳəыс,жінка
229,Ehefrau::N,аҧҳəыс,дружина
230,Freude::N,агəырӷьара,радощі
231,Gelächter::N,ачча,сміх
232,Gelächter::N,аччара,сміх
233,Glück::N,аразҟы,щастя
234,Kummer::N,агəырҩа,горе
235,Wunsch::N,агəхəтəы,бажання
236,Wunsch::N,аҭахра,бажання
237,Lust::N,агəазыҳəара,бажання
238,Geist::N,аҧсы,дух
239,Gedanke::N,ахəыцырҭа,думка
240,Gedächtnis::N,агəынкылара,пам’ять
241,Verstand::N,ахшыҩ,розум
242,Sinn::N,аҵакы,зміст
243,Sinn::N,аҵакы,значення
244,Grund::N,амзыз,причина
245,Wahrheit::N,аиаша,правда
246,Gespräch::N,аиҿцәажәара,розмова
247,Märchen::N,алакə,байка
248,Erzählung::N,ажәабжь,повість
249,Erzählung::N,ажәабжь,оповідання
250,Nachricht::N,адырраҭара,повідомлення
251,Neuigkeit::N,ажәабжь ҿыц,новина
252,Name::N,ахьӡ,ім’я
253,Rätsel::N,ацуфара,загадка
254,Rede::N,ажәа,промова
255,Sprache::N,абызшəа,мова
256,Stimme::N,абжьы,голос
257,Wort::N,ажәа,слово
258,Zeichen::N,адырга,знак
259,Ruf::N,аҿҭы,оклик
260,Lärm::N,ашьҭыбжь,шум
261,Laut::N,ашьҭыбжь,звук
262,Ton::N,атон,тон
263,Lied::N,ашəа,пісня
264,Ruhe::N,аҭынчра,спокій
265,Leute::N,ауаа,люди
266,Volk::N,ажəлар,народ
267,Arbeit::N,аусура,робота
268,Gast::N,асас,гість
269,Geschenk::N,аҳамҭа,подарунок
270,Geschenk::N,аҿанҵа,подарунок
271,Spiel::N,ахəмарра,гра
272,Gesellschaft::N,агəыҧ,товариство
273,Hilfe::N,ацхыраара,допомога
274,Freund::N,аҩыза,друг
275,Freund::N,аҩыза,приятель
276,Kamerad::N,Аҧхнагьла,товариш
277,Angelegenheit::N,аус,справа
278,Anzahl::N,ахыҧхьаӡара,число
279,Art::N,ахкы,рід
280,Stück::N,аҽыҭ,кусок
281,Teil::N,ахəҭа,частина
282,Hälfte::N,абжа,половина
283,Kreis::N,агьагьа,круг
284,Kreis::N,агьагьа,коло
285,Kreuz::N,аџьар,хрест
286,Linie::N,аицтәар,лінія
287,Strich::N,ацəаҳəа,штрих
288,Abstand::N,абжьара,проміжок
289,Entfernung::N,абжьара,відстань
290,Gegend::N,аҭыҧ,місцевість
291,Platz::N,аҭыҧ,площа
292,Ort::N,аҭыҧ,місце
293,Seite::N,аган,сторона
294,Mitte::N,агəҭа,середина
295,Gegenstand::N,амаҭəар,предмет
296,Rand::N,аҵкар,край
297,Kante::N,авардым,ребро
298,Ecke::N,акəакь,ріг
299,Spitze::N,аҧынҵа,кінчик
300,Ende::N,анаӡара,кінець
301,Loch::N,акылҵəара,діра
302,Winkel::N,агҿаҩра,куток
303,Winkel::N,акəындхə,куток
304,Winkel::N,акəакь,куток
305,Muster::N,аҟҟа,узор
306,Größe::N,изаҟароу,розмір
307,Länge::N,аура,довжина
308,Höhe::N,агылара,висота
309,Gewicht::N,акапан,вага
310,Haufen::N,ачаҟəа,купа
311,Reihe::N,ацəаҳəа,ряд
312,Boot::N,анышь,човен
313,Ruder::N,ажəҩа,весло
314,Schlitten::N,ашəаҩауардын,сани
315,Ski::N,ашəаҩа,лижа
316,Ski::N,ашьахаха,лижа
317,Lagerfeuer::N,еиқуу амца,вогнище
318,Last::N,ахьанҭара,тягар
319,Last::N,ахьанҭара,вантаж
320,Gang::N,аныҟəара,хід
321,Schritt::N,ашьаҿа,крок
322,Norden::N,аҩада,північ
323,Süden::N,алада,південь
324,Westen::N,амраҭашəара,захід
325,Osten::N,амрагылара,схід
326,Holz::N,амҿымаҭəахə,дрова
327,Brett::N,аӷəы,дошка
328,Platte::N,ахаҳәцәы,плита
329,Stütze::N,аҵаргəа,підпірка
330,Stütze::N,агəышьаҟа,підпірка
331,Stange::N,акьат,жердина
332,Stock::N,алаба,палиця
333,Stab::N,акьат,палиця
334,Rohr::N,абыкь,труба
335,Haus::N,аҩны,дім
336,Haus::N,аҩны,хата
337,Heim::N,аҭаацəа,житло
338,Ofen::N,аҳақə,піч
339,Ofen::N,ауаџьаҟ,піч
340,Ofen::N,афрына,піч
341,Fußboden::N,адашьма,підлога
342,Tisch::N,аишәа,стіл
343,Stuhl::N,аҟəардə,стілець
344,Wiege::N,агара,колиска
345,Bett::N,акаруаҭ,ліжко
346,Bett::N,акаруаҭ,постіль
347,Regal::N,акыӷəра,полиця
348,Kiste::N,аидчаҧала,ящик
349,Fenster::N,аҧенџьыр,вікно
350,Tür::N,ашə,двері
351,Tor::N,агəашə,ворота
352,Zaun::N,аанда,паркан
353,Zaun::N,аанда,огорожа
354,Dach::N,ахыб,дах
355,Leiter::N,амардуан,драбина
356,Besen::N,аҧссага,мітла
357,Spaten::N,ажыга,заступ
358,Schaufel::N,аҭəарӷəы,совок
359,Schaufel::N,аҭəарӷəы,лопата
360,Gabel::N,ачқьыҧ,виделка
361,Löffel::N,амҳаҵə,ложка
362,Messer::N,аҳəызба,ніж
363,Nagel::N,аҵəымӷ,цвях
364,Netz::N,акаҭа,сіть
365,Haken::N,аҵəаҳə,крюк
366,Griff::N,амаа,ручка
367,Griff::N,амаа,держак
368,Schloss::N,асаҧаҭ,замок
369,Bild::N,асахьа,картина
370,Figur::N,афигура,фігура
371,Puppe::N,акьанџьа,лялька
372,Beutel::N,асакь,мішечок
373,Beutel::N,асакь,торбинка
374,Bündel::N,аҿаҳəара,в’язка
375,Tasche::N,арҭмаҟ,сумка
376,Eimer::N,аведра,відро
377,Deckel::N,ахҩа,кришка
378,Geschirr::N,ачысмаҭəа,посуд
379,Sack::N,асакь,мішок
380,Tasse::N,аҵəца,чашка
381,Topf::N,акаструлиа,горщик
382,Kessel::N,ачуан,котел
383,Nahrung::N,афатə,харч
384,Speise::N,афатə,страва
385,Fleisch::N,акəац,м’ясо
386,Getreide::N,ачакуа,хліб
387,Getreide::N,ачакуа,збіжжя
388,Brei::N,ақашь,каша
389,Brot::N,ача,хліб
390,Scheibe::N,аҽыҭ,скибочка
391,Scheibe::N,аҿаҵа,скибочка
392,Fett::N,ашша,жир
393,Butter::N,ахəша,масло
394,Öl::N,азеҭ,олія
395,Salz::N,аџьыка,сіль
396,Suppe::N,асуҧ,суп
397,Honig::N,ацха,мед
398,Milch::N,ахш,молоко
399,Tee::N,ачаи,чай
400,Leder::N,ацəа,шкіра
401,Wolle::N,аласа,шерсть
402,Stoff::N,Аба,тканина
403,Nadel::N,агəыр,голка
404,Faden::N,арахəыц,нитка
405,Knopf::N,аҳəынҵəра,ґудзик
406,Knoten::N,аиқəҳəала,вузол
407,Farbe::N,ашəыга,фарба
408,Kleidung::N,амаҭəа,одяг
409,Kleidung::N,амаҭəа,убрання
410,Hemd::N,акьаҿ,сорочка
411,Kragen::N,ахəда,комір
412,Ärmel::N,амаӷра,рукав
413,Hose::N,аиқəа,брюки
414,Gürtel::N,амаҟа,пояс
415,Mütze::N,ахылҧа,шапка
416,Schuh::N,аимаа,ботинок
417,Stiefel::N,амагə,чобіт
418,Ring::N,амацəаз,кільце
419,Band::N,алента,стрічка
420,Kamm::N,ахҳəа,гребінець
421,Spiegel::N,асаркьа,дзеркало
422,Riemen::N,аа,ремінь
423,Schnur::N,ашаха,вірьовка
424,Leine::N,аҕура,шворка
425,Decke::N,ахыза,ковдра
426,Kissen::N,ахчы,подушка
427,Tuch::N,акасы,хустка
428,Handtuch::N,ампахьшьы,рушник
429,Kraft::N,амч,сила
430,Stärke::N,амч,сила
431,Gesundheit::N,агəабзиара,здоров’я
432,Krankheit::N,ачымазара,хвороба
433,Schmerz::N,ахьаа,біль
434,Wunde::N,ахəра,рана
435,Fieber::N,ашоура,гарячка
436,Arznei::N,ахəшə,ліки
437,Brücke::N,ацҳа,міст
438,Brunnen::N,аҵыџь,колодязь
439,Weide::N,аҳəырҭа,пасовище
440,Pfad::N,амхəасҭа,стежка
441,Weg::N,амҩа,шлях
442,Weg::N,амҩа,дорога
443,Straße::N,амҩа,вулиця
444,Dorf::N,ақыҭа,село
445,Stadt::N,ақалақь,місто
446,Brief::N,ашəҟəы,лист
447,Buch::N,ашəҟəы,книга
448,Buch::N,ашəҟəы,книжка
449,Buchstabe::N,анбан,буква
450,Buchstabe::N,анбан,літера
451,Zeitung::N,агазеҭ,газета
452,Leben::N,аҧсҭазаара,життя
