,Concept_ID,ar,bn
0,Auge::N,عين,চক্ষু
1,Ohr::N,أذن,কর্ণ
2,Nase::N,أنف,নাক
3,Mund::N,فم,মুখ
4,Zahn::N,سن,দাঁত
5,Zunge::N,لسان,জিহবা
6,Lippe::N,شفة,অধর
7,Wange::N,خد,গণ্ড
8,Wange::N,وجنة,গণ্ড
9,Gesicht::N,وجه,মুখমণ্ডল
10,Stirn::N,جبين,কপাল
11,Haar::N,شعر,চুল
12,Schnurrbart::N,شارب,গোঁফ
13,Bart::N,لحية,শ্মশ্রু
14,Kinn::N,ذقن,চিবুক
15,Kiefer[Anatomie]::N,فك,চোয়াল
16,Kehle::N,حلق,কণ্ঠ
17,Hals::N,عنق,গল
18,Hals::N,رقبة,গল
19,Genick::N,قفا,ঘাড়
20,Kopf::N,رأس,মাথা
21,Rücken::N,ظهر,পৃষ্ঠ
22,Bauch::N,بطن,উদর
23,Nabel::N,سرة,নাভি
24,Busen::N,ثدي,স্তন
25,Brust::N,صدر,বুক
26,Schulter::N,كتف,স্কন্ধ
27,Arm::N,ذراع,বাহু
28,Ellenbogen::N,كوع,কনুই
29,Hand::N,يد,হাত
30,Handfläche::N,كف,করতল
31,Finger::N,إصبع,আঙ্গুল
32,Fingernagel::N,ظفر,হাতের নখ
33,Nagel[Anatomie]::N,ظفر,নখ
34,Zeh::N,إصبع القدم,আঙ্গুল
35,Fuß::N,قدم,পা
36,Ferse::N,كعب,গোড়ালি
37,Knie::N,ركبة,হাঁটু
38,Oberschenkel::N,فخذ,ঊরু
39,Bein::N,ساق,পা
40,Körper::N,جسم,দেহ
41,Haut::N,بشرة,ত্বক
42,Blut::N,دم,রক্ত
43,Ader::N,عرق,শিরা
44,Sehne::N,طنب,কণ্ডরা
45,Knochen::N,عظم,অস্থি
46,Gehirn::N,دماغ,মস্তিষ্ক
47,Herz::N,قلب,হৃৎপিণ্ড
48,Magen::N,معدة,পাকস্থলী
49,Leber::N,كبد,যকৃৎ
50,Atem::N,نفس,শ্বাস
51,Hunger::N,جوع,ক্ষুধা
52,Träne::N,دمعة,অশ্রু
53,Geschmack::N,طعم,স্বাদ
54,Geschmack::N,مذاق,স্বাদ
55,Geruch::N,رائحة,গন্ধ
56,Schlaf::N,نوم,ঘুম
57,Schlaf::N,منام,ঘুম
