,Concept_ID,ar,no
0,Auge::N,عين,øye
1,Ohr::N,أذن,øre
2,Nase::N,أنف,nese
3,Mund::N,فم,munn
4,Zahn::N,سن,tann
5,Zunge::N,لسان,tunge
6,Lippe::N,شفة,leppe
7,Wange::N,خد,kinn
8,Wange::N,وجنة,kinn
9,Gesicht::N,وجه,fjes
10,Gesicht::N,وجه,ansikt
11,Stirn::N,جبين,panne
12,Haar::N,شعر,hår
13,Schnurrbart::N,شارب,bart
14,Bart::N,لحية,skjegg
15,Kinn::N,ذقن,hake
16,Kiefer[Anatomie]::N,فك,kjeve
17,Kehle::N,حلق,strupe
18,Hals::N,عنق,hals
19,Hals::N,رقبة,hals
20,Genick::N,قفا,nakke
21,Kopf::N,رأس,hode
22,Rücken::N,ظهر,rygg
23,Bauch::N,بطن,buk
24,Bauch::N,بطن,mage
25,Nabel::N,سرة,navle
26,Busen::N,ثدي,barm
27,Brust::N,صدر,bryst
28,Schulter::N,كتف,skulder
29,Arm::N,ذراع,arm
30,Ellenbogen::N,كوع,albue
31,Hand::N,يد,hånd
32,Handfläche::N,كف,håndflate
33,Finger::N,إصبع,finger
34,Fingernagel::N,ظفر,fingernegl
35,Nagel[Anatomie]::N,ظفر,negl
36,Zeh::N,إصبع القدم,tå
37,Fuß::N,قدم,fot
38,Ferse::N,كعب,hæl
39,Knie::N,ركبة,kne
40,Oberschenkel::N,فخذ,lår
41,Bein::N,ساق,bein
42,Körper::N,جسم,kropp
43,Körper::N,جسم,legeme
44,Haut::N,بشرة,hud
45,Haut::N,بشرة,skinn
46,Blut::N,دم,blod
47,Ader::N,عرق,åre
48,Sehne::N,طنب,sene
49,Knochen::N,عظم,bein
50,Knochen::N,عظم,knokkel
51,Gehirn::N,دماغ,hjerne
52,Herz::N,قلب,hjerte
53,Magen::N,معدة,mage
54,Leber::N,كبد,lever
55,Atem::N,نفس,pust
56,Hunger::N,جوع,sult
57,Träne::N,دمعة,tåre
58,Geschmack::N,طعم,smak
59,Geschmack::N,مذاق,smak
60,Geruch::N,رائحة,lukt
61,Schlaf::N,نوم,søvn
62,Schlaf::N,منام,søvn
63,Traum::N,حلم,drøm
64,Himmel::N,سماء,himmel
65,Sonne::N,شمس,sol
66,Mond::N,قمر,måne
67,Stern::N,نجم,stjerne
68,Stern::N,كوكب,stjerne
69,Luft::N,هواء,luft
70,Wind::N,ريح,vind
71,Welle::N,موجة,bølge
72,Wasser::N,ماء,vann
73,Stein::N,حجر,stein
74,Boden::N,تراب,bakke
75,Erde::N,أرض,jord
76,Staub::N,غبار,støv
77,Rauch::N,دخان,røyk
78,Funke::N,شرارة,gnist
79,Feuer::N,نار,ild
80,Licht::N,نور,lys
81,Licht::N,ضوء,lys
82,Schatten::N,ظل,skygge
83,Schatten::N,فيء,skygge
84,Wetter::N,جو,vær
85,Wetter::N,طقس,vær
86,Nebel::N,ضباب,tåke
87,Wolke::N,غيمة,sky
88,Wolke::N,سحابة,sky
89,Regen::N,مطر,regn
90,Schnee::N,ثلج,snø
91,Eis::N,جليد,is
92,Frost::N,صقيع,frost
93,Kälte::N,برد,kulde
94,Hitze::N,حر,hete
95,Hitze::N,حرارة,hete
96,Raureif::N,صقيع,rimfrost
97,Regenbogen::N,قوس قزح,regnbue
98,Donner::N,رعد,torden
99,Strömung::N,تيار,strømning
100,Tropfen::N,قطرة,dråpe
101,Schaum::N,زبد,skum
102,Schaum::N,رغوة,skum
103,Schmutz::N,وسخ,søl
104,Schmutz::N,وسخ,skitt
105,See::N,بحيرة,sjø
106,Sumpf::N,مستنقع,sump
107,Sumpf::N,مستنقع,myrlende
108,Moor::N,مستنقع,myr
109,Moor::N,مستنقع,myrhei
110,Wiese::N,مرج,eng
111,Wald::N,غابة,skog
112,Hügel::N,تل,haug
113,Hügel::N,تل,bakke
114,Anhöhe::N,تل,haug
115,Anhöhe::N,تل,bakke
116,Berg::N,جبل,berg
117,Berg::N,جبل,fjell
118,Gipfel::N,قمة,topp
119,Höhle::N,كهف,hule
120,Abhang::N,منحدر,li
121,Abhang::N,منحدر,skråning
122,Quelle::N,منبع,kilde
123,Bach::N,مجرى,bekk
124,Fluss::N,نهر,elv
125,Ufer::N,ضفة,bredd
126,Küste::N,ساحل,kyst
127,Festland::N,بر,fastland
128,Meer::N,بحر,hav
129,Bucht::N,خليج,bukt
130,Insel::N,جزيرة,øy
131,Blume::N,زهرة,blomst
132,Gras::N,حشيش,gress
133,Wurzel::N,أصل,rot
134,Baum::N,شجرة,tre
135,Stamm::N,جذع,stamme
136,Rinde::N,قشرة,bark
137,Ast::N,فرع,gren
138,Zweig::N,غصن,kvist
139,Blatt::N,ورقة,blad
140,Birke::N,قضبان,bjørk
141,Kiefer[Baum]::N,صنوبرة,furu
142,Weide[Baum]::N,صفصاف,selje
143,Weide[Baum]::N,صفصاف,piletre
144,Tanne::N,شوح,gran
145,Tanne::N,تبوب,gran
146,Horn::N,قرن,horn
147,Feder::N,ريشة,fjær
148,Fell::N,فرو,skinn
149,Flügel::N,جناح,vinge
150,Klaue::N,مخلب,klauv
151,Kralle::N,مخلب,klo
152,Schwanz::N,ذيل,hale
153,Ei::N,بيض,egg
154,Nest::N,عش,rede
155,Bau::N,جحر,hi
156,Tier::N,حيوان,dyr
157,Herde::N,قطيع,flokk
158,Kuh::N,بقرة,ku
159,Bulle::N,ثور,tyr
160,Pferd::N,خيل,hest
161,Schaf::N,شاة,får
162,Schwein::N,خنزير,gris
163,Hund::N,كلب,hund
164,Katze::N,قطة,katt
165,Bär::N,دب,bjørn
166,Eichhörnchen::N,سنجاب,ekorn
167,Elch::N,موظ,elg
168,Fuchs::N,ثعلب,rev
169,Hase::N,أرنب,hare
170,Maus::N,فأرة,mus
171,Wolf::N,ذئب,ulv
172,Wolf::N,ذئب,varg
173,Vogel::N,طير,fugl
174,Schwarm::N,سرب,sverm
175,Huhn::N,دجاجة,høne
176,Hahn::N,ديك,hane
177,Gans::N,وزة,gås
178,Adler::N,نسر,ørn
179,Ente::N,بطة,and
180,Eule::N,بوم,ugle
181,Kranich::N,كركي,trane
182,Krähe::N,غراب,kråke
