,Concept_ID,az,ba
0,Auge::N,göz,күҙ
1,Ohr::N,qulaq,ҡолаҡ
2,Nase::N,burun,танау
3,Mund::N,ağız,ауыҙ
4,Zahn::N,diş,теш
5,Zunge::N,dil,тел
6,Lippe::N,dodaq,ирен
7,Wange::N,yanaq,яцаҡтар
8,Gesicht::N,üz,бит
9,Stirn::N,alın,маңлай
10,Haar::N,saç,сәс
11,Schnurrbart::N,bığ,мылтыҡ
12,Bart::N,saqqal,һаҡал
13,Kinn::N,çənə,эйэк
14,Kiefer[Anatomie]::N,çənə,яңаҡ һөйәге
15,Kehle::N,boğaz,тамаҡ
16,Hals::N,boyun,муйын
17,Genick::N,ənsə,соңҡа
18,Kopf::N,baş,баш
19,Rücken::N,bel,арҡа
20,Bauch::N,qarın,ҡорһаҡ
21,Nabel::N,göbək,кендек
22,Busen::N,məmə,күкрәк
23,Brust::N,döş,түш
24,Schulter::N,çiyin,яурын
25,Arm::N,qol,ҡул
26,Ellenbogen::N,dirsək,терһәк
27,Hand::N,əl,ҡул
28,Hand::N,əl,ҡул суғы
29,Handfläche::N,ovuc,ус төбө
30,Finger::N,barmaq,бармаҡ
31,Fingernagel::N,barmaq dırnağı,тырнаҡ
32,Nagel[Anatomie]::N,dırnak,тырнаҡ
33,Zeh::N,ayaq barmağı,бармаҡ
34,Fuß::N,ayaq,табан
35,Ferse::N,daban,үксә
36,Knie::N,diz,тубыҡ
37,Oberschenkel::N,bud,сандыр
38,Bein::N,qıç,аяҡ
39,Körper::N,əndam,тән
40,Haut::N,dəri,тире
41,Blut::N,qan,ҡан
42,Ader::N,damar,тамыр
43,Sehne::N,vətər,һеңер
44,Sehne::N,vətər,тарамыш
45,Knochen::N,sümük,һойәк
46,Gehirn::N,beyin,мейе
47,Herz::N,ürək,йорәк
48,Magen::N,mədə,ашҡаҙан
49,Leber::N,qara ciyər,бауыр
50,Atem::N,nəfəs,һулыш
51,Hunger::N,aclıq,аслыҡ
52,Träne::N,göz yaşı,күҙ иәше
53,Geschmack::N,tam,тәм
54,Geschmack::N,ləzzət,тәм
55,Geruch::N,qoxu,еҫ
56,Schlaf::N,yuxu,йоҡлау
57,Traum::N,röya,төш
58,Himmel::N,göy,күк
59,Himmel::N,səma,күк
60,Sonne::N,günəş,ҡояш
61,Mond::N,ay,ай
62,Stern::N,ulduz,йондоҙ
63,Luft::N,hava,һауа
64,Wind::N,yel,ел
65,Wind::N,külək,ел
66,Welle::N,dalğa,тулҡын
67,Wasser::N,su,һыу
68,Stein::N,daş,таш
69,Boden::N,yer,тупраҡ
70,Boden::N,zəmin,тупраҡ
71,Erde::N,yer torpaq,балсҡ
72,Staub::N,toz,туҙан
73,Rauch::N,tüstü,төтөн
74,Funke::N,qığılcım,осҡон
75,Feuer::N,od,ут
76,Licht::N,işıq,яҡтылыҡ
77,Schatten::N,kölgə,күләгә
78,Wetter::N,hava,һауа торошо
79,Nebel::N,duman,төман
80,Wolke::N,bulud,болот
81,Regen::N,yağış,ямғыр
82,Regen::N,yağmur,ямғыр
83,Schnee::N,qar,ҡар
84,Eis::N,buz,боҙ
85,Frost::N,ayaz,һалҡын
86,Kälte::N,soyuq,һыуыҡ
87,Hitze::N,coşğunluq,томра
88,Hitze::N,coşğunluq,эҫелек
89,Raureif::N,qırov,ҡырау
90,Regenbogen::N,göy qurşağı,йәйғор
91,Donner::N,göy gurultusu,күк күкрәү
92,Strömung::N,axın,ағым
93,Tropfen::N,damcı,тамсы
94,Schaum::N,köpük,күбек
95,Schmutz::N,çamır,батҡаҡ
96,See::N,göl,күл
97,Sumpf::N,bataqlıq,һаҙлык
98,Moor::N,bataqlıq,һаҙ
99,Wiese::N,çəmən,болон
100,Wald::N,meşə,урман
101,Hügel::N,təpə,түбә
102,Anhöhe::N,təpə,түбә
103,Anhöhe::N,təpə,ҡалҡыулыҡ
104,Berg::N,dağ,тау
105,Gipfel::N,zirvə,түбә
106,Höhle::N,mağara,мәмерйә
107,Abhang::N,yamac,ипкен
108,Quelle::N,bulaq,шишмә
109,Bach::N,kiçik çay,шишмә
110,Fluss::N,çay,йылға
111,Ufer::N,kənar,яр
112,Küste::N,sahil,яр буйы
113,Festland::N,materik,ҡоро ер
114,Meer::N,dəniz,диңгез
115,Bucht::N,körfəz,бухта
116,Insel::N,ada,үтрау
117,Blume::N,çiçək,сәскә
118,Gras::N,ot,үлән
119,Wurzel::N,kök,тамыр
120,Baum::N,ağac,ағас
121,Stamm::N,gövdə,олон
122,Stamm::N,gövdə,көбәк
123,Rinde::N,qabıq,ҡабыҡ
124,Ast::N,şax,ботаҡ
125,Zweig::N,budaq,ботаҡ
126,Zweig::N,budaq,тармаҡ
127,Blatt::N,yarpaq,япраҡ
128,Birke::N,tozağacı,ҡайын
129,Kiefer[Baum]::N,şam,ҡарғай
130,Weide[Baum]::N,söyüd,тал
131,Tanne::N,küknar,шыршы
132,Horn::N,buynuz,мөғөҙ
133,Feder::N,tük,ҡауырһын
134,Feder::N,lələk,ҡауырһын
135,Fell::N,xəz,тире
136,Flügel::N,qanad,ҡанат
137,Klaue::N,pəncə,тырнаҡ
138,Kralle::N,dırnaq,аяҡ
139,Schwanz::N,quyruq,ҡойроҡ
140,Ei::N,yumurta,йомортҡа
141,Nest::N,yuva,оя
142,Bau::N,yuva,оң
143,Tier::N,heyvan,жайуан
144,Tier::N,heyvan,йыртҡыс
145,Herde::N,sürü,көтөү
146,Kuh::N,inək,һыйыр
147,Bulle::N,öküz,үгеҙ
148,Pferd::N,at,ат
149,Schaf::N,qoyun,һарыҡ
150,Schwein::N,donuz,сусҡа
151,Hund::N,it,эт
152,Hund::N,köpək,эт
153,Katze::N,pişik,бесәй
154,Bär::N,ayı,айыу
155,Eichhörnchen::N,dələ,тейен
156,Elch::N,sığın,мышы
157,Fuchs::N,tülkü,төлкө
158,Hase::N,dovşan,ҡуян
159,Maus::N,siçan,сысҡан
160,Wolf::N,qurd,бүре
161,Vogel::N,quş,ҡош
162,Schwarm::N,sürü,көтөү
163,Huhn::N,toyuq,тауыҡ
164,Hahn::N,xoruz,әтәс
165,Gans::N,qaz,ҡаҙ
166,Adler::N,qartal,бөркөт
167,Adler::N,qaraquş,бөркөт
168,Ente::N,ördək,өйрәк
169,Eule::N,bayquş,өкө
170,Eule::N,bayquş,ябалаҡ
171,Kranich::N,durna,торна
172,Krähe::N,qarğa,ҡарға
173,Kuckuck::N,ququ,кәкүк
174,Schwan::N,qu quşu,аҡҡош
175,Fisch::N,balıq,балыҡ
176,Barsch::N,tar,алабуға
177,Hecht::N,durnabalığı,суртан
178,Schlange[Tier]::N,ilan,йылан
179,Wurm::N,qurd,селяүсен
180,Spinne::N,hörümçək,үрмәксе
181,Ameise::N,qarışqa,ҡырмыҫҡа
182,Laus::N,bit,бет
183,Mücke::N,ağcaqanad,серәкәй
184,Fliege::N,milçək,себен
185,Schmetterling::N,kəpənək,күбәләк
186,Beere::N,gilə,еләк
187,Apfel::N,alma,алма
188,Pilz::N,göbələk,бәшмәк
189,Zwiebel::N,soğan,һуган
190,Saat::N,əkin,орлоҡ
191,Korn::N,taxıl,иген
192,Heu::N,quru ot,бесән
193,Schale::N,qabıq,ҡабыҡ
194,Grube::N,çuxur,соҡор
195,Falle::N,tələ,тоҙак
196,Falle::N,tələ,ҡапҡан
197,Falle::N,duzaq,тоҙак
198,Falle::N,duzaq,ҡапҡан
199,Schlinge::N,ilmək,тоҙак
200,Spur::N,iz,әҫер
201,Asche::N,kül,көл
202,Dreck::N,kir,батҡаҡ
203,Eisen::N,dəmir,тимер
204,Gold::N,altun,алтын
205,Silber::N,gümüş,көмөш
206,Kohle::N,kömür,күмер
207,Glas::N,şüşə,быяла
208,Lehm::N,gil,балсыҡ
209,Lehm::N,palçıq,балсыҡ
210,Sand::N,qum,ҡом
211,Mensch::N,adam,кеше
212,Mensch::N,insan,кеше
213,Mann::N,kişi,ир
214,Frau::N,qadın,ҡатын
215,Kind::N,uşaq,бала
216,Junge::N,oğlan,малай
217,Mädchen::N,qız,ҡыҙ
218,Mädchen::N,qız,ҡыҙыҡай
219,Familie::N,ailə,ғаилә
220,Großvater::N,baba,олатай
221,Großmutter::N,nənə,әбәй
222,Eltern::N,valideyn,ата-әсә
223,Vater::N,ata,атай
224,Mutter::N,ana,әсә
225,Sohn::N,oğul,ул
