,Concept_ID,ba,sq
0,Auge::N,күҙ,sy
1,Ohr::N,ҡолаҡ,vesh
2,Nase::N,танау,hundë
3,Mund::N,ауыҙ,gojë
4,Zahn::N,теш,dhëmb
5,Zunge::N,тел,gjuhë
6,Lippe::N,ирен,buzë
7,Wange::N,яцаҡтар,faqe
8,Wange::N,яцаҡтар,mollëz
9,Gesicht::N,бит,fytyrë
10,Stirn::N,маңлай,ballë
11,Haar::N,сәс,flokë
12,Schnurrbart::N,мылтыҡ,mustaqe
13,Bart::N,һаҡал,mjekër
14,Kinn::N,эйэк,mjekër
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,nofull
16,Kehle::N,тамаҡ,fyt
17,Kehle::N,тамаҡ,grykë
18,Hals::N,муйын,qafë
19,Genick::N,соңҡа,arrëz
20,Kopf::N,баш,kokë
21,Rücken::N,арҡа,kurriz
22,Bauch::N,ҡорһаҡ,bark
23,Nabel::N,кендек,kërthizë
24,Busen::N,күкрәк,gji
25,Brust::N,түш,gjoks
26,Brust::N,түш,kraharor
27,Schulter::N,яурын,sup
28,Schulter::N,яурын,krah
29,Arm::N,ҡул,krah
30,Ellenbogen::N,терһәк,bërryl
31,Hand::N,ҡул,dorë
32,Hand::N,ҡул суғы,dorë
33,Handfläche::N,ус төбө,pëllëmbë
34,Finger::N,бармаҡ,gisht
35,Fingernagel::N,тырнаҡ,thua
36,Nagel[Anatomie]::N,тырнаҡ,thua
37,Zeh::N,бармаҡ,gisht i këmbës
38,Fuß::N,табан,këmbë
39,Ferse::N,үксә,thembër
40,Knie::N,тубыҡ,gju
41,Oberschenkel::N,сандыр,kofshë
42,Bein::N,аяҡ,këmbë
43,Körper::N,тән,trup
44,Haut::N,тире,lëkurë
45,Blut::N,ҡан,gjak
46,Ader::N,тамыр,venë
47,Sehne::N,һеңер,dell
48,Sehne::N,тарамыш,dell
49,Knochen::N,һойәк,asht
50,Knochen::N,һойәк,kockë
51,Gehirn::N,мейе,tru
52,Herz::N,йорәк,zemër
53,Magen::N,ашҡаҙан,stomak
54,Leber::N,бауыр,mëlçi
55,Atem::N,һулыш,frymë
56,Hunger::N,аслыҡ,uri
57,Träne::N,күҙ иәше,lot
58,Geschmack::N,тәм,shije
59,Geruch::N,еҫ,erë
60,Schlaf::N,йоҡлау,gjumë
61,Traum::N,төш,ëndërr
62,Himmel::N,күк,qiell
63,Sonne::N,ҡояш,diell
64,Mond::N,ай,hënë
65,Stern::N,йондоҙ,yll
66,Luft::N,һауа,ajër
67,Wind::N,ел,erë
68,Welle::N,тулҡын,valë
69,Welle::N,тулҡын,dallgë
70,Wasser::N,һыу,ujë
71,Stein::N,таш,gur
72,Boden::N,тупраҡ,tokë
73,Boden::N,тупраҡ,truall
74,Erde::N,балсҡ,dhe
75,Erde::N,балсҡ,baltë
76,Staub::N,туҙан,pluhur
77,Rauch::N,төтөн,tym
78,Funke::N,осҡон,xixë
79,Funke::N,осҡон,shkëndijë
80,Feuer::N,ут,zjarr
81,Licht::N,яҡтылыҡ,dritë
82,Schatten::N,күләгә,hije
83,Wetter::N,һауа торошо,mot
84,Nebel::N,төман,mjegull
85,Wolke::N,болот,re
86,Regen::N,ямғыр,shi
87,Schnee::N,ҡар,borë
88,Eis::N,боҙ,akull
89,Frost::N,һалҡын,ngricë
90,Kälte::N,һыуыҡ,të ftohtë
91,Hitze::N,томра,vapë
92,Hitze::N,томра,nxehtësi
93,Hitze::N,эҫелек,vapë
94,Hitze::N,эҫелек,nxehtësi
95,Raureif::N,ҡырау,cikmë
96,Regenbogen::N,йәйғор,ylber
97,Donner::N,күк күкрәү,gjëmim
98,Donner::N,күк күкрәү,bubullimë
99,Strömung::N,ағым,rrymë
100,Tropfen::N,тамсы,pikë
101,Schaum::N,күбек,shkumë
102,Schmutz::N,батҡаҡ,baltë
103,See::N,күл,liqen
104,Sumpf::N,һаҙлык,batak
105,Moor::N,һаҙ,kënetë
106,Wiese::N,болон,livadh
107,Wald::N,урман,pyll
108,Hügel::N,түбә,kodër
109,Anhöhe::N,түбә,bregore
110,Anhöhe::N,ҡалҡыулыҡ,bregore
111,Berg::N,тау,mal
112,Gipfel::N,түбә,kulm
113,Höhle::N,мәмерйә,shpellë
114,Höhle::N,мәмерйә,zgafelle
115,Abhang::N,ипкен,shpat
116,Abhang::N,ипкен,tatëpjetë
117,Quelle::N,шишмә,krua
118,Quelle::N,шишмә,burim
119,Bach::N,шишмә,virua
120,Fluss::N,йылға,lumë
121,Ufer::N,яр,breg
122,Küste::N,яр буйы,anëdet
123,Küste::N,яр буйы,bregdet
124,Festland::N,ҡоро ер,kontinent
125,Meer::N,диңгез,det
126,Bucht::N,бухта,gji deti
127,Insel::N,үтрау,ishull
128,Insel::N,үтрау,ujdhesë
129,Blume::N,сәскә,lule
130,Gras::N,үлән,bar
131,Wurzel::N,тамыр,rrënjë
132,Baum::N,ағас,pemë
133,Stamm::N,олон,trung
