,Concept_ID,be,av
0,Auge::N,вока,
1,Ohr::N,вуха,гӏин
2,Nase::N,нос,мегӏер
3,Mund::N,рот,кӏал
4,Zahn::N,зуб,гӏус
5,Zunge::N,язык,мацӏ
6,Lippe::N,губа,кӏветӏ
7,Wange::N,шчака,гӏоно
8,Gesicht::N,твар,гьумер
9,Stirn::N,лоб,нодо
10,Haar::N,волас,рас
11,Haar::N,валасы,рас
12,Schnurrbart::N,вус,михъ
13,Schnurrbart::N,вусы,михъ
14,Bart::N,барада,мегеж
15,Kinn::N,падбародак,нилъу
16,Kiefer[Anatomie]::N,сківіца,чанагъ
17,Kehle::N,горла,щекъер
18,Hals::N,шыя,габур
19,Genick::N,патыліца,гъванща
20,Kopf::N,галава,бетӏер
21,Rücken::N,спіна,мугъ
22,Bauch::N,жывот,чехь
23,Nabel::N,пупок,цӏину
24,Busen::N,грудзі,керен
25,Brust::N,грудзі,керен
26,Schulter::N,плячо,гъажазубетӏер
27,Arm::N,рука,гъеж
28,Ellenbogen::N,локаць,гӏункӏрукь
29,Hand::N,кісць,квер
30,Handfläche::N,далонь,огъохъат
31,Handfläche::N,далонь,жанисахъат
32,Finger::N,палец,килищ
33,Fingernagel::N,ногаць,малъ
34,Nagel[Anatomie]::N,ногаць,малъ
35,Zeh::N,палец,килищ
36,Fuß::N,нага,хӏетӏ
37,Fuß::N,нага,хӏетӏе
38,Ferse::N,пята,эгъе
39,Ferse::N,пятка,эгъе
40,Knie::N,калена,наку
41,Oberschenkel::N,бядро,мачӏ
42,Oberschenkel::N,сцягно,мачӏ
43,Bein::N,нага,бох
44,Körper::N,цела,къаркъала
45,Haut::N,скура,тӏом
46,Blut::N,кроў,би
47,Ader::N,вена,бидурихь
48,Ader::N,сасуд,бидурихь
49,Sehne::N,жыла,
50,Sehne::N,цеціва,
51,Sehne::N,сухажылле,
52,Knochen::N,косць,ракьа
53,Gehirn::N,мозг,гӏадалнах
54,Herz::N,сэрца,ракӏ
55,Magen::N,страўнік,кванирукъ
56,Leber::N,печань,тӏул
57,Atem::N,дыханне,хӏухь
58,Hunger::N,голад,ракъи
59,Träne::N,сляза,магӏу
60,Geschmack::N,смак,тату
61,Geruch::N,пах,махӏ
62,Schlaf::N,сон,макьу
63,Traum::N,сон,макьу
64,Himmel::N,неба,зоб
65,Sonne::N,сонца,бакъ
66,Mond::N,месяц,моцӏ
67,Stern::N,зорка,цӏва
68,Luft::N,паветра,гьава
69,Wind::N,вецер,гьури
70,Welle::N,хваля,карачел
71,Wasser::N,вада,лъим
72,Stein::N,камень,гьецӏо
73,Boden::N,глеба,ракь
74,Erde::N,зямля,ракь
75,Erde::N,зямля,дуниял
76,Staub::N,пыл,хӏур
77,Rauch::N,дым,кӏкӏуй
78,Funke::N,іскра,
79,Feuer::N,агонь,цӏа
80,Licht::N,святло,канлъи
81,Schatten::N,цень,рагӏад
82,Wetter::N,пагода,гьава-бакъ
83,Wetter::N,надворʼе,гьава-бакъ
84,Nebel::N,туман,гӏодобнакӏкӏ
85,Wolke::N,воблака,накӏкӏ
86,Regen::N,дождж,цӏад
87,Schnee::N,снег,гӏазу
88,Eis::N,лёд,цӏер
89,Frost::N,мароз,замгьари
90,Kälte::N,холад,квач
91,Hitze::N,спёка,багӏари
92,Raureif::N,іней,мартӏ
93,Regenbogen::N,вясёлка,нур
94,Regenbogen::N,вясёлка,чамбара
95,Donner::N,гром,гъугъай
96,Donner::N,гром,гъугъади
97,Strömung::N,цячэнне,чвахи
98,Tropfen::N,кропля,резел
99,Tropfen::N,кропля,тӏинкӏ
100,Tropfen::N,кропля,къатӏра
101,Tropfen::N,кропля,тӏенкӏел
102,Schaum::N,пена,полоп
103,Schmutz::N,гразь,чороклъи
104,See::N,возера,хӏор
105,Sumpf::N,багна,хьуцӏ
106,Moor::N,балота,
107,Wiese::N,луг,мегъ
108,Wiese::N,луг,гӏурдаллъи
109,Wald::N,лес,рохь
110,Hügel::N,узгорак,гохӏ
111,Anhöhe::N,узвышша,сийитма
112,Berg::N,гара,мегӏер
113,Gipfel::N,вяршыня,тӏогь
114,Höhle::N,пячора,нохъо
115,Abhang::N,схіл,лабаллъи
116,Quelle::N,крыніца,ицц
117,Bach::N,ручай,лъар
118,Fluss::N,рака,гӏор
119,Ufer::N,бераг,рагӏал
120,Küste::N,узбярэжжа,рагӏал
121,Festland::N,суша,ракь
122,Festland::N,суша,ракъдаллъи
123,Meer::N,мора,ралъад
124,Bucht::N,бухта,кӏветӏ
125,Insel::N,востраў,чӏинкӏиллъи
126,Blume::N,кветка,тӏегь
127,Gras::N,трава,хер
128,Wurzel::N,корань,кьибил
129,Baum::N,дрэва,гъветӏ
130,Stamm::N,ствол,рохти
131,Rinde::N,кара,макъар
132,Ast::N,сук,ноцӏ
133,Zweig::N,галіна,гӏаркьел
