,Concept_ID,be,sk
0,Auge::N,вока,oko
1,Ohr::N,вуха,ucho
2,Nase::N,нос,nos
3,Mund::N,рот,ústa
4,Zahn::N,зуб,zub
5,Zunge::N,язык,jazyk
6,Lippe::N,губа,pera
7,Wange::N,шчака,líce
8,Gesicht::N,твар,tvár
9,Gesicht::N,твар,obličaj
10,Stirn::N,лоб,čelo
11,Haar::N,волас,vlas
12,Haar::N,валасы,vlas
13,Schnurrbart::N,вус,fúzy
14,Schnurrbart::N,вусы,fúzy
15,Bart::N,барада,brada
16,Kinn::N,падбародак,brada
17,Kiefer[Anatomie]::N,сківіца,čeľusť
18,Kehle::N,горла,hrdlo
19,Hals::N,шыя,krk
20,Genick::N,патыліца,väzy
21,Kopf::N,галава,hlava
22,Rücken::N,спіна,chrbát
23,Bauch::N,жывот,brucho
24,Nabel::N,пупок,pupok
25,Busen::N,грудзі,prsia
26,Brust::N,грудзі,hruď
27,Schulter::N,плячо,plece
28,Arm::N,рука,rameno
29,Ellenbogen::N,локаць,lakeť
30,Hand::N,кісць,ruka
31,Handfläche::N,далонь,dlaň
32,Finger::N,палец,prst
33,Fingernagel::N,ногаць,necht
34,Nagel[Anatomie]::N,ногаць,necht
35,Zeh::N,палец,prst na nohe
36,Fuß::N,нага,noha
37,Ferse::N,пята,päta
38,Ferse::N,пятка,päta
39,Knie::N,калена,koleno
40,Oberschenkel::N,бядро,stehno
41,Oberschenkel::N,сцягно,stehno
42,Bein::N,нага,noha
43,Körper::N,цела,telo
44,Haut::N,скура,koža
45,Blut::N,кроў,krv
46,Ader::N,вена,žila
47,Ader::N,сасуд,žila
48,Sehne::N,жыла,šľacha
49,Sehne::N,цеціва,šľacha
50,Sehne::N,сухажылле,šľacha
51,Knochen::N,косць,kosť
52,Gehirn::N,мозг,mozog
53,Herz::N,сэрца,srdce
54,Magen::N,страўнік,žalúdok
55,Leber::N,печань,pečeň
56,Atem::N,дыханне,dych
57,Hunger::N,голад,hlad
58,Träne::N,сляза,slza
59,Geschmack::N,смак,chuť
60,Geruch::N,пах,pach
61,Schlaf::N,сон,spánok
62,Traum::N,сон,sen
63,Himmel::N,неба,nebo
64,Sonne::N,сонца,slnko
65,Mond::N,месяц,mesiac
66,Stern::N,зорка,hviezda
67,Luft::N,паветра,vzduch
68,Wind::N,вецер,vietor
69,Welle::N,хваля,vlna
70,Wasser::N,вада,voda
71,Stein::N,камень,kameň
72,Boden::N,глеба,zem
73,Boden::N,глеба,pôda
74,Erde::N,зямля,zem
75,Staub::N,пыл,prach
76,Rauch::N,дым,dym
77,Funke::N,іскра,iskra
78,Feuer::N,агонь,oheň
79,Licht::N,святло,svetlo
80,Schatten::N,цень,tieň
81,Wetter::N,пагода,počasie
82,Wetter::N,надворʼе,počasie
83,Nebel::N,туман,hmla
84,Wolke::N,воблака,oblak
85,Wolke::N,воблака,mračno
86,Regen::N,дождж,dážď
87,Schnee::N,снег,sneh
88,Eis::N,лёд,ľad
89,Frost::N,мароз,mráz
90,Kälte::N,холад,zima
91,Kälte::N,холад,chlad
92,Hitze::N,спёка,horúčava
93,Raureif::N,іней,srieň
94,Raureif::N,іней,inovať
95,Regenbogen::N,вясёлка,dúha
96,Donner::N,гром,hrom
97,Strömung::N,цячэнне,prúdenie
98,Tropfen::N,кропля,kvapka
99,Schaum::N,пена,pena
100,Schmutz::N,гразь,špina
101,Schmutz::N,гразь,nečistota
102,See::N,возера,jazero
103,Sumpf::N,багна,bahno
104,Moor::N,балота,močiar
105,Wiese::N,луг,lúka
106,Wald::N,лес,les
107,Wald::N,лес,hora
108,Hügel::N,узгорак,vŕšok
109,Anhöhe::N,узвышша,výšina
110,Anhöhe::N,узвышша,vyvýšenina
111,Berg::N,гара,hora
112,Gipfel::N,вяршыня,vrchol
113,Höhle::N,пячора,jaskyňa
114,Abhang::N,схіл,úbočie
115,Quelle::N,крыніца,prameň
116,Bach::N,ручай,potok
117,Fluss::N,рака,rieka
118,Ufer::N,бераг,breh
119,Küste::N,узбярэжжа,pobrežie
120,Festland::N,суша,pevnina
121,Meer::N,мора,more
122,Bucht::N,бухта,záliv
123,Bucht::N,бухта,zátoka
124,Insel::N,востраў,ostrov
125,Blume::N,кветка,kvet
126,Blume::N,кветка,kvetina
127,Gras::N,трава,tráva
128,Wurzel::N,корань,koreň
129,Baum::N,дрэва,strom
130,Stamm::N,ствол,kmeň
131,Rinde::N,кара,kôra
132,Ast::N,сук,konár
133,Zweig::N,галіна,vetva
134,Blatt::N,ліст,list
135,Birke::N,бяроза,breza
136,Kiefer[Baum]::N,хвоя,sosna
137,Kiefer[Baum]::N,хвоя,borovica
138,Kiefer[Baum]::N,сасна,sosna
139,Kiefer[Baum]::N,сасна,borovica
140,Weide[Baum]::N,вярба,vŕba
141,Tanne::N,яліна,jedľa
142,Horn::N,рог,roh
143,Feder::N,пяро,pero
144,Fell::N,шкура,koža
145,Fell::N,шкура,kožušina
146,Flügel::N,крыло,krídlo
147,Klaue::N,кіпцюр,paznecht
148,Kralle::N,лапа,pazúr
149,Schwanz::N,хвост,chvost
150,Ei::N,яйка,vajce
151,Ei::N,яйка,vajíčko
152,Nest::N,гняздо,hniezdo
153,Bau::N,нара,nora
154,Tier::N,жывёла,zviera
155,Herde::N,статак,stádo
156,Kuh::N,карова,krava
157,Bulle::N,бык,býk
158,Pferd::N,конь,kôň
159,Schaf::N,авечка,ovca
160,Schwein::N,свіння,sviňa
161,Hund::N,сабака,pes
162,Katze::N,кошка,mačka
163,Bär::N,мядзведзь,medveď
164,Eichhörnchen::N,вавёрка,veverička
165,Elch::N,лось,los
166,Fuchs::N,ліса,líška
167,Hase::N,заяц,zajac
168,Maus::N,мыш,myš
169,Wolf::N,воўк,vlk
170,Vogel::N,птах,vták
171,Vogel::N,птушка,vták
172,Schwarm::N,чарада,roj
173,Huhn::N,курыца,kurča
174,Huhn::N,курыца,sliepka
175,Hahn::N,певень,kohút
176,Gans::N,гусь,hus
177,Adler::N,арол,orol
178,Ente::N,качка,kačka
179,Ente::N,качка,kačica
180,Eule::N,сава,sova
181,Kranich::N,жораў,žeriav
182,Kranich::N,журавель,žeriav
183,Krähe::N,варона,vrana
184,Kuckuck::N,зязюля,kukučka
185,Schwan::N,лебедзь,labuť
186,Fisch::N,рыба,ryba
187,Barsch::N,акунь,ostriež
188,Hecht::N,шчупак,šťuka
189,Schlange[Tier]::N,змяя,had
190,Wurm::N,чарвяк,červ
191,Spinne::N,павук,pavúk
192,Ameise::N,мурашка,mravec
193,Laus::N,вош,voš
194,Mücke::N,камар,komár
195,Fliege::N,муха,mucha
196,Schmetterling::N,матыль,motýľ
197,Beere::N,ягада,bobuľa
198,Apfel::N,яблык,jablko
199,Pilz::N,грыб,hríb
200,Zwiebel::N,цыбуля,cibuľa
201,Saat::N,семя,osivo
202,Korn::N,зерне,zrno
203,Heu::N,сена,seno
204,Schale::N,шалупінне,šupa
205,Schale::N,шалупінне,škrupina
206,Grube::N,яма,jama
207,Falle::N,пастка,pasca
208,Falle::N,пастка,klepec
209,Schlinge::N,сіло,slučka
210,Spur::N,след,stopa
211,Asche::N,попел,popol
212,Dreck::N,бруд,kal
213,Dreck::N,бруд,blato
214,Eisen::N,жалеза,železo
215,Gold::N,золата,zlato
216,Silber::N,сребра,striebro
217,Kohle::N,вугаль,uhlie
218,Glas::N,шкло,sklo
219,Lehm::N,гліна,íl
220,Lehm::N,гліна,hlina
221,Sand::N,пясок,piesok
222,Mensch::N,чалавек,človek
223,Mann::N,мужчына,muž
224,Mann::N,мужчына,chlap
225,Frau::N,жанчына,žena
226,Kind::N,дзіця,dieťa
227,Junge::N,хлопчык,chlapec
228,Mädchen::N,дзяўчынка,dievka
229,Familie::N,сямʼя,rodina
230,Großvater::N,дзядуля,dedo
231,Großvater::N,дзядуля,starý otec
232,Großmutter::N,бабуля,babička
233,Großmutter::N,бабуля,stará mať
234,Eltern::N,бацькі,rodičia
235,Vater::N,бацька,otec
236,Mutter::N,маці,mať
237,Mutter::N,маці,matka
238,Sohn::N,сын,syn
239,Tochter::N,дачка,dcéra
240,Bruder::N,брат,brat
241,Schwester::N,сястра,sestra
242,Onkel::N,дзядзька,ujo
243,Onkel::N,дзядзька,strýko
244,Tante::N,цётка,teta
245,Tante::N,цётка,tetka
246,Ehemann::N,муж,muž
247,Ehemann::N,муж,manžel
248,Ehefrau::N,жонка,žena
249,Ehefrau::N,жонка,manželka
250,Freude::N,радасць,radosť
251,Gelächter::N,смех,smiech
252,Glück::N,шчасце,šťastie
253,Kummer::N,гора,žiaľ
254,Kummer::N,гора,zármutok
255,Wunsch::N,жаданне,prianie
256,Lust::N,цяга,chuť
257,Geist::N,дух,duch
258,Gedanke::N,думка,myšlienka
259,Gedächtnis::N,памяць,pamäť
260,Verstand::N,розум,rozum
261,Sinn::N,сэнс,zmysel
262,Grund::N,зачэпка,dôvod
263,Grund::N,зачэпка,príčina
264,Wahrheit::N,праўда,pravda
265,Gespräch::N,размова,reč
266,Gespräch::N,размова,rozhovor
267,Märchen::N,казка,rozprávka
268,Erzählung::N,расказ,poviedka
269,Erzählung::N,апавяданне,poviedka
270,Nachricht::N,вестка,správa
271,Nachricht::N,паведамленне,správa
272,Neuigkeit::N,навіна,novinka
273,Name::N,імя,meno
274,Rätsel::N,загадка,záhada
275,Rätsel::N,загадка,hádanka
276,Rede::N,прамова,reč
277,Sprache::N,мова,reč
278,Sprache::N,мова,jazyk
279,Stimme::N,голас,hlas
280,Wort::N,слова,slovo
281,Zeichen::N,знак,znak
282,Ruf::N,кліч,volanie
283,Ruf::N,кліч,zavolanie
284,Lärm::N,шум,hluk
285,Lärm::N,шум,hurhaj
286,Laut::N,гук,zvuk
287,Ton::N,гучанне,tón
288,Ton::N,гучанне,zvuk
289,Lied::N,песня,pieseň
290,Ruhe::N,спакой,pokoj
291,Leute::N,людзі,ľudia
292,Volk::N,народ,ľud
293,Volk::N,народ,národ
294,Arbeit::N,праца,práca
295,Arbeit::N,праца,robota
296,Arbeit::N,работа,práca
297,Arbeit::N,работа,robota
298,Gast::N,госць,hosť
299,Geschenk::N,падарунак,dar
300,Spiel::N,гульня,hra
301,Gesellschaft::N,таварыства,spoločnosť
302,Hilfe::N,дапамога,pomoc
303,Freund::N,друг,priateľ
304,Freund::N,сябар,priateľ
305,Kamerad::N,прыяцель,kamarát
306,Angelegenheit::N,справа,vec
307,Angelegenheit::N,справа,záležitosť
308,Anzahl::N,колькасць,počet
309,Anzahl::N,колькасць,množstvo
310,Art::N,від,druh
311,Stück::N,кусок,kus
312,Stück::N,кусок,kúsok
313,Stück::N,кавалак,kus
314,Stück::N,кавалак,kúsok
315,Teil::N,частка,časť
316,Hälfte::N,палова,polka
317,Hälfte::N,палова,polovica
318,Hälfte::N,палавіна,polka
319,Hälfte::N,палавіна,polovica
320,Kreis::N,круг,kruh
321,Kreuz::N,крыж,kríž
322,Linie::N,лінія,línia
323,Strich::N,рыса,čiara
324,Abstand::N,прамежак,vzdialenosť
325,Entfernung::N,адлегласць,vzdialenosť
326,Gegend::N,мясцовасць,kraj
327,Gegend::N,мясцовасць,krajina
328,Platz::N,месца,miesto
329,Ort::N,месца,miesto
330,Seite::N,бок,bok
331,Seite::N,бок,strana
332,Mitte::N,сярэдзіна,stred
