,Concept_ID,bg,el
0,Auge::N,око,μάτι
1,Auge::N,око,οφθαλμός
2,Ohr::N,ухо,αυτί
3,Nase::N,нос,μύτη
4,Mund::N,уста,στόμα
5,Zahn::N,зъб,δόντι
6,Zunge::N,език,γλώσσα
7,Lippe::N,устна,χείλος
8,Wange::N,буза,παρειά
9,Wange::N,буза,μάγουλο
10,Gesicht::N,лице,πρόσωπο
11,Gesicht::N,образ,πρόσωπο
12,Stirn::N,чело,μέτωπο
13,Haar::N,коса,μαλλιά
14,Haar::N,косъм,μαλλιά
15,Schnurrbart::N,мустаци,μουστάκι
16,Bart::N,брада,γένια
17,Kinn::N,брада,πιγούνι
18,Kinn::N,брадичка,πιγούνι
19,Kiefer[Anatomie]::N,челюст,σαγόνι
20,Kehle::N,гърло,λαρύγγι
21,Hals::N,врат,λαιμός
22,Genick::N,тил,σβέρκος
23,Kopf::N,глава,κεφάλι
24,Rücken::N,гръб,ράχη
25,Bauch::N,корем,κοιλιά
26,Nabel::N,пъп,αφαλός
27,Busen::N,бозка,στήθος
28,Brust::N,гръд,στήθος
29,Schulter::N,рамо,ώμος
30,Schulter::N,плещи,ώμος
31,Arm::N,ръка,χέρι
32,Arm::N,ръка,μπράτςο
33,Ellenbogen::N,лакът,αγκώνας
34,Hand::N,ръка,χέρι
35,Hand::N,китка,χέρι
36,Handfläche::N,длан,παλάμη
37,Finger::N,пръст,δάχτυλο
38,Fingernagel::N,нокът,νύχι
39,Nagel[Anatomie]::N,нокът,νύχι
40,Zeh::N,пръст на крак,δάχτυλο του ποδιού
41,Fuß::N,крак,πόδι
42,Fuß::N,нога,πόδι
43,Ferse::N,пета,φτέρνα
44,Knie::N,коляно,γόνατο
45,Oberschenkel::N,бедро,μηρός
46,Bein::N,крак,πόδι
47,Bein::N,нога,πόδι
48,Körper::N,тяло,σώμα
49,Körper::N,тяло,κορμί
50,Haut::N,кожа,πετσί
51,Blut::N,кръв,αίμα
52,Ader::N,вена,φλέβα
53,Ader::N,артерия,φλέβα
54,Sehne::N,жила,νεύρο
55,Sehne::N,жила,τένοντας
56,Sehne::N,сухожилие,νεύρο
57,Sehne::N,сухожилие,τένοντας
58,Knochen::N,кост,οστό
59,Knochen::N,кост,κόκκαλο
60,Gehirn::N,мозък,μυαλό
61,Gehirn::N,мозък,εγκέφαλος
