,Concept_ID,bg,mdf
0,Auge::N,око,сельме
1,Ohr::N,ухо,пиле
2,Nase::N,нос,шалхка
3,Mund::N,уста,курга
4,Zahn::N,зъб,пей
5,Zunge::N,език,кяль
6,Lippe::N,устна,търва́
7,Wange::N,буза,щёка
8,Gesicht::N,лице,шама
9,Gesicht::N,образ,шама
10,Stirn::N,чело,коня
11,Haar::N,коса,шя́ярь
12,Haar::N,косъм,шя́ярь
13,Schnurrbart::N,мустаци,уса́
14,Bart::N,брада,сакал
15,Kinn::N,брада,ула
16,Kinn::N,брадичка,ула
17,Kiefer[Anatomie]::N,челюст,саласка
18,Kehle::N,гърло,кълдома
19,Kehle::N,гърло,кърга́парь
20,Hals::N,врат,сялдаз
21,Genick::N,тил,шовонь
22,Kopf::N,глава,пря
23,Rücken::N,гръб,копорь
24,Bauch::N,корем,пеке
25,Nabel::N,пъп,по́кон
26,Busen::N,бозка,потя
27,Brust::N,гръд,мяште
28,Schulter::N,рамо,лафту
29,Schulter::N,плещи,лафту
30,Arm::N,ръка,кядь
31,Ellenbogen::N,лакът,кенерьба́карь
32,Hand::N,ръка,кядь
33,Hand::N,китка,кядь
34,Handfläche::N,длан,кядьлапш
35,Finger::N,пръст,сур
36,Fingernagel::N,нокът,кенже
37,Nagel[Anatomie]::N,нокът,кенже
38,Zeh::N,пръст на крак,пильгосу́р
39,Fuß::N,крак,пильге
40,Fuß::N,крак,пильгелапа
41,Fuß::N,нога,пильге
42,Fuß::N,нога,пильгелапа
43,Ferse::N,пета,кочкяря
44,Knie::N,коляно,эль
45,Knie::N,коляно,пълма́нжа
46,Oberschenkel::N,бедро,пильгепукша
47,Bein::N,крак,пильге
48,Bein::N,нога,пильге
49,Körper::N,тяло,ро́нга
50,Körper::N,тяло,по́нда
51,Haut::N,кожа,киське
52,Blut::N,кръв,вер
53,Ader::N,вена,сан
54,Ader::N,вена,верза́н
55,Ader::N,артерия,сан
56,Ader::N,артерия,верза́н
57,Sehne::N,жила,коське сан
58,Sehne::N,сухожилие,коське сан
59,Knochen::N,кост,пакарь
60,Gehirn::N,мозък,уй
61,Herz::N,сърце,седи
62,Magen::N,стомах,коткърдазь
63,Leber::N,черен дроб,макса
64,Atem::N,дишане,лекома
65,Atem::N,дишане,ваймонь тарксема
66,Hunger::N,глад,вачеши
67,Träne::N,сълза,сельмове́дь
68,Geschmack::N,вкус,таньф
69,Geruch::N,миризма,шине
70,Schlaf::N,сън,удома́
71,Traum::N,сън,он
72,Himmel::N,небе,менель
73,Sonne::N,слънце,ши
74,Mond::N,луна,ков
75,Mond::N,месец,ков
76,Stern::N,звезда,тяште
77,Luft::N,въздух,кожф
78,Wind::N,вятър,варма
79,Welle::N,вълна,тавла
80,Wasser::N,вода,ведь
81,Stein::N,камък,кев
82,Boden::N,земя,мода
83,Boden::N,земя,потмакс
84,Boden::N,почва,мода
85,Boden::N,почва,потмакс
86,Erde::N,земя,мода
87,Erde::N,земя,мастор
88,Erde::N,почва,мода
89,Erde::N,почва,мастор
90,Staub::N,прах,пуль
91,Rauch::N,дим,качам
92,Rauch::N,пушек,качам
93,Funke::N,искра,ця́тка
94,Feuer::N,огън,тол
95,Licht::N,светлина,ва́лда
96,Schatten::N,сянка,цильф
97,Wetter::N,време,уша
98,Nebel::N,мъгла,тума́н
99,Wolke::N,облак,ковол
100,Regen::N,дъжд,пизем
101,Schnee::N,сняг,лов
102,Eis::N,лед,эй
103,Frost::N,мраз,ке́льме
104,Kälte::N,студ,якшама
105,Hitze::N,жега,пси
106,Hitze::N,горещина,пси
107,Raureif::N,скреж,леш
108,Raureif::N,слана,леш
109,Regenbogen::N,дъга,а́тямъёнга
110,Donner::N,гръм,атям
111,Strömung::N,течение,шудема́
112,Tropfen::N,капка,путькс
113,Tropfen::N,капка,пътняфкс
114,Schaum::N,пяна,шов
115,Schmutz::N,кал,ърда́з
116,Schmutz::N,мръсотия,ърда́з
117,See::N,езеро,эрьхке
118,Sumpf::N,блато,шяй
119,Moor::N,мочурище,шяй
120,Wiese::N,ливада,луга
121,Wald::N,гора,вирь
122,Hügel::N,рид,губо́р
123,Hügel::N,рид,пандоня
124,Hügel::N,хълм,губо́р
125,Hügel::N,хълм,пандоня
126,Anhöhe::N,могила,губо́р
127,Anhöhe::N,възвишение,губо́р
128,Berg::N,планина,панда
129,Gipfel::N,връх,пря
130,Höhle::N,пещера,у́нда
131,Abhang::N,склон,па́нда ша́ма
132,Abhang::N,стръмнина,па́нда ша́ма
133,Quelle::N,извор,эшиня
134,Bach::N,поток,шудерькс
135,Fluss::N,река,ляй
136,Ufer::N,бряг,търва́
137,Küste::N,бряг,ляйтърва́
138,Küste::N,крайбрежие,ляйтърва́
139,Festland::N,суша,мода
140,Meer::N,море,моря
141,Bucht::N,залив,ведьуське
142,Insel::N,остров,цёнга
143,Blume::N,цвете,панчф
144,Gras::N,трева,тише
145,Wurzel::N,корен,юр
146,Wurzel::N,корен,ункс
147,Baum::N,дърво,шуфта
148,Stamm::N,стъбло,ро́нга
149,Rinde::N,кора,кер
150,Ast::N,клон,морга
151,Zweig::N,клон,тарад
152,Blatt::N,лист,лопа
153,Birke::N,бреза,ке́лу
154,Kiefer[Baum]::N,бор,пиче
155,Weide[Baum]::N,върба,каль
156,Tanne::N,ела,куз
157,Horn::N,рог,сюра
158,Feder::N,перо,толга
159,Fell::N,кожа,кедь
160,Flügel::N,крило,паця
161,Klaue::N,нокът,кенже
162,Kralle::N,нокът,кенже
163,Schwanz::N,опашка,пула
164,Ei::N,яйце,ал
165,Nest::N,гнездо,пиза
166,Bau::N,дупка,пиза
167,Tier::N,животно,жува́та
168,Herde::N,стадо,нал
169,Herde::N,стадо,стада
170,Kuh::N,крава,скал
171,Kuh::N,крава,тракс
172,Bulle::N,бик,бука
173,Pferd::N,кон,лишме
174,Schaf::N,овца,уча́
175,Schwein::N,свиня,тува
176,Hund::N,куче,пине
177,Katze::N,котка,катоня
178,Katze::N,котка,аваката
179,Bär::N,мечка,офта
180,Eichhörnchen::N,катерица,ур
181,Elch::N,лос,ся́рда
182,Fuchs::N,лисица,келазь
183,Hase::N,заек,ну́мол
184,Maus::N,мишка,шеер
185,Wolf::N,вълк,върьгаз
186,Vogel::N,птица,нармонь
187,Schwarm::N,рой,ко́вол
188,Schwarm::N,рой,ме́швеле
189,Schwarm::N,рояк,ко́вол
190,Schwarm::N,рояк,ме́швеле
191,Huhn::N,кокошка,сараз
192,Hahn::N,петел,а́тякш
193,Gans::N,гъска,маци
194,Adler::N,орел,куцькан
195,Ente::N,патица,яксярга
196,Eule::N,сова,ко́рож
197,Kranich::N,жерав,ка́рга
198,Krähe::N,врана,ва́рси
199,Kuckuck::N,кукувица,ку́ку
200,Schwan::N,лебед,ло́ксти
201,Fisch::N,риба,кал
202,Barsch::N,костур,о́кунь
203,Hecht::N,щука,щу́ка
204,Schlange[Tier]::N,змия,куй
205,Wurm::N,червей,сукс
206,Spinne::N,паяк,унжа́
207,Ameise::N,мравка,панжам
208,Laus::N,въшка,си
209,Mücke::N,комар,ся́ське
210,Fliege::N,муха,кару
211,Schmetterling::N,пеперуда,ме́лав
212,Beere::N,плод,и́мож
213,Apfel::N,ябълка,марь
214,Pilz::N,гъба,панга
215,Zwiebel::N,лук,шурьхкя́
216,Zwiebel::N,кромид,шурьхкя́
217,Saat::N,семе,видьмот
218,Korn::N,зърно,сёра
219,Heu::N,сено,тише
220,Schale::N,кора,кедь
221,Grube::N,яма,лотка
222,Grube::N,дупка,лотка
223,Falle::N,примка,туфкс
224,Falle::N,примка,кунда́ма
225,Schlinge::N,клуп,килькш
226,Spur::N,диря,пильгоки́
227,Spur::N,следа,пильгоки́
228,Asche::N,пепел,кулу
229,Dreck::N,кал,ърда́з
230,Eisen::N,желязо,кшни
231,Gold::N,злато,ока
232,Gold::N,злато,золота
233,Silber::N,сребро,сия́
234,Kohle::N,въглища,седь
235,Kohle::N,въглища,седьвальмя
236,Glas::N,стъкло,кля́нцек
237,Lehm::N,глина,сёвонь
238,Sand::N,пясък,шува́р
239,Mensch::N,човек,ломань
240,Mann::N,мъж,аля
241,Mann::N,мъж,цёраломань
242,Frau::N,жена,ава
243,Kind::N,дете,идь
244,Kind::N,дете,шаба
245,Junge::N,момче,цёраня
246,Mädchen::N,момиче,стирня́
247,Familie::N,фамилия,тнал
248,Familie::N,фамилия,семья
249,Familie::N,семейство,тнал
250,Familie::N,семейство,семья
251,Großvater::N,дядо,атя
252,Großvater::N,дядо,щя́тя
253,Großmutter::N,баба,баба
254,Eltern::N,родители,тя́дят-а́лят
255,Vater::N,баща,аля
256,Mutter::N,майка,ава
257,Mutter::N,майка,тядя
258,Sohn::N,син,цёра
259,Tochter::N,дъщеря,стирь
260,Bruder::N,брат,дуган
261,Bruder::N,брат,пяльне
262,Schwester::N,сестра,ака
263,Schwester::N,сестра,сазор
264,Onkel::N,чичо,оця
265,Onkel::N,чичо,патя
266,Onkel::N,чичо,щеня́
267,Onkel::N,вуйчо,оця
268,Onkel::N,вуйчо,патя
269,Onkel::N,вуйчо,щеня́
270,Tante::N,леля,ака
271,Tante::N,леля,щака
272,Ehemann::N,съпруг,мирде
273,Ehefrau::N,съпруга,ърьвя́
274,Freude::N,радост,ке́нярдема
275,Gelächter::N,смях,рахсема
276,Glück::N,щастие,паваз
277,Kummer::N,тъга,ризф
278,Kummer::N,тъга,пичефкс
279,Wunsch::N,желание,мяль
280,Wunsch::N,желание,таколдома
281,Lust::N,желание,таколдома
282,Geist::N,дух,вайме
283,Gedanke::N,мисъл,мяль
284,Gedächtnis::N,памет,прявий
285,Verstand::N,ум,прявий
286,Verstand::N,разум,прявий
287,Sinn::N,смисъл,ён
288,Grund::N,причина,туфта́л
289,Wahrheit::N,правда,ви́де
290,Wahrheit::N,правда,видеши́
291,Gespräch::N,разговор,корхтама
292,Märchen::N,приказка,ёфкс
293,Erzählung::N,разказ,азкс
294,Nachricht::N,вест,куля́
295,Nachricht::N,известие,куля́
296,Neuigkeit::N,новина,куля́
297,Name::N,име,лем
298,Rätsel::N,гатанка,со́дама ёфкс
299,Rede::N,реч,вал
300,Rede::N,реч,корхтама
301,Rede::N,слово,вал
302,Rede::N,слово,корхтама
303,Sprache::N,език,кяль
304,Stimme::N,глас,вайгяль
305,Wort::N,дума,вал
306,Zeichen::N,знак,тя́ште
307,Zeichen::N,знак,тя́штькс
308,Ruf::N,зов,тердема
309,Lärm::N,шум,гайф
310,Lärm::N,шум,жалакодома
311,Lärm::N,глъчка,гайф
312,Lärm::N,глъчка,жалакодома
313,Laut::N,звук,вайгяль
314,Ton::N,тон,вайгяль
315,Lied::N,песен,мора
316,Ruhe::N,тишина,сетьме
317,Ruhe::N,спокойствие,сетьме
318,Leute::N,хора,ломатть
319,Volk::N,народ,наро́д
320,Arbeit::N,труд,тев
321,Arbeit::N,работа,тев
322,Gast::N,гост,и́нжи
323,Gast::N,гост,ко́нак
324,Geschenk::N,дар,казне
325,Geschenk::N,подарък,казне
326,Spiel::N,игра,налхкома
327,Spiel::N,игра,налхксема
328,Gesellschaft::N,общество,кружок
329,Hilfe::N,помощ,лездома
330,Freund::N,приятел,я́лга
331,Kamerad::N,другар,я́лга
332,Angelegenheit::N,работа,тев
