,Concept_ID,bg,pt
0,Auge::N,око,olho
1,Ohr::N,ухо,orelha
2,Nase::N,нос,nariz
3,Mund::N,уста,boca
4,Zahn::N,зъб,dente
5,Zunge::N,език,língua
6,Lippe::N,устна,lábio
7,Wange::N,буза,face
8,Gesicht::N,лице,cara
9,Gesicht::N,лице,rosto
10,Gesicht::N,образ,cara
11,Gesicht::N,образ,rosto
12,Stirn::N,чело,testa
13,Haar::N,коса,cabelo
14,Haar::N,косъм,cabelo
15,Schnurrbart::N,мустаци,bigode
16,Bart::N,брада,barba
17,Kinn::N,брада,queixo
18,Kinn::N,брадичка,queixo
19,Kiefer[Anatomie]::N,челюст,maxila
20,Kiefer[Anatomie]::N,челюст,mandíbula
21,Kehle::N,гърло,garganta
22,Hals::N,врат,colo
23,Hals::N,врат,pescoço
24,Genick::N,тил,nuca
25,Kopf::N,глава,cabeça
26,Rücken::N,гръб,dorso
27,Rücken::N,гръб,costas
28,Bauch::N,корем,ventre
29,Bauch::N,корем,barriga
30,Nabel::N,пъп,umbigo
31,Busen::N,бозка,seio
32,Brust::N,гръд,peito
33,Schulter::N,рамо,ombro
34,Schulter::N,плещи,ombro
35,Arm::N,ръка,braço
36,Ellenbogen::N,лакът,cotovelo
37,Hand::N,ръка,mão
38,Hand::N,китка,mão
39,Handfläche::N,длан,palma
40,Handfläche::N,длан,palma da mão
41,Finger::N,пръст,dedo
42,Fingernagel::N,нокът,unha
43,Nagel[Anatomie]::N,нокът,unha
44,Zeh::N,пръст на крак,dedo do pé
45,Fuß::N,крак,pé
46,Fuß::N,нога,pé
47,Ferse::N,пета,calcanhar
48,Knie::N,коляно,joelho
49,Oberschenkel::N,бедро,coxa
50,Bein::N,крак,perna
51,Bein::N,нога,perna
52,Körper::N,тяло,corpo
53,Haut::N,кожа,pele
54,Blut::N,кръв,sangue
55,Ader::N,вена,veia
56,Ader::N,артерия,veia
57,Sehne::N,жила,tendão
58,Sehne::N,сухожилие,tendão
59,Knochen::N,кост,osso
60,Gehirn::N,мозък,cérebro
61,Herz::N,сърце,coração
62,Magen::N,стомах,estômago
63,Leber::N,черен дроб,fígado
64,Atem::N,дишане,fôlego
65,Hunger::N,глад,fome
66,Träne::N,сълза,lágrima
67,Geschmack::N,вкус,gosto
68,Geruch::N,миризма,odor
69,Geruch::N,миризма,cheiro
70,Schlaf::N,сън,sono
71,Traum::N,сън,sonho
72,Himmel::N,небе,céu
73,Sonne::N,слънце,sol
74,Mond::N,луна,lua
75,Mond::N,месец,lua
76,Stern::N,звезда,estrela
77,Luft::N,въздух,ar
78,Wind::N,вятър,vento
79,Welle::N,вълна,onda
80,Wasser::N,вода,água
81,Stein::N,камък,pedra
82,Boden::N,земя,solo
83,Boden::N,почва,solo
84,Erde::N,земя,terra
85,Erde::N,почва,terra
86,Staub::N,прах,pó
87,Rauch::N,дим,fumo
88,Rauch::N,пушек,fumo
89,Funke::N,искра,faísca
90,Funke::N,искра,centelha
91,Feuer::N,огън,fogo
92,Licht::N,светлина,luz
93,Schatten::N,сянка,sombra
94,Wetter::N,време,tempo
95,Nebel::N,мъгла,nevoeiro
96,Wolke::N,облак,nuvem
97,Regen::N,дъжд,chuva
98,Schnee::N,сняг,neve
99,Eis::N,лед,gelo
100,Frost::N,мраз,gelo
101,Frost::N,мраз,geada
102,Kälte::N,студ,frio
103,Hitze::N,жега,ardor
104,Hitze::N,горещина,ardor
105,Raureif::N,скреж,geada
106,Raureif::N,слана,geada
107,Regenbogen::N,дъга,arco-iris
108,Donner::N,гръм,trovão
109,Strömung::N,течение,corrente
110,Tropfen::N,капка,gota
111,Schaum::N,пяна,espuma
112,Schmutz::N,кал,sujidade
113,Schmutz::N,кал,imundície
114,Schmutz::N,мръсотия,sujidade
115,Schmutz::N,мръсотия,imundície
116,See::N,езеро,lago
117,Sumpf::N,блато,charco
118,Sumpf::N,блато,pântano
119,Moor::N,мочурище,pântano
120,Wiese::N,ливада,prado
121,Wald::N,гора,bosque
122,Wald::N,гора,floresta
123,Hügel::N,рид,colina
124,Hügel::N,хълм,colina
125,Anhöhe::N,могила,alto
126,Anhöhe::N,могила,outeiro
127,Anhöhe::N,възвишение,alto
128,Anhöhe::N,възвишение,outeiro
129,Berg::N,планина,monte
130,Berg::N,планина,montanha
131,Gipfel::N,връх,pico
132,Höhle::N,пещера,caverna
133,Abhang::N,склон,encosta
134,Abhang::N,стръмнина,encosta
135,Quelle::N,извор,fonte
136,Bach::N,поток,regato
137,Bach::N,поток,ribeiro
138,Fluss::N,река,rio
