,Concept_ID,bn,xal
0,Auge::N,চক্ষু,нүдн
1,Ohr::N,কর্ণ,чикн
2,Nase::N,নাক,хамр
3,Mund::N,মুখ,амн
4,Zahn::N,দাঁত,шүдн
5,Zunge::N,জিহবা,келн
6,Lippe::N,অধর,урл
7,Wange::N,গণ্ড,халх
8,Gesicht::N,মুখমণ্ডল,нүр
9,Stirn::N,কপাল,маңна
10,Haar::N,চুল,үсн
11,Schnurrbart::N,গোঁফ,сахл
12,Bart::N,শ্মশ্রু,сахл
13,Bart::N,শ্মশ্রু,өргнә сахл
14,Kinn::N,চিবুক,өргн
15,Kiefer[Anatomie]::N,চোয়াল,өргн
16,Kehle::N,কণ্ঠ,хол
17,Hals::N,গল,күзүн
18,Genick::N,ঘাড়,гиҗг
19,Kopf::N,মাথা,толһа
20,Rücken::N,পৃষ্ঠ,нурһн
21,Bauch::N,উদর,гесн
22,Nabel::N,নাভি,киисн
23,Busen::N,স্তন,көкн
24,Brust::N,বুক,чееҗ
25,Schulter::N,স্কন্ধ,ээм
26,Arm::N,বাহু,һар
27,Ellenbogen::N,কনুই,тоха
28,Hand::N,হাত,баһлцг
29,Handfläche::N,করতল,альхн
30,Finger::N,আঙ্গুল,хурһн
31,Finger::N,আঙ্গুল,һарин хурһн
32,Fingernagel::N,হাতের নখ,хумсн
33,Nagel[Anatomie]::N,নখ,хумсн
34,Zeh::N,আঙ্গুল,хурһн
35,Zeh::N,আঙ্গুল,көлин хурһн
36,Fuß::N,পা,тавг
37,Ferse::N,গোড়ালি,өскә
38,Knie::N,হাঁটু,өвдг
39,Oberschenkel::N,ঊরু,һуй
40,Bein::N,পা,көл
41,Körper::N,দেহ,махмуд
42,Haut::N,ত্বক,арсн
43,Blut::N,রক্ত,цусн
44,Ader::N,শিরা,судцн
45,Sehne::N,কণ্ডরা,шүрүсн
46,Knochen::N,অস্থি,ясн
47,Gehirn::N,মস্তিষ্ক,экн
48,Herz::N,হৃৎপিণ্ড,зүркн
49,Magen::N,পাকস্থলী,гесн
50,Leber::N,যকৃৎ,элкн
51,Atem::N,শ্বাস,әмсхл
52,Hunger::N,ক্ষুধা,харһнлһн
53,Träne::N,অশ্রু,нульмсн
54,Geschmack::N,স্বাদ,амтн
55,Geruch::N,গন্ধ,үнр
56,Schlaf::N,ঘুম,нөр
57,Traum::N,স্বপ্ন,зүүдн
58,Himmel::N,আকাশ,теңгр
59,Sonne::N,সূর্য,нарн
60,Mond::N,চন্দ্র,сар
61,Stern::N,নক্ষত্র,одн
62,Luft::N,বায়ু,аһар
63,Wind::N,বাতাস,салькн
64,Welle::N,ঢেউ,дольган
65,Welle::N,তরঙ্গ,дольган
66,Wasser::N,জল,усн
67,Stein::N,ঢিল,чолун
68,Stein::N,প্রস্তর,чолун
69,Boden::N,ভূতল,Һазр
70,Erde::N,ভূমি,Һазр
71,Staub::N,ধুলা,тоосн
72,Rauch::N,ধোঁয়া,утан
73,Funke::N,স্ফুলিঙ্গ,очн
74,Feuer::N,অগ্নি,һал
75,Licht::N,আলো,герл
76,Schatten::N,ছায়া,сүүдр
77,Wetter::N,আবহাওয়া,теңгр
78,Nebel::N,কুহেলিকা,будн
79,Wolke::N,মেঘ,үүлн
80,Regen::N,বৃষ্টি,хур
81,Schnee::N,তুষার,цасн
82,Eis::N,বরফ,мөсн
83,Frost::N,তুষার,киитн
84,Kälte::N,শৈত্য,киитн
85,Hitze::N,তাপ,халун
86,Raureif::N,তুহিন,цаң
87,Raureif::N,তুহিন,кирү
88,Regenbogen::N,রামধনু,солңһ
89,Donner::N,বজ্রধ্বনি,оһтрһун дун
90,Strömung::N,স্রোত,урсхл
91,Tropfen::N,ফোঁটা,дусал
92,Schaum::N,ফেনা,көөсн
93,Schmutz::N,ধুলা,кир
94,See::N,হ্রদ,нур
95,Sumpf::N,জলা,унул
96,Moor::N,মাঠ,улм
97,Wiese::N,তৃণভূমি,хадлһн
98,Wald::N,বন,ө-модн
99,Hügel::N,পাহাড়,толһа
100,Anhöhe::N,টিলা,хамр
101,Berg::N,পর্বত,уул
102,Gipfel::N,শীর্ষ,ора
103,Höhle::N,গুহা,хадин көндә
104,Abhang::N,ঢাল,ташу
105,Quelle::N,উৎস,булг
106,Bach::N,ক্ষুদ্র নদী,һооҗур
107,Fluss::N,নদী,һол
108,Ufer::N,উপকূল,көвә
109,Küste::N,তীর,көвә
110,Küste::N,তীর,теңгсин көвә
111,Festland::N,ভূমি,хүүрә һазр
112,Meer::N,সমুদ্র,теңгс
113,Bucht::N,উপসাগর,цекә
114,Bucht::N,উপসাগর,теңгсин цекә
115,Insel::N,দ্বীপ,арл
116,Blume::N,ফুল,цецг
117,Gras::N,ঘাস,ноһан
118,Wurzel::N,শিকড়,уңг
119,Baum::N,গাছ,модн
120,Stamm::N,স্কন্ধ,шилв
121,Stamm::N,স্কন্ধ,һол модн
122,Rinde::N,বল্কল,көрсн
123,Ast::N,শাখা,ац
124,Zweig::N,ডাল,ац
125,Blatt::N,পর্ণ,хамтхасн
126,Birke::N,ভুর্জ,хусм модн
