,Concept_ID,br,lt
0,Auge::N,lagad,akis
1,Ohr::N,skouarn,ausis
2,Nase::N,fri,nosis
3,Mund::N,genoù,burna
4,Zahn::N,dant,dantis
5,Zunge::N,teod,liežuvis
6,Lippe::N,muzell,lūpa
7,Wange::N,chot,žandas
8,Wange::N,chot,skruostas
9,Gesicht::N,dremm,veidas
10,Stirn::N,tal,kakta
11,Haar::N,blev,plaukai
12,Schnurrbart::N,mourenn,ūsai
13,Bart::N,barv,barzda
14,Kinn::N,groñj,smakras
15,Kiefer[Anatomie]::N,javed,žandikaulis
16,Kehle::N,gouzoug,gerklė
17,Hals::N,gouzoug,kaklas
18,Genick::N,choug,sprandas
19,Kopf::N,penn,galva
20,Rücken::N,kein,nugara
21,Bauch::N,kof,pilvas
22,Nabel::N,begel,bamba
23,Busen::N,bronn,krūtinė
24,Brust::N,bruched,krūtis
25,Schulter::N,skoaz,petys
26,Arm::N,brec'h,ranka
27,Ellenbogen::N,ilin,alkūnė
28,Hand::N,dorn,ranka
29,Hand::N,dorn,plaštaka
30,Handfläche::N,palv,delnas
31,Handfläche::N,palv,plaštaka
32,Finger::N,biz,pirštas
33,Fingernagel::N,ivin,nagas
34,Nagel[Anatomie]::N,ivin,nagas
35,Zeh::N,biz-troad,pirštas
36,Fuß::N,troad,pėda
37,Ferse::N,seul,kulnas
38,Knie::N,glin,kelis
39,Oberschenkel::N,morzhed,kulšis
40,Oberschenkel::N,morzhed,šlaunis
41,Bein::N,gar,koja
42,Körper::N,korf,kūnas
43,Haut::N,kroc'hen,oda
44,Blut::N,gwad,kraujas
45,Ader::N,gwazhi,kraujagyslė
46,Sehne::N,stir,sausgyslė
47,Knochen::N,askorn,kaulas
48,Gehirn::N,empenn,smegenys
49,Herz::N,kalon,širdis
50,Magen::N,stomog,skrandis
51,Leber::N,avu,kepenys
52,Atem::N,anal,kvapas
53,Hunger::N,naon,badas
54,Hunger::N,naon,alkis
55,Träne::N,daer,ašara
56,Geschmack::N,blaz,skonis
57,Geruch::N,c'hwezh,kvapas
58,Schlaf::N,kousked,miegas
59,Traum::N,hune,sapnas
60,Himmel::N,oabl,dangus
61,Sonne::N,heol,saulė
62,Mond::N,loar,mėnulis
63,Stern::N,steredenn,žvaigždė
64,Luft::N,aer,oras
65,Wind::N,avel,vėjas
66,Welle::N,houlenn,banga
67,Welle::N,houlenn,vilnis
68,Wasser::N,dour,vanduo
69,Stein::N,maen,akmuo
70,Boden::N,tachenn,žemė
71,Boden::N,tachenn,dugnas
72,Erde::N,douar,žemė
73,Staub::N,poultr,dulkės
74,Rauch::N,moged,dūmai
75,Funke::N,ful,kibirkštis
76,Feuer::N,tan,ugnis
77,Licht::N,gouloù,šviesa
78,Schatten::N,disheol,paūksmė
79,Wetter::N,amzer,oras
80,Nebel::N,brumenn,migla
81,Nebel::N,brumenn,rūkas
82,Wolke::N,koumoulenn,debesis
83,Regen::N,glav,lietus
84,Schnee::N,erc'h,sniegas
85,Eis::N,skorn,ledas
86,Frost::N,rev,šalna
87,Kälte::N,yen,šaltis
88,Hitze::N,tommder,karštis
89,Raureif::N,frim,šerkšnas
90,Regenbogen::N,gwareg-ar-glav,vaivorykštė
91,Donner::N,kurun,perkūnas
92,Donner::N,kurun,griaustinis
93,Strömung::N,red,tėkmė
94,Tropfen::N,bannac'h,lašas
95,Tropfen::N,takenn,lašas
96,Schaum::N,spoum,putos
97,Schmutz::N,fank,purvas
98,See::N,lenn,ežeras
99,Sumpf::N,gwern,klampynė
100,Sumpf::N,gwern,liūnas
101,Moor::N,taouarc'heg,pelkė
102,Wiese::N,prad,pieva
103,Wald::N,koad,miškas
