,Concept_ID,br,os
0,Auge::N,lagad,цӕст
1,Ohr::N,skouarn,хъус
2,Nase::N,fri,фындз
3,Mund::N,genoù,дзых
4,Zahn::N,dant,дӕндаг
5,Zunge::N,teod,ӕвзаг
6,Lippe::N,muzell,был
7,Wange::N,chot,рус
8,Wange::N,chot,уадул
9,Wange::N,chot,ӕхсӕрфарс
10,Gesicht::N,dremm,цӕсгом
11,Stirn::N,tal,ных
12,Haar::N,blev,хил
13,Schnurrbart::N,mourenn,рихи
14,Bart::N,barv,зачъе
15,Kinn::N,groñj,роцъо
16,Kiefer[Anatomie]::N,javed,ӕфсӕр
17,Kehle::N,gouzoug,хъуыр
18,Hals::N,gouzoug,къубал
19,Genick::N,choug,къӕбут
20,Kopf::N,penn,сӕр
21,Rücken::N,kein,фӕсонтӕ
22,Bauch::N,kof,гуыбын
23,Nabel::N,begel,бикъ
24,Busen::N,bronn,дзидзи
25,Brust::N,bruched,риу
26,Schulter::N,skoaz,уӕхск
27,Arm::N,brec'h,цонг
28,Ellenbogen::N,ilin,рæмбын
29,Hand::N,dorn,къух
30,Handfläche::N,palv,армытъӕпӕн
31,Finger::N,biz,ӕнруылдз
32,Fingernagel::N,ivin,ных
33,Nagel[Anatomie]::N,ivin,ных
34,Zeh::N,biz-troad,къух
35,Fuß::N,troad,фад
36,Ferse::N,seul,зӕвӕт
37,Knie::N,glin,уӕраг
38,Oberschenkel::N,morzhed,агъд
39,Bein::N,gar,зӕнг
40,Körper::N,korf,буар
41,Haut::N,kroc'hen,царм
42,Blut::N,gwad,туг
43,Ader::N,gwazhi,дадзин
44,Ader::N,gwazhi,тугдадзин
45,Sehne::N,stir,хъиутæ
46,Sehne::N,stir,нуар
47,Knochen::N,askorn,стӕг
48,Gehirn::N,empenn,магъз
49,Herz::N,kalon,зӕрдӕ
50,Magen::N,stomog,ахсӕн
51,Leber::N,avu,игæр
52,Atem::N,anal,улӕфт
53,Hunger::N,naon,стонг
54,Träne::N,daer,цæссыг
55,Geschmack::N,blaz,ад
56,Geruch::N,c'hwezh,смаг
57,Schlaf::N,kousked,хуыссӕг
58,Traum::N,hune,фын
59,Himmel::N,oabl,арв
60,Himmel::N,oabl,уӕларв
61,Sonne::N,heol,хур
62,Mond::N,loar,мӕй
63,Stern::N,steredenn,стъалы
64,Luft::N,aer,уӕлдӕф
65,Wind::N,avel,дымгӕ
66,Welle::N,houlenn,уылӕн
67,Wasser::N,dour,дон
68,Stein::N,maen,дур
69,Boden::N,tachenn,зӕхх
70,Erde::N,douar,сыджыт
71,Staub::N,poultr,рыг
72,Rauch::N,moged,фӕздӕг
73,Funke::N,ful,цӕхӕр
74,Feuer::N,tan,зынг
75,Licht::N,gouloù,рухс
76,Schatten::N,disheol,аууон
77,Wetter::N,amzer,боныхъӕд
78,Nebel::N,brumenn,мигъ
79,Wolke::N,koumoulenn,ӕврагъ
80,Regen::N,glav,уарын
81,Schnee::N,erc'h,мит
82,Eis::N,skorn,их
83,Frost::N,rev,ихæн
84,Kälte::N,yen,уазал
85,Hitze::N,tommder,ӕнтӕф
86,Raureif::N,frim,халас
87,Regenbogen::N,gwareg-ar-glav,арвырон
88,Regenbogen::N,gwareg-ar-glav,арвырдын
89,Donner::N,kurun,æрвнæрын
90,Strömung::N,red,цыд
91,Tropfen::N,bannac'h,æртах
92,Tropfen::N,takenn,æртах
93,Schaum::N,spoum,фынк
94,Schmutz::N,fank,цъыф
95,See::N,lenn,цад
96,Sumpf::N,gwern,цъыфдзаст
97,Moor::N,taouarc'heg,цъыфдзаст
98,Wiese::N,prad,уыгӕрдӕн
99,Wald::N,koad,хъӕд
100,Hügel::N,torgenn,обау
101,Hügel::N,torgenn,къуыбыр
102,Anhöhe::N,run,уæлвæз
103,Anhöhe::N,run,уæлхох
104,Berg::N,menez,хох
105,Gipfel::N,barr,цъупп
106,Höhle::N,kav,лӕгӕт
107,Abhang::N,naou,къул
108,Quelle::N,feunteun,суадон
109,Bach::N,gwazh,мӕсчъыдон
110,Fluss::N,stêr,дон
111,Fluss::N,stêr,цӕугӕдон
112,Ufer::N,ribl,был
113,Küste::N,aod,донбыл
114,Festland::N,douar,сурзæхх
115,Meer::N,mor,денджыз
116,Bucht::N,mor-bihan,донбакæлæн
117,Insel::N,enez,сакъадах
118,Blume::N,bleunienn,дидинӕг
119,Gras::N,geot,кӕрдӕг
120,Wurzel::N,gwrizienn,уидаг
121,Baum::N,gwezenn,бӕлас
122,Stamm::N,kef,хӕтӕл
123,Rinde::N,rusk,цъар
124,Ast::N,barr,арх
125,Zweig::N,bod,къалиу
126,Blatt::N,delienn,сыф
127,Birke::N,bezvenn,бæрз
128,Kiefer[Baum]::N,pinenn,нӕзы
129,Weide[Baum]::N,halegenn,хӕрис
130,Tanne::N,sapenn,наз
131,Horn::N,korn,сыкъа
132,Feder::N,pluñv,сис
133,Fell::N,kreoñ,царм
134,Flügel::N,askell,базыр
135,Klaue::N,skilf,ных
136,Kralle::N,skilf,дзӕмбы
137,Schwanz::N,lost,къӕдзил
138,Ei::N,vi,айк
139,Nest::N,neizh,ахстон
140,Bau::N,douarenn,хуынкъ
141,Tier::N,loen,сырд
142,Tier::N,loen,цӕрӕгой
143,Herde::N,tropell,дзуг
144,Herde::N,tropell,рӕгъау
145,Kuh::N,buoc'h,хъуг
146,Bulle::N,tarv,гал
147,Pferd::N,marc'h,бӕх
148,Schaf::N,dañvad,фыс
149,Schwein::N,pemoc'h,хуы
150,Hund::N,ki,куыдз
151,Katze::N,kazh,гӕды
152,Bär::N,arzh,арс
153,Eichhörnchen::N,gwiñver,æхсæрæг
154,Elch::N,karv-dour,цæгатаг саг
155,Fuchs::N,louarn,рувас
156,Hase::N,gad,тæрхъус
157,Maus::N,logodenn,мыст
158,Wolf::N,bleiz,бирӕгъ
159,Vogel::N,labous,цъиу
160,Vogel::N,labous,маргъ
161,Schwarm::N,nijad,бал
162,Huhn::N,yar,карк
163,Hahn::N,kilhog,уасӕг
164,Gans::N,gwazenn,хъаз
165,Adler::N,erer,цӕргӕс
166,Ente::N,houad,ацц
167,Eule::N,toud, уыг
168,Eule::N,toud,сидахъ
169,Kranich::N,garan,зырнæг
170,Kranich::N,garan,хърихъупп
171,Krähe::N,bran,халон
172,Kuckuck::N,koukoug,гаккук
173,Schwan::N,alarc'h,доныхъаз
174,Fisch::N,pesk,кӕсаг
175,Barsch::N,brell,окунь
176,Hecht::N,beked,хихор кӕсаг
177,Schlange[Tier]::N,naer,калм
178,Wurm::N,preñv,зулкъ
179,Wurm::N,preñv,къуыдыргалм
180,Spinne::N,kevnidenn,хӕлуарӕг
181,Ameise::N,merion,мæлдзыг
182,Laus::N,laouenn,сыст
183,Mücke::N,moustik,къогъо
184,Fliege::N,kelienenn,бындз
185,Schmetterling::N,balafenn,гæлæбу
186,Beere::N,hog,гагадыргъ
