,Concept_ID,ca,ja
0,Auge::N,ull,目
1,Ohr::N,orella,耳
2,Nase::N,nas,鼻
3,Mund::N,boca,口
4,Zahn::N,dent,歯
5,Zunge::N,llēngua,舌
6,Lippe::N,llavi,唇
7,Wange::N,galta,頬
8,Gesicht::N,cara,顔
9,Stirn::N,front,額
10,Haar::N,cabēll,髪
11,Schnurrbart::N,bigoti,口髭
12,Bart::N,barba,髭
13,Kinn::N,mentó,顎
14,Kinn::N,barbeta,顎
15,Kiefer[Anatomie]::N,queix,顎
16,Kiefer[Anatomie]::N,mandíbula,顎
17,Kehle::N,gola,喉
18,Kehle::N,gorja,喉
19,Hals::N,coll,首
20,Genick::N,nuca,首
21,Kopf::N,cap,頭
22,Rücken::N,esquena,背中
23,Bauch::N,panxa,腹
24,Bauch::N,panxa,お腹
25,Nabel::N,llombrígol,へそ
26,Busen::N,pit,乳房
27,Busen::N,mama,乳房
28,Brust::N,pit,胸
29,Schulter::N,espatlla,肩
30,Arm::N,braç,腕
31,Ellenbogen::N,colze,肘
32,Hand::N,mà,手
33,Handfläche::N,palma,手のひら
34,Finger::N,dit,指
35,Fingernagel::N,ungla,爪
36,Nagel[Anatomie]::N,ungla,爪
37,Zeh::N,dit del peu,足の指
38,Fuß::N,peu,足
39,Ferse::N,taló,かかと
40,Knie::N,genoll,膝
41,Oberschenkel::N,cuixa,上腿
42,Bein::N,cama,足
43,Körper::N,cos,体
44,Haut::N,pell,皮膚
45,Blut::N,sang,血
46,Ader::N,vena,血管
47,Sehne::N,tendó,腱
48,Knochen::N,os,骨
49,Gehirn::N,cervell,脳
50,Herz::N,cor,心
51,Herz::N,cor,心臓
52,Magen::N,estómac,胃
53,Leber::N,fetge,肝臓
54,Atem::N,alè,息
55,Atem::N,alè,呼吸
56,Atem::N,hàlit,息
57,Atem::N,hàlit,呼吸
58,Hunger::N,fam,空腹
59,Hunger::N,gana,空腹
60,Träne::N,llàgrima,涙
61,Geschmack::N,gust,味
62,Geschmack::N,sabor,味
63,Geruch::N,olor,匂い
64,Schlaf::N,son,睡眠
65,Traum::N,somni,夢
66,Himmel::N,celm,空
67,Sonne::N,sol,太陽
68,Mond::N,lluna,月
69,Stern::N,estel,星
70,Stern::N,estrella,星
71,Luft::N,aire,空気
72,Wind::N,vent,風
73,Welle::N,ona,波
74,Wasser::N,āigua,水
75,Stein::N,pedra,石
76,Boden::N,sòl,土地
77,Erde::N,terra,土
78,Staub::N,pols,埃
79,Rauch::N,fum,煙
80,Funke::N,guspira,火花
81,Funke::N,centella,火花
82,Feuer::N,foc,火
83,Licht::N,llum,光
84,Schatten::N,ombra,陰
85,Wetter::N,temps,天気
86,Nebel::N,boira,霧
87,Wolke::N,núvol,雲
88,Regen::N,pluja,雨
89,Schnee::N,neu,雪
90,Eis::N,gel,氷
91,Eis::N,glaç,氷
92,Frost::N,glaçada,霜
93,Kälte::N,fred,寒さ
94,Hitze::N,calor,暑さ
95,Raureif::N,gebre,霧氷
96,Regenbogen::N,arc iris,虹
97,Donner::N,tro,雷
98,Strömung::N,corrent,流れ
99,Tropfen::N,gota,滴
100,Schaum::N,escuma,泡
101,Schmutz::N,brutícia,汚れ
102,See::N,llac,湖
103,Sumpf::N,pantà,沼
104,Moor::N,pantà,湿原
105,Wiese::N,prat,草原
106,Wiese::N,prada,草原
107,Wald::N,bosc,森
108,Hügel::N,puig,丘
109,Hügel::N,pujol,丘
110,Anhöhe::N,turó,高み
111,Berg::N,muntanya,山
112,Gipfel::N,cim,頂上
113,Höhle::N,cova,洞窟
114,Abhang::N,coster,斜面
115,Quelle::N,font,泉
116,Bach::N,riera,小川
117,Fluss::N,riu,川
118,Ufer::N,riba,岸
119,Küste::N,costa,海岸
120,Festland::N,terra ferma,陸
121,Meer::N,mar,海
122,Bucht::N,cala,湾
123,Bucht::N,badia,湾
124,Insel::N,illa,島
125,Blume::N,flor,花
126,Gras::N,herba,草
127,Wurzel::N,rel,根
128,Wurzel::N,arrel,根
129,Baum::N,arbre,木
130,Stamm::N,tronc,幹
131,Rinde::N,escorça,皮層
132,Ast::N,branca,枝
133,Zweig::N,ram,小枝
134,Blatt::N,fulla,葉
135,Birke::N,bedoll,樺
136,Kiefer[Baum]::N,pi,松
137,Weide[Baum]::N,salze,柳
138,Tanne::N,avet,樅
139,Horn::N,corn,角
140,Horn::N,banya,角
141,Feder::N,ploma,羽根
142,Fell::N,pell,毛皮
143,Flügel::N,ala,羽
144,Klaue::N,urpa,鉤爪
145,Kralle::N,grapa,爪
146,Schwanz::N,cua,尻尾
147,Ei::N,ou,卵
148,Nest::N,niu,巣
149,Bau::N,cau,穴
150,Tier::N,animāl,動物
151,Herde::N,ramat,群れ
152,Kuh::N,vaca,牛
153,Bulle::N,toro,雄牛
154,Pferd::N,cavāll,馬
155,Schaf::N,be,羊
156,Schaf::N,ovella,羊
157,Schwein::N,bacó,豚
158,Hund::N,ca,犬
159,Hund::N,gos,犬
160,Katze::N,gat,猫
161,Bär::N,ós,熊
162,Eichhörnchen::N,esquirol,栗鼠
163,Elch::N,ant,ヘラジカ
164,Fuchs::N,guilla,狐
165,Hase::N,llebre,兎
166,Maus::N,ratolí,鼠
167,Wolf::N,llop,狼
168,Vogel::N,au,鳥
169,Vogel::N,ocēll,鳥
170,Schwarm::N,bandada,群れ
171,Huhn::N,gallina,鶏
172,Hahn::N,gall,雄鶏
173,Gans::N,oca,ガチョウ
174,Adler::N,àguila,鷲
175,Ente::N,ànec,鴨
176,Eule::N,òliba,フクロウ
177,Eule::N,mussol,フクロウ
178,Kranich::N,grua,鶴
179,Krähe::N,cornella,烏
180,Kuckuck::N,cucut,郭公
181,Schwan::N,cigne,白鳥
182,Fisch::N,peix,魚
183,Barsch::N,perca,鱸
184,Hecht::N,lluç,川魳
185,Schlange[Tier]::N,serp,蛇
186,Wurm::N,cuc,虫
187,Spinne::N,aranya,蜘蛛
188,Ameise::N,formiga,蟻
189,Laus::N,poll,虱
190,Mücke::N,mosquit,蚊
191,Fliege::N,mosca,蝿
192,Schmetterling::N,papallona,蝶
193,Beere::N,baia,漿果
194,Apfel::N,poma,林檎
195,Pilz::N,bolet,茸
196,Zwiebel::N,ceba,玉葱
197,Saat::N,sembra,種
198,Korn::N,gra,粒
199,Heu::N,fenc,干し草
200,Schale::N,closca,皮
201,Grube::N,sot,穴
202,Grube::N,clot,穴
203,Falle::N,trampa,わな
204,Schlinge::N,baga,輪
205,Spur::N,traça,跡
206,Asche::N,cendra,灰
207,Dreck::N,llot,泥
208,Eisen::N,ferro,鉄
209,Gold::N,or,金
210,Silber::N,plata,銀
211,Kohle::N,carbó,炭
212,Glas::N,vidre,ガラス
213,Lehm::N,fang,ローム
214,Lehm::N,argila,ローム
215,Sand::N,arena,砂
216,Mensch::N,humà,人
217,Mensch::N,persona,人
218,Mann::N,home,男
219,Mann::N,home,男性
220,Frau::N,dona,女
221,Frau::N,dona,女性
222,Kind::N,nen,子
223,Kind::N,nen,子供
224,Junge::N,noi,男の子
225,Mädchen::N,noia,女の子
226,Familie::N,família,家族
227,Großvater::N,avi,祖父
228,Großvater::N,avi,おじいさん
229,Großmutter::N,àvia,祖母
230,Großmutter::N,àvia,おばあさん
231,Eltern::N,pares,親
232,Eltern::N,pares,両親
233,Vater::N,pare,父
234,Vater::N,pare,お父さん
235,Mutter::N,mare,母
236,Mutter::N,mare,お母さん
237,Sohn::N,fill,息子
238,Sohn::N,fill,息子さん
239,Tochter::N,filla,娘
240,Tochter::N,filla,お嬢さん
241,Bruder::N,germà,弟
242,Schwester::N,germana,妹
243,Onkel::N,oncle,伯父
244,Onkel::N,oncle,伯父さん
245,Tante::N,tia,叔母
246,Tante::N,tia,叔母さん
247,Ehemann::N,espòs,夫
248,Ehemann::N,espòs,主人
249,Ehefrau::N,muller,妻
250,Ehefrau::N,muller,奥さん
251,Freude::N,goig,喜び
252,Freude::N,alegria,喜び
253,Gelächter::N,riallada,笑い
254,Glück::N,felicitat,幸せ
255,Kummer::N,pena,悩み
256,Wunsch::N,desig,希望
257,Lust::N,ganes,気
258,Geist::N,ment,精神
259,Geist::N,esperit,精神
