,Concept_ID,ce,fi
0,Auge::N,бӏаьрг,silmä
1,Ohr::N,лерг,korva
2,Nase::N,мара,nenä
3,Mund::N,бага,suu
4,Zahn::N,церг,hammas
5,Zunge::N,мотт,kieli
6,Lippe::N,балда,huuli
7,Wange::N,бесни,poski
8,Gesicht::N,юьхь,naama
9,Gesicht::N,юьхь,kasvot
10,Stirn::N,хьаж,otsa
11,Haar::N,мас,hius
12,Haar::N,мас,tukka
13,Schnurrbart::N,мекх,viikset
14,Bart::N,маж,parta
15,Kinn::N,чӏениг,leuka
16,Kiefer[Anatomie]::N,мочхал,leukaluu
17,Kehle::N,къамкъарг,kurkku
18,Hals::N,ворта,kaula
19,Genick::N,кӏесаркӏаг,niska
20,Kopf::N,корта,pää
21,Rücken::N,букъ,selkä
22,Bauch::N,кийра,maha
23,Bauch::N,кийра,vatsa
24,Nabel::N,цӏонга,napa
25,Busen::N,зударийн накха,rinta
26,Brust::N,накха,rinta
27,Schulter::N,белш,olka
28,Schulter::N,белш,hartia
29,Schulter::N,белш,olkapää
30,Arm::N,пхьарс,käsivarsi
31,Ellenbogen::N,пхьаьрсан гола,kyynärpää
32,Hand::N,куьг,käsi
33,Handfläche::N,кераюкъ,kämmen
34,Finger::N,пӏелг,sormi
35,Fingernagel::N,мӏара,kynsi
36,Nagel[Anatomie]::N,мӏара,kynsi
37,Zeh::N,кога пӏелг,varvas
38,Fuß::N,ког,jalka
39,Ferse::N,кӏажа,kantapää
40,Knie::N,гола,polvi
41,Oberschenkel::N,варе,reisi
42,Bein::N,ког,jalka
43,Körper::N,хӏума,keho
44,Körper::N,хӏума,ruumis
45,Haut::N,чкъор,iho
46,Blut::N,цӏий,veri
47,Ader::N,пха,suoni
48,Sehne::N,хьорзам,jänne
49,Knochen::N,даьӏахк,luu
50,Gehirn::N,хье,aivot
51,Herz::N,дог,sydän
52,Magen::N,зорх,maha
53,Magen::N,зорх,vatsa
54,Leber::N,доӏах,maksa
55,Atem::N,садеӏар,henki
56,Atem::N,садеӏар,hengitys
57,Hunger::N,мацалла,nälkä
58,Träne::N,бӏаьрхи,kyynel
59,Geschmack::N,чам,maku
60,Geruch::N,хьожа,haju
61,Schlaf::N,наб,uni
62,Traum::N,гӏан,uni
63,Himmel::N,стигал,taivas
64,Sonne::N,малх,aurinko
65,Mond::N,бутт,kuu
66,Stern::N,седа,tähti
67,Luft::N,xӏаваъ,ilma
68,Wind::N,мох,tuuli
69,Welle::N,тулгӏе,aalto
70,Wasser::N,хи,vesi
71,Stein::N,тӏулг,kivi
72,Boden::N,цӏенкъа,maa
73,Boden::N,цӏенкъа,maaperä
74,Erde::N,латта,maa
75,Staub::N,чан,pöly
76,Rauch::N,кӏур,savu
77,Funke::N,суй,kipinä
78,Feuer::N,цӏе,tuli
79,Licht::N,серло,valo
80,Schatten::N,ӏиндагӏ,varjo
81,Wetter::N,хенан хӏоттам,sää
82,Nebel::N,дохк,sumu
83,Wolke::N,марха,pilvi
84,Regen::N,догӏа,sade
85,Schnee::N,ло,lumi
86,Eis::N,ша,jää
87,Frost::N,шело,halla
88,Frost::N,шело,pakkanen
89,Kälte::N,шело,vilu
90,Kälte::N,шело,kylmyys
91,Hitze::N,йовхо,helle
92,Hitze::N,йовхо,kuumuus
93,Raureif::N,йис,huurre
94,Regenbogen::N,стелаӏад,sateenkaari
95,Donner::N,ткъес,jyrinä
96,Strömung::N,дӏаэхар,virtaus
97,Strömung::N,дӏасалелар,virtaus
98,Tropfen::N,тӏадам,tippa
99,Tropfen::N,тӏадам,pisara
100,Schaum::N,чопа,vaahto
101,Schmutz::N,хатт,loka
102,See::N,ӏам,järvi
103,Sumpf::N,уьшал,suo
104,Moor::N,уьшал,räme
105,Wiese::N,бай,niitty
106,Wald::N,хьун,metsä
107,Hügel::N,гу,mäki
108,Hügel::N,гу,kumpu
109,Hügel::N,гу,kukkula
110,Hügel::N,шу,mäki
111,Hügel::N,шу,kumpu
112,Hügel::N,шу,kukkula
113,Hügel::N,барз,mäki
114,Hügel::N,барз,kumpu
115,Hügel::N,барз,kukkula
116,Anhöhe::N,акъари,mäki
117,Anhöhe::N,акъари,kumpare
118,Berg::N,лам,mäki
119,Berg::N,лам,vuori
120,Gipfel::N,бохь,laki
121,Gipfel::N,бохь,huippu
122,Höhle::N,хьех,luola
123,Abhang::N,басе,rinne
124,Quelle::N,шовда,lähde
125,Bach::N,татол,puro
126,Fluss::N,хи,joki
127,Ufer::N,хийист,ranta
128,Küste::N,йист,rannikko
129,Festland::N,латта,manner
130,Meer::N,xӏорд,meri
131,Bucht::N,чож,lahti
132,Insel::N,гӏайре,saari
133,Blume::N,зезаг,kukka
134,Gras::N,буц,ruoho
135,Wurzel::N,орам,juuri
136,Baum::N,дитт,puu
137,Stamm::N,гӏад,runko
138,Stamm::N,тайпа,runko
139,Rinde::N,кевстиг,kuori
140,Rinde::N,кевстиг,parkki
141,Ast::N,га,oksa
142,Zweig::N,га,haara
143,Blatt::N,гӏа,lehti
144,Birke::N,дакх,koivu
145,Kiefer[Baum]::N,бага,mänty
146,Kiefer[Baum]::N,бага,petäjä
147,Weide[Baum]::N,дак,paju
148,Tanne::N,база,kuusi
149,Horn::N,маӏа,sarvi
150,Feder::N,пелаг,sulka
151,Feder::N,пелаг,höyhen
152,Fell::N,цӏока,talja
153,Flügel::N,тӏам,siipi
154,Klaue::N,мӏара,kynsi
155,Kralle::N,тlод,kynsi
156,Schwanz::N,цӏога,häntä
157,Schwanz::N,цӏога,pyrstö
158,Ei::N,xӏoa,muna
159,Nest::N,бен,pesä
160,Bau::N,lуьрг,pesä
161,Tier::N,дийнат,eläin
162,Herde::N,жа,lauma
163,Kuh::N,етт,lehmä
164,Bulle::N,сту,sonni
165,Pferd::N,говр,hevonen
166,Schaf::N,жий,lammas
167,Schaf::N,уьстагӏ,lammas
168,Schwein::N,хьакха,sika
169,Hund::N,жӏаьла,koira
170,Katze::N,цициг,kissa
171,Bär::N,ча,karhu
172,Eichhörnchen::N,тарсал,orava
173,Elch::N,сай,hirvi
174,Fuchs::N,цхьогал,kettu
175,Hase::N,пхьагал,jänis
176,Maus::N,дахка,hiiri
177,Wolf::N,борз,susi
178,Vogel::N,олхазар,lintu
179,Huhn::N,котам,kana
180,Hahn::N,нӏаьна,kukko
181,Hahn::N,боргӏал,kukko
182,Gans::N,гӏаз,hanhi
183,Adler::N,aьрзу,kotka
184,Ente::N,бад,ankka
185,Eule::N,бухӏа,pöllö
186,Kranich::N,гӏаргӏули,kurki
187,Krähe::N,къиг,varis
188,Kuckuck::N,aттйокх,käki
189,Schwan::N,гӏургӏаз,joutsen
190,Fisch::N,чӏара,kala
191,Barsch::N,окунь,ahven
192,Hecht::N,гӏазкхийн чӏара,hauki
193,Schlange[Tier]::N,лаьхьа,käärme
194,Wurm::N,нӏаьна,mato
195,Spinne::N,гезг,hämähäkki
196,Ameise::N,зингат,muurahainen
197,Laus::N,меза,täi
198,Laus::N,гӏениг,täi
199,Mücke::N,чуьрк,sääski
200,Mücke::N,чуьрк,hyttynen
201,Fliege::N,моза,kärpänen
202,Schmetterling::N,полла,perhonen
203,Beere::N,цӏазам,marja
204,Apfel::N,ӏаж,omena
205,Pilz::N,жӏаьлин нускал,sieni
206,Zwiebel::N,xох,sipuli
207,Saat::N,чlу,siemenet
208,Korn::N,буьртиг,jyvä
209,Korn::N,буьртиг,vilja
210,Heu::N,йол,heinä
211,Schale::N,пардо,kuori
212,Grube::N,ор,kuoppa
213,Falle::N,кӏело,loukku
214,Spur::N,лар,jälki
215,Asche::N,чим,tuhka
216,Dreck::N,мода,lika
217,Eisen::N,эчиг,rauta
218,Gold::N,деши,kulta
219,Silber::N,дети,hopea
220,Kohle::N,кӏора,hiili
221,Glas::N,aнгали,lasi
222,Lehm::N,поппар,savi
223,Sand::N,гӏум,hiekka
224,Mensch::N,адам,ihminen
225,Mann::N,майра,mies
226,Frau::N,зуда,nainen
227,Kind::N,бер,lapsi
228,Junge::N,жимха,poika
229,Mädchen::N,жима йоӏ,tyttö
230,Familie::N,доьзал,perhe
231,Großvater::N,ненада,isoisä
232,Großmutter::N,денана,isoäiti
233,Eltern::N,да-нана,vanhemmat
234,Vater::N,да,isä
235,Mutter::N,нана,äiti
236,Sohn::N,кӏант,poika
237,Tochter::N,йоӏ,tytär
238,Bruder::N,ваша,veli
239,Schwester::N,йиша,sisko
240,Onkel::N,деваша,eno
241,Onkel::N,деваша,setä
242,Tante::N,дейиша,täti
243,Ehemann::N,майра,mies
244,Ehemann::N,майра,aviomies
245,Ehefrau::N,зуда,vaimo
246,Ehefrau::N,зуда,aviovaimo
247,Freude::N,самукъа,ilo
248,Freude::N,самукъа,riemu
249,Freude::N,хазахетар,ilo
250,Freude::N,хазахетар,riemu
251,Gelächter::N,белам,nauru
252,Glück::N,ирс,onni
253,Kummer::N,бала,suru
254,Kummer::N,бала,murhe
