,Concept_ID,cs,it
0,Auge::N,oko,occhio
1,Ohr::N,ucho,orecchio
2,Nase::N,nos,naso
3,Mund::N,pusa,bocca
4,Zahn::N,zub,dente
5,Zunge::N,jazyk,lingua
6,Lippe::N,ret,labbro
7,Wange::N,tvář,guancia
8,Gesicht::N,obličej,viso
9,Gesicht::N,obličej,faccia
10,Stirn::N,čelo,fronte
11,Haar::N,vlas,capello
12,Haar::N,vlasy,capello
13,Schnurrbart::N,kníry,baffi
14,Schnurrbart::N,kníry,mustacchi
15,Bart::N,vousy,barba
16,Kinn::N,brada,mento
17,Kiefer[Anatomie]::N,čelist,mascella
18,Kehle::N,hrdlo,gola
19,Hals::N,krk,collo
20,Genick::N,týl,nuca
21,Kopf::N,hlava,capo
22,Kopf::N,hlava,testa
23,Rücken::N,záda,dorso
24,Rücken::N,záda,schiena
25,Rücken::N,hřbet,dorso
26,Rücken::N,hřbet,schiena
27,Bauch::N,břicho,ventre
28,Nabel::N,pupek,ombelico
29,Busen::N,ňadra,seno
30,Brust::N,prsa,petto
31,Schulter::N,plece,spalla
32,Schulter::N,rameno,spalla
33,Arm::N,ruka,braccio
34,Ellenbogen::N,loket,gomito
35,Hand::N,ruka,mano
36,Handfläche::N,dlaň,palma
37,Finger::N,prst,dito
38,Fingernagel::N,nehet,unghia
39,Nagel[Anatomie]::N,nehet,unghia
40,Zeh::N,prst u nohy,dito del piede
41,Fuß::N,noha,piede
42,Ferse::N,pata,tallone
43,Ferse::N,pata,calcagno
44,Knie::N,koleno,ginocchio
45,Oberschenkel::N,stehno,fèmore
46,Bein::N,noha,gamba
47,Körper::N,tělo,corpo
48,Haut::N,kůže,pelle
49,Blut::N,krev,sangue
50,Ader::N,céva,vena
51,Sehne::N,šlacha,tèndine
52,Knochen::N,kost,osso
53,Gehirn::N,mozek,cervello
54,Herz::N,srdce,cuore
55,Magen::N,žaludek,stòmaco
56,Leber::N,játra,fegato
57,Atem::N,dech,fiato
58,Atem::N,dech,respiro
59,Hunger::N,hlad,fame
60,Träne::N,slza,làcrima
61,Geschmack::N,vkus,gusto
62,Geschmack::N,vkus,sapore
63,Geruch::N,vůně,odore
64,Geruch::N,zápach,odore
65,Schlaf::N,spánek,sonno
66,Traum::N,sen,sogno
67,Himmel::N,nebe,cielo
68,Sonne::N,slunce,sole
69,Mond::N,měsíc,luna
70,Stern::N,hvězda,stella
71,Luft::N,vzduch,aria
72,Wind::N,vítr,vento
73,Welle::N,vlna,onda
74,Wasser::N,voda,acqua
75,Stein::N,kámen,sasso
76,Stein::N,kámen,pietra
77,Boden::N,půda,suolo
78,Boden::N,půda,terreno
79,Erde::N,země,terra
80,Staub::N,prach,polvere
81,Rauch::N,dým,fumo
82,Rauch::N,kouř,fumo
83,Funke::N,jiskra,scintilla
84,Feuer::N,oheň,fuoco
85,Licht::N,světlo,luce
86,Schatten::N,stín,ombra
87,Wetter::N,počasí,tempo
88,Nebel::N,mlha,nebbia
89,Wolke::N,mrak,nube
90,Wolke::N,mrak,nùvola
91,Wolke::N,oblak,nube
92,Wolke::N,oblak,nùvola
93,Regen::N,déšť,pioggia
94,Schnee::N,sníh,neve
95,Eis::N,led,ghiaccio
96,Frost::N,mráz,gelo
97,Kälte::N,chlad,freddo
98,Hitze::N,horko,caldo
99,Hitze::N,horko,calura
100,Raureif::N,jinovatka,brina
101,Regenbogen::N,duha,arcobaleno
102,Donner::N,hrom,tuono
103,Strömung::N,proudění,corrente
104,Tropfen::N,kapka,goccia
105,Schaum::N,pěna,spuma
106,Schaum::N,pěna,schiuma
107,Schmutz::N,špína,sudiciume
108,See::N,jezero,lago
109,Sumpf::N,močál,palude
110,Sumpf::N,bažina,palude
111,Moor::N,bažina,torbiera
112,Moor::N,slatina,torbiera
113,Wiese::N,louka,prato
114,Wald::N,les,bosco
115,Wald::N,les,foresta
116,Hügel::N,kopec,colle
117,Hügel::N,kopec,collina
118,Anhöhe::N,pahorek,altura
119,Berg::N,hora,monte
120,Berg::N,hora,montagna
121,Gipfel::N,vrchol,cima
122,Höhle::N,jeskyně,grotta
123,Höhle::N,jeskyně,caverna
124,Abhang::N,svah,pendìo
125,Abhang::N,stráň,pendìo
126,Quelle::N,pramen,sorgente
127,Bach::N,potok,ruscello
128,Fluss::N,řeka,fiume
129,Ufer::N,břeh,riva
130,Küste::N,pobřeží,costa
131,Festland::N,souš,terraferma
132,Festland::N,pevnina,terraferma
133,Meer::N,moře,mare
134,Bucht::N,záliv,cala
135,Bucht::N,zátoka,cala
136,Insel::N,ostrov,ìsola
137,Blume::N,květina,fiore
138,Gras::N,tráva,erba
139,Wurzel::N,kořen,radice
140,Baum::N,strom,àlbero
141,Stamm::N,kmen,tronco
142,Rinde::N,kůra,corteccia
143,Ast::N,větev,ramo
144,Zweig::N,větev,ramo
145,Blatt::N,lupen,foglia
146,Birke::N,bříza,betulla
147,Kiefer[Baum]::N,sosna,pino
148,Kiefer[Baum]::N,borovice,pino
149,Weide[Baum]::N,vrba,sàlice
150,Tanne::N,jedle,abete
151,Horn::N,roh,corno
152,Feder::N,pero,penna
153,Fell::N,srst,manto
154,Fell::N,srst,pelame
155,Flügel::N,křídlo,ala
156,Klaue::N,dráp,grinfia
