,Concept_ID,cs,myv
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,судо
3,Mund::N,pusa,курго
4,Zahn::N,zub,пей
5,Zunge::N,jazyk,кель
6,Lippe::N,ret,турва
7,Wange::N,tvář,чамабока
8,Wange::N,tvář,чамаумарь
9,Gesicht::N,obličej,чама
10,Stirn::N,čelo,коня
11,Haar::N,vlas,черь
12,Haar::N,vlasy,черь
13,Schnurrbart::N,kníry,ус
14,Schnurrbart::N,kníry,муюк
15,Bart::N,vousy,сакал
16,Kinn::N,brada,уло
17,Kiefer[Anatomie]::N,čelist,пейпакар
18,Kiefer[Anatomie]::N,čelist,пейловажа
19,Kehle::N,hrdlo,кирьгапарь
20,Hals::N,krk,кирьга
21,Genick::N,týl,човонь
22,Kopf::N,hlava,пря
23,Rücken::N,záda,копорь
24,Rücken::N,hřbet,копорь
25,Bauch::N,břicho,пеке
26,Nabel::N,pupek,почо
27,Busen::N,ňadra,поте
28,Brust::N,prsa,меште
29,Schulter::N,plece,лавтов
30,Schulter::N,rameno,лавтов
31,Arm::N,ruka,кедь
32,Ellenbogen::N,loket,кенерепакарь
33,Hand::N,ruka,кедь
34,Handfläche::N,dlaň,кедькуншка
35,Handfläche::N,dlaň,кедьлапушка
36,Finger::N,prst,сур
37,Fingernagel::N,nehet,кенже
38,Nagel[Anatomie]::N,nehet,кенже
39,Zeh::N,prst u nohy,пильге сур
40,Fuß::N,noha,пильге
41,Ferse::N,pata,кочкаря
42,Knie::N,koleno,эле
43,Knie::N,koleno,эзне
44,Knie::N,koleno,кумажа
45,Oberschenkel::N,stehno,качо
46,Bein::N,noha,пильге
47,Körper::N,tělo,рунго
48,Haut::N,kůže,киське
49,Blut::N,krev,верь
50,Ader::N,céva,сан
51,Sehne::N,šlacha,коське сан
52,Knochen::N,kost,пакарь
53,Gehirn::N,mozek,удем
54,Herz::N,srdce,седей
55,Magen::N,žaludek,пеке
56,Leber::N,játra,максо
57,Atem::N,dech,лексема
58,Atem::N,dech,оймень таргсема
59,Hunger::N,hlad,вачочи
60,Träne::N,slza,селведь
61,Geschmack::N,vkus,тансть
62,Geruch::N,vůně,чине
63,Geruch::N,zápach,чине
64,Schlaf::N,spánek,удома
65,Traum::N,sen,он
66,Himmel::N,nebe,менель
67,Sonne::N,slunce,чи
68,Mond::N,měsíc,ков
69,Stern::N,hvězda,теште
70,Luft::N,vzduch,кошт
71,Wind::N,vítr,варма
72,Welle::N,vlna,толкун
73,Wasser::N,voda,ведь
74,Stein::N,kámen,кев
75,Boden::N,půda,мода
76,Erde::N,země,мастор
77,Staub::N,prach,пуль
78,Rauch::N,dým,качамо
79,Rauch::N,kouř,качамо
80,Funke::N,jiskra,сятко
81,Feuer::N,oheň,тол
82,Licht::N,světlo,валдо
83,Schatten::N,stín,сулей
84,Schatten::N,stín,сулейкс
85,Wetter::N,počasí,ушо
86,Nebel::N,mlha,сув
87,Wolke::N,mrak,пель
88,Wolke::N,oblak,пель
89,Regen::N,déšť,пиземс
90,Schnee::N,sníh,лов
91,Eis::N,led,эй
92,Frost::N,mráz,кельме
93,Kälte::N,chlad,якшамо
94,Hitze::N,horko,пси
95,Raureif::N,jinovatka,лекш
96,Regenbogen::N,duha,пурьгинечирьке
97,Regenbogen::N,duha,пурьгинеёнкс
98,Donner::N,hrom,пурьгине
99,Strömung::N,proudění,чудема
100,Strömung::N,proudění,чудевкс
101,Tropfen::N,kapka,петнявкс
102,Schaum::N,pěna,чов
103,Schmutz::N,špína,рудаз
104,See::N,jezero,эрьке
105,Sumpf::N,močál,чей
106,Sumpf::N,bažina,чей
107,Moor::N,bažina,чей
108,Moor::N,slatina,чей
109,Wiese::N,louka,луга
110,Wald::N,les,вирь
111,Hügel::N,kopec,губорь
112,Hügel::N,kopec,пандыне
113,Anhöhe::N,pahorek,губорь
114,Anhöhe::N,pahorek,пандыне
115,Berg::N,hora,пандо
116,Gipfel::N,vrchol,пря
117,Höhle::N,jeskyně,пещера
118,Abhang::N,svah,пандочама
119,Abhang::N,stráň,пандочама
120,Quelle::N,pramen,ушодкс
121,Bach::N,potok,чудикерькс
122,Fluss::N,řeka,лей
123,Ufer::N,břeh,чире
124,Küste::N,pobřeží,лейчире
125,Festland::N,souš,мода
126,Festland::N,pevnina,мода
127,Meer::N,moře,моря
128,Bucht::N,záliv,усия
129,Bucht::N,zátoka,усия
130,Insel::N,ostrov,усия
131,Blume::N,květina,цеця
132,Gras::N,tráva,тикше
133,Wurzel::N,kořen,юр
134,Wurzel::N,kořen,ундокс
135,Baum::N,strom,чувто
136,Stamm::N,kmen,рунго
137,Rinde::N,kůra,суд
138,Rinde::N,kůra,керь
139,Ast::N,větev,морго
140,Zweig::N,větev,тарад
141,Blatt::N,lupen,лопа
142,Birke::N,bříza,килей
143,Kiefer[Baum]::N,sosna,пиче
144,Kiefer[Baum]::N,borovice,пиче
145,Weide[Baum]::N,vrba,каль
146,Tanne::N,jedle,куз
147,Horn::N,roh,сюро
148,Feder::N,pero,толга
149,Fell::N,srst,пона
150,Flügel::N,křídlo,сёлмо
151,Klaue::N,dráp,кенже
152,Klaue::N,pazneht,кенже
153,Kralle::N,dráp,кенже
154,Schwanz::N,ocas,пуло
155,Ei::N,vejce,ал
156,Nest::N,hnízdo,пизэ
157,Bau::N,nora,варя
158,Bau::N,nora,пизе
159,Tier::N,zvíře,ракша
160,Herde::N,stádo,стада
161,Kuh::N,kráva,скал
162,Bulle::N,býk,бука
163,Pferd::N,kůň,лишме
164,Schaf::N,ovce,реве
165,Schwein::N,vepř,туво
166,Schwein::N,prase,туво
167,Hund::N,pes,пине
168,Hund::N,pes,киска
169,Katze::N,kočka,псака
170,Bär::N,medvěd,овто
171,Eichhörnchen::N,veverka,ур
172,Elch::N,los,сярдо
173,Fuchs::N,liška,ривезь
174,Hase::N,zajíc,нумоло
175,Maus::N,myš,чеерь
176,Wolf::N,vlk,верьгиз
177,Vogel::N,pták,нармунь
178,Schwarm::N,roj,полк
179,Schwarm::N,roj,стада
180,Schwarm::N,hejno,полк
181,Schwarm::N,hejno,стада
182,Huhn::N,kuře,сараз
183,Huhn::N,slepice,сараз
184,Hahn::N,kohout,атякш
185,Gans::N,husa,гала
186,Gans::N,husa,мацей
187,Adler::N,orel,куцькан
188,Adler::N,orel,тумоатякш
189,Ente::N,kachna,яксярго
190,Eule::N,sova,корж
191,Kranich::N,jeřáb,карго
192,Krähe::N,vrána,варака
193,Kuckuck::N,kukačka,куко
194,Schwan::N,labuť,локсей
195,Fisch::N,ryba,кал
196,Barsch::N,okoun,окунь
197,Hecht::N,štika,щука
198,Schlange[Tier]::N,had,гуй
199,Wurm::N,červ,сукс
