,Concept_ID,cy,ja
0,Auge::N,llygad,目
1,Ohr::N,clust,耳
2,Nase::N,trwyn,鼻
3,Mund::N,ceg,口
4,Zahn::N,dant,歯
5,Zunge::N,tafod,舌
6,Lippe::N,gwefus,唇
7,Wange::N,boch,頬
8,Gesicht::N,wyneb,顔
9,Stirn::N,talcen,額
10,Haar::N,blew,髪
11,Schnurrbart::N,mwstas,口髭
12,Bart::N,barf,髭
13,Kinn::N,gên,顎
14,Kiefer[Anatomie]::N,gên,顎
15,Kehle::N,gwddf,喉
16,Hals::N,gwddf,首
17,Genick::N,gwar,首
18,Genick::N,gwegil,首
19,Kopf::N,pen,頭
20,Rücken::N,cefn,背中
21,Bauch::N,bol,腹
22,Bauch::N,bol,お腹
23,Nabel::N,bogail,へそ
24,Busen::N,bron,乳房
25,Brust::N,brest,胸
26,Schulter::N,ysgwydd,肩
27,Arm::N,braich,腕
28,Ellenbogen::N,penelin,肘
29,Hand::N,llaw,手
30,Handfläche::N,palf,手のひら
31,Finger::N,bys,指
32,Fingernagel::N,ewin,爪
33,Nagel[Anatomie]::N,ewin,爪
34,Zeh::N,bys troed,足の指
35,Fuß::N,troed,足
36,Ferse::N,sawdl,かかと
37,Knie::N,glin,膝
38,Oberschenkel::N,clun,上腿
39,Bein::N,coes,足
40,Körper::N,corff,体
41,Haut::N,croen,皮膚
42,Blut::N,gwaed,血
43,Ader::N,gwythïen,血管
44,Sehne::N,gewyn,腱
45,Knochen::N,asgwrn,骨
46,Gehirn::N,ymennydd,脳
47,Herz::N,calon,心
48,Herz::N,calon,心臓
49,Magen::N,cylla,胃
50,Magen::N,stumog,胃
51,Leber::N,iau,肝臓
52,Atem::N,anadl,息
53,Atem::N,anadl,呼吸
54,Hunger::N,newyn,空腹
55,Träne::N,deigryn,涙
56,Geschmack::N,cyflas,味
57,Geruch::N,aroglau,匂い
58,Schlaf::N,cwsg,睡眠
59,Traum::N,breuddwyd,夢
60,Himmel::N,awyr,空
61,Sonne::N,haul,太陽
62,Mond::N,lleuad,月
63,Stern::N,seren,星
64,Luft::N,awyr,空気
65,Wind::N,gwynt,風
66,Welle::N,ton,波
67,Wasser::N,dŵr,水
68,Stein::N,carreg,石
69,Boden::N,llawr,土地
70,Erde::N,pridd,土
71,Staub::N,llwch,埃
72,Rauch::N,mwg,煙
73,Funke::N,gwreichioni,火花
74,Feuer::N,tân,火
75,Licht::N,golau,光
76,Schatten::N,cysgod,陰
77,Wetter::N,tywydd,天気
78,Nebel::N,niwl,霧
79,Wolke::N,cwmwl,雲
80,Regen::N,glaw,雨
81,Schnee::N,ôd,雪
