,Concept_ID,de,be
0,Auge::N,Auge,вока
1,Ohr::N,Ohr,вуха
2,Nase::N,Nase,нос
3,Mund::N,Mund,рот
4,Zahn::N,Zahn,зуб
5,Zunge::N,Zunge,язык
6,Lippe::N,Lippe,губа
7,Wange::N,Wange,шчака
8,Gesicht::N,Gesicht,твар
9,Stirn::N,Stirn,лоб
10,Haar::N,Haar,волас
11,Haar::N,Haar,валасы
12,Schnurrbart::N,Schnurrbart,вус
13,Schnurrbart::N,Schnurrbart,вусы
14,Bart::N,Bart,барада
15,Kinn::N,Kinn,падбародак
16,Kiefer[Anatomie]::N,Kiefer,сківіца
17,Kehle::N,Kehle,горла
18,Hals::N,Hals,шыя
19,Genick::N,Genick,патыліца
20,Kopf::N,Kopf,галава
21,Rücken::N,Rücken,спіна
22,Bauch::N,Bauch,жывот
23,Nabel::N,Nabel,пупок
24,Busen::N,Busen,грудзі
25,Brust::N,Brust,грудзі
26,Schulter::N,Schulter,плячо
27,Arm::N,Arm,рука
28,Ellenbogen::N,Ellenbogen,локаць
29,Hand::N,Hand,кісць
30,Handfläche::N,Handfläche,далонь
31,Finger::N,Finger,палец
32,Fingernagel::N,Fingernagel,ногаць
33,Nagel[Anatomie]::N,Nagel,ногаць
34,Zeh::N,Zeh,палец
35,Fuß::N,Fuß,нага
36,Ferse::N,Ferse,пята
37,Ferse::N,Ferse,пятка
38,Knie::N,Knie,калена
39,Oberschenkel::N,Oberschenkel,бядро
40,Oberschenkel::N,Oberschenkel,сцягно
41,Bein::N,Bein,нага
42,Körper::N,Körper,цела
43,Haut::N,Haut,скура
44,Blut::N,Blut,кроў
45,Ader::N,Ader,вена
46,Ader::N,Ader,сасуд
47,Sehne::N,Sehne,жыла
48,Sehne::N,Sehne,цеціва
49,Sehne::N,Sehne,сухажылле
50,Knochen::N,Knochen,косць
51,Gehirn::N,Gehirn,мозг
52,Herz::N,Herz,сэрца
53,Magen::N,Magen,страўнік
54,Leber::N,Leber,печань
55,Atem::N,Atem,дыханне
56,Hunger::N,Hunger,голад
57,Träne::N,Träne,сляза
58,Geschmack::N,Geschmack,смак
59,Geruch::N,Geruch,пах
60,Schlaf::N,Schlaf,сон
61,Traum::N,Traum,сон
62,Himmel::N,Himmel,неба
63,Sonne::N,Sonne,сонца
64,Mond::N,Mond,месяц
65,Stern::N,Stern,зорка
66,Luft::N,Luft,паветра
67,Wind::N,Wind,вецер
68,Welle::N,Welle,хваля
69,Wasser::N,Wasser,вада
70,Stein::N,Stein,камень
71,Boden::N,Boden,глеба
72,Erde::N,Erde,зямля
73,Staub::N,Staub,пыл
74,Rauch::N,Rauch,дым
75,Funke::N,Funke,іскра
76,Feuer::N,Feuer,агонь
77,Licht::N,Licht,святло
78,Schatten::N,Schatten,цень
79,Wetter::N,Wetter,пагода
80,Wetter::N,Wetter,надворʼе
81,Nebel::N,Nebel,туман
82,Wolke::N,Wolke,воблака
83,Regen::N,Regen,дождж
84,Schnee::N,Schnee,снег
85,Eis::N,Eis,лёд
86,Frost::N,Frost,мароз
87,Kälte::N,Kälte,холад
88,Hitze::N,Hitze,спёка
89,Raureif::N,Raureif,іней
90,Regenbogen::N,Regenbogen,вясёлка
91,Donner::N,Donner,гром
92,Strömung::N,Strömung,цячэнне
93,Tropfen::N,Tropfen,кропля
94,Schaum::N,Schaum,пена
95,Schmutz::N,Schmutz,гразь
96,See::N,See,возера
97,Sumpf::N,Sumpf,багна
98,Moor::N,Moor,балота
99,Wiese::N,Wiese,луг
100,Wald::N,Wald,лес
101,Hügel::N,Hügel,узгорак
102,Anhöhe::N,Anhöhe,узвышша
103,Berg::N,Berg,гара
104,Gipfel::N,Gipfel,вяршыня
105,Höhle::N,Höhle,пячора
106,Abhang::N,Abhang,схіл
107,Quelle::N,Quelle,крыніца
108,Bach::N,Bach,ручай
109,Fluss::N,Fluss,рака
110,Ufer::N,Ufer,бераг
