,Concept_ID,de,cv
0,Auge::N,Auge,куҫ
1,Ohr::N,Ohr,хӑлха
2,Nase::N,Nase,сӑмса
3,Mund::N,Mund,ҫӑвар
4,Zahn::N,Zahn,шӑл
5,Zunge::N,Zunge,чӗлхе
6,Lippe::N,Lippe,тута
7,Wange::N,Wange,пит ҫӑмарти
8,Gesicht::N,Gesicht,пит
9,Gesicht::N,Gesicht,пит-куҫ
10,Stirn::N,Stirn,ҫамка
11,Haar::N,Haar,ҫӳҫ
12,Schnurrbart::N,Schnurrbart,усси
13,Bart::N,Bart,сухал
14,Kinn::N,Kinn,янах
15,Kiefer[Anatomie]::N,Kiefer,янах
16,Kehle::N,Kehle,пыр
17,Kehle::N,Kehle,карланкӑ
18,Hals::N,Hals,пыр
19,Genick::N,Genick,ӗнсе
20,Kopf::N,Kopf,пуҫ
21,Rücken::N,Rücken,ҫурӑм
22,Bauch::N,Bauch,
23,Nabel::N,Nabel,кӑвапа
24,Busen::N,Busen,кӑкӑр
25,Brust::N,Brust,умӗ
26,Schulter::N,Schulter,хул пуҫҫи
27,Arm::N,Arm,алӑ
28,Ellenbogen::N,Ellenbogen,чавса
29,Hand::N,Hand,алӑ сыппи
30,Handfläche::N,Handfläche,ал лаппи
31,Finger::N,Finger,пӳрне
32,Fingernagel::N,Fingernagel,чӗрне
33,Nagel[Anatomie]::N,Nagel,чӗрне
34,Zeh::N,Zeh,пӳрне
35,Fuß::N,Fuß,ура лаппи
36,Ferse::N,Ferse,кӗле
37,Knie::N,Knie,чӗркуҫҫи
38,Oberschenkel::N,Oberschenkel,пӗҫӗ
39,Bein::N,Bein,ура
40,Körper::N,Körper,ӳт
41,Körper::N,Körper,ӳт-пӳ
42,Haut::N,Haut,тир
43,Blut::N,Blut,юн
44,Ader::N,Ader,вена
45,Sehne::N,Sehne,шӑнӑр
46,Knochen::N,Knochen,шӑмӑ
47,Gehirn::N,Gehirn,миме
48,Herz::N,Herz,чӗре
49,Magen::N,Magen,хырӑмлӑх
50,Leber::N,Leber,пӗвер
51,Atem::N,Atem,сывлав
52,Hunger::N,Hunger,выҫлӑх
53,Träne::N,Träne,куҫҫуль
54,Geschmack::N,Geschmack,техӗм
55,Geruch::N,Geruch,шӑршӑ
56,Schlaf::N,Schlaf,ыйхӑ
57,Traum::N,Traum,тӗлӗк
58,Himmel::N,Himmel,пӗлӗт
59,Sonne::N,Sonne,хӗвел
60,Mond::N,Mond,уйӑх
61,Stern::N,Stern,ҫӑлтӑр
62,Luft::N,Luft,сывлӑш
63,Wind::N,Wind,ҫил
64,Welle::N,Welle,хум
65,Wasser::N,Wasser,шыв
66,Wasser::N,Wasser,шыв-шур
67,Stein::N,Stein,чул
68,Boden::N,Boden,тӑпра
69,Erde::N,Erde,ҫӗр
70,Staub::N,Staub,тусан
71,Rauch::N,Rauch,тӗтӗм
72,Funke::N,Funke,хӗм
73,Feuer::N,Feuer,вут
74,Feuer::N,Feuer,ҫулӑм
75,Licht::N,Licht,ҫутӑ
76,Schatten::N,Schatten,сулхӑн
77,Wetter::N,Wetter,ҫанталӑк
78,Nebel::N,Nebel,тӗтре
79,Wolke::N,Wolke,пӗлӗт
80,Regen::N,Regen,ҫумӑр
81,Schnee::N,Schnee,юр
82,Eis::N,Eis,пӑр
83,Frost::N,Frost,сивӗ
84,Kälte::N,Kälte,сивӗ
85,Hitze::N,Hitze,вӗри
86,Hitze::N,Hitze,шӑрӑх
87,Raureif::N,Raureif,пас
88,Regenbogen::N,Regenbogen,асамат кӗперӗ
89,Donner::N,Donner,аслати
90,Strömung::N,Strömung,юхӑ
91,Tropfen::N,Tropfen,тумлам
92,Schaum::N,Schaum,кӑпӑк
93,Schmutz::N,Schmutz,пылчӑк
94,See::N,See,кӳлӗ
95,Sumpf::N,Sumpf,шур
96,Sumpf::N,Sumpf,шурлӑх
97,Moor::N,Moor,торфлӑ шурлӑх
98,Wiese::N,Wiese,улӑх
99,Wiese::N,Wiese,ҫаран
100,Wald::N,Wald,вӑрман
101,Hügel::N,Hügel,сӑрт
102,Hügel::N,Hügel,тӗмеске
103,Anhöhe::N,Anhöhe,сӑрт
104,Berg::N,Berg,ту
105,Gipfel::N,Gipfel,тӳпе
106,Höhle::N,Höhle,ҫӗр хӑвӑлӗ
107,Abhang::N,Abhang,тӑвайкки
