,Concept_ID,de,hy
0,Auge::N,Auge,աչք
1,Ohr::N,Ohr,ականջ
2,Nase::N,Nase,քիթ
3,Mund::N,Mund,բերան
4,Zahn::N,Zahn,ատամ
5,Zunge::N,Zunge,լեզու
6,Lippe::N,Lippe,շրթունք
7,Wange::N,Wange,այտ
8,Wange::N,Wange,թուշ
9,Gesicht::N,Gesicht,դեմք
10,Stirn::N,Stirn,ճակատ
11,Haar::N,Haar,մազ
12,Schnurrbart::N,Schnurrbart,բեղ
13,Bart::N,Bart,մորուք
14,Kinn::N,Kinn,կզակ
15,Kiefer[Anatomie]::N,Kiefer,ծնոտ
16,Kehle::N,Kehle,կոկորդ
17,Hals::N,Hals,վիզ
18,Hals::N,Hals,պարանոց
19,Genick::N,Genick,ծոծրակ
20,Kopf::N,Kopf,գլուխ
21,Rücken::N,Rücken,մեջք
22,Bauch::N,Bauch,փոր
23,Bauch::N,Bauch,որովայն
24,Nabel::N,Nabel,պորտ
25,Busen::N,Busen,ծոց
26,Brust::N,Brust,կուրծք
27,Schulter::N,Schulter,ուս
28,Arm::N,Arm,թեւ
29,Arm::N,Arm,բազուկ
30,Ellenbogen::N,Ellenbogen,արմունկ
31,Hand::N,Hand,ձեռք
32,Handfläche::N,Handfläche,ափ
33,Finger::N,Finger,մատ
34,Fingernagel::N,Fingernagel,եղունգ
35,Nagel[Anatomie]::N,Nagel,եղունգ
36,Zeh::N,Zeh,ոտքի մատ
37,Fuß::N,Fuß,ոտք
38,Ferse::N,Ferse,գարշապար
39,Knie::N,Knie,ծունկ
40,Oberschenkel::N,Oberschenkel,ազդր
41,Bein::N,Bein,ոտք
42,Körper::N,Körper,մարմին
43,Haut::N,Haut,մաշկ
44,Blut::N,Blut,արյուն
45,Ader::N,Ader,երակ
46,Sehne::N,Sehne,ջիղ
47,Sehne::N,Sehne,ձգտան
48,Knochen::N,Knochen,ոսկոր
49,Gehirn::N,Gehirn,խելք
50,Herz::N,Herz,սիրտ
51,Magen::N,Magen,ստամոքս
52,Leber::N,Leber,լյարդ
53,Atem::N,Atem,շունչ
54,Hunger::N,Hunger,քաղց
55,Träne::N,Träne,արտասուք
56,Geschmack::N,Geschmack,համ
57,Geschmack::N,Geschmack,բուրմունք
58,Geruch::N,Geruch,հոտ
59,Geruch::N,Geruch,բուրում
60,Schlaf::N,Schlaf,քուն
61,Traum::N,Traum,երազ
62,Himmel::N,Himmel,երկինք
63,Sonne::N,Sonne,արեւ
64,Mond::N,Mond,լուսին
65,Stern::N,Stern,աստղ
66,Luft::N,Luft,օդ
67,Wind::N,Wind,քամի
68,Welle::N,Welle,ալիք
69,Wasser::N,Wasser,ջուր
