,Concept_ID,el,se
0,Auge::N,μάτι,tjelmie
1,Auge::N,μάτι,tjalmme
2,Auge::N,μάτι,čalbmi
3,Auge::N,μάτι,čalme
4,Auge::N,μάτι,čâ´lmm
5,Auge::N,μάτι,ча̄лльм
6,Auge::N,οφθαλμός,tjelmie
7,Auge::N,οφθαλμός,tjalmme
8,Auge::N,οφθαλμός,čalbmi
9,Auge::N,οφθαλμός,čalme
10,Auge::N,οφθαλμός,čâ´lmm
11,Auge::N,οφθαλμός,ча̄лльм
12,Ohr::N,αυτί,bieljie
13,Ohr::N,αυτί,biellje
14,Ohr::N,αυτί,beallji
15,Ohr::N,αυτί,pelji
16,Ohr::N,αυτί,pe´llj
17,Ohr::N,αυτί,пе̄лльй
18,Nase::N,μύτη,njuenie
19,Nase::N,μύτη,njunnje
20,Nase::N,μύτη,njunni
21,Nase::N,μύτη,njuṇe
22,Nase::N,μύτη,njuu´nn
23,Nase::N,μύτη,нюннҍ
24,Mund::N,στόμα,njaelmie
25,Mund::N,στόμα,njálmme
26,Mund::N,στόμα,njálbmi
27,Mund::N,στόμα,njälmi
28,Mund::N,στόμα,njä´lmm
29,Mund::N,στόμα,ня̄лльм
30,Zahn::N,δόντι,baenie
31,Zahn::N,δόντι,bádne
32,Zahn::N,δόντι,bátni
33,Zahn::N,δόντι,pääṇi
34,Zahn::N,δόντι,pää´nn
35,Zahn::N,δόντι,па̄ннҍ
36,Zunge::N,γλώσσα,njoektjeme
37,Zunge::N,γλώσσα,njuovtjav
38,Zunge::N,γλώσσα,njuovčča
39,Zunge::N,γλώσσα,njuovčâ
40,Zunge::N,γλώσσα,njuhččâm
41,Zunge::N,γλώσσα,нюхчем
42,Lippe::N,χείλος,bangseme
43,Lippe::N,χείλος,njálmmerabdda
44,Lippe::N,χείλος,bavssa
45,Lippe::N,χείλος,poovsâ
46,Lippe::N,χείλος,põõus
47,Lippe::N,χείλος,пэ̄кс
48,Wange::N,παρειά,skiehrie
49,Wange::N,παρειά,nierra
50,Wange::N,παρειά,muohtu
51,Wange::N,παρειά,nieṛâ
52,Wange::N,παρειά,njiõrr
53,Wange::N,παρειά,нӣрр
54,Wange::N,μάγουλο,skiehrie
55,Wange::N,μάγουλο,nierra
56,Wange::N,μάγουλο,muohtu
57,Wange::N,μάγουλο,nieṛâ
58,Wange::N,μάγουλο,njiõrr
59,Wange::N,μάγουλο,нӣрр
60,Gesicht::N,πρόσωπο,ååredæjja
61,Gesicht::N,πρόσωπο,muohto
62,Gesicht::N,πρόσωπο,muođut
63,Gesicht::N,πρόσωπο,ámadadju
64,Gesicht::N,πρόσωπο,muáđuh
65,Gesicht::N,πρόσωπο,muâđ
66,Gesicht::N,πρόσωπο,ка̄ссв
67,Stirn::N,μέτωπο,gaalloe
68,Stirn::N,μέτωπο,gállo
69,Stirn::N,μέτωπο,gállu
70,Stirn::N,μέτωπο,kállu
71,Stirn::N,μέτωπο,käll
72,Stirn::N,μέτωπο,вуэххьц
73,Haar::N,μαλλιά,voepte
74,Haar::N,μαλλιά,vuoppta
75,Haar::N,μαλλιά,vuokta
76,Haar::N,μαλλιά,vuop'tâ
77,Haar::N,μαλλιά,vuõpt
78,Haar::N,μαλλιά,вӯппт
79,Schnurrbart::N,μουστάκι,bijjie-skaavtjoe
80,Schnurrbart::N,μουστάκι,njunjevuolskávttjá
81,Schnurrbart::N,μουστάκι,seamu
82,Schnurrbart::N,μουστάκι,siämu
83,Schnurrbart::N,μουστάκι,ää´bben
84,Schnurrbart::N,μουστάκι,о̄а̄бпан
85,Bart::N,γένια,skaavtja
86,Bart::N,γένια,skaavtjoe
87,Bart::N,γένια,skávttjá
88,Bart::N,γένια,seamu
89,Bart::N,γένια,siämu
90,Bart::N,γένια,seäm
91,Bart::N,γένια,ся̄м
92,Kinn::N,πιγούνι,gaejpie
93,Kinn::N,πιγούνι,gájbbe
94,Kinn::N,πιγούνι,gáibi
95,Kinn::N,πιγούνι,käibi
96,Kinn::N,πιγούνι,käi´bb
97,Kinn::N,πιγούνι,ка̄ййп
98,Kiefer[Anatomie]::N,σαγόνι,gaejpie
99,Kiefer[Anatomie]::N,σαγόνι,oalol
100,Kiefer[Anatomie]::N,σαγόνι,oaloldákte
101,Kiefer[Anatomie]::N,σαγόνι,gáibi
