,Concept_ID,en,ba
0,Auge::N,eye,күҙ
1,Ohr::N,ear,ҡолаҡ
2,Nase::N,nose,танау
3,Mund::N,mouth,ауыҙ
4,Zahn::N,tooth,теш
5,Zunge::N,tongue,тел
6,Lippe::N,lip,ирен
7,Wange::N,cheek,яцаҡтар
8,Gesicht::N,face,бит
9,Stirn::N,forehead,маңлай
10,Haar::N,hair,сәс
11,Schnurrbart::N,moustache,мылтыҡ
12,Bart::N,beard,һаҡал
13,Kinn::N,chin,эйэк
14,Kiefer[Anatomie]::N,jaw,яңаҡ һөйәге
15,Kehle::N,throat,тамаҡ
16,Hals::N,neck,муйын
17,Genick::N,nape,соңҡа
18,Kopf::N,head,баш
19,Rücken::N,back,арҡа
20,Rücken::N,spine,арҡа
21,Bauch::N,belly,ҡорһаҡ
22,Nabel::N,navel,кендек
23,Busen::N,bosom,күкрәк
24,Brust::N,chest,түш
25,Brust::N,breast,түш
26,Schulter::N,shoulder,яурын
27,Arm::N,arm,ҡул
28,Ellenbogen::N,elbow,терһәк
29,Hand::N,hand,ҡул
30,Hand::N,hand,ҡул суғы
31,Handfläche::N,palm,ус төбө
32,Finger::N,finger,бармаҡ
33,Fingernagel::N,fingernail,тырнаҡ
34,Nagel[Anatomie]::N,nail,тырнаҡ
35,Zeh::N,toe,бармаҡ
36,Fuß::N,foot,табан
37,Ferse::N,heel,үксә
38,Knie::N,knee,тубыҡ
39,Oberschenkel::N,thigh,сандыр
40,Bein::N,leg,аяҡ
41,Körper::N,body,тән
42,Haut::N,skin,тире
43,Blut::N,blood,ҡан
44,Ader::N,vein,тамыр
45,Sehne::N,sinew,һеңер
46,Sehne::N,sinew,тарамыш
47,Knochen::N,bone,һойәк
48,Gehirn::N,brain,мейе
49,Herz::N,heart,йорәк
50,Magen::N,stomach,ашҡаҙан
51,Leber::N,liver,бауыр
52,Atem::N,breath,һулыш
53,Hunger::N,hunger,аслыҡ
54,Träne::N,tear,күҙ иәше
55,Geschmack::N,flavour,тәм
56,Geschmack::N,flavor,тәм
57,Geruch::N,odour,еҫ
58,Geruch::N,odor,еҫ
59,Schlaf::N,sleep,йоҡлау
60,Traum::N,dream,төш
61,Himmel::N,sky,күк
62,Sonne::N,sun,ҡояш
63,Mond::N,moon,ай
64,Stern::N,star,йондоҙ
65,Luft::N,air,һауа
66,Wind::N,wind,ел
67,Welle::N,wave,тулҡын
68,Wasser::N,water,һыу
69,Stein::N,stone,таш
70,Boden::N,soil,тупраҡ
71,Boden::N,ground,тупраҡ
72,Erde::N,earth,балсҡ
73,Staub::N,dust,туҙан
74,Rauch::N,smoke,төтөн
75,Funke::N,spark,осҡон
76,Feuer::N,fire,ут
77,Licht::N,light,яҡтылыҡ
78,Schatten::N,shadow,күләгә
79,Wetter::N,weather,һауа торошо
80,Nebel::N,fog,төман
81,Wolke::N,cloud,болот
82,Regen::N,rain,ямғыр
83,Schnee::N,snow,ҡар
84,Eis::N,ice,боҙ
85,Frost::N,frost,һалҡын
86,Kälte::N,chill,һыуыҡ
87,Hitze::N,heat,томра
88,Hitze::N,heat,эҫелек
89,Raureif::N,hoarfrost,ҡырау
90,Regenbogen::N,rainbow,йәйғор
91,Donner::N,thunder,күк күкрәү
92,Strömung::N,current,ағым
93,Tropfen::N,drop,тамсы
94,Schaum::N,foam,күбек
95,Schmutz::N,dirt,батҡаҡ
96,See::N,lake,күл
97,Sumpf::N,swamp,һаҙлык
98,Moor::N,moor,һаҙ
99,Wiese::N,meadow,болон
100,Wald::N,forest,урман
101,Hügel::N,hill,түбә
102,Anhöhe::N,elevation,түбә
103,Anhöhe::N,elevation,ҡалҡыулыҡ
104,Berg::N,mountain,тау
105,Gipfel::N,summit,түбә
106,Höhle::N,cave,мәмерйә
107,Abhang::N,slope,ипкен
108,Quelle::N,source,шишмә
109,Bach::N,brook,шишмә
110,Fluss::N,river,йылға
111,Ufer::N,shore,яр
112,Küste::N,coast,яр буйы
113,Festland::N,land,ҡоро ер
114,Meer::N,sea,диңгез
115,Bucht::N,cove,бухта
116,Insel::N,island,үтрау
117,Blume::N,flower,сәскә
118,Gras::N,grass,үлән
119,Wurzel::N,root,тамыр
120,Baum::N,tree,ағас
121,Stamm::N,trunk,олон
122,Stamm::N,trunk,көбәк
123,Rinde::N,bark,ҡабыҡ
124,Ast::N,limb,ботаҡ
125,Zweig::N,branch,ботаҡ
126,Zweig::N,branch,тармаҡ
127,Blatt::N,leaf,япраҡ
128,Birke::N,birch,ҡайын
129,Kiefer[Baum]::N,pine,ҡарғай
130,Weide[Baum]::N,willow,тал
131,Tanne::N,fir,шыршы
132,Horn::N,horn,мөғөҙ
133,Feder::N,feather,ҡауырһын
134,Fell::N,fur,тире
135,Flügel::N,wing,ҡанат
136,Klaue::N,claw,тырнаҡ
137,Kralle::N,claw,аяҡ
138,Schwanz::N,tail,ҡойроҡ
139,Ei::N,egg,йомортҡа
140,Nest::N,nest,оя
141,Bau::N,lair,оң
142,Tier::N,animal,жайуан
143,Tier::N,animal,йыртҡыс
144,Herde::N,flock,көтөү
145,Kuh::N,cow,һыйыр
146,Bulle::N,bull,үгеҙ
147,Pferd::N,horse,ат
148,Schaf::N,sheep,һарыҡ
149,Schwein::N,pig,сусҡа
150,Hund::N,dog,эт
151,Katze::N,cat,бесәй
152,Bär::N,bear,айыу
153,Eichhörnchen::N,squirrel,тейен
154,Elch::N,elk,мышы
155,Fuchs::N,fox,төлкө
156,Hase::N,hare,ҡуян
157,Maus::N,mouse,сысҡан
158,Wolf::N,wolf,бүре
159,Vogel::N,bird,ҡош
160,Schwarm::N,swarm,көтөү
161,Huhn::N,chicken,тауыҡ
162,Hahn::N,cock,әтәс
163,Gans::N,goose,ҡаҙ
164,Adler::N,eagle,бөркөт
165,Ente::N,duck,өйрәк
166,Eule::N,owl,өкө
167,Eule::N,owl,ябалаҡ
168,Kranich::N,crane,торна
169,Krähe::N,crow,ҡарға
170,Kuckuck::N,cuckoo,кәкүк
171,Schwan::N,swan,аҡҡош
