,Concept_ID,en,hi
0,Auge::N,eye,आँख
1,Auge::N,eye,चक्षु
2,Ohr::N,ear,कान
3,Ohr::N,ear,कर्ण
4,Nase::N,nose,नाक
5,Nase::N,nose,नासा
6,Mund::N,mouth,मुख
7,Mund::N,mouth,मुँह
8,Zahn::N,tooth,दंत
9,Zahn::N,tooth,दाँत
10,Zunge::N,tongue,जीभ
11,Zunge::N,tongue,ज़बान
12,Zunge::N,tongue,जिह्वा
13,Lippe::N,lip,ओंठ
14,Lippe::N,lip,होंठ
15,Wange::N,cheek,गाल
16,Wange::N,cheek,कपोल
17,Gesicht::N,face,मुँह
18,Gesicht::N,face,चेहरा
19,Stirn::N,forehead,माथा
20,Stirn::N,forehead,मस्तक
21,Haar::N,hair,बाल
22,Schnurrbart::N,moustache,मूँछें
23,Bart::N,beard,दाढ़ी
24,Kinn::N,chin,चिबुक
25,Kiefer[Anatomie]::N,jaw,जबड़ा
26,Kehle::N,throat,गला
27,Hals::N,neck,गला
28,Hals::N,neck,गरदन
29,Genick::N,nape,गरदन
30,Genick::N,nape,ग्रीवा
31,Kopf::N,head,सिर
32,Kopf::N,head,शीर्ष
33,Rücken::N,back,पीठ
34,Rücken::N,spine,पीठ
35,Bauch::N,belly,उदर
36,Nabel::N,navel,नाभि
37,Nabel::N,navel,ढोंढी
38,Busen::N,bosom,कुच
39,Busen::N,bosom,स्तन
40,Brust::N,chest,वक्ष
41,Brust::N,breast,वक्ष
42,Schulter::N,shoulder,कंधा
43,Schulter::N,shoulder,स्कंध
44,Arm::N,arm,बाँह
45,Arm::N,arm,बाज़ू
46,Ellenbogen::N,elbow,कुहनी
47,Hand::N,hand,हाथ
48,Hand::N,hand,हस्त
49,Handfläche::N,palm,हथेली
50,Finger::N,finger,उँगली
51,Finger::N,finger,अँगुली
52,Fingernagel::N,fingernail,नख
53,Fingernagel::N,fingernail,नाख़ून
54,Nagel[Anatomie]::N,nail,नख
55,Nagel[Anatomie]::N,nail,नाख़ून
56,Zeh::N,toe,उँगली
57,Zeh::N,toe,पाँव की उँगली
58,Fuß::N,foot,चरण
59,Fuß::N,foot,पाँव
60,Ferse::N,heel,एड़ी
61,Knie::N,knee,जानु
62,Knie::N,knee,घुटना
63,Oberschenkel::N,thigh,उरु
64,Bein::N,leg,टाँग
65,Körper::N,body,तन
66,Körper::N,body,देह
67,Körper::N,body,शरीर
68,Haut::N,skin,चर्म
69,Haut::N,skin,त्वचा
70,Blut::N,blood,लहू
71,Blut::N,blood,ख़ून
72,Ader::N,vein,रग
73,Ader::N,vein,शिरा
74,Sehne::N,sinew,कंडरा
75,Sehne::N,sinew,स्नायु
76,Knochen::N,bone,अस्थि
77,Gehirn::N,brain,दिमाग़
78,Gehirn::N,brain,मस्तिष्क
79,Herz::N,heart,दिल
80,Herz::N,heart,हृदय
81,Magen::N,stomach,मेदा
82,Magen::N,stomach,अमाशय
83,Leber::N,liver,जिगर
84,Leber::N,liver,यकृत्
85,Atem::N,breath,दम
86,Atem::N,breath,साँस
87,Atem::N,breath,श्वास
88,Hunger::N,hunger,भूख
89,Hunger::N,hunger,क्षुधा
90,Träne::N,tear,आँसू
91,Träne::N,tear,अश्रु
92,Geschmack::N,flavour,स्वाद
93,Geschmack::N,flavour,ज़ायक़ा
94,Geschmack::N,flavor,स्वाद
95,Geschmack::N,flavor,ज़ायक़ा
96,Geruch::N,odour,बू
97,Geruch::N,odour,गंध
98,Geruch::N,odor,बू
99,Geruch::N,odor,गंध
100,Schlaf::N,sleep,नींद
101,Schlaf::N,sleep,निद्रा
102,Traum::N,dream,सपना
103,Traum::N,dream,स्वप्न
104,Himmel::N,sky,आकाश
105,Himmel::N,sky,आसमान
106,Sonne::N,sun,रवि
107,Sonne::N,sun,सूरज
108,Sonne::N,sun,सूर्य
109,Mond::N,moon,चाँद
110,Mond::N,moon,चंद्र
111,Stern::N,star,तारा
112,Stern::N,star,सितारा
113,Luft::N,air,हवा
114,Luft::N,air,वायु
115,Wind::N,wind,पाद
116,Welle::N,wave,लहर
117,Welle::N,wave,तरंग
118,Wasser::N,water,जल
119,Wasser::N,water,पानी
120,Stein::N,stone,पत्थर
121,Boden::N,soil,मिट्टी
122,Boden::N,ground,मिट्टी
123,Erde::N,earth,भूमि
124,Erde::N,earth,ज़मीन
125,Staub::N,dust,धूल
126,Rauch::N,smoke,धूआँ
127,Rauch::N,smoke,धुम्र
128,Funke::N,spark,चिनगारी
129,Funke::N,spark,स्फुलिंग
130,Feuer::N,fire,आग
131,Feuer::N,fire,आतिश
