,Concept_ID,en,sk
0,Auge::N,eye,oko
1,Ohr::N,ear,ucho
2,Nase::N,nose,nos
3,Mund::N,mouth,ústa
4,Zahn::N,tooth,zub
5,Zunge::N,tongue,jazyk
6,Lippe::N,lip,pera
7,Wange::N,cheek,líce
8,Gesicht::N,face,tvár
9,Gesicht::N,face,obličaj
10,Stirn::N,forehead,čelo
11,Haar::N,hair,vlas
12,Schnurrbart::N,moustache,fúzy
13,Bart::N,beard,brada
14,Kinn::N,chin,brada
15,Kiefer[Anatomie]::N,jaw,čeľusť
16,Kehle::N,throat,hrdlo
17,Hals::N,neck,krk
18,Genick::N,nape,väzy
19,Kopf::N,head,hlava
20,Rücken::N,back,chrbát
21,Rücken::N,spine,chrbát
22,Bauch::N,belly,brucho
23,Nabel::N,navel,pupok
24,Busen::N,bosom,prsia
25,Brust::N,chest,hruď
26,Brust::N,breast,hruď
27,Schulter::N,shoulder,plece
28,Arm::N,arm,rameno
29,Ellenbogen::N,elbow,lakeť
30,Hand::N,hand,ruka
31,Handfläche::N,palm,dlaň
32,Finger::N,finger,prst
33,Fingernagel::N,fingernail,necht
34,Nagel[Anatomie]::N,nail,necht
35,Zeh::N,toe,prst na nohe
36,Fuß::N,foot,noha
37,Ferse::N,heel,päta
38,Knie::N,knee,koleno
39,Oberschenkel::N,thigh,stehno
40,Bein::N,leg,noha
41,Körper::N,body,telo
42,Haut::N,skin,koža
43,Blut::N,blood,krv
44,Ader::N,vein,žila
45,Sehne::N,sinew,šľacha
46,Knochen::N,bone,kosť
47,Gehirn::N,brain,mozog
48,Herz::N,heart,srdce
49,Magen::N,stomach,žalúdok
50,Leber::N,liver,pečeň
51,Atem::N,breath,dych
52,Hunger::N,hunger,hlad
53,Träne::N,tear,slza
54,Geschmack::N,flavour,chuť
55,Geschmack::N,flavor,chuť
56,Geruch::N,odour,pach
57,Geruch::N,odor,pach
58,Schlaf::N,sleep,spánok
59,Traum::N,dream,sen
60,Himmel::N,sky,nebo
61,Sonne::N,sun,slnko
62,Mond::N,moon,mesiac
63,Stern::N,star,hviezda
64,Luft::N,air,vzduch
65,Wind::N,wind,vietor
66,Welle::N,wave,vlna
67,Wasser::N,water,voda
68,Stein::N,stone,kameň
69,Boden::N,soil,zem
70,Boden::N,soil,pôda
71,Boden::N,ground,zem
72,Boden::N,ground,pôda
73,Erde::N,earth,zem
74,Staub::N,dust,prach
75,Rauch::N,smoke,dym
76,Funke::N,spark,iskra
77,Feuer::N,fire,oheň
78,Licht::N,light,svetlo
79,Schatten::N,shadow,tieň
80,Wetter::N,weather,počasie
81,Nebel::N,fog,hmla
82,Wolke::N,cloud,oblak
83,Wolke::N,cloud,mračno
84,Regen::N,rain,dážď
85,Schnee::N,snow,sneh
86,Eis::N,ice,ľad
87,Frost::N,frost,mráz
88,Kälte::N,chill,zima
89,Kälte::N,chill,chlad
90,Hitze::N,heat,horúčava
91,Raureif::N,hoarfrost,srieň
92,Raureif::N,hoarfrost,inovať
93,Regenbogen::N,rainbow,dúha
94,Donner::N,thunder,hrom
95,Strömung::N,current,prúdenie
96,Tropfen::N,drop,kvapka
97,Schaum::N,foam,pena
98,Schmutz::N,dirt,špina
99,Schmutz::N,dirt,nečistota
100,See::N,lake,jazero
101,Sumpf::N,swamp,bahno
102,Moor::N,moor,močiar
103,Wiese::N,meadow,lúka
104,Wald::N,forest,les
105,Wald::N,forest,hora
106,Hügel::N,hill,vŕšok
107,Anhöhe::N,elevation,výšina
