,Concept_ID,et,ru
0,Auge::N,silm,глаз
1,Ohr::N,kõrv,ухо
2,Nase::N,nina,нос
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,keel,язык
6,Lippe::N,huul,губа
7,Wange::N,põsk,щека
8,Gesicht::N,nägu,лицо
9,Stirn::N,otsmik,лоб
10,Haar::N,juus,волос
11,Haar::N,juus,волосы
12,Schnurrbart::N,vurrud,ус
13,Schnurrbart::N,vurrud,усы
14,Schnurrbart::N,vuntsid,ус
15,Schnurrbart::N,vuntsid,усы
16,Bart::N,habe,борода
17,Kinn::N,lõug,подбородок
18,Kiefer[Anatomie]::N,lõualuu,челюсть
19,Kehle::N,kõri,горло
20,Hals::N,kael,шея
21,Genick::N,kukal,затылок
22,Kopf::N,pea,голова
23,Rücken::N,selg,спина
24,Bauch::N,kõht,живот
25,Nabel::N,naba,пупок
26,Busen::N,rind,женская грудь
27,Brust::N,rind,грудь
28,Schulter::N,õlg,плечо
29,Arm::N,käsivars,рука
30,Ellenbogen::N,küünarnukk,локоть
31,Hand::N,käsi,кисть
32,Handfläche::N,pihk,ладонь
33,Finger::N,sõrm,палец
34,Fingernagel::N,küüs,ноготь
35,Nagel[Anatomie]::N,küüs,ноготь
36,Zeh::N,varvas,палец
37,Fuß::N,jalg,ступня
38,Ferse::N,kand,пята
39,Ferse::N,kand,пятка
40,Knie::N,põlv,колено
41,Oberschenkel::N,reis,бедро
42,Bein::N,jalg,нога
43,Körper::N,ihu,тело
44,Körper::N,keha,тело
45,Haut::N,nahk,кожа
46,Blut::N,veri,кровь
47,Ader::N,veen,вена
48,Ader::N,veen,сосуд
49,Sehne::N,kõõlus,жила
50,Sehne::N,kõõlus,тетива
51,Sehne::N,kõõlus,сухожилие
52,Knochen::N,luu,кость
53,Gehirn::N,aju,мозг
54,Herz::N,süda,сердце
55,Magen::N,magu,желудок
56,Leber::N,maks,печень
57,Atem::N,hingeõhk,дух
58,Atem::N,hingeõhk,дыхание
59,Atem::N,hingamine,дух
60,Atem::N,hingamine,дыхание
61,Hunger::N,nälg,голод
62,Träne::N,pisar,слеза
63,Geschmack::N,maitse,вкус
64,Geruch::N,lõhn,запах
65,Schlaf::N,uni,сон
66,Traum::N,unenägu,сновидение
67,Himmel::N,taevas,небо
68,Sonne::N,päike,солнце
69,Mond::N,kuu,луна
70,Stern::N,täht,звезда
71,Luft::N,õhk,воздух
72,Wind::N,tuul,ветер
73,Welle::N,laine,волна
74,Wasser::N,vesi,вода
75,Stein::N,kivi,камень
76,Boden::N,maa,почва
77,Boden::N,pinnas,почва
78,Erde::N,maa,земля
79,Staub::N,põrm,пыль
80,Rauch::N,suits,дым
81,Funke::N,säde,искра
82,Feuer::N,tuli,огонь
83,Licht::N,valgus,свет
84,Schatten::N,vari,тень
85,Wetter::N,ilm,погода
86,Nebel::N,udu,туман
87,Wolke::N,pilv,облако
88,Regen::N,sadu,дождь
89,Schnee::N,lumi,снег
90,Eis::N,jää,лед
91,Frost::N,pakane,мороз
92,Kälte::N,külm,холод
93,Kälte::N,külmus,холод
94,Hitze::N,kuumus,жара
95,Hitze::N,palavus,жара
96,Raureif::N,härmatis,иней
97,Regenbogen::N,vikerkaar,радуга
98,Donner::N,kõu,гром
99,Donner::N,müristamine,гром
100,Strömung::N,voolus,течение
101,Strömung::N,jõevool,течение
102,Tropfen::N,tilk,капля
103,Schaum::N,vaht,пена
104,Schmutz::N,pori,грязь
105,Schmutz::N,mustus,грязь
106,See::N,järv,озеро
107,Sumpf::N,soo,топь
108,Moor::N,raba,болото
109,Wiese::N,aas,луг
110,Wiese::N,nurm,луг
111,Wald::N,mets,лес
112,Hügel::N,küngas,холм
113,Anhöhe::N,küngas,возвышенность
114,Berg::N,mägi,гора
115,Gipfel::N,mäetipp,вершина
116,Höhle::N,koobas,пещера
117,Abhang::N,nõlvak,склон
118,Quelle::N,allikas,источник
119,Bach::N,oja,ручей
120,Fluss::N,jõgi,река
121,Ufer::N,kallas,берег
122,Küste::N,rannik,побережье
123,Festland::N,mander,суша
124,Festland::N,maismaa,суша
125,Meer::N,meri,море
126,Bucht::N,laht,бухта
127,Insel::N,saar,остров
128,Blume::N,lill,цветок
129,Gras::N,rohi,трава
130,Wurzel::N,juur,корень
131,Baum::N,puu,дерево
132,Stamm::N,tüvi,ствол
133,Rinde::N,koor,кора
134,Ast::N,oks,сук
135,Zweig::N,oks,ветвь
136,Blatt::N,leht,лист
137,Birke::N,kask,береза
138,Kiefer[Baum]::N,mänd,сосна
139,Weide[Baum]::N,paju,ива
140,Tanne::N,nulg,ель
141,Horn::N,sarv,рог
142,Feder::N,sulg,перо
143,Fell::N,karvkate,шкура
144,Fell::N,karusnahk,шкура
145,Flügel::N,tiib,крыло
146,Flügel::N,tiivik,крыло
147,Klaue::N,küüs,коготь
148,Kralle::N,küünis,лапа
149,Schwanz::N,saba,хвост
150,Ei::N,muna,яйцо
151,Nest::N,pesa,гнездо
152,Bau::N,urg,нора
153,Tier::N,loom,животное
154,Herde::N,kari,стадо
155,Kuh::N,lehm,корова
156,Bulle::N,pull,бык
157,Pferd::N,hobune,лошадь
158,Schaf::N,lammas,овца
159,Schwein::N,siga,свинья
160,Hund::N,koer,собака
161,Katze::N,kass,кошка
162,Bär::N,karu,медведь
163,Eichhörnchen::N,orav,белка
164,Elch::N,põder,лось
165,Fuchs::N,rebane,лиса
166,Hase::N,jänes,заяц
167,Maus::N,hiir,мышь
168,Wolf::N,hunt,волк
169,Vogel::N,lind,птица
170,Schwarm::N,parv,стая
171,Huhn::N,kana,курица
172,Hahn::N,kukk,петух
173,Gans::N,hani,гусь
174,Adler::N,kotkas,орел
175,Ente::N,part,утка
176,Eule::N,kakk,сова
177,Eule::N,öökull,сова
178,Kranich::N,kurg,журавль
179,Krähe::N,vares,ворона
180,Kuckuck::N,kägu,кукушка
181,Schwan::N,luik,лебедь
182,Fisch::N,kala,рыба
183,Barsch::N,ahven,окунь
184,Hecht::N,haug,щука
185,Schlange[Tier]::N,uss,змея
186,Wurm::N,uss,червяк
187,Wurm::N,vagel,червяк
188,Spinne::N,ämblik,паук
189,Ameise::N,sipelgas,муравей
190,Laus::N,täi,вошь
191,Mücke::N,sääsk,комар
192,Fliege::N,kärbes,муха
193,Schmetterling::N,liblikas,бабочка
194,Beere::N,mari,ягода
195,Apfel::N,õun,яблоко
196,Pilz::N,seen,гриб
197,Zwiebel::N,sibul,луковица
198,Saat::N,seeme,семя
199,Korn::N,iva,зерно
200,Korn::N,tera,зерно
201,Heu::N,hein,сено
202,Schale::N,koor,шелуха
203,Grube::N,kaevand,яма
204,Falle::N,lõks,ловушка
205,Falle::N,püünis,ловушка
206,Schlinge::N,aas,силок
207,Spur::N,jälg,след
208,Asche::N,tuhk,зола
209,Asche::N,tuhk,пепел
210,Dreck::N,saast,грязь
211,Dreck::N,mustus,грязь
212,Eisen::N,raud,железо
213,Gold::N,kuld,золото
214,Silber::N,hõbe,серебро
215,Kohle::N,süsi,уголь
216,Glas::N,klaas,стекло
217,Lehm::N,savi,глина
218,Sand::N,liiv,песок
219,Mensch::N,inimene,человек
220,Mann::N,mees,мужчина
221,Frau::N,naine,женщина
222,Kind::N,laps,ребенок
223,Junge::N,poiss,мальчик
224,Mädchen::N,tüdruk,девочка
225,Familie::N,perekond,семья
226,Großvater::N,vanaisa,дедушка
227,Großmutter::N,vanaema,бабушка
228,Eltern::N,vanemad,родители
229,Vater::N,isa,отец
230,Mutter::N,ema,мать
231,Sohn::N,poeg,сын
232,Tochter::N,tütar,дочь
233,Bruder::N,vend,брат
234,Schwester::N,õde,сестра
235,Onkel::N,onu,дядя
236,Tante::N,tädi,тетя
237,Ehemann::N,mees,муж
238,Ehemann::N,abikaasa,муж
239,Ehefrau::N,naine,жена
240,Ehefrau::N,abikaasa,жена
241,Freude::N,rõõm,радость
242,Gelächter::N,naer,смех
243,Glück::N,õnn,счастье
244,Kummer::N,mure,горе
245,Kummer::N,kurbus,горе
246,Wunsch::N,soov,желание
247,Lust::N,himu,влечение
248,Geist::N,vaim,дух
249,Gedanke::N,mõte,мысль
250,Gedächtnis::N,mälu,память
251,Verstand::N,aru,ум
252,Verstand::N,mõistus,ум
253,Sinn::N,tähendus,смысл
254,Grund::N,põhjus,повод
255,Wahrheit::N,tõde,правда
256,Gespräch::N,kõne,беседа
257,Gespräch::N,vestlus,беседа
258,Märchen::N,muinasjutt,сказка
259,Erzählung::N,jutustus,рассказ
260,Nachricht::N,teade,сообщение
261,Neuigkeit::N,uudis,новость
262,Name::N,nimi,имя
263,Rätsel::N,mõistatus,загадка
264,Rede::N,kõne,речь
265,Sprache::N,keel,язык
266,Stimme::N,hääl,голос
267,Wort::N,sõna,слово
268,Zeichen::N,märk,знак
269,Ruf::N,hüüe,зов
270,Lärm::N,müra,шум
271,Laut::N,hääl,звук
272,Ton::N,toon,звучание
273,Lied::N,laul,песня
274,Ruhe::N,rahu,покой
275,Ruhe::N,vaikus,покой
276,Leute::N,inimesed,люди
277,Volk::N,rahvas,народ
278,Arbeit::N,töö,работа
279,Gast::N,külaline,гость
280,Geschenk::N,kingitus,подарок
281,Spiel::N,mäng,игра
282,Gesellschaft::N,selts,общество
283,Hilfe::N,abi,помощь
284,Freund::N,sõber,друг
285,Kamerad::N,sõber,приятель
286,Angelegenheit::N,asi,дело
287,Anzahl::N,arv,количество
288,Anzahl::N,hulk,количество
289,Art::N,liik,вид
